表7——6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7—6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,表7-6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续17),,,,,,,,,,,,
    婚姻状况(第二口径)(续04)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女
  35—39岁,    4 740 602,    2 208 186,    2 532 416,,,  35-39岁,    107 679,    101 458,    6 221,    4 549 723,    2 063 175,    2 486 548,    38 898,    15 387,    23 511,    44 302,    28 166,    16 136
    35,    884 259,    397 316,    486 943,,,    35,    25 106,    23 641,    1 465,    845 710,    366 428,    479 282,    5 567,    2 291,    3 276,    7 876,    4 956,    2 920
    36,    934 320,    430 401,    503 919,,,    36,    23 060,    21 745,    1 315,    896 205,    400 578,    495 627,    6 490,    2 619,    3 871,    8 565,    5 459,    3 106
    37,    984 312,    463 640,    520 672,,,    37,    22 131,    20 891,    1 240,    944 707,    433 474,    511 233,    7 844,    3 210,    4 634,    9 630,    6 065,    3 565
    38,    1 008 371,    477 784,    530 587,,,    38,    20 432,    19 255,    1 177,    969 269,    448 878,    520 391,    9 159,    3 578,    5 581,    9 511,    6 073,    3 438
    39,    929 340,    439 045,    490 295,,,    39,    16 950,    15 926,    1 024,    893 832,    413 817,    480 015,    9 838,    3 689,    6 149,    8 720,    5 613,    3 107
  40—44岁,    4 620 423,    2 292 692,    2 327 731,,,  40—44岁,    76 104,    71 694,    4 410,    4 421 412,    2 163 725,    2 257 687,    76 525,    26 733,    49 792,    46 382,    30 540,    15 842
    40,    1 047 895,    508 580,    539 315,,,    40,    18 781,    17 680,    1 101,    1 005 568,    479 333,    526 235,    13 032,    4 755,    8 277,    10 514,    6 812,    3 702
    41,    945 733,    463 719,    482 014,,,    41,    15 737,    14 748,    989,    906 591,    437 822,    468 769,    13 767,    4 836,    8 931,    9 638,    6 313,    3 325
    42,    937 398,    468 579,    468 819,,,    42,    14 977,    14 062,    915,    897 613,    442 881,    454 732,    15 482,    5 536,    9 946,    9 326,    6 100,    3 226
    43,    906 438,    458 786,    447 652,,,    43,    14 074,    13 280,    794,    866 186,    433 602,    432 584,    17 054,    5 829,    11 225,    9 124,    6 075,    3 049
    44,    782 959,    393 028,    389 931,,,    44,    12 535,    11 924,    611,    745 454,    370 087,    375 367,    17 190,    5 777,    11 413,    7 780,    5 240,    2 540
  45—49岁,    3 383 222,    1 698 997,    1 684 225,,,  45—49岁,    50 187,    48 042,    2 145,    3 190 387,    1 593 588,    1 596 799,    108 669,    34 791,    73 878,    33 979,    22 576,    11 403
    45,    706 712,    354 948,    351 764,,,    45,    11 786,    11 238,    548,    669 611,    332 846,    336 765,    18 024,    5 964,    12 060,    7 291,    4 900,    2 391
    46,    649 102,    327 103,    321 999,,,    46,    10 416,    9 957,    459,    613 520,    306 464,    307 056,    18 412,    6 097,    12 315,    6 754,    4 585,    2 169
    47,    635 883,    317 469,    318 414,,,    47,    9 512,    9 144,    368,    599 662,    297 686,    301 976,    20 066,    6 275,    13 791,    6 643,    4 364,    2 279
    48,    679 150,    339 598,    339 552,,,    48,    9 420,    9 022,    398,    638 921,    318 464,    320 457,    24 076,    7 676,    16 400,    6 733,    4 436,    2 297
    49,    712 375,    359 879,    352 496,,,    49,    9 053,    8 681,    372,    668 673,    338 128,    330 545,    28 091,    8 779,    19 312,    6 558,    4 291,    2 267
  50—54岁,    3 663 405,    1 875 252,    1 788 153,,,  50-54岁,    39 731,    37 720,    2 011,    3 381 635,    1 750 226,    1 631 409,    208 216,    64 610,    143 606,    33 823,    22 696,    11 127
    50,    718 711,    360 984,    357 727,,,    50,    8 743,    8 371,    372,    670 546,    338 328,    332 218,    32 627,    9 798,    22 829,    6 795,    4 487,    2 308
    51,    721 283,    356 982,    364 301,,,    51,    8 219,    7 843,    376,    668 884,    333 775,    335 109,    37 537,    11011,    26 526,    6 643,    4 353,    2 290
    52,    748 625,    379 640,    368 985,,,    52,    8 094,    7 679,    415,    690 873,    354 302,    336 571,    42 699,    12 943,    29 756,    6 959,    4 716,    2 243
    53,    738 754,    386 394,    352 360,,,    53,    7 518,    7 090,    428,    678 783,    360 123,    318 660,    45 782,    14 656,    31 126,    6 671,    4 525,    2 146
    54,    736 032,    391 252,    344 780,,,    54,    7 157,    6 737,    420,    672 549,    363 698,    308 851,    49 571,    16 202,    33 369,    6 755,    4 615,    2 140
  55—59岁,    3 109 870,    1 864 057,    1 245 813,,,  55—59岁,    26 669,    24 637,    2 032,    2 785 786,    1 714 972,    1 070 814,    267 462,    103 186,    164 276,    29 953,    21 262,    8 691
    55,    700 939,    384 937,    316 002,,,    55,    6 531,    6 150,    381,    636 087,    356 622,    279 465,    51 848,    17 724,    34 124,    6 473,    4 441,    2 032
    56,    675 739,    393 053,    282 686,,,    56,    5 964,    5 533,    431,    608 739,    362 786,    245 953,    54 322,    19 978,    34 344,    6 714,    4 756,    1 958
    57,    642 222,    388 202,    254 020,,,    57,    5 304,    4 871,    433,    575 017,    357 430,    217 587,    55 644,    21 456,    34 188,    6 257,    4 445,    1 812
    58,    558 328,    351 840,    206 488,,,    58,    4 679,    4 287,    392,    496 500,    322 565,    173 935,    51 805,    21 162,    30 643,    5 344,    3 826,    1 518
    59,    532 642,    346 025,    186 617,,,    59,    4 191,    3 796,    395,    469 443,    315 569,    153 874,    53 843,    22 866,    30 977,    5 165,    3 794,    1 371
  60岁及以上,    5 115 050,    3 618 102,    1 496 948,,,  60岁及以上,    38 759,    30 930,    7 829,    3 854 039,    2 926 444,    927 595,    1 173 495,    626 418,    547 077,    48 757,    34 310,    14447
初中,    59 721 792,    33 402 365,    26 319 427,,,初中,    18 889 750,    11 089 994,    7 799 756,    39 734 257,    21 768 638,    17 965 619,    616 050,    287 084,    328 966,    481 735,    256 649,    225 086
  15-19岁,    10 326 135,    5 459 126,    4 867 009,,,  15—19岁,    10 210 793,    5 420 985,    4 789 808,    114 441,    37 796,    76 645,    208,    112,    96,    693,    233,    460
    15,    2 256 695,    1 177 561,    1 079 134,,,    15,    2 255 746,    1 177 071,    1 078 675,    913,    465,    448,    16,    12,    4,    20,    13,    7
    16,    2 012 038,    1 062 454,    949 584,,,    16,    2 009 950,    1 061 558,    948 392,    2 038,    874,    1 164,    15,    7,    8,    35,    15,    20
    17,    1 930 349,    1 018 803,    911546,,,    17,    1 922 712,    1 016 150,    906 562,    7 536,    2 608,    4 928,    26,    16,    10,    75,    29,    46
    18,    1 955 027,    1 038 513,    916 514,,,    18,    1 929 612,    1 030 169,    899 443,    25 188,    8 261,    16 927,    52,    28,    24,    175,    55,    120
    19,    2 172 026,    1 161 795,    1 010 231,,,    19,    2 092 773,    1 136 037,    956 736,    78 766,    25 588,    53 178,    99,    49,    50,    388,    121,    267
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,    单位：人,,,,,,,,,,,,
    婚姻状况(第二口径)(续05)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    文化程度,    合计,,,,,    和年龄别,,,,,,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,,,,,,,  小计,    男,    女,    小计,    男,,,,,,,
,    合计,    男,    女,,,  20-24岁,    6 842 535,    4 189 806,    2 652 729,    4 158 424,    1 679 337,    2 479 087,    4 526,    1 717,    2 809,    21 928,    7 970,    13 958
  20—24岁,    11 027 413,    5 878 830,    5 148 583,,,    20,    1 998 782,    1 124 581,    874 201,    231 679,    68 915,    162 764,    233,    87,    146,    950,    282,    668
    20,    2 231 644,    1 193 865,    1 037 779,,,    21,    1 872 620,    1 107 272,    765 348,    516 281,    163 196,    353 085,    495,    180,    315,    2 215,    670,    1 545
    21,    2 391 611,    1 271 318,    1 120 293,,,    22,    1 365 774,    848 505,    517 269,    786 394,    302 972,    483 422,    732,    265,    467,    3 506,    1 086,    2 420
    22,    2 156 406,    1 152 828,    1 003 578,,,    23,    878 266,    587 563,    290 703,    1 066 866,    450 992,    615 874,    1 162,    430,    732,    5 439,    2 034,    3 405
    23,    1 951 733,    1 041 019,    910 714,,,    24,    727 093,    521 885,    205 208,    1 557 204,    693 262,    863 942,    1904,    755,    1 149,    9 818,    3 898,    5 920
    24,    2 296 019,    1 219 800,    1 076 219,,,  25—29岁,    1 329 586,    1 066 675,    262 911,    8 152 670,    4 098 935,    4 053 735,    14 326,    5 670,    8 656,    84 576,    41 175,    43 401
  25—29岁,    9 581 158,    5 212 455,    4 368 703,,,    25,    507 500,    387 955,    119 545,    1 804 738,    849 959,    954 779,    2 647,    1 032,    1 615,    14 213,    6 178,    8 035
    25,    2 329 098,    1 245 124,    1 083 974,,,    26,    377 506,    305 582,    71 924,    2 080 192,    1 022 560,    1 057 632,    3 306,    1 227,    2 079,    19 759,    9 174,    10 585
    26,    2 480 763,    1 338 543,    1 142 220,,,    27,    265 009,    220 306,    44 703,    2 175 999,    1 118 281,    1 057 718,    3 817,    1 577,    2 240,    23 204,    11 654,    11 550
    27,    2 468 029,    1 351 818,    1 116 211,,,    28,    106 692,    90 376,    16 316,    1 114 180,    590 843,    523 337,    2 382,    977,    1 405,    13 067,    6 772,    6 295
    28,    1 236 321,    688 968,    547 353,,,    29,    72 879,    62 456,    10 423,    977 561,    517 292,    460 269,    2 174,    857,    1 317,    14 333,    7 397,    6 936
    29,    1 066 947,    588 002,    478 945,,,  30—34岁,    260 048,    220 827,    39 221,    7 399 025,    4 041 749,    3 357 276,    22 266,    8 708,    13 558,    111 422,    59 685,    51 737
  30—34岁,    7 792 761,    4 330 969,    3 461 792,,,    30,    66 782,    57 686,    9 096,    1 260 597,    679 101,    581 496,    3 032,    1 181,    1851,    18 683,    9 845,    8 838
    30,    1 349 094,    747 813,    601 281,,,    31,    52 118,    44 604,    7 514,    1 258 709,    687 415,    571 294,    3 392,    1 348,    2 044,    18 979,    10 313,    8 666
    31,    1 333198,    743 680,    589 518,,,    32,    56 108,    48 174,    7 934,    1 652 216,    912 042,    740 174,    4 958,    2 004,    2 954,    24 476,    13 347,    11129
    32,    1 737 758,    975 567,    762 191,,,    33,    45 174,    37 877,    7 297,    1 599 086,    876 433,    722 653,    5 232,    2 114,    3 118,    24 122,    12 916,    11 206
    33,    1 673 614,    929 340,    744 274,,,    34,    39 866,    32 486,    7 380,    1 628 417,    886 758,    741 659,    5 652,    2 061,    3 591,    25 162,    13 264,    11898
    34,    1 699 097,    934 569,    764 528,,,  35—39岁,    143 863,    110 259,    33 604,    8 208 715,    4 515 630,    3 693 085,    40 369,    13 381,    26 988,    119 169,    61 473,    57 696
  35—39岁,    8 512 116,    4 700 743,    3 811 373,,,    35,    40 049,    31 864,    8 185,    1 855 885,    1 012 775,    843 110,    7 101,    2 517,    4 584,    28 322,    14 710,    13 612
    35,    1 931 357,    1 061 866,    869 491,,,    36,    34 385,    26 718,    7 667,    1 812 432,    987 246,    825 186,    7 801,    2 692,    5 109,    27 576,    14 334,    13 242
    36,    1 882 194,    1 030 990,    851 204,,,    37,    27 041,    20 527,    6 514,    1 625 704,    892 238,    733 466,    7 925,    2 576,    5 349,    23 365,    12 098,    11267
    37,    1 684 035,    927 439,    756 596,,,    38,    23 668,    17 499,    6 169,    1 558 359,    865 722,    692 637,    8 742,    2 823,    5 919,    21 407,    10 930,    10 477
    38,    1 612 176,    896 974,    715 202,,,    39,    18 720,    13 651,    5 069,    1 356 335,    757 649,    598 686,    8 800,    2 773,    6 027,    18 499,    9 401,    9 098
    39,    1 402 354,    783 474,    618 880,,,  40-44岁,    47 638,    36 356,    11 282,    4 226 999,    2 383 233,    1 843 766,    44 887,    13 643,    31 244,    56 496,    30 583,    25 913
  40—44岁,    4 376 020,    2 463 815,    1 912 205,,,    40,    16 043,    11 759,    4 284,    1 264 319,    713 287,    551 032,    9 581,    2 958,    6 623,    17 209,    9 087,    8 122
    40,    1307 152,    737 091,    570 061,,,    41,    10 409,    7 842,    2 567,    836 390,    470 004,    366 386,    7 909,    2 400,    5 509,    11 720,    6 212,    5 508
    41,    866 428,    486 458,    379 970,,,    42,    8 139,    6 256,    1 883,    716 596,    401 013,    315 583,    8 107,    2 415,    5 692,    9 885,    5 338,    4 547
    42,    742 727,    415 022,    327 705,,,    43,    6 991,    5 495,    1 496,    718 438,    405 970,    312 468,9205,    2 822,    6 383,    9 256,    5 173,    4 083
    43,    743 890,    419 460,    324 430,,,    44,    6 056,    5 004,    1 052,    691 256,    392 959,    298 297,    10 085,    3 048,    7 037,    8 426,    4 773,    3 653
    44,    715 823,    405 784,    310 039,,,  45—49岁,    21 409,    18 386,    3 023,    2 720 409,    1 556 141,    1 164 268,    59 781,    18 478,    41 303,    32 171,    18 875,    13 296
  45-49岁,    2 833 770,    1 611 880,    1 221 890,,,    45,    5 360,    4 491,    869,    638 934,    364 266,    274 668,    10 938,    3 345,    7 593,    7 776,    4 473,    3 303
    45,    663 008,    376 575,    286 433,,,    46,    4 841,    4 182,    659,    567 735,    324 016,    243 719,    11 534,    3 574,    7 960,    6 899,    4 057,    2 842
    46,    591 009,    335 829,    255 180,,,    47,    4 072,    3 551,    521,    528 802,    299 665,    229 137,    11 707,    3 557,    8 150,    6 445,    3 846,    2 599
    47,    551 026,    310 619,    240 407,,,    48,    3 831,    3 311,    520,    506 207,    288 933,    217 274,    12 617,    3 891,    8 726,    5 769,    3 376,    2 393
    48,    528 424,    299 511,    228 913,,,    49,    3 305,    2 851,    454,    478 731,    279 261,    199 470,    12 985,    4 111,    8 874,    5 282,    3 123,    2 159
    49,    500 303,    289 346,    210 957,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,表7-6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续19),,,,,,,,,,,,
    婚姻状况(第二口径)(续06)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,,,  50—54岁,    12 946,    11 032,    1 914,    1 844 740,  1 146 244,    698 496,    69 389,    23 726,    45 663,    20 189,    12 722,    7 467
  50—54岁,    1 947 264,    1 193 724,    753 540,,,    50,    3 072,    2 652,    420,    428 528,    250 627,    177 901,    13 315,    4 114,    9 201,    4 756,    2 873,    1 883
    50,    449 671,    260 266,    189 405,,,    51,    2 572,    2 232,    340,    378 473,    224 975,    153 498,    13 367,    4 229,    9 138,    4 150,    2 545,    1 605
    51,    398 562,    233 981,      164 581,,,    52,    2 581,    2 191,    390,    362 481,    225 271,    137 210,    13 988,    4 750,    9 238,    3 857,    2 453,    1 404
    52,    382 907,    234 665,    148 242,,,    53,    2 538,    2 105,    433,    342 747,    223 310,    119 437,    13 989,    5 050,    8 939,    3 821,    2 478,    1 343
    53,    363 095,    232 943,    130 152,,,    54,    2 183,    1 852,    331,    332 511,    222 061,    110 450,    14 730,    5 583,    9 147,    3 605,    2 373,    1 232
    54,    353 029,    231 869,    121 160,,,  55—59岁,    8 365,    7 009,    1 356,    1 376 016,    1 026 083,    349 933,    77 068,    34 454,    42 614,    14 862,    10 319,    4 543
  55—59岁,    1 476 311,    1 077 865,    398 446,,,    55,    2 000,    1 707,    293,    313 822,    218 376,    95 446,    14 858,    5 914,    8 944,    3 436,    2 298,    1 138
    55,    334 116,    228 295,    105 821,,,    56,    1 949,    1 642,    307,    301 691,    219 316,    82 375,    15 523,    6 708,    8 815,    3 285,    2 309,    976
    56,    322 448,    229 975,    92 473,,,    57,    1 751,    1 455,    296,    282 823,    212 642,    70 181,    16 017,    7 167,    8 850,    3 082,    2 147,    935
    57,    303 673,    223 411,    80 262,,,    58,    1 404,    1 171,    233,    245 950,    190 888,    55 062,    14 990,    7 035,    7 955,    2 581,    1 789,    792
    58,    264 925,    200 883,    64 042,,,    59,    1 261,    1 034,    227,    231 730,    184 861,    46 869,    15 680,    7 630,    8 050,    2 478,    1 776,    702
    59,    251 149,    195 301,    55 848,,,  60岁及以上,    12 567,    8 659,    3 908,    1 532 818,    1 283 490,    249 328,    283 230,    167 195,    116 035,    20 229,    13 614,    6 615
  60岁及以上,    1 848 844,    1 472 958,    375 886,,,高中,    9 495 763,    5 513 874,    3 981 889,    18 602 745,    9 640 072,    8 962 673,    181 619,    80 469,    101 150,    217 699,    102 946,    114 753
高中,    28 497 826,    15 337 361,    13 160 465,,,  15—19岁,    4 360 220,    2 325 550,    2 034 670,    9 427,    3 590,    5 837,    47,    32,    15,    141,    66,    75
  15—19岁,    4 369 835,    2 329 238,    2 040 597,,,    15,    189 079,    95 921,    93 158,    117,    69,    48,-,-,-,    2,    1,    1
    15,    189 198,    95 991,    93 207,,,    16,    691 387,    355 944,    335 443,    328,    183,    145,    1,    1,-,    7,    1,    6
    16,    691 723,    356 129,    335 594,,,    17,    1 137 999,    603 995,    534 004,    748,    402,    346,    3,    3,-,    21,    8,    13
    17,    1 138 771,    604 408,    534 363,,,    18,    1 196 026,    647 442,    548 584,    1 989,    836,    1 153,    16,    10,    6,    29,    15,    14
    18,    1 198 060,    648 303,    549 757,,,    19,    1 145 729,    622 248,    523 481,    6 245,    2 100,    4 145,    27,    18,    9,    82,    41,    41
    19,    1 152 083,    624 407,    527 676,,,  20-24岁,    3 635 149,    2 090 939,    1 544 210,    1 061 279,    367 630,    693 649,    844,    279,    565,    5 214,    1 638,    3 576
  20—24岁,    4 702 486,    2 460 486,    2 242 000,,,    20,    1 026 838,    556 999,    469 839,    27 969,    7 111,    20 858,    32,    18,    14,    164,    66,    98
    20,    1 055 003,    564 194,    490 809,,,    21,    991 084,    543 809,    447 275,    85 800,    20 248,    65 552,    77,    27,    50,    370,    116,    254
    21,    1 077 331,    564 200,    513 131,,,    22,    735 245,    419 924,    315 321,    165 622,    50 614,    115 008,    130,    42,    88,    708,    183,    525
    22,    901 705,    470 763,    430 942,,,    23,    462 628,    288 002,    174 626,    275 620,    95 260,    180 360,    180,    61,    119,    1 343,    382,    961
    23,    739 771,    383 705,    356 066,,,    24,    419 354,    282 205,    137 149,    506 268,    194 397,    311 871,    425,    131,    294,    2 629,    891,    1 738
    24,    928 676,    477 624,    451 052,,,  25—29岁,    1 186 532,    868 296,    318 236,    6 073 049,    2 772 220,    3 300 829,    8 421,    2 672,    5 749,    58 732,    23 112,    35 620
  25—29岁,    7 326 734,    3 666 300,    3 660 434,,,    25,    353 035,    250 264,    102 771,    807 596,    342 573,    465 023,    869,    288,    581,    5 332,    1 928,    3 404
    25,    1 166 832,    595 053,    571 779,,,    26,    328 659,    239 884,    88 775,    1 305 127,    569 418,    735 709,    1 516,    467,    1 049,    10 644,    3 996,    6 648
    26,    1 645 946,    813 765,    832 181,,,    27,    268 213,    198 736,    69 477,    1 701 922,    782 694,    919 228,    2 357,    748,    1 609,    16 344,    6 319,    10 025
    27,    1 988 836,    988 497,    1 000 339,,,    28,    135 089,    101 781,    33 308,    1 113 014,    529 154,    583 860,    1 781,    563,    1 218,    12 018,    4 826,    7 192
    28,    1 261 902,    636 324,    625 578,,,    29,    101 536,    77 631,    23 905,    1 145 390,    548 381,    597 009,    1 898,    606,    1 292,    14 394,    6 043,    8 351
    29,    1 263 218,    632 661,    630 557,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,表7-6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续20),,,,,,,,,,,,
    婚姻状况(第二口径)(续07)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,    男,    女,    小计,    男,    女
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,,,,,
  30—34岁,    6 501 714,    3 389 025,    3 112 689,,,  30—34岁,    243 292,    181 709,    61 583,    6 162 505,    3 164 865,    2 997 640,    13 791,    4 336,    9 455,    82 126,    38 115,    44 011
    30,    1492 632,    766 764,    725 868,,,    30,    82 989,    64 064,    18 925,    1 389 271,    694 006,    695 265,    2 551,    781,    1 770,    17 821,    7 913,    9 908
    31,    1 307 201,    680 112,    627 089,,,    31,    55 472,    42 013,    13 459,    1 232 457,    629 549,    602 908,    2 572,    803,    1 769,    16 700,    7 747,    8 953
    32,    1 520 958,    787 695,    733 263,,,    32,    50 224,    37 240,    12 984,    1 448 046,    740 417,    707 629,    3 213,    1 004,    2 209,    19 475,    9 034,    10 441
    33,    1 222 599,    638 747,    583 852,,,    33,    32 674,    23 088,    9 586,    1 171 181,    607 254,    563 927,    2 932,    941,    1 991,    15 812,    7 464,    8 348
    34,    958 324,    515 707,    442 617,,,    34,    21 933,    15 304,    6 629,    921 550,    493 639,    427 911,    2 523,    807,    1 716,    12 318,    5 957,    6 361
  35—39岁,    2 011 519,    1 160 486,    851 033,,,  35—39岁,    32 326,    20 913,    11 413,    1 948 045,    1 125 382,    822 663,    7 506,    2 548,    4 958,    23 642,    11 643,    11 999
    35,    744 540,    415 851,    328 689,,,    35,    13 323,    8 754,    4 569,    719 935,    402 016,    317 919,    2 324,    764,    1 560,    8 958,    4 317,    4 641
    36,    506 582,    290 184,    216 398,,,    36,    8 436,    5 432,    3 004,    490 328,    281 144,    209 184,    1 802,    617,    1 185,    6 016,    2 991,    3 025
    37,    326 772,    192 239,    134 533,,,    37,    4 834,    3 046,    1 788,    316 830,    186 886,    129 944,    1 334,    460,    874,    3 774,    1 847,    1 927
    38,    240 495,    144 818,    95 677,,,    38,    3 393,    2 211,    1 182,    233 361,    140 875,    92 486,    1 071,    365,    706,    2 670,    1 367,    1 303
    39,    193 130,    117 394,    75 736,,,    39,    2 340,    1 470,    870,    187 591,    114 461,    73 130,    975,    342,    633,    2 224,    1 121,    1 103
  40-44岁,    1 013 228,    588 386,    424 842,,,  40—44岁,    13 446,    8 429,    5 017,    978 669,    571 140,    407 529,    8 010,    2 259,    5 751,    13 103,    6 558,    6 545
    40,    216 256,    129 735,    86 521,,,    40,    2 602,    1 577,    1 025,    209 765,    126 456,    83 309,    1 303,    399,    904,    2 586,    1 303,    1 283
    41,    210 606,    120 810,    89 796,,,    41,    2 943,    1 760,    1 183,    203 354,    117 294,    86 060,    1 570,    420,    1 150,    2 739,    1 336,    1 403
,,,,,,    42,    3 012,    1 852,    1 160,    203 045,    116 677,    86 368,    1 581,    434,    1 147,    2 714,    1 347,    1 367
    42,    210 352,    120 310,    90 042,,,    43,    2 733,    1 778,    955,    192 468,    111 738,    80 730,    1 748,    488,    1 260,    2 625,    1 289,    1 336
    43,    199 574,    115 293,    84 281,,,    44,    2 156,    1 462,    694,    170 037,    98 975,    71 062,    1 808,    518,    1 290,    2 439,    1 283,    1 156
    44,    176 440,    102 238,    74 202,,,  45—49岁,    8 416,    6 311,    2 105,    842 933,    506 272,    336 661,    13 522,    4 021,    9 501,    11 344,    6 589,    4 755
  45-49岁,    876 215,    523 193,    353 022,,,    45,    1 969,    1 388,    581,    168 767,    97 741,    71 026,    2 178,    623,    1 555,    2 483,    1 374,    1 109
    45,    175 397,    101 126,    74 271,,,    46,    1 841,    1 356,    485,    174 171,    103 063,    71 108,    2 473,    669,    1 804,    2 387,    1 344,    1 043
    46,    180 872,    106 432,    74 440,,,    47,    1 659,    1 239,    420,    177 880,    106 573,    71 307,    2 789,    849,    1 940,    2 335,    1 335,    1 000
    47,    184 663,    109 996,    74 667,,,    48,    1 521,    1 178,    343,    169 097,    103 408,    65 689,    3 080,    944,    2136,    2 157,    1 308,    849
    48,    175 855,    106 838,    69 017,,,    49,    1 426,    1 150,    276,    153 018,    95 487,    57 531,    3 002,    936,    2 066,    1 982,    1 228,    754
    49,    159 428,    98 801,    60 627,,,  50—54岁,    5 694,    4 680,    1 014,    572 156,    383 885,    188 271,    16 292,    5 966,    10 326,    7 724,    5 119,    2 605
  50—54岁,    601 866,    399 650,    202 216,,,    50,    1 337,    1 107,    230,    134 935,    85 695,    49 240,    3 306,    1 053,    2 253,    1 843,    1159,    684
    50,    141 421,    89 014,    52 407,,,    51,    1 241,    1 023,    218,    118 375,    76 805,    41 570,    3 032,    1 032,    2 000,    1 569,    1 053,    516
    51,    124 217,    79 913,    44 304,,,    52,    1 096,    885,    211,    113 188,    76 338,    36 850,    3 282,    1 228,    2 054,    1 534,    1 028,    506
    52,    119 100,    79 479,    39 621,,,    53,    1 082,    890,    192,    105 256,    73 426,    31 830,    3 258,    1 286,    1 972,    1 387,    916,    471
    53,    110 983,    76 518,    34 465,,,    54,    938,    775,    163,    100 402,    71 621,    28 781,    3 414,    1 367,    2 047,    1 391,    963,    428
    54,    106 145,    74 726,    31 419,,,  55—59岁,    3 701,    2 994,    707,    438 577,    332178,    106 399,    19 749,    8 529,    1 1 220,    5 839,    3 972,    1 867
  55—59岁,    467 866,    347 673,    120 193,,,    55,    842,    675,    167,    95 399,    70 133,    25 266,    3 482,    1 445,    2 037,    1 276,    850,    426
    55,    100 999,    73 103,    27 896,,,    56,    835,    690,    145,    92 941,    69 782,    23 159,    3 770,    1 588,    2 182,    1 232,    844,    388
    56,    98 778,    72 904,    25 874,,,    57,    723,    597,    126,    90 533,    68 712,    21 821,    3 951,    1 682,    2 269,    1 161,    801,    360
    57,    96 368,    71 792,    24 576,,,    58,    668,    534,    134,    82 127,    63 257,    18 870,    4 067,    1 842,    2 225,    1 071,    742,    329
    58,    87 933,    66 375,    21 558,,,    59,    633,    498,    135,    77 577,    60 294,    17 283,    4 479,    1 972,    2 507,    1 099,    735,    364
    59,    83 788,    63 499,    20 289,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    婚姻状况(第二口径)(续08)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,    女,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  60岁及以上,    626 363,    472 924,    153 439,,,  60岁及以上,    6 987,    4 053,    2 934,    516 105,    412 910,    103 195,    93 437,    49 827,    43 610,    9 834,    6 134,    3 700
