,,,,,,,,,,,,,,,,,,
表7-11全国镇各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7—11全国镇各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
  38,    1 231 090,    716 549,    514 541,    12 023,    10 733,    1 290,    1 200 908,    698 054,    502 854,    8 292,    2 387,    5 905,,,  39,    8 466,    4 738,    3 728
  39,    1 076 421,    635 234,    441187,    10 178,    9 180,    998,    1 049 293,    618 830,    430 463,    8 484,    2 486,    5 998,,,40-44岁,    37 390,    22 982,    14 408
40—44岁,    4 710 977,    2 913 899,    1 797 078,    43 997,    40 017,    3 980,    4 574 549,    2 833 981,    1 740 568,    55 041,    16 919,    38 122,,,  40,    9 343,    5 499,    3 844
  40,    1 155 577,    699 521,    456 056,    11 090,    9 995,    1 095,    1 124 528,    680 876,    443 652,    10 616,    3 151,    7 465,,,  41,    7 845,    4 764,    3 081
  41,    963 941,    585 001,    378 940,    9 014,    8 150,    864,    936 879,    568 988,    367 891,    10 203,    3 099,    7 104,,,  42,    7 154,    4 360,    2 794
  42,    904 373,    557 984,    346 389,    8 311,    7 552,    759,    878 178,    542 768,    335 410,    10 730,    3 304,    7 426,,,  43,    6 936,    4 391,    2 545
  43,    885 143,    559 015,    326 128,    8 031,    7 332,    699,    858 612,    543 691,    314 921,    11 564,    3 601,    7 963,,,  44,    6 112,    3 968,    2 144
  44,    801 943,    512 378,    289 565,    7 551,    6 988,    563,    776 352,    497 658,    278 694,    11 928,    3 764,    8 164,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-11全国镇各职业大类人口分年龄、性别的婚姻状况(第二口径)(续01),,,,,,,,,,,,,,,表7-11全国镇各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续17)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  45—49岁,    26 400,    18 242,    8 158
  45—49岁,    3 380 189,    2 219 589,    1 160 600,    32 826,    30 982,    1 844,    3 249 501,    2 146 006,    1 103 495,    71 462,    24 359,    47 103,,,    45,    5 945,    3 923,    2 022
    45,    744 674,    481 730,    262 944,    7 219,    6 741,    478,    718 841,    466 982,    251 859,    12 669,    4 084,    8 585,,,    46,    5 487,    3 708,    1 779
    46,    689 943,    449 126,    240 817,    6 747,    6 326,    421,    664 489,    434 621,    229 868,    13 220,    4 471,    8 749,,,    47,    5 124,    3 539,    1 585
    47,    657 939,    428 532,    229 407,    6 345,    6 025,    320,    632 568,    414 237,    218 331,    13 902,    4 731,    9 171,,,    48,    5 088,    3 611,    1 477
    48,    647 709,    426 030,    221 679,    6 403,    6 068,    335,    620 958,    411 087,    209 871,    1 5 260,    5 264,    9 996,,,    49,    4 756,    3 461,    1 295
    49,    639 924,    434 171,    205 753,    6 112,    5 822,    290,    612 645,    419 079,    193 566,    16 411,    5 809,    10 602,,,  50—54岁,    19 604,    15 798,    3 806
  50—54岁,    2 523 064,    1 883 484,    639 580,    28 450,    27 290,    1 160,    2 387 801,    1 801 933,    585 868,    87 209,    38 463,    48 746,,,    50,    4 356,    3 311,    1 045
    50,    581 545,    413 385,    168 160,    6 105,    5 828,    277,    554 522,    397 861,    1 56 661,    16 562,    6 385,    10 177,,,    51,    3 995,    3 137,    858
    51,    524 861,    385 298,    139 563,    5 707,    5 477,    230,    498 614,    369 737,    128 877,    16 545,    6 947,    9 598,,,    52,    4 045,    3 343,    702
    52,    511 592,    386 207,    125 385,    5 978,    5 746,    232,    484 054,    369 199,    114 855,    17 515,    7 919,    9 596,,,    53,    3 651,    3 015,    636
    53,    470 455,    360 999,    109 456,    5 486,    5 248,    238,    443 376,    344 430,    98 946,    17 942,    8 306,    9 636,,,    54,    3 557,    2 992,    565
    54,    434 611,    337 595,    97 016,    5 174,    4 991,    183,    407 235,    320 706,    86 529,    18 645,    8 906,    9 739,,,  55—59岁,    1 3 621,    12 106,    1 515
  55—59岁,    1 518 699,    1 259 560,    259139,    19 838,    19 198,    640,    1 400 261,    1 180 722,    219 539,    84 979,    47 534,    37 445,,,    55,    3 260,    2 828,    432
    55,    376 000,    301 800,    74 200,    4 798,    4 668,    130,    350 313,    285 243,    65 070,    17 629,    9 061,    8 568,,,    56,    3 035,    2 703,    332
    56,    350 477,    290 455,    60 022,    4 539,    4 403,    136,    324 852,    273 379,    51 473,    18 051,    9 970,    8 081,,,    57,    2 737,    2 431,    306
    57,    310 610,    260 283,    50 327,    3 978,    3 857,    121,    286 519,    244 157,    42 362,    17 376,    9 838,    7 538,,,    58,    2 363,    2 115,    248
    58,    257 472,    217 219,    40 253,    3 466,    3 347,    119,    235 582,    202 424,    33 158,    16 061,    9 333,    6 728,,,    59,    2 226,    2 029,    197
    59,    224 140,    189 803,    34 337,    3 057,    2 923,    134,    202 995,    175 519,    27 476,    15 862,    9 332,    6 530,,,  60-64岁,    6 881,    6 177,    704
  60—64岁,    557 754,    448 867,    108 887,    9 576,    8 946,    630,    477 215,    396 651,    80 564,    64 082,    37 093,    26 989,,,    60,    1 850,    1 645,    205
    60,    169 423,    139 313,    30 110,    2 619,    2 502,    117,    149 896,    126 527,    23 369,    15 058,    8 639,    6 419,,,    61,    1 508,    1 345,    163
    61,    120 329,    95 975,    24 354,    1 989,    1 865,    124,    104 074,    85 578,    18 496,    12 758,    7 187,    5 571,,,    62,    1 471,    1 326,    145
    62,    107 643,    85 544,    22 099,    1 975,    1 826,    149,    90 968,    74 759,    16 209,    13 229,    7 633,    5 596,,,    63,    1 050,    958,    92
    63,    85 989,    68 407,    17 582,    1 606,    1 472,    134,    71 478,    59 124,    12 354,    11 855,    6 853,    5 002,,,    64,    1 002,    903,    99
    64,    74 370,    59 628,    14 742,    1 387,    1 281,    106,    60 799,    50 663,    10 136,    11 182,    6 781,    4 401,,,  65岁及以上,    4 948,    4 465,    483
  65岁及以上,    380 664,    308 416,    72 248,    8 656,    6 967,    1 689,    280 979,    242 652,    38 327,    86 081,    54 332,    31 749,,,各类专业、技术人员,    44 840,    18 809,    26 031
各类专业、技术人员,    7 746 485,    4 036 126,    3 710 359,    1 168 274,    639 945,    528 329,    6 476 866,    3 355 588,    3 121 278,    56 505,    21 784,    34 721,,,  15-19岁,    34,    11,    23
  15-19岁,    176 776,    60 453,    116 323,    171 257,    58 854,    112 403,    5 479,    1 585,    3 894,    6,    3,    3,,,    15,      -,     -,    -
    15,    2 276,    924,    1 352,    2 225,    893,    1 332,    51,    31,    20,-,-,-,,,    16,    3,      -,    3
    16,    8 247,    2 950,    5 297,    8 160,    2 896,    5 264,    84,    54,    30,-,-,-,,,    17,    6,    2,    4
    17,    22 763,    7 793,    14 970,    22 492,    7 685,    14 807,    265,    106,    159,-,-,-,,,    18,    10,    5,    5
    18,    49 395,    16 370,    33 025,    48 362,    16 046,    32 316,    1 021,    318,    703,    2,    1,    1,,,    19,    15,    4,    11
    19,    94 095,    32 416,    61 679,    90 018,    31 334,    58 684,    4 058,    1 076,    2 982,    4,    2,    2,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-11全国镇各职业大类人口分年龄、性别的婚姻状况(第二口径)(续02),,,,,,,,,,,,,,,表7-11全国镇各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续18)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,  20—24岁,    1 840,    574,    1 266
  20—24岁,    1 240 233,    580 565,    659 668,    749 590,    403 643,    345 947,    488 452,    176 229,    312 223,    351,    119,    232,,,    20,    78,    21,    57
    20,    151 354,    56 312,    95 042,    135 114,    52 783,    82 331,    16 142,    3 500,    12 642,    20,    8,    12,,,    21,    148,    41,    107
    21,    215 275,    89 070,    126 205,    171 415,    78 823,    92 592,    43 678,    10 197,    33 481,    34,    9,    25,,,    22,    301,    78,    223
    22,    241 113,    111684,    129 429,    162 958,    87 942,    75 016,    77 801,    23 647,    54 154,    53,    17,    36,,,    23,    451,    142,    309
    23,    275 041,    138 318,    136 723,    144 027,    90 521,    53 506,    1 30 465,    47 626,    82 839,    98,    29,    69,,,    24,    862,    292,    570
    24,    357 450,    185 181,    172 269,    136 076,    93 574,    42 502,    220 366,    91 259,    129 107,    146,    56,    90,,,  25—29岁,    9 691,    3 769,    5 922
  25—29岁,    1 782 822,    911 506,    871 316,    217 674,    159 057,    58 617,    1 553 552,    748 147,    805 405,    1 905,    533,    1 372,,,    25,    1 447,    574,    873
    25,    403 358,    210 801,    192 557,    96 890,    70 678,    26 212,    304 752,    139 469,    165 283,    269,    80,    189,,,    26,    2 251,    852,    1 399
    26,    452 342,    232 367,    219 975,    62 115,    45 875,    16 240,    387 551,    185 510,    202 041,    425,    130,    295,,,    27,    2 641,    1 046,    1 595
    27,    471 012,    242 400,    228 612,    38 331,    28 258,    10 073,    429 530,    212 951,    216 579,    510,    145,    365,,,    28,    1 800,    731,    1 069
    28,    263 158,    133 736,    129 422,    13 993,    9 996,    3 997,    247 002,    122 91 1,    124 091,    363,    98,    265,,,    29,    1 552,    566,    986
    29,    192 952,    92 202,    100 750,    6 345,    4 250,    2 095,    184 717,    87 306,    97 411,    338,    80,    258,,,  30—34岁,    9 866,    3 537,    6 329
  30—34岁,    1 195 640,    567 366,    628 274,    14 121,    8 431,    5 690,    1 168 931,    554 831,    614 100,    2 722,    567,    2 155,,,    30,    1 860,    669,    1 191
    30,    223 642,    106 924,    116 718,    4 703,    2 958,    1 745,    216 672,    103 203,    113 469,    407,    94,    313,,,    31,    1 806,    681,    1 125
    31,    21 1 057,    101 311,    109 746,    3 191,    1 979,    1 212,    205 652,    98 560,    107 092,    408,    91,    317,,,    32,    2 183,    817,    1 366
    32,    271 459,    129 103,    142 356,    2 795,    1 636,    1 159,    265 858,    126 524,    139 334,    623,    126,    497,,,    33,    2 112,    706,    1 406
    33,    252 249,    119 231,    133 018,    1 905,    1 047,    858,    247 623,    117 359,    130 264,    609,    119,    490,,,    34,    1 905,    664,    1 241
    34,    237 233,    110 797,    126 436,    1 527,    811,    716,    233 126,    109 185,    123 941,    675,    137,    538,,,  35—39岁,    7 784,    2 619,    5 165
  35—39岁,    1 012 080,    465 109,    546 971,    4 601,    2 395,    2 206,    995 302,    459 310,    535 992,    4 393,    785,    3 608,,,    35,    2 010,    679,    1 331
    35,    247 378,    113 993,    133 385,    1 348,    700,    648,    243 218,    112 467,    130 751,    802,    147,    655,,,    36,    1 737,    589,    1 148
    36,    224 262,    101 469,    122 793,    1 046,    561,    485,    220 684,    100 182,    120 502,    795,    137,    658,,,    37,    1 530,    509,    1 021
    37,    195 004,    88 703,    106 301,    842,    422,    420,    191 696,    87 596,    104 100,    936,    176,    760,,,    38,    1 302,    424,    878
    38,    184 738,    84 845,    99 893,    726,    361,    365,    181 763,    83 905,    97 858,    947,    155,    792,,,    39,    1 205,    418,    787
    39,    160 698,    76 099,    84 599,    639,    351,    288,    1 57 941,    75 160,    82 781,    913,    170,    743,,,  40-44岁,    5 495,    2 071,    3 424
  40—44岁,    768 532,    395 225,    373 307,    2 846,    1 658,    1 188,    753 728,    390 273,    363 455,    6 463,    1 223,    5 240,,,    40,    1 260,    454,    806
    40,    175 982,    87 183,    88 799,    646,    354,    292,    172 934,    86 170,    86 764,    1 142,    205,    937,,,    41,    1 160,    422,    738
    41,    153 283,    77 318,    75 965,    581,    327,    254,    150 371,    76 360,    74 011,    1 171,    209,    962,,,    42,    1 118,    397,    721
    42,    150 155,    77 536,    72 619,    564,    334,    230,    147 176,    76 543,    70 633,    1 297,    262,    1 035,,,    43,    1 001,    400,    601
    43,    149 763,    78 727,    71 036,    547,    330,    217,    146 816,    77 732,    69 084,    1 399,    265,    1 134,,,    44,    956,    398,    558
    44,    139 349,    74 461,    64 888,    508,    313,    195,    136 431,    73 468,    62 963,    1 454,    282,    1 172,,,  45—49岁,      4 310,    1 974,    2 336
  45—49岁,    664 545,    365 373,    299 172,    2 030,    1 447,    583,    647 365,    359 434,    287 931,    10 840,    2 518,    8 322,,,    45,    884,    375,    509
    45,    131 627,    70 520,    61 107,    432,    275,    157,    128 625,    69 522,    59 103,    1 686,    348,    1 338,,,    46,    905,    411,    494
    46,    130 029,    69 706,    60 323,    413,    288,    125,    126 785,    68 550,    58 235,    1 926,    457,    1 469,,,    47,    885,    398,    487
    47,    134 436,    72 233,    62 203,    406,    292,    114,    130 928,    71 040,    59 888,    2 217,    503,    1 714,,,    48,    810,    385,    425
    48,    133 999,    74 097,    59 902,    410,    302,    108,    130 376,    72 850,    57 526,    2 403,    560,    1 843,,,    49,    826,    405,    421
    49,    134 454,    78 817,    55 637,    369,    290,    79,    130 651,    77 472,    53 179,    2 608,    650,    1 958,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-11全国镇各职业大类人口分年龄、性别的婚姻状况(第二口径)(续03),,,,,,,,,,,,,,,表7-11全国镇各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续19)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  50—54岁,    3 195,    2 002,    1 193
  50-54岁,    553 563,    376 639,    176 924,    1 894,    1 503,    391,    534 683,    368 455,    166 228,    13 791,    4 679,    9 112,,,    50,    710,    393,    317
    50,    126 475,    78 278,    48 197,    381,    291,    90,    122 621,    76 818,    45 803,    2 763,    776,    1 987,,,    51,    653,    385,    268
    51,    118 354,    77 349,    41 005,    376,    302,    74,    114 526,    75 787,    38 739,    2 799,    875,    1 924,,,    52,    659,    431,    228
    52,    113 925,    78 980,    34 945,    403,    331,    72,    110 084,    77 251,    32 833,    2 779,    967,    1 812,,,    53,    605,    408,    197
    53,    103 156,    73 958,    29 198,    373,    290,    83,    99 394,    72 249,    27 145,    2 784,    1 011,    1 773,,,    54,    568,    385,    183
    54,    91 653,    68 074,    23 579,    361,    289,    72,    88 058,    66 350,    21 708,    2 666,    1 050,    1 616,,,  55—59岁,    1 654,    1 392,    262
  55-59岁,    260 548,    229 589,    30 959,    1 442,    1 241,    201,    249 404,    221 741,    27 663,    8 048,    5 215,    2 833,,,    55,    458,    351,    107
    55,    71 815,    58 452,    13 363,    313,    276,    37,    69 004,    56 805,    12 199,    2 040,    1 020,    1 020,,,    56,    369,    322,    47
    56,    62 021,    54 263,    7 758,    322,    285,    37,    59 513,    52 547,    6 966,    1 817,    1 109,    708,,,    57,    307,    255,    52
    57,    51 315,    46 580,    4 735,    279,    244,    35,    49 194,    45 016,    4 178,    1 535,    1 065,    470,,,    58,    263,    229,    34
    58,    41 063,    38 108,    2 955,    280,    232,    48,    39 138,    36 616,    2 522,    1 382,    1 031,    351,,,    59,    257,    235,    22
    59,    34 334,    32 186,    2 148,    248,    204,    44,    32 555,    30 757,    1 798,    1 274,    990,    284,,,  60-64岁,    590,    528,    62
  60—64岁,    63 177,    58 561,    4 616,    882,    667,    215,    58 041,    54 608,    3 433,    3 664,    2 758,    906,,,    60,    182,    161,    21
    60,    22 836,    21 275,    1 561,    214,    180,    34,    21 411,    20 170,    1 241,    1 029,    764,    265,,,    61,    134,    119,    15
    61,    13 853,    12 796,    1 057,    174,    129,    45,    12 758,    11 951,    807,    787,    597,    190,,,    62,    133,    121,    12
    62,    11 389,    10 580,    809,    163,    123,    40,    10 437,    9 847,    590,    656,    489,    167,,,    63,    69,    64,    5
    63,    8 485,    7 806,    679,    183,    128,    55,    7 601,    7 140,    461,    632,    474,    158,,,    64,    72,    63,    9
    64,    6 614,    6 104,    510,    148,    107,    41,    5 834,    5 500,    334,    560,    434,    126,,,  65岁及以上,    381,    332,    49
  65岁及以上,    28 569,    25 740,    2 829,    1 937,    1 049,    888,    21 929,    20 975,    954,    4 322,    3 384,    938,,,国家机关党群组织、企事业单位负责人,    6 685,    4 917,    1 768
国家机关党群组织、企事业单位负责人,    2 470 222,  2 236 444,    233 778,    31 829,    26 459,    5 370,    2 414 767,    2 193 859,    220 908,    16 941,    11 209,    5 732,,,  15-19岁,-,-,-
  15—19岁,    1 654,    1 136,    518,    1 494,    1 003,    491,    160,    133,    27,-,-,-,,,    15,-,-,-
    15,    22,    13,    9,    13,    5,    8,    9,    8,    1,-,-,-,,,    16,-,-,-
    16,    75,    55,    20,    56,    38,    18,    19,    17,    2,-,-,-,,,    17,-,-,-
    17,    195,    134,    61,    170,    111,    59,    25,    23,    2,-,-,-,,,    18,-,-,-
    18,    432,    294,    138,    400,    270,    130,    32,    24,    8,-,-,-,,,    19,-,-,-
    19,    930,    640,    290,    855,    579,    276,    75,    61,    14,-,-,-,,,  20-24岁,    48,    28,    20
  20—24岁,    30 265,    24 129,    6 136,    15 340,    12 420,    2 920,    14 870,    11 677,    3 193,    7,    4,    3,,,    20,    1,     -,    1
    20,    1 948,    1 372,    576,    1 635,    1 160,    475,    312,    212,    100,-,-,-,,,    21,    2,    1,    1
    21,    3 444,    2 513,    931,    2 554,    1 902,    652,    887,    609,    278,    1,    1,-,,,    22,    4,     2,    2
    22,    5 016,    3 817,    1 199,    3 156,    2 453,    703,    1 855,    1 361,    494,    1,    1,-,,,    23,    13,    9,    4
    23,    7 277,    5 901,    1 376,    3 566,    3 018,    548,    3 697,    2 873,    824,    1,    1,-,,,    24,    28,    16,    12
    24,    12 580,    10 526,    2 054,    4 429,    3 887,    542,    8 119,    6 622,    1 497,    4,    1,    3,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-11全国镇各职业大类人口分年龄、性别的婚姻状况(第二口径)(续04),,,,,,,,,,,,,,,表7-11全国镇各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续20)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  25—29岁,    549,    403,    146
  25—29岁,    147 510,    130 651,    16 859,    1 1 777,    10 600,    1 177,    135 073,    119 571,    15 502,    111,    77,    34,,,    25,    64,    45,    19
    25,    20 059,    17 152,    2 907,    4 225,    3 769,    456,    15 759,    13 330,    2 429,    11,    8,    3,,,    26,    98,    70,    28
    26,    30 561,    26 740,    3 821,    3 470,    3 126,    344,    26 972,    23 529,    3 443,    21,    15,    6,,,    27,    153,    112,    41
    27,    41 879,    37 349,    4 530,    2 521,    2 305,    216,    39 180,    34 915,    4 265,    25,    17,    8,,,    28,    132,    102,    30
    28,    29 244,    26 277,    2 967,    1 068,    973,    95,    28 015,    25 182,    2 833,    29,    20,    9,,,    29,    102,    74,    28
    29,    25 767,    23 133,    2 634,    493,    427,    66,    25 147,    22 615,    2 532,    25,    17,    8,,,  30—34岁,    1 105,    814,    291
  30—34岁,    269 404,    241 847,    27 557,    1 292,    1 019,    273,    266 726,    239 832,    26 894,    281,    182,    99,,,    30,    159,    110,    49
    30,    35 634,    32 116,    3 518,    401,    335,    66,    35 033,    31 642,    3 391,    41,    29,    12,,,    31,    194,    153,    41
    31,    40 193,    36 404,    3 789,    290,    234,    56,    39 676,    35 994,    3 682,    33,    23,    10,,,    32,    235,    186,    49
    32,    59 588,    53 771,    5 817,    242,    196,    46,    59 056,    53 354,    5 702,    55,    35,    20,,,    33,      251,    181,    70
    33,    64 563,    57 883,    6 680,    207,    152,    55,    64 029,    57 505,    6 524,    76,    45,    31,,,    34,    266,    184,    82
    34,    69 426,    61 673,    7 753,    152,    102,    50,    68 932,    61 337,    7 595,    76,    50,    26,,,  35—39岁,    1 374,    967,    407
  35—39岁,    427 747,    378 122,    49 625,    619,    452,    167,    425 035,    376 293,    48 742,    719,    410,    309,,,    35,    291,    209,    82
    35,    84 072,    74 355,    9 717,    166,    130,    36,    83 515,    73 960,    9 555,    100,    56,    44,,,    36,    286,    205,    81
    36,    86 395,    76 069,    10 326,    131,    101,    30,    85 856,    75 686,    10 170,    122,    77,    45,,,    37,    280,    196,    84
    37,    85 299,    75 334,    9 965,    122,    91,    31,    84 736,    74 953,    9 783,    161,    94,    67,,,    38,    261,    182,    79
    38,    88 028,    77 899,    10 129,    113,    76,    37,    87 495,    77 545,    9 950,    159,    96,    63,,,    39,    256,    175,    81
    39,    83 953,    74 465,    9 488,    87,    54,    33,    83 433,    74 149,    9 284,    177,    87,    90,,,  40-44岁,    1 213,    807,    406
  40—44岁,    469 537,    419 582,    49 955,    442,    300,    142,    466 489,    417 719,    48 770,    1 393,    756,    637,,,    40,    255,    165,    90
    40,    99 558,    88 698,    10 860,    120,    90,    30,    98 965,    88 318,    10 647,    218,    125,    93,,,    41,    240,    165,    75
    41,    89 627,    79 796,    9 831,    71,    48,    23,    89 083,    79 454,    9 629,    233,    129,    104,,,    42,    242,    155,    87
