表7—10  全国市各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,表7—10全国市各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    年龄别,,,,,,,,,,,,,,,    职业和,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    年龄别,,,
总计,  120 600 175,    67 711 003,    52 889 172,    25 817 721,  15 632 631,    10 185 090,    92 212 878,    50 757 576,    41 455 302,    1 596 398,    764 369,    832 029,,,,    小计,    男,    女
15—19岁,    8 652 576,    4 396 329,    4 256 247,    8 455 209,    4 334 333,    4 120 876,    196 056,    61 464,    134 592,    302,    1 53,    149,,,总计,    973 178,    556 427,    416 751
  15,    485 364,    222 104,    263 260,    484 102,    221 569,    262 533,    1 230,    516,    714,    13,    10,    3,,,15-19岁,    1 009,    379,    630
  16,    963 229,    470 308,    492 921,    959 118,    468 936,    490 182,    4 054,    1 346,        2 708,    19,    9,    10,,,  15,    19,    9,    10
  17,    1 686 962,    850 913,    836 049,    1 672 251,    846 599,    825 652,    14 579,    4 260,    10 319,    38,    23,    15,,,  16,    38,    17,    21
  18,    2 361 734,    1 216 245,    1 145 489,    2 316 525,    1 202 468,    1 114 057,    44 899,    13 654,    31 245,    80,    42,    38,,,  17,    94,    31,    63
  19,    3 155 287,    1 636 759,    1 518 528,    3 023 213,    1 594 761,    1 428 452,    131 294,    41 688,    89 606,    152,    69,    83,,,  18,    230,        81,    149
20—24岁,    19 248 081,    10 246 098,    9 001 983,    12 553 746,    7 519 579,    5 034 167,    6 656 798,    2 711 111,    3 945 687,    7 057,    2 964,    4 093,,,  19,    628,    241,    387
  20,    3 623 647,    1887 679,    1 735 968,    3 259 290,    1 777 962,    1 481 328,    362 606,    109 024,    253 582,    377,    154,    223,,,20—24岁,    30 480,    12 444,    18 036
  21,    4 119 702,    2 154 913,    1 964 789,    3 328 311,    1 899 090,    1 429 221,    787 600,    254 394,    533 206,    785,    317,    468,,,  20,    1 374,    539,    835
  22,    3 816 375,    2 034 054,    1 782 321,2 598 444,    1 559 060,    1 039 384,    1 211 991,    472 726,    739 265,    1 185,    495,    690,,,  21,    3 006,    1 112,    1 894
  23,    3 498 897,    1 893 186,    1 605 711,    1 787 594,    1 169 870,    617 724,    1 701 800,    719 441,    982 359,    1 781,    745,    1 036,,,  22,    4 755,    1 773,    2 982
  24,    4 189 460,    2 276 266,    1 913 194,    1 580 107,    1 1 1 3 597,    466 510,    2 592 801,    1 155 526,    1 437 275,    2 929,    1 253,    1 676,,,  23,    7 722,    3 130,    4 592
25-29岁,    21 354 803,  11 533 294,    9 821 509,    3 332 579,    2 550 407,    782 172,    17 838 995,    8 898 993,    8 940 002,    27 851,    11 064,    16 787,,,  24,    13 623,    5 890,    7 733
  25,    4 480 568,  2 446 017,    2 034 551,    1 180 089,    879 552,    300 537,    3 275 136,    1 555 281,    1 719 855,    4 260,    1 782,    2 478,,,25-29岁,    155 378,    72 830,    82 548
  26,    5 222 036,  2 816 226,    2 405 810,    938 726,    722 490,    216 236,    4 244 702,    2 076 431,    2 168 271,    5 826,    2 277,    3 549,,,  25,    21 083,    9 402,    11 681
  27,    5 613 708,  3 035 285,    2 578 423,    694 032,    540 363,    153 669,    4 869 348,    2 471 594,    2 397 754,    7 515,    3 050,    4 465,,,  26,    32 782,    15 028,    17 754
  28,    3 163 596,  1 707 750,    1 455 846,    307 163,    240 476,    66 687,    2 823 724,    1 452 054,    1 371 670,    5 232,    2 060,    3 172,,,  27,    42 813,    20 278,    22 535
  29,    2 874 895,  1 528 016,    1 346 879,    212 569,    167 526,    45 043,    2 626 085,    1 343 633,    1 282 452,    5 018,    1 895,    3 123,,,  28,    27 477,    13 160,    14 317
30-34岁,    18 984 020,    10159 475,    8 824 545,    671 619,    537 397,    134 222,    18 033 900,    9 485 831,    8 548 069,    52 661,    20 084,    32 577,,,  29,    31 223,    14 962,    16 261
  30,    3 530 556,    1 898 435,    1 632 121,    185 664,    149 097,    36 567,    3 297 070,    1 726 413,    1 570 657,    7 259,    2 748,    4 511,,,30—34岁,    225 840,    116 163,    109 677
  31,    3 361 465,    1 812 004,    1 549 461,    138 736,    111 565,    27 171,    3 173 868,    1 676 306,    1 497 562,    8 145,    3 139,    5 006,,,  30,    40 563,    20 177,    20 386
  32,    4 294 187,    2 304359,    1 989 828,    143 742,    116 029,    27 713,    4 087 734,    2 1 57 327,    1 930 407,    11 759,    4 588,    7 171,,,  31,    40 716,    20 994,    19 722
  33,    3 981 100,    2 118 177,    1 862 923,    110 484,    87 451,    23 033,    3 810 612,    2 001 228,    1 809 384,    12 304,    4 793,    7 511,,,  32,    50 952,    26 415,    24 537
  34,    3 816 712,    2 026 500,    1 790 212,    92 993,    73 255,    19 738,    3 664 616,    1 924 557,    1 740 059,    13 194,    4 816,    8 378,,,  33,    47 700,    24 705,    22 995
35—39岁,    17 514 381,    9 326 108,    8 188 273,    324 140,    258 443,    65 697,    16 893 744,    8 928 559,    7 965 185,    98 280,    34 452,    63 828,,,  34,    45 909,    23 872,    22 037
  35,    4 051 830,    2 154 371,    1 897 459,    86 667,    68 414,    18 253,    3 900 813,    2 055 257,    1 845 556,    16 661,    6 043,    10 618,,,35-39岁,    198 217,    104 654,    93 563
  36,    3 808 923,    2 019 266,    1 789 657,    74 136,    58 778,    15 358,    3 672 279,    1 930 722,    1 741 557,    18 062,    6 443,    11 619,,,  35,    47 689,    24 657,    23 032
  37,    3 435 958,    1 824 185,    1 611 773,    62 082,    49 906,    12 176,    3 315 693,    1 746 862,    1 568 831,    19 400,    6 824,    12 576,,,  36,    44 446,    23 323,    21 123
  38,    3 302 025,    1 762 655,    1 539 370,    56 058,    45 066,    10 992,    3 188 252,    1 690 828,    1 497 424,    21 788,    7 553,    14 235,,,  37,    38 783,    20 593,    18 190
  39,    2 9 15 645,    1 565 631,    1 350 014,    45 197,    36 279,    8 918,    2 816 707,    1 504 890,    1 311 817,      22 369,    7 589,    14 780,,,  38,    35 927,    19 208,    16 719
40—44岁,    12 088 728,    6 648 395,    5 440 333,    171 874,    144 093,    27 781,    11 636 212,    6 379 970,    5 256 242,    149 780,    48 958,    100 822,,,  39,    31 372,    16 873,    14 499
  40,    3 006 665,    1 643 277,    1 363 388,    45 724,    37 356,    8 368,    2 900 734,    1 578 363,    1 322 371,    27 472,    9 207,    18 265,,,40-44岁,    130 862,    75 374,    55 488
  41,    2 464 621,    1 340 526,    1 124 095,    36 792,    30 222,    6 570,    2 373 234,    1 286 048,    1 087 186,    27 169,    8 812,    18 357,,,  40,    32 735,    18 351,    14 384
  42,    2 326 915,    1 277 371,    1 049 544,    33 154,    27 764,    5 390,    2 239 114,    1 225 380,    1 013 734,    29 394,    9 659,    19 735,,,  41,    27 426,    15 444,    11 982
  43,    2 252 558,    1251 916,    1 000 642,    29 840,    25 542,    4 298,    2 166 295,    1 201 655,    964 640,    32 312,    10 544,    21 768,,,  42,    25 253,    14 568,    10 685
  44,    2 037 969,    1 135 305,    902 664,    26 364,    23 209,    3 155,    1 956 835,    1 088 524,    868 31 1,    33 433,    10 736,    22 697,,,  43,    24 111,    14 175,    9 936
,,,,,,,,,,,,,,,  44,    21 337,    12 836,    8 501
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-10全国市各职业大类人口分年龄、性别的婚姻状况(第二口径)(续01),,,,,,,,,,,,,,,表7-10全国市各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续17)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,    小计,    男,    女,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,,,  45-49岁,    88 513,    56 476,    32 037
,,,,,,,,,,,,,,,    45,    19 931,    12 197,    7 734
  45—49岁,    8 713 506,    4 994 835,    3 718 671,    108 972,    99 793,    9 179,    8 303 938,    4 769 181,    3 534 757,    212 083,    69 385,    142 698,,,    46,    18 425,    11 575,    6 850
    45,    1 876 319,    1 051 818,    824 501,    24 648,    22 021,    2 627,    1 795 655,    1 006 052,    789 603,    36 085,    11 548,    24 537,,,    47,    17 615,    11 231,    6 384
    46,    1 744 984,    987 087,    757 897,    22 690,    20 658,    2 032,    1 665 813,    942 540,    723 273,    38 056,    12 314,    25 742,,,    48,    16 899,    10 997,    5 902
    47,    1 697 727,    966 786,    730 941,    20 729,    19 052,    1 677,    1 618 733,    923 529,    695 204,    40 650,    12 974,    27 676,,,    49,    15 643,    10 476,    5 167
    48,    1 711 262,    988 790,    722 472,    21 001,    19 467,    1 534,    1 626 780,    942 940,    683 840,    46 582,    15 386,    31 196,,,  50—54岁,    63 776,    49 384,    14 392
    49,    1 683 214,    1 000 354,    682 860,    19 904,    18 595,    1 309,    1 596 957,    954 120,    642 837,    50 710,    17 163,    33 547,,,    50,    14 442,    10 434,    4 008
  50—54岁,    6 664 117,    4 584 293,    2 079 824,    88 299,    83 760,    4 539,    6 245 197,    4 335 473,    1 909 724,    266 845,    115 676,    151 169,,,    51,    12 773,    9 755,    3 018
    50,    1 488 757,    959 891,    528 866,    19 380,    18 294,    1 086,    1 405 897,    912 545,    493 352,    49 038,    18 618,    30 420,,,    52,    12 723,    10 047,    2 676
    51,    1 353 551,    912 421,    441 130,    17 815,    16 909,    906,    1 273 896,    865 475,    408421,    49 067,    20 282,    28 785,,,    53,    12 251,    9 761,    2 490
    52,    1 341 350,    935 078,    406 272,    17 958,    17 053,    905,    1 257 100,    884 439,    372 661,    53 569,    23 539,    30 030,,,    54,    11 587,    9 387,    2 200
    53,    1 272 223,    905 049,    367 174,    16 982,    16 068,    914,    1 186 995,    853 724,    333 271,    55 995,    25 496,    30 499,,,  55—59岁,    44 307,    38 470,    5 837
    54,    1 208 236,    871 854,    336 382,    16 164,    15 436,    728,    1 121 309,    819 290,    302 019,    59 176,    27 741,    31 435,,,    55,    10 535,    8 872,    1 663
  55—59岁,    4 359 402,    3 421 356,    938 046,    60 343,    58 269,    2 074,    3 968 023,    3 170 516,    797 507,    286 729,    154 101,    132 628,,,    56,    10 009,    8 637,    1 372
    55,    1 062 234,    803 619,    258 615,    14 566,    14 045,    521,    979 619,    751 883,    227 736,    57 514,    28 819,    28 695,,,    57,    9 064,    7 943,    1 121
