　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表2—1    全国各民族分性别、行业的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,        ,                  ,                      ,                  ,      ,                ,    ,,                    ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
民     族,合      计,,,一、农、林、牧、渔业,,,二、采掘业,,,三、制造业,,,四、电力、煤气及水的生产和供应业,,,五、建筑业,,,六、地质堪查业、水利管理业,,,七、交通运输、仓储及邮电通信业,,,八、批发和零售贸易、餐饮业,,,九、金融、保险业,,,十、房地产业,,,十一、社会服务业,,,十二、卫生、体育和社会福利业,,,十三、教育、文化艺术及广播电影电视业,,,十四、科学研究和综合技术服务业,,,十五、国家机关、政党机关和社会团体,,,十六、其他行业,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  合      计,66874889,36550882,30324007,43051661,22175507,20876154,697862,573387,124475,8333044,4532607,3800437,418822,292141,126681,1794657,1595308,199349,84500,63891,20609,1724636,1411870,312766,4474040,2252730,2221310,394752,210056,184696,154814,98278,56536,1438738,823340,615398,709875,316536,393339,1710824,864574,846250,149861,95588,54273,1572764,1136260,436504,164039,108809,55230
  白族                        ,106982,55126,51856,84834,41405,43429,651,517,134,4519,2868,1651,428,281,147,1880,1676,204,92,79,13,1877,1567,310,4022,1634,2388,496,319,177,82,52,30,1353,600,753,1009,407,602,2838,1623,1215,155,98,57,2539,1871,668,207,129,78
  土家族                      ,451155,239714,211441,361767,184815,176952,2452,2159,293,27529,15642,11887,1969,1337,632,5165,4707,458,253,188,65,6630,5640,990,15744,6825,8919,1471,894,577,222,148,74,4955,2475,2480,3396,1656,1740,9888,5993,3895,315,224,91,8776,6569,2207,623,442,181
  哈尼族                      ,83894,43565,40329,76005,38749,37256,601,531,70,1357,850,507,146,101,45,556,476,80,55,46,9,502,417,85,1527,492,1035,122,79,43,20,14,6,527,151,376,313,122,191,1174,757,417,28,20,8,912,728,184,49,32,17
  哈萨克族                    ,57308,35493,21815,44647,28157,16490,495,378,117,1249,675,574,339,210,129,121,97,24,168,126,42,721,601,120,1222,538,684,274,164,110,22,15,7,485,194,291,852,342,510,3888,1973,1915,48,28,20,2577,1841,736,200,154,46
  傣族                        ,69512,35632,33880,61903,31774,30129,157,125,32,1201,696,505,153,89,64,169,136,33,27,22,5,531,426,105,1877,554,1323,183,103,80,24,18,6,594,159,435,326,124,202,1141,531,610,30,15,15,1139,821,318,57,39,18
  黎族                        ,68856,36377,32479,61111,32348,28763,106,78,28,1189,567,622,206,131,75,148,97,51,41,26,15,471,349,122,1339,440,899,170,100,70,20,11,9,796,253,543,384,149,235,1441,885,556,44,24,20,1206,814,392,184,105,79
  傈僳族                      ,39713,20673,19040,37713,19380,18333,117,108,9,184,125,59,43,32,11,49,39,10,8,7,1,136,110,26,350,123,227,48,35,13,2,1,1,89,47,42,120,57,63,410,269,141,8,6,2,416,319,97,20,15,5
  佤族                        ,24193,12584,11609,22507,11573,10934,51,36,15,287,161,126,39,28,11,49,41,8,7,7,          ,125,97,28,243,81,162,23,17,6,          ,          ,          ,132,43,89,74,33,41,338,218,120,7,5,2,302,236,66,9,8,1
  畲族                        ,37691,22395,15296,27002,15522,11480,343,288,55,3782,2205,1577,149,120,29,1211,1119,92,16,13,3,733,666,67,1722,878,844,104,58,46,24,14,10,736,341,395,292,152,140,884,493,391,17,14,3,631,479,152,45,33,12
  高山族                      ,213,119,94,86,49,37,3,3,          ,34,18,16,5,3,2,8,7,1,1,1,          ,11,9,2,15,9,6,3,1,2,2,1,1,7,6,1,2,          ,2,16,5,11,1,          ,1,18,7,11,1,          ,1
  拉祜族                      ,28413,14911,13502,26841,14067,12774,37,27,10,252,146,106,27,20,7,67,50,17,11,10,1,126,98,28,268,78,190,39,21,18,2,2,          ,105,32,73,88,29,59,315,155,160,7,5,2,218,166,52,10,5,5
  水族                        ,23289,11970,11319,21115,10589,10526,106,92,14,616,384,232,26,21,5,84,70,14,4,3,1,127,94,33,316,127,189,41,12,29,6,4,2,95,48,47,83,48,35,368,253,115,9,9,          ,284,210,74,9,6,3
  东乡族                      ,28845,14646,14199,27111,13326,13785,11,8,3,154,109,45,25,16,9,71,66,5,6,4,2,125,118,7,556,419,137,34,29,5,1,1,          ,54,40,14,72,36,36,180,122,58,4,3,1,431,340,91,10,9,1
  纳西族                      ,18947,9607,9340,14633,7284,7349,40,33,7,530,311,219,133,95,38,139,106,33,36,30,6,288,215,73,868,318,550,134,70,64,8,2,6,583,264,319,208,67,141,621,330,291,44,29,15,666,444,222,16,9,7
  景颇族                      ,7666,3832,3834,6910,3457,3453,19,15,4,132,69,63,19,10,9,3,3,          ,2,2,          ,29,24,5,107,28,79,8,4,4,1,          ,1,82,16,66,40,14,26,137,63,74,2,1,1,171,125,46,4,1,3
  柯尔柯孜族                  ,8915,5108,3807,7586,4273,3313,45,37,8,48,25,23,14,10,4,7,5,2,7,5,2,59,54,5,182,86,96,17,12,5,          ,          ,          ,38,20,18,114,47,67,468,283,185,15,5,10,303,235,68,12,11,1
  土族                        ,14127,7295,6832,11746,5836,5910,89,70,19,662,381,281,45,30,15,109,93,16,19,17,2,100,78,22,243,114,129,53,28,25,4,1,3,131,56,75,112,41,71,406,260,146,12,8,4,381,270,111,15,12,3
  达斡尔族                      ,5652,3281,2371,3014,1860,1154,71,65,6,354,208,146,65,41,24,93,82,11,10,7,3,217,158,59,439,188,251,71,42,29,19,9,10,198,103,95,152,54,98,422,138,284,28,11,17,462,294,168,37,21,16
  仫佬族                      ,11446,6169,5277,8184,4331,3853,182,155,27,937,500,437,61,44,17,188,165,23,9,5,4,216,151,65,646,261,385,62,41,21,15,10,5,176,92,84,89,28,61,359,171,188,16,8,8,284,195,89,22,12,10
