　　,,,,,,,,,,,,,,,,,,,,,
表8—1   省、自治区、直辖市家庭户按住房用途、是否合住户、建筑层数、外墙墙体材料分的户数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,单位:户,,,,,,,,,
地   区   别,总家庭户数,住房用途,,本住房中有无其他合住户,,建筑层数,,,住宅外墙墙体材料,,,,,,,,,,,,
,,生活用房,兼做生产经营用房,有,无,平房,6层以下楼房,7层以上楼房,钢筋混凝土,砖、石,木、竹、草,其他,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
山西省,861053,2853236,61917048,60656,165944,3265616,30557,76060,1411362,46702,137706,2621204,118410,366616,7249469,307339,1029814,21974871,297389,1077096,25394526
内蒙古自治区,669492,1293139,37334500,7469,12450,280234,15413,25871,584349,33952,59541,1470632,103472,191145,4908685,235745,458876,12850407,273441,545256,17240193
,,,,,,,,,,,,,,,,,,,,,
辽宁省,1267124,2675346,79858287,29193,58903,1409958,40428,72477,1748156,60626,127171,3267633,175434,371575,9915339,483324,1025110,29682378,478119,1020110,33834823
吉林省,734235,1512161,44419077,8499,14816,369856,14038,23240,590888,36127,65480,1785200,108923,207908,5700790,282328,580784,16528927,284320,619933,19443416
黑龙江省,1004370,1882337,58347632,11223,17796,502500,26320,41130,1109650,62383,105063,3075554,181572,320645,9408286,363598,683651,20299011,359274,714052,23952631
,,,,,,,,,,,,,,,,,,,,,
上海市,517314,1115414,35801607,52198,73854,1531479,19421,25999,622830,11413,16484,377721,33927,61453,1709305,164789,399033,13190808,235566,538591,18369464
江苏省,2083855,5336584,204966221,26358,43810,1313332,16483,28076,787968,33454,59805,1762921,165574,334674,10882094,819492,2051295,75924541,1022494,2818924,114295365
浙江省,1405846,4113325,154280342,110772,218471,6907964,28787,60868,1925936,52449,116769,3784550,145417,338725,11335896,471406,1339999,50152074,597015,2038493,80173922
安徽省,1598760,4100336,119534030,13555,29082,780560,18046,35412,867464,39916,85362,2210471,139731,319087,8431090,592257,1502328,42553130,795255,2129065,64691315
福建省,832442,2663808,79494433,70021,157941,3752736,25165,61481,1505861,51380,136469,3508227,112505,322542,8716563,254354,829111,24045137,319017,1156264,37965909
江西省,967441,2847096,88652788,57417,125639,3362145,23393,53003,1414471,53680,128708,3599377,126884,319803,9171434,306139,879120,26540347,399928,1340823,44565014
山东省,2666070,9612547,193426496,65940,197281,3140711,44056,131477,2102118,106951,345029,5701361,362873,1256203,21756210,1047473,3852769,74599574,1038777,3829788,86126522
,,,,,,,,,,,,,,,,,,,,,
河南省,2392624,6597708,199078575,19887,46745,1191752,24957,52590,1282800,53950,122655,3205840,237770,588982,15972669,919097,2508274,72597287,1136963,3278462,104828227
湖北省,1480601,4032043,139376381,37180,88810,3001512,34370,76563,2438749,71716,175202,5847506,190619,460136,14815352,539223,1457585,49794856,607493,1773747,63478406
湖南省,1700907,5019192,165585685,70151,156745,4524096,47751,109442,3267635,93514,221744,6751493,221398,543723,16789918,567540,1598456,51832863,700553,2389082,82419680
广东省,1813484,4928365,142786968,86393,166490,4238007,35016,69689,1696774,81839,178233,4405607,204903,479713,12388370,563327,1504711,42655479,842006,2529529,77402731
广西壮族自治区,1109560,3038326,86179262,59868,133636,3654474,39770,89208,2455810,87620,202038,5538111,166605,393653,10682965,321699,853840,23724058,433998,1365951,40123844
海南省,170705,364804,11531882,6039,11594,348322,4964,8962,296520,11354,21486,681716,27402,53499,1659113,53537,112635,3492498,67409,156628,5053713
,,,,,,,,,,,,,,,,,,,,,
重庆市,856918,2183773,76669204,62065,126377,4553203,31805,64077,2163490,54716,114876,4064116,112287,249159,8726838,245584,604847,20838233,350461,1024437,36323324
四川省,2277609,6220866,221185867,118379,276312,9611529,64532,154337,5282439,125619,312523,10966054,313563,795881,28008415,758364,2039769,72161572,897152,2642044,95155858
贵州省,890975,2012472,62412191,72262,150670,4563719,56670,119541,3606965,98921,209796,6409796,159076,350484,10668058,249294,572950,17689542,254752,609031,19474111
云南省,1064719,2636161,84924203,58993,134351,4170025,31253,69171,2171446,71222,164371,5324027,145754,347950,11275186,336720,847560,27462045,420777,1072758,34521474
西藏自治区,53686,151774,3483733,1421,3857,100385,1209,3370,80169,2250,5971,139866,5643,14736,340010,15267,44295,1030650,27896,79545,1792653
,,,,,,,,,,,,,,,,,,,,,
陕西省,923822,2843714,71365640,24280,56874,1533858,30239,71300,1738186,49191,127167,3102876,127592,343724,8267066,320249,976578,23868980,372271,1268071,32854674
甘肃省,600643,2375830,39242751,13349,51251,780426,15324,52850,815444,31111,114749,1752202,83315,324006,4994636,215255,879753,14069682,242289,953221,16830361
青海省,115724,361525,8346982,2488,9621,213469,2695,8955,195626,5291,15719,351606,12374,36495,791918,34828,110032,2492899,58048,180703,4301464
宁夏回族自治区,137746,388956,9494496,501,1267,31097,779,1923,42084,3212,8006,170051,12366,35053,757884,44080,127801,2939455,76808,214906,5553925
新疆维吾尔自治区,498689,1206820,34469740,2408,5832,159199,3422,7260,189796,15316,31971,867148,51728,120207,3289922,147107,356884,10167220,278708,684666,19796455
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,
表8—3   省、自治区、直辖市家庭户住房设施状况,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位:户,
地   区   别,家庭户数,住房中有无厨房,,,主  要  炊  事  燃  料,,,,,是否饮用自来水,,住房内有无洗澡设施,,,,本住房中有无厕所,,,,,
,,本户独立使用  ,本户与其他户合用 ,    无    ,   燃气   ,    电    ,   煤炭   ,   柴草   ,   其他   ,    是    ,    否    ,统一供热水,家庭自装热水器 ,   其他   ,    无    ,独立使用抽水式 , 邻居合用抽水式 ,独立使用其他式样 ,邻居合用其他式样,    无    ,
,,,,,,,,,,,,,,,,,,,,,
合计,33188549,27380696,652501,5155352,8798050,332667,9029019,14760354,268459,15169758,18018791,292037,5123237,3207980,24565295,5979732,222747,16373518,1308776,9303776,
,,,,,,,,,,,,,,,,,,,,,
北京市,402717,323066,9464,70187,303898,979,72517,22913,2410,393504,9213,9473,206926,19629,166689,191846,7424,83457,9941,110049,
天津市,296068,242285,9738,44045,196402,252,30115,67715,1584,268180,27888,7217,109819,17388,161644,119643,9269,59731,5653,101772,
河北省,1793350,1606509,15147,171694,308984,2897,754717,723728,3024,1285149,508201,19962,185636,170399,1417353,225770,4852,1289373,41113,232242,
山西省,861053,605215,6849,248989,129068,2668,665206,62120,1991,567031,294022,11077,54207,12594,783175,129790,3330,532780,67882,127271,
内蒙古自治区,669492,504899,6694,157899,90897,10191,263858,283828,20718,285450,384042,13153,35476,10588,610275,91296,1362,244810,16772,315252,
,,,,,,,,,,,,,,,,,,,,,
辽宁省,1267124,1196076,44158,26890,512786,8886,172021,571639,1792,735794,531330,9922,183772,24883,1048547,422403,18947,670141,84761,70872,
吉林省,734235,683652,19801,30782,188540,11014,126894,406205,1582,365183,369052,25867,44673,13811,649884,155321,4889,379663,19733,174629,
黑龙江省,1004370,952617,29163,22590,240249,30922,236562,494588,2049,580512,423858,27113,61633,25454,890170,216359,7189,509530,47235,224057,
,,,,,,,,,,,,,,,,,,,,,
上海市,517314,412653,39513,65148,466487,4836,5542,33009,7440,512707,4607,3861,287618,38617,187218,335456,24573,38397,4904,113984,
江苏省,2083855,1827099,22855,233901,785815,4676,173250,1108760,11354,1355704,728151,5386,451800,358345,1268324,556949,8336,878390,55634,584546,
浙江省,1405846,1237040,33357,135449,854318,4319,37535,492800,16874,967552,438294,3847,391403,176405,834191,523528,13129,334531,44970,489688,
安徽省,1598760,1374278,14350,210132,268988,2315,281106,1040318,6033,343582,1255178,1660,124583,147514,1325003,167132,3365,878075,83522,466666,
福建省,832442,661733,42337,128372,317561,9794,244741,247734,12612,401233,431209,6589,222530,117732,485591,214532,10669,101029,38301,467911,
江西省,967441,712351,37721,217369,194821,3739,257689,506033,5159,241765,725676,3802,110720,93612,759307,120064,3569,261550,88416,493842,
山东省,2666070,2210592,12845,442633,505848,5819,692137,1451599,10667,812276,1853794,23652,332934,111874,2197610,342479,8724,2010757,44643,259467,
,,,,,,,,,,,,,,,,,,,,,
河南省,2392624,2066152,12134,314338,202657,3459,1256941,923428,6139,744446,1648178,9232,188871,67899,2126622,254140,9477,1671280,48792,408935,
湖北省,1480601,1224695,25689,230217,408153,4600,285583,773953,8312,606644,873957,13881,199273,184292,1083155,234885,13707,667825,50749,513435,
湖南省,1700907,1277035,48638,375234,215638,5786,897724,573829,7930,473825,1227082,12731,179611,412667,1095898,187526,8323,943709,68857,492492,
广东省,1813484,1482479,68672,262333,1048781,11111,107023,625804,20765,1154902,658582,20361,766661,452981,573481,506609,17829,511447,65094,712505,
广西壮族自治区,1109560,795704,44081,269775,271682,14089,31602,775509,16678,380787,728773,4851,165766,295166,643777,124600,5405,312523,62620,604412,
海南省,170705,119823,4936,45946,51530,818,1123,115730,1504,81602,89103,1254,26683,28729,114039,24858,1331,25703,4151,114662,
,,,,,,,,,,,,,,,,,,,,,
重庆市,856918,704758,15109,137051,182907,17076,245520,405570,5845,281970,574948,1705,123017,49914,682282,58794,1905,304326,26759,465134,
