表3-5全国各民族分年龄性别的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙占族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
30—34岁,    83 875 707,    43 706 133,    40 169 574,    78 050 086,    40 685 588,    37 364 498,    374 849,    190 500,    184 349,    582 869,    297 054,    285 815
  30,    14 443 119,    7 519 677,    6 923 442,    13 336 901,    6 952 165,    6 384 736,    80 409,    40 968,    39 441,    107 074,    54 569,    52 505
  31,    14 378 626,    7 535 588,    6 843 038,    13 342 177,    6 995 031,    6 347 146,    69 824,    35 422,    34 402,    98 173,    50 166,    48 007
  32,    19 060 366,    10 007 244,    9 053 122,    17 764 440,    9 329 719,    8 434 721,    80 376,    41 025,    39 351,    128 253,    66 060,    62 193
  33,    18 350 283,    9 528 741,8 821 542,    17 132 803,    8 898 281,    8 234 522,    75 197,    38 032,    37 165,    125 171,    63 268,    61 903
  34,    17 643 313,    9 114 883,    8 528 430,    16 473 765,    8 510 392,    7 963 373,    69 043,    35 053,    33 990,    124 198,    62 991,    61 207
35—39岁,    86 351 812,    44 568 847,    41 782 965,    80 722 239,41 646 841,    39 075 398,    301 103,    154 213,    146 890,    595 706,    302 418,    293 288
  35,    19 377 065,    10 051 375,    9 325 690,    18 071 009,    9 375 409,    8 695 600,    73 128,    37 487,    35 641,    133 335,    67 844,    65 491
  36,    18 330 697,    9 452 337,    8 878 360,    17 111 927,    8 819 522,    8 292 405,    67 363,    34 625,    32 738,    128 771,    65 151,    63 620
  37,    17 226 144,    8 870 602,    8 355 542,    16 109 360,    8 288 967,    7 820 393,    56 207,    28 584,    27 623,    115 562,    58 713,    56 849
  38,    16 887 297,    8 704 522,    8 182 775,    15 824 392,    8 151 814,    7 672 578,    55 930,    28 750,    27 180,    115 310,    58 813,    56 497
  39,    14 530 609,    7 490 011,    7 040 598,    13 605 551,    7 011 129,    6 594 422,    48 475,    24 767,    23 708,    102 728,    51 897,    50 831
40—44岁,    63 707 664,    33 335 977,    30 371 687,    59 305 989,31 049 165,    28 256 824,    193 113,    99 207,    93 906,    453 355,    230 114,    223 241
  40,    15 342 107,    8 042 718,    7 299 389,    14 213 874,    7 454 167,    6 759 707,    50 923,    26 397,    24 526,    112 165,    57 490,    54 675
  41,    13 010 398,    6 805 059,    6 205 339,    12 128 143,    6 343 775,    5 784 368,    39 382,    20 169,    19 213,    91 777,    47 139,    44 638
  42,    12 392 389,    6 496 011,    5 896 378,    11 552 135,    6 058 915,    5 493 220,    37 812,    19 571,    18 241,    83 970,    43 130,    40 840
  43,    11 950 704,    6 264 508,    5 686 196,    11 141 106,    5 843 666,    5 297 440,    36 181,    18 421,    17 760,    83 847,    42 416,    41 431
  44,11 012 066,    5 727 681,    5 284 385,    10 270 731,    5 348 642,    4 922 089,    28 815,    14 649,    14 166,    81 596,    39 939,    41 657
45—49岁,    49 087 941,    25 855 900,    23 232 041,    45 408 702,  23 954 116,    21 454 586,    146 753,    75 503,    71 250,    367 007,    186 906,    180 101
  45,    10 465 110,    5 481 782,    4 983 328,    9 681 087,    5 080 639,    4 600 448,    30 678,    15 640,    15 038,    77 612,    38 715,    38 897
  46,    9 953 414,    5 250 473,    4 702 941,    9 208 236,    4 863 050,    4 345 186,    31 344,    16 083,    15 261,    72 564,    37 470,    35 094
  47,    9 445 561,    4 982 722,    4 462 839,    8 725 507,    4 608 983,    4 1 16 524,    26 459,    13 766,    12 693,    74 677,38 180,    36 497
  48,    9 670 367,    5 088 847,    4 581 520,    8 936 765,    4 710 173,    4 226 592,    28 197,    14 570,    13 627,    73 912,    37 651,    36 261
