,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--22全国各民族不在业人口状况,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失劳动能力,,,    其它,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,    民族别,,,,,,,,,,,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,  5 740 225,  2 923 090,  2 817 135,  21 510 485,    13 072 035,  8 438 450,  28 111 328,  12 862 794,  15 248 534,  4 442 300,  3 018 594,  1 423 706
佤族,    21 593,    10 115,    11 478,    7 486,    4 884,    2 602,    8 152,    2 211,    5 941,    192,    111,    81,,,畲族,    1 116,    561,    555,    3 180,    2 682,    498,    22 039,    12 251,    9 788,    5 149,    2 486,    2 663
畲族,    112 942,    31 237,    81 705,    12 982,    8 761,    4 221,    66 394,    3 225,    63 169,    2 082,    1 271,    811,,,高山族,    57,    30,    27,    171,    148,    23,    48,    16,    32,    38,    26,    12
高山族,    611,    318,    293,    168,    90,    78,    119,    5,    114,    10,    3,    7,,,拉祜族,    464,    236,    228,    998,    563,    435,    7 320,    3 078,    4 242,    480,    388,    92
拉祜族,    24 418,    10 558,    13 860,    6 016,    3 487,    2 529,    8 707,    2 558,    6 149,    433,    248,    185,,,水族,      710,    377,    333,    973,    777,    196,    8 245,    3 416,    4 829,    722,    574,    148
水族,    28 761,    15 522,    13 239,    9 692,    7 358,    2 334,    7 063,    2 011,    5 052,    1 356,    1 009,    347,,,东乡族,    254,    139,    115,    695,    573,    122,    10 891,    4 668,    6 223,    2 462,    2 152,    310
东乡族,    30 634,    13 942,    16 692,    5 220,    4 028,    1 192,    10 702,    2 076,    8 626,    410,    306,    104,,,纳西族,    974,    447,    527,    5 114,    3 426,    1 688,    6 215,    2 661,    3 554,    637,    544,    93
纳西族,    37 189,    17 908,    19 281,    12 529,    7 111,    5 418,    9 836,    2 752,    7 084,    1 884,    967,    917,,,景颇族,    173,    94,    79,    378,    253,    125,    1 962,    809,    1 153,    426,    330,    96
景颇族,    12 461,    5 135,    7 326,    4 660,    2 499,    2 161,    4 596,    1 014,    3 582,    266,    136,    130,,,柯尔克孜族,    435,    234,    201,    1 507,    1 194,    313,    5 933,    2 281,    3 652,    199,    133,    66
柯尔克孜族,    18 960,    7 760,    11 200,    6 072,    3 405,    2 667,    4 538,    377,    4 161,    276,    136,    140,,,土族,    565,    279,    286,    743,    604,    139,    3 621,    1 612,    2 009,    383,    296,    87
土族,    22 053,    10 114,    11 939,    8 046,    4 729,    3 317,    7 619,    1 994,    5 625,    1 076,    600,    476,,,达斡尔族,    2 191,    1 209,    982,    2 511,    1 585,    926,    2 936,    1 735,    1 201,    2 192,    1 591,    601
达斡尔族,    31 211,    9 521,    21 690,    6 520,    2 972,    3 548,    14 436,    256,    14 180,    425,    173,    252,,,仫佬族,    675,    352,    323,    954,    591,    363,    2 102,    897,    1 205,    877,    666,    211
仫佬族,    20 136,    9 113,    11 023,    6 543,    3 865,    2 678,    8 666,    2 562,    6 104,    319,    180,    139,,,羌族,    441,    215,    226,    825,    594,    231,    3 605,    1 588,    2 017,    298,    238,    60
羌族,    22 283,    10 244,    12 039,    8 173,    4 968,    3 205,    8 452,    2 367,    6 085,    489,    274,    215,,,布朗族,    52,    27,    25,    154,    121,    33,    1 364,    656,    708,    193,    182,    11
布朗族,    6 071,    2 762,    3 309,    1 379,    892,    487,    2 842,    842,    2 000,    87,    42,    45,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--22全国各民族不在业人口状况(续01),,,,,,,,,,,,,,,表3--22全国各民族不在业人口状况(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失劳动能力,,,    其它,,
    民族别,,,,,,,,,,,,,,,    民族别,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
撒拉族,    8 326,    3 860,    4 466,    2 326,    1 780,    546,    2 396,    281,    2 115,    204,    141,    63,,,撒拉族,    238,    125,    113,    361,    306,    55,    2 513,    986,    1 527,    288,    241,    47
毛南族,    8 085,    3 926,    4 159,    3 348,    1 972,    1 376,    2 993,    943,    2 050,    219,    131,    88,,,毛南族,    199,    104,    95,    378,    305,    73,    771,      357,    414,    177,    114,    63
仡佬族,    45 309,    25 218,    20 091,    16 645,    11 467,    5 178,    10 589,    2 767,    7 822,    4 532,    3 096,    1 436,,,仡佬族,    878,    422,    456,    1 556,    1 299,    257,    10 342,    5 598,    4 744,    767,    569,    198
锡伯族,    28 689,    11 186,    17 503,    10 546,    5 234,    5 312,    9 053,    376,    8 677,    455,    199,    256,,,锡伯族,    1 333,    669,    664,    3 297,    2 191,    1 106,    3 016,    1 833,    1 183,    989,    684,    305
阿昌族,    2 910,    1 246,    1 664,    932,    583,    349,    1 209,    254,    955,    32,    24,    8,,,阿昌族,    15,    9,    6,    39,    31,    8,    620,    291,    329,    63,    54,    9
普米族,    3 158,    1 624,    1 534,    1 153,    815,    338,    881,    220,    661,    74,    50,    24,,,普米族,    34,    22,    12,    113,    98,    15,    862,    386,    476,    41,    33,    8
塔吉克族,    5 139,    1 694,    3 445,    818,    594,    224,    2 522,    154,    2 368,    22,    21,    1,,,塔吉克族,    47,    34,    13,    269,    250,    19,    1 435,    625,    810,    26,    16,    10
怒族,    1 972,    919,    1 053,    771,    429,    342,    375,    69,    306,    51,    32,    19,,,怒族,    24,    14,    10,    144,    130,    14,    573,    218,    355,    34,    27,    7
乌孜别克族,    3 751,    1281,    2 470,    996,    446,    550,    1 505,    95,    1 410,    91,    44,    47,,,乌孜别克族,    380,    201,    179,    441,    319,    122,    249,    123,    126,    89,    53,    36
俄罗斯族,    3 569,    1 178,    2 391,    1 067,    492,    575,    1 035,    13,    1 022,    86,    38,    48,,,俄罗斯族,    411,    203,    208,    594,    237,    357,    123,    25,    98,    253,    170,    83
鄂温克族,    6 114,    1 940,    4 174,    1 521,    676,    845,    2 555,    56,    2 499,    119,    50,    69,,,鄂温克族,    479,    260,    219,    304,    206,    98,    517,    269,    248,    619,    423,    196
德昂族,    1 364,    504,    860,    251,    137,    114,    695,    141,    554,    7,    2,    5,,,德昂族,    5,    4,    1,    17,    14,    3,    353,    176,    177,    36,    30,    6
保安族,    1 124,    550,    574,    331,    224,    107,    393,    95,    298,    48,    34,    14,,,保安族,    38,    21,    17,    47,    45,    2,    223,    95,    128,    44,    36,    8
裕固族,    1 734,    691,    1 043,    715,    408,    307,    502,    49,    453,    48,    25,    23,,,裕固族,    98,    41,    57,    132,    86,    46,    217,    67,    150,    22,    15,    7
