表3-25全国少数民族人口分年龄性别的婚姻状况,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
  43,    809 598,    420 842,    388 756,    18 028,    15 340,    2 688,756 464,    389 043,    367 421,    25 326,    10 276,    15 050,    9 780,    6 183,    3 597
  44,    741 335,    379 039,    362 296,    15 916,    13 475,    2 441,    689 858,    349 571,    340 287,    26 329,    10 144,    16 185,    9 232,    5 849,    3 383
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表3--25全国少数民族人口分年龄、性别的婚姻状况(续01),,,,,,,,,,,,,,,
 单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
45-49岁,    3 679 239,    1 901 784,    1 777 455,    71 703,    60 043,    1 1 660,  3 372 264,  1 741 529,  1 630 735,    187 206,    70 039,    117 167,    48 066,    30 173,    17 893
  45,    784 023,    401 143,    382 880,    15 927,    13 492,    2 435,    723 864,    368 405,    355 459,    32 191,    11719,    20 472,    12 041,    7 527,    4 514
  46,    745 178,    387 423,    357 755,    14 564,    12 302,    2 262,    687 823,    356 276,    331 547,    33 470,    12 936,    20 534,    9 321,    5 909,    3 412
  47,    720 054,    373 739,    346 315,    13 845,    11 558,    2 287,    661 320,    342 873,    318 447,    35 962,    13 666,    22 296,    8 927,    5 642,    3 285
  48,    733 602,    378 674,    354 928,    14 238,    11 745,    2 493,    668 355,    345 519,    322 836,    41 626,    15 518,    26 108,    9 383,    5 892,    3 491
  49,    696 382,    360 805,    335 577,    13 129,    10 946,    2 183,    630 902,    328 456,    302 446,    43 957,    16 200,    27 757,    8 394,    5 203,    3 191
50-54岁,    3 327 332,    1 729 677,    1 597 655,    59 030,    47 754,    11 276,  2 928 055,  1 551 214,  1 376 841,    297 526,    103 834,    193 692,    42 721,    26 875,    15 846
  50,    754 555,    385 589,    368 966,    13 522,    11 030,    2 492,    671 760,    348 633,    323 127,    57 277,    18 639,    38 638,    11 996,    7 287,    4 709
  51,    652 554,    341 272,    311 282,    1 1 359,    9 323,    2 036,    581 063,    307 919,    273 144,    52 332,    19 071,    33 261,    7 800,    4 959,    2 841
  52,    671 977,    353 508,    318 469,    12 291,    9 975,    2 316,    592 042,    316 946,    275 096,    59 497,    21 352,    38 145,    8 147,    5 235,    2 912
  53,    634 456,    331 688,    302 768,    11 412,    9 110,    2 302,    553 530,    296 037,    257 493,    62 199,    21 830,    40 369,    7 315,    4 711,    2 604
  54,    613 790,    317 620,    296 170,    10 446,    8 316,    2 130,    529 660,    281 679,    247 981,    66 221,    22 942,    43 279,    7 463,    4 683,    2 780
55-59岁,    2 798 774,    1 450 769,    1 348 005,    44 968,    34 538,    10 430, 2 318 229,  1 260 802,  1 057 427,    400 787,    133 659,    267 128,    34 790,    21 770,    13 020
  55,    621 257,    318 942,    302 315,    10 287,    8 091,    2 196,    528 401,    281 255,    247 146,    73 817,    24 154,    49 663,    8 752,    5 442,    3 310
  56,    579 092,    301 366,    277 726,    9 419,    7 338,    2 081,    487 172,    264 098,    223 074,    75 470,    25 468,    50 002,    7 031,    4 462,    2 569
  57,    561 012,    293 617,    267 395,    9 197,    7 118,    2 079,    465 206,    254 736,    210 470,    80 013,    27 597,    52 416,    6 596,    4 166,    2 430
  58,    524 020,    270 880,    253 140,    8 139,    6 097,    2 042,    427 163,    233 641,    193 522,    82 330,    27 151,    55 179,    6 388,    3 991,    2 397
  59,    513 393,    265 964,    247 429,    7 926,    5 894,    2 032,    410 287,    227 072,    183 215,    89 157,    29 289,    59 868,    6 023,    3 709,    2 314
60-64岁,    2 239 757,    1 142 467,    1 097 290,    34 353,    24 51 1,    9 842,  1 663 071,    938 021,    725 050,    514 042,    162 885,    351 157,    28 291,    17 050,  11 241
  60,    581 168,    295 759,    285 409,    8 810,    6 455,    2 355,    446 609,    249 467,    197 142,    116 656,  34 428,    82 228,    9 093,    5 409,    3 684
  61,    444 591,    227 208,    217 383,    6 651,    4 811,    1 840,    338 055,    188 239,    149 816,    94 680,  30 986,    63 694,    5 205,    3 172,    2 033
  62,    456 974,    234 282,    222 692,    6 936,    4 969,    1 967,    339 146,    191 762,    147 384,    105 581,  34 333,    71 248,    5 311,    3 218,    2 093
  63,    394 288,    201 737,    192 551,    6 232,    4 313,    1 919,    284 958,    162 907,    122 051,    98 620,  31 794,    66 826,    4 478,    2 723,    1 755
  64,    362 736,    183 481,    179 255,    5 724,    3 963,    1 761,    254 303,    145 646,    108 657,    98 505,  31 344,    67 161,    4 204,    2 528,    1 676
65岁及以上,    4 051 049,    1 906 799,    2 144 250,    56 610,    36 370,    20 240, 2 005 906,  1 237 105,    768 801, 1 946 157,    608 067,1 338 090,    42 376,    25 257,  17 119
