,,,,,,,,,,,,
表3--34省、自治区、直辖市的市、镇、县少数民族迁入人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    迁入人口合计,,,,  本省其他县、市迁入,,,,    外省迁入,,,
    地区别,,,,,,,,,,,,
,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡
安徽省,    16 526,    3 449,    2 639,    10 438,    6 493,    1 695,    1 824,    2 974,    10 033,    1 754,    815,    7 464
  市,    7 851,    2 467,    1 881,    3 503,    4 785,    1 184,    1 524,    2 077,    3 066,    1 283,    357,    1 426
  镇,    2 527,    573,    489,    1 465,    822,    284,    220,    318,    1 705,    289,    269,    1 147
  县,    6 148,    409,    269,    5 470,    886,    227,    80,    579,    5 262,    182,    189,    4 891
福建省,    17 316,    1 948,    2 690,    12 678,    6 696,    961,    1 548,    4 187,    10 620,    987,    1 142,    8 491
  市,    6 278,    1 133,    1 156,    3 989,    3 620,    494,    862,    2 264,    2 658,    639,    294,    1 725
  镇,    4 271,    447,    952,    2 872,    1 591,    280,    473,    838,    2 680,    167,    479,    2 034
  县,    6 767,    368,    582,    5 817,    1 485,    187,    213,    1 085,    5 282,    181,    369,    4 732
江西省,    6110,    1 091,    1 247,    3 772,    2 186,    364,    485,    1 337,    3 924,    727,    762,    2 435
  市,    2 603,    687,    714,    1 202,    911,    203,    281,    427,1 692,    484,    433,    775
  镇,    1 202,    255,    342,    605,    491,    88,    141,    262,    711,    167,    201,    343
  县,    2 305,    149,    191,    1 965,    784,    73,    63,    648,    1 521,    76,    128,    1 317
山东省,    27 854,    5 598,    6 264,    15 992,    6 927,    1 774,    2 347,    2 806,    20 927,    3 824,    3 917,    13 186
  市,    14 884,    4 460,    3 702,    6 722,    4 615,    1 451,    1 509,    1 655,    10 269,    3 009,    2 193,    5 067
  镇,    5 981,    837,    1 911,    3 233,    1 551,    254,    638,    659,    4 430,    583,    1 273,    2 574
  县,    6 989,    301,    651,    6 037,    761,    69,    200,    492,    6 228,    232,    451,    5 545
河南省,    32 505,    9 023,    4 761,    18 721,    18 581,    4 791,    3 026,    10 764,    13 924,    4 232,    1 735,    7 957
  市,    18 029,    6 494,    2 880,    8 655,    12 082,    3 475,    1 977,    6 630,    5 947,    3 019,    903,    2 025
  镇,    6 047,    1 670,    1 227,    3 150,    3 635,    881,    775,    1 979,    2 412,    789,    452,    1 171
  县,    8 429,    859,    654,    6 916,    2 864,    435,    274,    2 155,    5 565,    424,    380,    4 761
湖北省,    47 019,    8 531,    9 100,    29 388,    33 145,    4 715,    6 340,    22 090,    1 3 874,    3 816,    2 760,    7 298
  市,    27 81 5,    5 814,    6 456,    15 545,    18 260,    2 774,    4 239,    11 247,    9 555,    3 040,    2 217,    4 298
  镇,    9 296,    1 621,    1 765,    5 910,    7 207,    1 171,    1354,    4 682,    2 089,    450,    411,    1 228
  县,    9 908,    1 096,    879,    7 933,    7 678,    770,    747,    6 161,    2 230,    326,    132,    1 772
湖南省,    91 185,    13 863,    15 609,    61 713,    67 880,    10 094,    12 690,    45 096,    23 305,    3 769,    2 919,    16 617
  市,    43 610,    8 525,    8 736,    26 349,    37 860,    6 496,    7 786,    23 578,    5 750,    2 029,    950,    2 771
  镇,    19 370,    3 322,    4 532,    1 1 516,    13 978,    2 225,    3 423,    8 330,    5 392,    1 097,    1 109,    3 186
  县,    28 205,    2 016,    2 341,    23 848,    16 042,    1 373,    1 481,    13 188,    12 163,    643,    860,    10 660
广东省,    100 614,    5 634,    6 257,    88 723,    7 301,    1 007,    1 699,    4 595,    93 313,    4 627,    4 558,    84 128
  市,    33 466,    4 356,    3 589,    25 521,    3 883,    642,    1 056,    2 185,    29 583,    3 714,    2 533,    23 336
  镇,    59 703,    1 051,    2 359,    56 293,    2 627,    320,    552,    1 755,    57 076,    731,    1 807,    54 538
  县,    7 445,    227,    309,    6 909,    791,    45,    91,    655,    6 654,    182,    218,    6 254
广西壮族自治区,    364 119,    30 751,    81 246,    252 122,    347 339,    25 203,    77 820,    244 316,    16 780,    5 548,    3 426,    7 806
  市,    189 458,    15 015,    45 619,128 824,    183 087,    11 786,    44 399,    126 902,    6 371,    3 229,    1 220,    1 922
  镇,    87 878,    10 726,    25 764,    51 388,    82 491,    9 048,    24 148,    49 295,    5 387,    1 678,    1 616,    2 093
  县,    86 783,    5 010,    9 863,    71 910,    81 761,    4 369,    9 273,    68 119,    5 022,    641,    590,    3 791
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表3--34省、自治区、直辖市的市、镇、县少数民族迁入人口数(续02),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    迁入人口合计,,,,  本省其他县、市迁入,,,,    外省迁入,,,
    地区别,,,,,,,,,,,,
,    小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡
海南省,    25 385,    1 684,    3 288,    20 413,    12 956,    826,    2 835,    9 295,    12 429,    858,    453,    11118
  市,    7 470,    1 199,    2 251,    4 020,    5 446,    627,    2 102,    2 717,    2 024,    572,    149,    1 303
