表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    46,    4 702 941,    7 007,    299,    600,    949,    1 378,    3 781,    4 648,    258,    375,    533,    764,    2 718
    47,    4 462 839,    5 156,    236,    464,    787,    1 054,    2 615,    3 274,    193,    286,    414,    578,    1 803
    48,    4 581 520,    4 253,    199,    418,    624,    925,    2 087,    2 654,    176,    232,    337,    422,    1 487
    49,    4 501 413,    3 318,    188,    315,    542,    779,    1 494,    2 002,    157,    178,    250,    347,    1 070
  50岁,    4 372 725,    2 908,    125,    245,    429,    717,    1 392,    1 646,    117,    132,    187,    278,    932
汉族,    287 116 433,    9 843 416,    4 740 400,    3 222 045,    1 263 578,    409 499,    207 894, 11 784 268,    6 152 806,    3 576 762,    1 394 143,    440 900,    219 657
  15-19岁,    53 400 051,    150 611,    140 356,    9 780,    412,    35,    28,    292 187,    270 215,    21 128,    763,    53,    28
    15,    9 497 222,    344,    298,    25,    7,    8,    6,    602,    551,    36,    10,    1,    4
    16,    10 397 831,    1 642,    1 545,    71,    14,    6,    6,    3 998,    3 875,    101,    11,    4,    7
    17,    10 946 841,    8 842,    8 525,    289,    17,    6,    5,    19 937,    19 213,    691,    24,    3,    6
    18,    10 904 747,    34 834,    33 051,    1 707,    65,    6,    5,    69 144,    65 179,    3 817,    132,    10,    6
    19,    11 653 410,    104 949,    96 937,    7 688,    309,    9,    6,    198 506,    181 397,    16 483,    586,    35,    5
  20-24岁,    56 582 487,    3 715 527,    2 724 481,    867 073,    113 442,    9 704,    827,  5 483 448,  4 019 614,    1 261 622,    184 260,    16 513,    1 439
    20,    1 1 764 106,    257 507,    227 755,    28 137,    1 521,    82,    12,    464 606,    407 210,    54 134,    3 082,    165,    15
    21,    12 291 409,    547 006,    460 546,    80 285,    5 789,    354,    32,    957 993,    804 683,    141 389,    1 1 205,    663,    53
    22,    10 992 840,    777 301,    617 403,    145 147,    13 729,    942,    80,    1 188 147,    928 914,    232 603,    24 710,    1 758,    162
    23,    10 237 440,    944 417,    667 276,    243 744,    30 789,    2 403,    205,    1 331 291,    922 309,    352 904,    51 490,    4 257,    331
