表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    23,    103 313,    9 480,    8 087,    1 319,    70,    4,-,    10 721,    9 132,    1 469,    113,    7,-
    24,    112 503,    10 824,    8 594,    2 048,    173,    9,-,    11 449,    9 058,    2 207,    166,    17,    1
  25-29岁,    503 625,    35 960,    18 014,    15 373,    2 268,    269,    36,    31 494,    15 654,    13 517,    2 044,    247,    32
    25,    116 544,    10 404,    7 377,    2 724,    279,    21,    3,    9 807,    6 936,    2 559,    298,    14,-
    26,    119 598,    8 914,    5 261,    3 187,    420,    37,    9,    7 955,    4 458,    3 022,    430,    41,    4
    27,    134 774,    8 943,    3 645,    4 566,    654,    69,    9,    7 549,    2 919,    3 953,    587,    80,    10
    28,    63 886,    3 862,    1 115,    2 284,    400,    58,    5,    3 184,    868,    1 908,    350,    51,    7
    29,    68 823,    3 837,    616,    2 612,    515,    84,    10,    2 999,    473,    2 075,    379,    61,    11
  30-34岁,    414 204,    15 216,    1 241,    11 179,    2 268,    416,    112,    11 431,    933,    8 349,    1 737,    304,    108
    30,    85 823,    4 496,    530,    3 323,    541,    86,    16,    3 513,    339,    2 629,    468,    59,    18
    31,    75 307,    3 298,    241,    2 488,    473,    79,    17,    2 632,    205,    1 982,    364,    64,    17
    32,    88 655,    3 187,    196,    2 398,    490,    84,    19,    2 356,    172,    1 711,    385,    67,    21
    33,    84 930,    2 415,    151,    1 720,    425,    84,    35,    1 665,    120,    1 177,    289,    58,    21
    34,    79 489,    1 820,    123,    1 250,    339,    83,    25,    1 265,    97,    850,    231,    56,    31
  35-39岁,    342 316,    3 821,    243,    2 454,    765,    229,    130,    2 592,    245,    1 576,    523,    154,    94
    35,    83 521,    1 448,    92,    1 011,    257,    57,    31,    985,    103,    629,    175,    47,    31
    36,    75 507,    1 006,    64,    646,    194,      68,    34,    661,    57,    422,    128,    34,    20
    37,    65 007,    635,    32,    415,    125,    46,    17,    461,    42,    260,    99,    34,    26
    38,    64 435,    456,    34,    242,    116,    34,    30,    323,    30,    179,    85,    22,    7
    39,    53 846,    276,    21,    140,    73,    24,    18,    162,    13,    86,    36,    17,    10
  40-44岁,    209 133,    474,    50,    174,    124,    66,    60,    292,    23,    115,    61,    47,    46
    40,    56 636,    205,    18,    94,    55,    15,    23,    139,    12,    63,    28,    21,    15
    41,    41 267,    113,    13,    36,    26,    22,    16,    62,    7,    25,    14,    8,    8
    42,    38 884,    59,    7,    16,    19,    11,    6,    36,    2,    8,    8,    11,    7
    43,    37 688,    43,    8,    10,    11,    6,    8,    39,    1,    14,    8,    4,    12
    44,    34 658,    54,    4,    18,    13,    12,    7,    16,    1,    5,    3,    3,    4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30口,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  45-49岁,    150 997,    76,    3,    8,    15,    24,    26,    42,    4,    10,    7,    9,    12
    45,    31 879,    19,-,    2,    3,    8,    6,    13,     2,    2,    4,    1,    4
    46,    30 395,    25,    1,    3,    7,    7,    7,    9,-,    2,    1,    4,    2
    47,    28 965,    11,-,    1,    4,    2,    4,    5,    1,    1,  2,    1,  -
    48,    30 172,    12,    2,    2,-,    3,    5,    7,    1,    3,-,    2,    1
    49,    29 586,    9,-,-,    1,    4,    4,    8,-,    2,-,    1,    5
  50岁,    28 268,    10,-,    2,    1,    3,    4,    1,-,-,-,-,    1
侗族,    638 635,    24 148,    10 673,    7 612,    3 537,    1 461,    865,    31 930,    13 721,    10 764,    4 726,    1 728,    991
  15-19岁,    150 053,    565,    523,    37,    5,-,-,    970,    879,    91,-,-,-
    15,    31 577,-,-,-,-,-,-,    1,    1,-,-,-,-
    16,    31 841,    6,    5,    1,-,-,-,    16,    16,-,-,-,-
    17,    30 150,    38,    37,    1,-,-,-,    62,    62,-,-,-,-
    18,    27 815,    120,    113,    7,-,-,-,    215,    198,    17,-,-,-
    19,    28 670,    401,    368,    28,    5,-,-,    676,    602,    74,-,-,-
  20-24岁,    139 430,    10 204,    7 006,    2 738,    422,    33,    5,    14 974,    9 477,    4 705,    723,    64,    5
    20,    29 940,    937,    814,    116,     7,-,-,    1 480,    1 245,    219,    15,    1,-
    21,    30 293,    1 733,    1 424,    283,    24,    2,-,    2 787,    2 151,    599,    35,    2,-
    22,    26 848,    2 093,    1 579,    464,    48,    1,    1,    3 214,    2 221,    882,    105,    5,    1
    23,    24 985,    2 428,    1 578,    723,    117,    9,    1,    3 463,    1 937,    1 301,    208,    15,    2
    24,    27 364,    3 013,    1 611,    1 152,    226,    21,    3,    4 030,    1 923,    1 704,    360,    41,    2
  25-29岁,    100 620,    9 512,    2 944,    4 026,    1 986,    478,    78,    11 938,    3 168,    5 164,    2 804,    672,    130
    25,    27 214,    2 957,    1 305,    1 237,    349,    61,    5,    3 905,    1 446,    1 753,    597,    100,    9
    26,    26 057,    2 681,    871,    1 189,    504,    106,    11,    3 404,    899,    1 576,    766,    139,    24
    27,    26 045,    2 316,    520,    1 021,    618,    138,    19,    2 789,    560,    1 181,    822,    194,    32
    28,    14 045,    1 066,    173,    414,    337,    112,    30,    1 305,    185,    467,    453,    156,    44
    29,    7 259,    492,    75,    165,    178,    61,    13,    535,    78,    187,    166,    83,    21
  30-34岁,    63 786,    2 374,    151,    627,    782,    552,    262,    2 637,    151,    627,    898,    626,    335
    30,    9 241,    512,    53,    155,    187,    87,    30,    568,    41,    168,    194,    122,    43
    31,    11 787,    543,    34,    149,    193,    123,    44,    555,    28,    149,    205,    115,    58
    32,    15 493,    548,    27,    147,    181,    124,    69,    670,    36,    146,    235,    166,    87
    33,    13 814,    425,    21,    96,    130,    120,    58,    461,    22,    90,    150,    127,    72
    34,    13 451,    346,    16,    80,    91,    98,    61,    383,    24,    74,    114,    96,    75
  35-39岁,    68 594,    1 081,    36,    148,    264,    306,    327,    1 070,    31,    152,    245,    281,    361
    35,    14 515,    300,    15,    55,    84,    77,    69,    331,    6,    53,    90,    85,    97
    36,    14 841,    260,    7,    35,    56,    78,    84,    255,    6,    35,    62,    73,    79
    37,    14 187,    228,    9,    28,    60,    62,    69,    200,    9,    24,    43,    53,    71
    38,    13 180,    170,    3,    18,    36,    58,    55,    169,    3,    24,    35,    40,    67
    39,    11 871,    123,    2,    12,    28,    31,    50,    115,    7,    16,    15,    30,    47
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  40-44岁,    57 781,    347,    11,    27,    68,    80,    161,    284,    11,    22,    48,    79,    124
    40,    13 859,    124,    6,    12,    21,    35,    50,    120,    2,    9,    28,    35,    46
    41,    12 124,    88,    1,    5,    19,    14,    49,    65,    3,    6,    11,    12,    33
    42,    11216,    70,    1,    2,    14,    20,    33,    41,    4,    2,3,14,18
    43,    10 741,    32,    2,    7,    8,    4,    11,    25,    -,    2,    4,    9,    10
    44,     9841,    33,    1,    1,    6,    7,    18,    33,    2,    3,    2,    9,    17
  45-49岁,    48 508,    60,    1,    8,    10,    12,    29,    52,    3,    2,    8,    6,    33
    45,    9 369,    13,-,    1,     2,    4,    6,    15,-,    1,    3,    1,    10
    46,    10 215,    21,    1,    2,    4,    2,    12,    14,-,-,    2,    1,    11
    47,    9 435,    12,-,    1,    1,    2,    8,    8,    1,-,    1,    1,    5
    48,    9 643,    11,-,    3,    2,    3,    3,    12,    2,    1,    2,    2,    5
    49,    9 846,    3,-,    1,    1,    1,    -,    3,-,-,-,    1,    2
  50岁,    9 863,    5,    1,    1,-,-,    3,    5,    1,    1,-,-,    3
瑶族,    519 845,    23 023,    9 046,    7 683,    3 422,    1 485,    1 387,    28 230,    11 236,    9 732,    4 161,    1 674,    1 427
  15-19岁,    113 596,    764,    684,    74,    6,-,-,    1 277,    1 114,    159,    3,    1,-
    15,    24 072,    4,    3,    1,-,-,-,    4,    4,-,-,-,-
    16,    24 314,    12,    12,-,-,-,-,    41,    38,    3,-,-,-
    17,    22 396,    70,    66,    4,-,-,-,    140,    131,    9,-,-,-
    18,    21 389,    215,    198,    14,3,-,-,    338,    301,    35,    2,-,-
    19,    21 425,    463,    405,    55,    3,-,-,    754,    640,    112,    1,    1,-
  20-24岁,    112 949,    9 789,    5 892,    3 236,    589,    64,    8,    12 873,    7 443,    4 499,    827,    92,    12
    20,    23 090,    1 016,    835,    173,    8,-,-,    1 466,    1 124,    316,    25,    1,    -
    21,    23 913,    1 757,    1 244,    459,    51,    2,    1,    2 512,    1 755,    689,    60,    5,    3
    22,    22 287,    2 148,    1 456,    603,    83,    5,    1,    2 809,    1 711,    960,    124,    14,     -
    23,    21 047,    2 262,    1 213,    865,    158,    25,    1,    2 895,    1 488,    1 146,    224,    35,    2
    24,    22 612,    2 606,    1 144,    1 136,    289,    32,    5,    3 191,    1 365,    1 388,    394,    37,    7
  25-29岁,    83 666,    8 079,    2 179,    3 491,    1 765,    506,    138,    9 463,    2 412,    4 088,    2 228,    587,    148
    25,    21 954,    2 391,    887,    1 089,    347,    58,    10,    2 932,    1 035,    1 323,    490,    76,    8
    26,    20 923,    2 153,    626,    951,    455,    101,    20,    2 569,    674,    1 183,    576,    114,    22
    27,    20 868,    1 934,    415,    840,    504,    146,    29,    2 248,    466,    935,    640,    169,    38
    28,    11 833,    985,    166,    395,    288,    100,    36,    1 098,    156,    420,    347,    133,    42
    29,    8 088,    616,    85,    216,    171,    101,    43,    616,    81,    227,    175,    95,    38
  30-34岁,    62 889,    2 604,    206,    652,    765,    580,    401,    2 904,    194,    744,    836,    648,    482
    30,    10 088,    594,    68,    196,    166,    106,    58,    645,    60,    203,    204,    114,    64
    31,    12 452,    585,    46,    155,    196,    121,    67,    693,    61,    180,    214,    147,    91
    32,      15 089,    631,    46,    137,    190,    155,    103,    675,    34,    158,    206,    163,    114
    33,    13 231,    440,    27,    89,    129,    104,    91,    492,    21,    117,    123,    123,    108
    34,    12 029,    354,    19,    75,    84,    94,    82,    399,    18,    86,    89,    101,    105
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    57 729,    1 229,    61,    185,    226,    248,    509,    1 207,    55,    184,    217,278,    473
    35,    12 599,    363,    22,    70,    69,    79,    123,    376,    20,    61,    73,    100,    122
    36,    12 596,    276,    11,    38,    56,    73,    98,    283,    18,    44,    49,    60,    112
    37,    11911,    237,    9,    33,    54,    42,    99,    221,    4,    34,    44,    51,    88
    38,    10 742,    196,    7,    28,    29,    33,    99,    180,    5,    29,    28,    36,    82
    39,    9 881,    157,    12,    16,    18,    21,    90,    147,    8,    16,    23,    31,    69
  40-44岁,    43 293,    415,    18,    35,    50,    67,    245,    389,    1 1,    50,    37,    60,    231
    40,    10 979,    151,    11,    13,    18,    27,    82,    155,    4,    20,    16,    29,    86
    41,    9 317,    92,    1,    10,    13,    17,    51,    91,     2,    16,    7,    10,    56
    42,    8 070,    60,    1,    5,    7,    9,    38,    66,    2,    7,      7,    9,    41
    43,    7 420,    68,    3,    6,    4,    9,    46,    37,    3,    -,    3,    6,    25
    44,    7 507,    44,    2,    1,    8,    5,    28,    40,     -,    7,    4,    6,    23
  45-49岁,    38 124,    126,    6,    8,    21,    17,    74,    106,      7,    7,    12,    8,    72
    45,    7 674,    44,    1,    2,    7,    5,    29,    27,       -,    1,    3,   -,    23
    46,    7 736,    26,    3,    2,    4,    3,    14,    37,    3,    2,    4,    5,    23
    47,    7 292,    22,    1,    1,    4,    3,    13,    15,-,    1,    1,    1,    12
    48,    7 511,    19,-,    1,    4,    5,    9,    16,    1,    2,    4,    2,   7
    49,    7 911,    15,    1,    2,    2,    1,    9,    1 1,    3,    1,-,-,      7
  50岁,    7 599,    17,    -,    2,    -,    3,    12,    11,-,    1,    1,-,    9
白族,    416 898,    17 393,    7 092,    6 012,    2 478,    990,    821,    22 067,    10 191,    7 477,    2 655,    952,    792
  15-19岁,    96 425,    369,    346,    22,    1,-,-,    720,    649,    70,    1,-,-
    15,    20 044,    1,    1,-,-,-,-,    2,     2,     -,-,-,-
    16,    20 124,    4,    4,-,-,-,-,    16,    14,    2,-,-,-
    17,    19 100,    20,    20,-,-,-,-,    52,    51,    1,-,-,-
    18,    18 554,    81,    75,    6,-,-,-,    174,    164,    10,-,-,-
    19,    18 603,    263,    246,    16,    1,-,-,    476,    418,    57,    1,-,-
  20-24岁,    88 684,    7 018,    4 489,    2 185,    298,    43,     3,    10 712,    7 088,    3 108,    466,    48,    2
    20,    18 229,    591,    488,    96,    6,    1,-,    1 005,    840,    149,    15,    1,-
    21,    20 387,    1 127,    886,    223,    14,    4,-,    1 900,    1 501,    368,    30,    1,-
    22,    16 742,    1 411,    1 007,    366,    35,    3,-,    2 140,    1 556,    514,    65,   5,-
    23,    15 767,    1 620,    973,    561,    78,    6,    2,    2 565,    1 592,    849,    1 11,    13,-
    24,    17 559,        2 269,    1 135,    939,    165,    29,    1,    3 102,    1 599,    1 228,    245,    28,     2
  25-29岁,    66 072,    7 352,    2 127,    3 318,    1 451,    361,    95,    8 367,    2 338,    3 881,    1 628,    418,    102
    25,    17 022,    2 225,    890,    1 023,    257,    52,    3,    2 809,    1 135,    1 274,    344,    49,    7
    26,    16 110,    1 987,    633,    904,    375,    60,    15,    2 275,    641,    1 111,    425,    85,    13
    27,    16 814,    1 782,    389,    863,    405,    106,    19,    1 954,    370,    944,    469,    138,    33
    28,    10 919,    986,    168,    394,    309,    86,    29,    964,    152,    415,    271,    93,    33
    29,    5 207,    372,    47,    134,    105,    57,    29,    365,    40,    137,    119,    53,    16
  30-34岁,    45 560,    1 739,    93,    394,    576,    407,    269,    1 468,    92,    348,    440,    328,    260
    30,    7 250,    416,    35,    120,    164,    59,    38,    375,    39,    116,    140,    67,    13
    31,    6 776,    336,    22,    87,    107,    83,    37,    265,    13,    72,    78,    66,    36
    32,    10 344,    416,    21,    85,    149,    101,    60,    321,    15,    79,    85,    91,    51
    33,    10 421,    311,    10,    63,    91,    86,    61,    283,    18,    50,    73,    57,    85
    34,    10 769,    260,    5,    39,    65,    78,    73,    224,    7,    31,    64,    47,    75
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    48 610,    672,    26,    85,    130,    135,    296,    612,    21,    60,    105,    1 38,    288
    35,    11 538,    221,    13,    31,    48,    50,    79,    199,    9,    29,    39,    51,    71
    36,    10 577,    160,    7,    23,    30,    34,    66,    156,    2,    14,    28,    36,    76
    37,    9 755,    123,    5,    15,    28,    17,    58,    103,    2,    6,    16,    23,    56
    38,    9 357,    102,    1,    7,    18,    21,    55,    85,    3,    7,    13,    13,    49
    39,    7 383,    66,-,    9,    6,    13,    38,    69,    5,      4,    9,    15,    36
  40-44岁,    35 397,    203,    11,    7,    18,    40,    127,    162,    3,    10,    14,    18,    117
    40,    7 891,    72,    6,    3,    5,    18,    40,    55,    1,    4,    7,     7,    36
    41,7 118,    45,    2,-,    6,    6,    31,    41,    2,    2,    3,    3,    31
    42,    7 088,    39,-,    1,    5,    6,    27,    26,-,    1,    1,    3,    21
    43,    7 244,    27,    2,    3,    2,    5,    15,    27,-,    3,    3,    3,    18
    44,    6 056,    20,    1,-,-,    5,    14,    13,-,-,-,    2,    11
  45-49岁,    30 875,    38,-,    1,    4,    4,    29,    24,-,-,    1,    2,    21
    45,    6 076,    16,-,    1,    2,    2,    11,    10,-,-,-,-,    10
    46,    6 603,    10,-,-,-,    1,    9,    6,-,-,    1,    1,    4
    47,    6 402,    5,-,-,    1,-,    4,    7,-,-,-,    1,    6
    48,    6 371,    4,-,-,-,-,    4,    1,-,-,-,-,    1
    49,    5 423,    3,-,-,    1,    1,    1,-,-,-,-,-,-
  50岁,    5 275,    2,-,-,-,-,    2,    2,-,-,-,-,    2
土家族,    1 518 227,    50 030,    22 097,    16 747,    6 904,    2 676,    1 606,    71 912,    36 173,    22 081,    8 615,    3 146,    1 897
  15-19岁,    354 283,    579,    546,    32,    1,-,-,    1 149,    1 064,    84,    1,-,-
    15,    69 669,-,-,-,-,-,-,    1,     -,    1,-,-,-
    16,    74 215,    4,    3,    1,-,-,-,    12,    11,    1,-,-,-
    17,    70 993,    24,    23,    1,-,-,-,    56,    56,-,-,-,-
    18,    66 973,    111,    107,    4,-,-,-,    242,    233,    9,-,-,-
    19,    72 433,    440,    413,    26,    1,-,-,    838,    764,    73,    1,-,-
  20-24岁,    333 418,    19 601,    14 408,    4 610,    524,    55,    4,    34 586,    25 899,    7 700,    898,    79,    10
    20,    76 030,    1 286,    1 191,    93,    2,-,-,    2 632,    2 355,    255,    21,    1,-
    21,    74 068,    3 009,    2 614,    368,    21,    6,-,    5 922,    5 187,    689,    44,    2,-
    22,    63 955,    4 143,    3 389,    679,    72,    3,-,    7 696,    6 299,    1 278,    107,    11,    1
    23,    58 814,    5 097,    3 607,    1 342,    139,    8,    1,    8 768,    6 257,    2 238,    252,    18,    3
    24,    60 551,    6 066,    3 607,    2 128,    290,    38,    3,    9 568,    5 801,    3 240,    474,    47,    6
  25-29岁,    226 806,    21 110,    6 766,    9 869,    3 684,    695,    96,    26 992,    8 796,    12 242,    4 834,    981,    139
    25,    59 935,    6 296,    2 936,    2 670,    619,    66,    5,    8 784,    4 158,    3 621,    895,    97,    13
    26,    59 579,    6 021,    2 001,    2 945,    911,    147,    17,    7 636,    2 638,    3 575,    1 184,    219,    20
    27,    59 140,    5 330,    1 283,    2 607,    1 165,    244,    31,    6 510,    1 397,    3 175,    1 571,    313,    54
    28,    33 448,    2 532,    406,    1 227,    715,    159,    25,    3 039,    452,    1 462,    873,    222,    30
    29,    14 704,    931,    140,    420,    274,    79,    18,    1 023,    151,    409,    311,    130,    22
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  30-34岁,    138 763,    5 040,    253,    1 679,    1785,    940,    383,    5 565,    306,    1 583,    1 971,    1 184,    521
    30,    18 579,    1 001,    91,    414,    343,    124,    29,    1 134,    102,    420,    387,    166,    59
    31,23 444,    1 118,    46,    387,    408,    212,    65,    1 126,    81,    348,    408,    225,    64
    32,    34 113,    1 211,    51,    382,    446,    243,    89,    1 452,    66,    404,    519,    317,    146
    33,    32 258,    988,    44,    293,    343,    207,    101,    1 056,    36,    243,    375,    267,    135
    34,    30 369,    722,    21,    203,    245,    154,    99,    797,    21,    168,    282,    209,    117
  35-39岁,    181 687,    2 695,    100,    482,    757,    715,    641,    2 808,    82,    411,    801,    727,    787
    35,    38 573,    763,    37,    162,    252,    192,    120,    765,    26,    145,    240,    190,    164
    36,    39 482,    664,    16,    128,    202,    171,    147,    682,    17,    114,    196,    177,    178
    37,    39 219,    555,    28,    106,    139,    141,    141,    582,    17,    79,    167,    139,    180
    38,    35 226,    424,    14,    53,    93,    130,    134,    474,    12,    47,    125,    133,    157
    39,    29 187,    289,    5,    33,    71,    81,    99,    305,    10,    26,    73,    88,    108
  40-44岁,    145 200,    809,    20,    62,    136,    231,    360,    667,    20,    48,    95,    152,    352
    40,    32 508,    283,    4,    25,    58,    89,    107,    229,    7,    17,    41,    50,    114
    41,    30 024,    168,    3,    15,    30,    51,    69,    159,    4,    10,    21,    45,    79
    42,    29 362,    1 58,    6,    12,    19,    38,    83,    118,    3,    11,    15,    26,    63
    43,    29 104,    107,    5,    4,    19,    30,    49,    86,    2,    4,    10,    20,    50
    44,    24 202,    93,    2,    6,    10,    23,    52,    75,    4,    6,    8,    11,    46
  45-49岁,    118 127,    181,    4,    13,    15,    38,    111,    140,    6,    13,    15,    22,    84
    45,    22 516,    62,    1,     7,    9,    17,    28,    50,    1,    3, 5,    11,    30
    46,    24 153,    48,    2,     3,    3,     7,    33,    28,    1,    2,    4,    4,    17
    47,    24 282,    29,-,    2,    2,    6,    19,    25,    1,    6,    2,    3,    13
    48,    24 324,    28,    1,    1,    1,     5,    20,    20,-,-,    2,    4,    14
    49,    22 852,    14,-,-,-,     3,    11,    17,    3,    2,    2,    -,    10
  50岁,    19 943,    15,-,-,    2,      2,    11,5,-,-,    -,    1,    4
哈尼族,    313 458,    17 462,    6 096,    5 239,    3 141,    1 451,    1 535,    19 664,    6 934,    6 026,    3 450,    1 666,    1 588
  15-19岁,    70 427,    1 044,    918,    116,    9,    1,-,    1 622,    1 429,    179,    12,    2,-
    15,    15 684,    4,    3,    1,-,-,-,    11,    11,    -,-,-,-
    16,    15 473,    21,    20,    1,-,-,-,    45,    43,   2,-,-,-
    17,    13 385,    87,    84,    3,-,-,-,    180,    175,    4,    1,-,-
    18,    13 097,    272,    248,    21,    3,-,-,    471,    437,    31,2,    1,-
    19,    12 788,    660,    563,    90,    6,    1,-,    915,    763,    142,    9,    1,-
  20-24岁,    68 567,    8 480,    4 356,        3 134,    830,    138,    22,    9 953,    4 756,    3 907,    1 084,    185,    21
    20,    13 801,    1 147,    885,    232,    27,    3,-,    1 547,    1 119,    397,    30,    1,    -
    21,    14 200,    1 647,    1 1 17,    463,    58,    9,-,    2 053,    1 301,    650,    86,    15,    1
    22,    13 524,    1799,    974,    685,    119,    20,    1,    2 161,    1 042,    894,    201,    22,    2
    23,    13 597,    1 975,    816,    864,    244,    42,    9,    2 151,    768,    993,    331,    54,     5
    24,    13 445,    1 912,    564,        890,    382,    64,    12,    2 041,    526,    973,    436,    93,    13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,  6月30日,,,,,,,,,,,,
    年龄别,  育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,五孩以上
  25-29岁,    49 626,    5 233,    753,    1 763,    1 799,    717,    201,    5 400,    688,    1 714,    1 892,    816,    290
    25,    13 111,    1 668,    333,    729,    495,    95,    16,    1 736,    328,    716,    529,    137,    26
    26,    12 569,    1 384,    210,    498,499,    144,    33,    1 480,    188,    496,    559,    193,    44
    27,    10 998,    1 117,    132,    312,    421,    197,    55,    1 106,    112,    306,    402,    214,    72
    28,    7 635,    658,    55,    161,    223,    173,    46,    662,    36,    142,    257,    150,    77
    29,    5 313,    406,    23,    63,    161,    108,    51,    416,    24,    54,    145,    122,    71
  30-34岁,    37 766,    1676,    49,    187,    404,    446,    590,    1 703,    49,    182,    375,    507,    590
    30,    6 686,    388,    18,    56,    126,    89,    99,    456,    21,    64,    133,    136,    102
    31,    6 988,    358,    11,    42,    92,    116,    97,    348,    10,    35,    84,    107,    112
    32,    8 293,    395,    7,    47,    87,    99,    155,    350,    8,    35,    67,    118,    122
    33,    8 067,    304,    4,    21,    60,    87,    132,    317,    3,    35,    53,    88,    138
    34,    7 732,    231,    9,    21,    39,    55,    107,    232,    7,    13,    38,    58,    116
  35-39岁,    31 240,    678,    13,    30,    82,    106,    447,    709,    8,    40,    72,    131,    458
    35,    7 382,    212,    5,    8,    34,    41,    124,    216,    4,    15,    24,    43,    130
    36,    7 028,    175,    4,    11,    26,    26,    108,    188,    -,    11,    18,    42,    117
    37,    6 053,    118,    2,    4,    7,    18,    87,    127,    1,    8,    14,    18,    86
    38,    5 468,    86,    1,    4,    11,    10,    60,    94,    3,    2,    7,    17,    65
    39,    5 309,    87,    1,    3,    4,    11,    68,    84,    -,    4,    9,    11,    60
  40-44岁,    27 592,    293,       5,    7,       17,    40,    224,    235,    3,    4,    13,    20,    195
    40,    6 214,    78,    3,    1,    2,    14,    58,    71,    2,    1,    2,    7,    59
    41,    5 475,    71,    1,    4,    5,    10,    51,    49,    1,    3,    6,    3,    36
    42,    5 799,    50,    -,    1,    4,    7,    38,    60,-,-,    3,    8,    49
    43,    5 316,    53,    1,    1,    3,    5,    43,    29,-,-,-,-,    29
    44,    4 788,    41,-,-,    3,    4,    34,    26,-,-,    2,    2,    22
  45-49岁,    23 698,    54,    2,    2,-,    2,    48,    39,    1,-,    2,    4,    32
    45,    4 818,    22,    1,-,-,-,    21,    14,-,-,    1,    3,    10
    46,    4 647,    13,    1,    1,-,-,    11,    4,-,-,-,-,    4
    47,    4 605,    10,-,    1,-,    1,    8,    10,-,-,    1,    1,    8
    48,    4 897,    5,-,-,-,-,    5,    7,    1,-,-,-,    6
    49,    4 731,    4,-,-,-,    1,    3,    4,-,-,-,-,    4
  50岁,    4 542,    4,-,-,-,    1,    3,    3,-,-,-,    1,    2
哈萨克族,    265 601,    18 031,    4 132,    3 475,    2 603,    2 056,    5 765,    16 422,    4 807,    3 419,    2 380,    1 717,    4 099
  15-19岁,    68 895,    104,    87,    13,    3,    1,-,    147,    135,    10,    1,    1,-
    15,    14 545,-,-,-,-,-,-,-,-,-,-,-,-
    16,    14 343,    2,    1,-,-,    1,-,    1,    1,-,-,-,-
    17,    14 017,    11,    9,    2,-,-,-,    8,    8,-,-,-,-
    18,    13 930,    28,    25,    1,    2,-,-,    32,    28,    4,-,-,-
    19,    12 060,    63,    52,    10,    1,-,-,    106,    98,    6,    1,    1,-
  20-24岁,    57 201,    3 418,    2 099,    978,    275,    54,    12,    4 081,    2 638,    1 117,    260,    56,    10
    20,    13 247,    261,    224,    32,    4,    1,-,    363,    318,    43,    1,    1,     -
    21,    12 025,    437,    336,    89,    10,    2,-,    572,    445,    104,    20,    3,      -
    22,    11226,    669,    466,    164,    30,    5,    4,    829,    564,    230,    30,    3,    2
    23,    10 265,    861,    508,    263,    76,    12,    2,    1 011,    632,    296,    67,    14,    2
    24,    10 438,    1 190,    565,    430,    155,    34,    6,    1 306,    679,    444,    142,    35,    6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
