,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--23全国少数民族分年龄、性别的不在业人口状况,,,,,,,,,,,,,,,表3--23全国少数民族分年龄、性别的不在业人口状况(续02),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,  单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失劳动能力,,,    其它,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    11 554 267,    4 618 923,    6 935 344,    3 180 156,    1 905 438,    1 274 718,    4 551 212,    664 876,    3 886 336,    230 292,    136 425,    93 867,,,总计,    365 064,    187 464,    177 600,    859 057,    562 733,    296 324,    2 015 374,    910 980,    1 104 394,    353 112,    251 007,    102 105
  33,    65 259,    8 906,    56 353,    1 308,    996,    312,    53 363,    626,    52 737,-,-,-,,,  33,    2 000,    1 001,    999,    267,    139,    128,    3 861,    2 510,    1 351,    4 460,    3 634,    826
  34,    62 243,    8 370,    53 873,    1 069,    815,    254,    51 164,    654,    50 510,-,-,-,,,  34,    1 690,    855,    835,    321,    195,    126,    3 842,    2 455,    1 387,    4 157,    3 396,    761
35-39岁,    303 429,    40 645,    262 784,    3 237,    2 575,    662,    248 919,    3 621,    245 298,-,-,-,,,35-39岁,    5 869,    2 757,    3 112,    3 185,    2 042,    1 143,    23 598,    14 887,    8 711,    18 621,    14 763,    3 858
  35,    68 284,    9 347,    58 937,    1 043,    831,    212,    55 957,    809,    55 148,-,-,-,,,  35,    1 536,    752,    784,    467,    295,    172,    4 720,    3 000,    1 720,    4 561,    3 660,    901
  36,    64 159,    8 499,    55 660,    759,    604,    155,    52 696,    696,    52 000,-,-,-,,,  36,    1 352,    630,    722,    497,    326,    171,    4 744,    2 971,    1 773,    4 111,    3 272,    839
  37,    58 722,    8 096,    50 626,    577,    460,    117,    47 968,    740,    47 228,-,-,-,,,  37,    1 184,    557,    627,    656,    428,    228,    4 728,    3 042,    1 686,    3 609,    2 869,    740
  38,    59 426,    7 840,    51 586,    451,    359,    92,    48 930,    732,    48 198,-,-,-,,,  38,    969,    469,    500,    765,    504,    261,    4 899,    3 094,    1 805,    3 412,    2 682,    730
  39,    52 838,    6 863,    45 975,    407,    321,    86,    43 368,    644,    42 724,-,-,-,,,  39,    828,    349,    479,    800,    489,    311,    4 507,    2 780,    1 727,    2 928,    2 280,    648
40-44岁,    273 971,    36 669,    237 302,    1 213,    1 004,    209,    222 868,    4 955,    217 913,-,-,-,,,40-44岁,    2 372,    1 012,    1 360,    10 450,    5 329,    5 121,    24 066,    14 279,    9 787,    13 002,    10 090,    2 912
  40,    67 020,    9 073,    57 947,    451,    379,    72,    54 821,    1 138,    53 683,-,-,-,,,  40,    702,    315,    387,    1 497,    870,    627,    5 852,    3 468,    2 384,    3 697,    2 903,    794
  41,    51 888,    6 926,    44 962,    276,    235,    41,    42 373,    870,    41 503,-,-,-,,,  41,    525,    202,    323,    1 551,    834,        717,    4 523,    2 741,    1 782,    2 640,    2 044,    596
  42,    51 454,    6 851,    44 603,    220,    181,    39,    42 054,    953,    41 101,-,-,-,,,  42,    436,    182,    254,    1 841,    987,    854,    4 517,    2 694,    1 823,    2 386,    1 854,    532
  43,    52 428,    7 027,    45 401,    175,    134,    41,    42 530,    990,    41 540,-,-,-,,,  43,    374,    156,    218,    2 512,    1 255,    1 257,    4 599,    2 752,    1 847,    2 238,    1 740,    498
  44,    51 181,    6 792,    44 389,    91,    75,    16,    41 090,    1 004,    40 086,-,-,-,,,  44,    335,    157,    178,    3 049,    1 383,    1 666,    4 575,    2 624,    1 951,    2 041,    1 549,    492
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
