表3-2省自治区直辖市的市各民族人口数(第二种口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,    6 377 745,    3 379 241,    2 998 504,    6 319 079,    3 349 323,    2 969 756,    1 625,    880,    745,    44 553,    22 415,    22 138,,,内蒙古自治区,    173,    75,    98,    106,    54,    52,    360,    193,    167,    128,    61,    67,    812,    481,    331,,,内蒙古自治区,    68,    43,    25,    7 467,    3 544,    3 923,  132 707,    66 499,    66 208,    111,    53,    58,    43,    26,    17,,,内蒙古自治区,    75,    37,    38,    349,    207,    142,    16,    9,    7,    10,    3,   7,    11,    7,    4,,,山西省,    2,-,    2,    5,    3,    2,    5,    4,    1,    94,    60,    34,    4,    3,    1,,,内蒙古自治区,    3,    1,    2,    17,    10,    7,    26,    12,    14,    14,      10,    4,    2,-,    2,    40,    15,    25,    29,    12,    17,,,内蒙古自治区,  11 792,    5 840,    5 952,    8,    4,    4,    28,    20,    8,-,-,-,    1,    1,-,    5,    2,    3,    5,    2,    3,,,内蒙古自治区,    889,    454,    435,-,-,-,-,-,-,-,-,-,-,-,-,    3,1,    2,  1 168,    561,    607,,,内蒙古自治区,    1 295,    623,    672,-,-,-,    5,    3,    2,-,-,-,    2,    1,    1,    1,-,    1,-,-,-,,,山西省,    3,    1,    2,-,-,-,-,-,-,-,-,-,-,-,-,    30,    18,    12,    13,    7,    6
内蒙古自治区,    4 963 788,    2 558 569,    2 405 219,    4 285 836,    2 219 114,    2 066 722,    408 722,    204 329,    204 393,    111 022,    56 038,    54 984,,,辽宁省,    554,    359,    195,    347,    222,    125,    783,    435,    348,    221,    132,    89,    1 549,    896,    653,,,辽宁省,    186,    100,    86,    145 706,    70 843,    74 863,  822 218,  432 061,  390 157,    369,    217,    152,    202,    135,    67,,,辽宁省,    199,    102,    97,    830,    534,    296,    81,    53,    28,    26,    16,    10,    24,    15,    9,,,内蒙占自治区,    34,    18,    16,-,-,-,    12,    9,    3,    26,    18,    8,    39,    20,    19,,,辽宁省,    1,-,    1,    24,    13,    11,-,-,-,    55,    30,    25,    7,    4,    3,    13,    12,    1,    5,    1,    4,,,辽宁省,    264,    140,    124,    12,    7,    5,    18,    9,    9,-,-,-,-,-,-,7,6,1,    20,    12,    8,,,辽宁省,  49 532,  26 389,  23 143,    7,    3,    4,-,-,-,-,-,-,-,-,-,-,-,-,    100,    44,    56,,,辽宁省,    31,    17,    14,-,-,-,-,-,-,    5,    3,    2,    2,    2,-,    4,    4,-,-,-,-,,,内蒙古自治区,    228,    106,    122,    2,    2,-,-,-,-,-,-,-,-,-,-,    62,    38,    24,    36,    13,    23
辽宁省,    16 886 416,    8 591 459,    8 294 957,    15 587 456,    7 918 034,    7 669 422,    96 096,    49 997,    46 099,    178 880,    90 376,    88 504,,,吉林省,    56,    32,    24,    181,    119,    62,    243,    140,    103,    107,    70,    37,    537,    313,    224,,,吉林省,    97,    55,    42,    364 643,    179 921,    184 722,  205 813,  106 757,    99 056,    118,    73,    45,    70,    40,    30,,,吉林省,    179,    104,    75,    227,    150,    77,    20,    11,    9,    21,    18,    3,    19,    12,7,,,辽宁省,    47,    25,    22,    4,    3,    1,-,-,-,    83,    53,    30,    80,    39,    41,,,吉林省,    10,    5,    5,    6,    3,    3,    2,    1,    1,    4,    4,-,    1,-,    1,    12,    5,    7,    20,    13,    7,,,吉林省,    186,    99,    87,    4,    2,    2,    15,    10,    5,-,-,-,    7,    4,    3,-,-,-,    8,    3,    5,,,吉林省,    1 533,    809,    724,-,-,-,    1,    1,-,-,-,-,-,-,-,-,-,-,    27,    18,    9,,,吉林省,    30,    16,    14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,辽宁省,    30,    13,    17,    12,    6,    6,-,-,-,-,-,-,-,-,-,    60,    34,    26,    266,    63,    203
吉林省,    7 208 388,    3 658 486,    3 549 902,    6 545 966,    3 325 126,    3 220 840,    14 098,    7 210,    6 888,      73 860,    37 219,    36 641,,,黑龙江省,    92,    48,    44,    130,    71,    59,    790,    476,    314,    173,    92,    81,    950,    529,    421,,,黑龙江省,    129,    83,    46,    124 815,    61 471,    63 344,  261 648,  140 707,  120 941,    302,    178,    124,    135,    76,    59,,,黑龙江省,    142,    87,    55,    853,    536,    317,    7,    5,    2,    4,    4,-,    4,    4,-,,,吉林省,    4,    3,    1,    40,    18,    22,-,-,-,    21,    12,    9,    25,    13,    12,,,黑龙江省,    2,    1,    1,    20,    8,    12,    4,    1,    3,    16,    7,    9,-,-,-,    176,    82,    94,    22,    14,    8,,,黑龙江省,  24 473,  12 471,  12 002,    2,    1,    1,    10,    6,    4,-,-,-,    2,    2,-,    7,    5,    2,    11,    5,    6,,,黑龙江省,    2 946,    1 567,    1 379,-,-,-,    1,-,    1,    1,-,    1,    1,    1,-,    1,-,    1,    144,    48,    96,,,黑龙江省,    609,    298,    311,-,-,-,    5,    1,    4,    20,        12,    8,    3,    1,    2,    6,    4,    2,-,-,-,,,吉林省,    11,    1,    10,    79,    44,    35,-,-,-,-,-,-,    5,    3,    2,    35,    22,    13,    47,    7,    40
黑龙江省,    11 532 547,    5 875 502,    5 657 045,    10 987 462,    5 592 936,    5 394 526,    27 037,    13 777,    13 260,    97 091,    48 757,    48 334,,,上海市,    583,    302,    281,    482,    285,    197,    296,    178,    118,    136,    76,    60,    680,    436,    244,,,上海市,    101,    64,    37,    704,    366,    338,    3 896,    2 026,    1 870,    191,    119,    72,    74,    43,    31,,,上海市,    186,    98,    88,    488,    340,    148,    14,    3,    11,    60,    37,    23,    54,    23,    31,,,黑龙江省,    8,    3,    5,    13,    9,    4,    4,    3,    1,    39,    24,    15,    15,    8,    7,,,上海市,    4,    1,    3,    13,    8,    5,    1,-,    1,    35,    18,    17,-,-,-,    3,    3,-,    11,    8,    3,,,上海市,    23,    9,    14,    12,    7,    5,    2,-,    2,-,-,-,    5,    4,    1,    4,    2,    2,    8,    5,    3,,,上海市,    85,    45,    40,-,-,-,-,-,-,-,-,-,-,-,-,    4,    2,    2,    20,    13,    7,,,上海市,    2,-,    2,-,-,-,-,-,-,-,-,-,    2,    2,-,    6,    3,    3,-,-,-,,,黑龙江省,    541,    274,    267,    1 470,    737,    733,    1,-,    1,-,-,-,    1,-,    1,    37,    19,    18,    172,    53,    119
上海市,    8 214 384,    4 261 658,    3 952 726,    8 155 513,    4 231 895,    3 923 618,    1 844,    974,    870,    48 570,    24 101,    24 469,,,江苏省,    590,    362,    228,    208,    151,    57,    573,    358,    215,    152,    96,    56,    836,    501,    335,,,江苏省,    184,    133,    51,    680,    339,    341,    4 213,2 191,    2 022,    204,    121,    83,    76,    44,    32,,,江苏省,    219,    141,    78,    555,    376,    179,    20,    14,    6,    15,    11,    4,    25,    8,    17,,,上海市,    31,    20,    11,    3,    1,    2,    7,     2,    5,    127,    83,    44,    49,    30,    19,,,江苏省,    2,    2,-,    74,    58,    16,    1,    1,-,    49,    34,    15,-,-,-,    2,    2,-,    17,    10,    7,,,江苏省,    31,    13,    18,    31,    16,    15,    5,    2,    3,    1,-,    1,    6,    4,    2,    5,    3,    2,    43,    32,    11,,,江苏省,    82,    43,    39,-,-,-,    1,    1,-,-,-,-,-,-,-,    1,    1,-,    54,    26,    28,,,江苏省,    7,    4,    3,-,-,-,-,-,-,    1,    1,-,    4,    3,    1,-,-,-,-,-,-,,,上海市,    6,    3,    3,    3,-,    3,-,-,-,-,-,-,-,-,-,    28,    18,    10,    18,    5,    13
江苏省,    10 339 130,    5 405 236,    4 933 894,    10 246 184,    5 358 045,    4 888 139,    2 073,    1 118,    955,81 716,    40 857,    40 859,,,浙江省,    233,    128,    105,    31,    23,    8,    486,    164,    322,    147,    32,    115,    1 086,    335,    751,,,浙江省,    218,    57,    161,    160,    82,    78,    1 826,    912,    914,    136,    70,    66,    56,    28,    28,,,浙江省,    103,    31,    72,    291,    138,    153,    7,    5,   2,-,-,-,    26,-,    26,,,江苏省,    32,    17,    15,    5,    3,    2,-,-,-,    77,    51,    26,    36,    17,    19,,,浙江省,    1,-,    1,    28,    6,    22,    1,-,    1,    70,    8,    62,    1,-,    1,-,-,-,    41,    9,    32,,,浙江省,    7,    3,    4,    3,    2,    1,    3,-,    3,    1,-,    1,    4,-,    4,    6,    4,    2,    5,    2,    3,,,浙江省,    18,    8,    10,-,-,-,    3,-,    3,-,-,-,    1,-,    1,-,-,-,    2,    1,    1,,,浙江省,-,-,-,-,-,-,-,-,-,    2,    1,    1,   2,-,    2,-,-,-,    3,-,    3,,,江苏省,    4,    2,    2,-,-,-,    6,    5,    1,    1,    1,-,-,-,-,    23,    15,    8,    6,    3,    3
浙江省,    6 588 635,    3 397 686,    3 190 949,    6 575 694,    3 391 588,    3 184 106,    260,    133,    127,    5 824,    2 959,    2 865,,,安徽省,    317,    153,    164,    54,    34,    20,    391,    233,    158,    146,    80,    66,    691,    380,    311,,,安徽省,    344,    207,    137,    417,    201,    216,    2 803,    1 453,    1 350,    122,    72,    50,    40,    25,    15,,,安徽省,    68,    39,    29,    592,    374,    218,    11,     5,    6,    11,    9,    2,    11,    6,   5,,,浙江省,    23,    14,    9,    6,    2,    4,    2,    1,    1,    1 725,    928,    797,    17,     7,    10,,,安徽省,    3,    2,    1,    13,    8,    5,    2,    2,-,    14,    4,    10,-,-,-,-,-,-,    10,    5,    5,,,安徽省,    15,    3,    12,    20,    12,    8,    5,    4,    1,-,-,-,-,-,-,    5,    3,    2,    86,    46,    40,,,安徽省,    46,    15,    31,-,-,-,    2,-,    2,-,-,-,-,-,-,    1,    1,-,    8,    4,    4,,,安徽省,    1,    1,-,-,-,-,-,-,-,-,-,-,    3,   3,-,-,-,-,    1,-,    1,,,浙江省,-,-,-,    15,    2,    13,-,-,-,-,-,-,-,-,-,    54,    3,    51,    7,-,    7
安徽省,    6 921 432,    3 628 007,    3 293 425,    6 816 161,    3 575 635,    3 240 526,    428,    203,    225,    98 406,    48 672,    49 734,,,福建省,    40,    11,    29,    19,    11,    8,    685,    351,    334,    71,    37,    34,    1 273,    377,    896,,,福建省,    152,    83,    69,    94,    40,    54,    2 372,    1 230,    1 142,    138,    68,    70,    62,    24,    38,,,福建省,    23,    12,    11,    365,    240,    125,-,-,-,    1,-,    1,    17,    11,    6,,,安徽省,    5,    2,    3,-,-,-,    4,     3,    1,    124,    77,    47,    28,    17,    11,,,福建省,    2,-,    2,    22,    13,    9,    5,    4,    1,    30,    14,    16,    2,    1,    1,-,-,-,    18,    6,    12,,,福建省,    2,-,    2,    18,    9,    9,    2,    1,    1,    1,-,    1,-,-,-,    9,-,    9,    13,    5,    8,,,福建省,    11,    4,    7,-,-,-,    2,-,    2,    1,    1,-,    4,    1,    3,    3,    1,    2,    6,    3,    3,,,福建省,-,-,-,-,-,-,    1,-,    1,-,-,-,    33,    8,    25,-,-,-,-,-,-,,,安徽省,-,-,-,    1,    1,-,-,-,-,-,-,-,-,-,-,    17,    13,    4,    5,-,    5
福建省,    3 979 179,    2 066 464,    1 912 715,    3 944 400,    2 047 226,    1 897 174,    421,      241,    180,    13 571,    7 935,    5 636,,,江西省,    343,    185,    158,    11,    4,    7,    345,    171,    174,    77,    53,    24,    826,    445,    381,,,江西省,    82,    36,    46,    102,    55,    47,    2 564,    1 413,    1 151,    181,    102,    79,    206,    112,    94,,,江西省,    113,    59,    54,    279,    164,    115,    10,    8,     2,-,-,-,    14,    4,    10,,,福建省,    7,    2,    5,    3,-,    3,-,-,-,    15 010,    8 348,    6 662,    218,    129,    89,,,江西省,    1,    1,-,    27,    14,    13,    1,    1,-,    22,    11,    11,    4,    3,    1,-,-,-,    9,    5,    4,,,江西省,    7,    1,    6,    6,    4,    2,    6,    2,    4,-,-,-,-,-,-,    18,    11,    7,    14,    9,    5,,,江西省,    51,    31,    20,-,-,-,2,    1,    1,-,-,-,-,-,-,-,-,-,    2,-,    2,,,江西省,-,-,-,-,-,-,-,-,-,-,-,-,    6,    3,    3,-,-,-,    1,-,    1,,,福建省,    1,-,    1,-,-,-,-,-,-,    1,-,    1,-,-,-,    12,    10,    2,    38,    7,    31
