,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--19全国少数民族分年龄、性别的各行业门类人口数,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
   单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,  Ⅶ、房地产管理、公用事业,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  年龄别,,,,,,,    、物资供销和仓储业,,,    、居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    年龄别,,,,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    385 418,    315 558,    69 860,    539 754,    448 225,    91 529,  1 342 390,    718 347,    624 043,    245 887,    130 256,  115 631,    304 753,    140 917,  163 836,,,总计,    1 209 826,    774 383,    435 443,    57 543,    35 446,    22 097,    141 492,    91 860,    49 632,    928 767,    729 581,    199 186,    5 954,    4 567,    1 387
  23,    1 703 570,    892 659,    810 911,    1 420 181,    725 921,    694 260,    108 861,    62 103,    46 758,    740,    521,    219,,,  24,    15 080,    12 303,    2 777,    23 132,    18 845,    4 287,    51 254,    25 416,    25 838,    9 584,    4 867,    4 717,    11 397,    4 184,    7 213,,,  24,    52 915,    29 710,    23 205,    2 009,    1 152,    857,    7 983,    4 660,    3 323,    34 497,    24 383,    10 114,    267,    217,    50
  24,    1 832 861,    967 381,    865 480,    1 502 141,    770 277,    731 864,    121 696,    70 741,    50 955,    906,    626,    280,,,25-29岁,    71 553,    56 980,    14 573,    114 288,    92 415,    21 873,    267 363,    134 128,    133 235,    45 044,    24 161,    20 883,    59 488,    23 130,    36 358,,,25-29岁,    231 227,    136 095,    95 132,    11 393,    6 572,    4 821,    36 871,    21 974,    14 897,    174 781,    127 410,    47 371,    842,    614,    228
25-29岁,    7 302 079,    3 894 830,    3 407 249,    5 739 814,    2 949 692,    2 790 122,    544 331,    318 223,    226 108,    5 084,    3 436,    1 648,,,  25,    16 129,    13 083,    3 046,    25 408,    20 743,    4 665,    57 625,    28 907,    28 718,    10 028,    5 290,    4 738,    13 532,    5 148,    8 384,,,  25,    54 972,    31 775,    23 197,    2 305,    1 366,    939,    8 586,    5 144,    3 442,    40 332,    28 741,    11 591,    218,    165,    53
  25,    1 841 554,    973 609,    867 945,    1 484 054,    757 857,    726 197,    127 299,    74 675,    52 624,    1 066,    715,    351,,,  26,    16 936,    13 426,    3 510,    27 545,    22 106,    5 439,    63 891,    31 600,    32 291,    10 928,    5 732,    5 196,    15 057,    5 711,    9 346,,,  26,    55 606,    32 069,    23 537,    2 884,    1 662,    1 222,    9 125,    5 433,    3 692,    42 897,    30 802,    12 095,    209,    157,    52
  26,    1 772 025,    940 488,    831 537,    1 391 891,    713 395,    678 496,    133 871,    77 589,    56 282,    1 185,    806,    379,,,  27,    18 425,    14 640,    3 785,    29 395,    23 834,    5 561,    68 523,    34 209,    34 314,    11 321,    6 260,    5 061,    14 825,    5 929,    8 896,,,  27,    58 099,    34 616,    23 483,    2 931,    1 684,    1 247,    9 629,    5 739,    3 890,    43 752,    32 273,    11 479,    209,    153,    56
  27,    1 786 784,    965 917,    820 867,    1 390 152,    724 681,    665 471,    1 38 258,    81 028,    57 230,    1 265,    871,    394,,,  28,    10 611,    8 484,    2 127,    17 139,    13 890,    3 249,    41 918,    21 630,    20 288,    6 630,    3 635,    2 995,    8 935,    3 550,    5 385,,,  28,    35 698,    21 782,    13 916,    1 756,    996,    760,    5 440,    3 259,    2 181,    26 783,    20 000,    6 783,    121,    87,    34
  28,    1 106 116,    590 962,    515 154,    874 847,    448 494,    426 353,    75 394,    44 602,    30 792,    844,    553,    291,,,  29,    9 452,    7 347,    2 105,    14 801,    11 842,    2 959,    35 406,    17 782,    17 624,    6 137,    3 244,    2 893,    7 139,    2 792,    4 347,,,  29,    26 852,    15 853,    10 999,    1 517,    864,    653,    4 091,    2 399,    1 692,    21 017,    15 594,    5 423,    85,    52,    33
  29,    795 600,    423 854,    371 746,    598 870,    305 265,    293 605,    69 509,    40 329,    29 180,    724,    491,    233,,,30-34岁,    66 798,    52 348,    14 450,    95 019,    77 388,    17 631,    219 382,    112 356,    107 026,    38 101,    20 716,    17 385,    50 865,    20 921,  29 944,,,30-34岁,    178 399,    111 360,    67 039,    8 424,    4 857,    3 567,    20 806,    13 366,    7 440,    138 731,    105 719,    33 012,    616,    430,    186
30-34岁,    5 496 913,    2 973 758,    2 523 155,    4 236 240,    2 190 843,    2 045 397,    438 004,    259 642,    178 362,    5 528,    3 812,    1 716,,,  30,    12 618,    9 952,    2 666,    18 575,    15 017,    3 558,    44 909,    23 242,    21 667,    7 358,    4 047,    3 311,    8 773,    3 501,    5 272,,,  30,    32 732,    19 767,    12 965,    1 709,    990,    719,    4 751,    2 942,    1 809,    25 853,    19 570,    6 283,    129,    85,    44
  30,    1 036 740,    557 312,    479 428,    793 341,    407 493,    385 848,    84 996,    50 046,    34 950,    996,    660,    336,,,  31,    11 950,    9 401,    2 549,    17 385,    13 961,    3 424,    41 410,    21 139,    20 271,    7 004,    3 795,    3 209,    8 890,    3 606,    5 284,,,  31,    31 258,    19 083,    12 175,    1 475,    837,    638,    4 194,    2 664,    1 530,    25 341,    19 343,    5 998,    112,    89,    23
