,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--19全国少数民族分年龄、性别的各行业门类人口数,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
   单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,  Ⅶ、房地产管理、公用事业,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  年龄别,,,,,,,    、物资供销和仓储业,,,    、居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    年龄别,,,,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    385 418,    315 558,    69 860,    539 754,    448 225,    91 529,  1 342 390,    718 347,    624 043,    245 887,    130 256,  115 631,    304 753,    140 917,  163 836,,,总计,    1 209 826,    774 383,    435 443,    57 543,    35 446,    22 097,    141 492,    91 860,    49 632,    928 767,    729 581,    199 186,    5 954,    4 567,    1 387
    年龄别,,,,,,,,,,,,,,,    年龄别,,,,,,,    、物资供销和仓储业,,,    、居民服务和咨询服务业,,,,,,,,  年龄别,,,,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
45-49岁,    3 361 732,    1 855 936,    1 505 796,    2 776 658,    1 443 841,    1 332 817,    180 391,    125 800,    54 591,    2 754,    2 257,    497,,,45-49岁,    26 425,    22 351,    4 074,    35 341,    30 474,    4 867,    89 980,    52 891,    37 089,    14 148,    8 130,    6 018,    27 487,    14 802,    12 685,,,45-49岁,    110 912,    75 066,    35 846,    6 074,    3 662,    2 412,    8 691,    7 006,    1 685,    82 561,    69 420,    13 141,    310,    236,    74
  45,    726 698,    393 566,    333 132,    600 614,    305 814,    294 800,    40 337,    27 642,    12 695,    595,    491,    104,,,  45,    6 227,    5 310,    917,    7 643,    6 655,    988,    20 381,    11 876,    8 505,    3 228,    1 813,    1 415,    5 557,    3 049,    2 508,,,  45,    21 653,    14 102,    7 551,    973,    547,    426,    1 759,    1 411,    348,    17 655,    14 802,    2 853,    76,    54,    22
  46,    687 491,    379 372,    308 119,    568 919,    296 402,    272 517,    36 325,      25 243,    11 082,    535,    436,    99,,,  46,    5 550,    4 724,    826,    7 138,    6 171,    967,    18 727,    11 040,    7 687,    2 953,    1 679,    1 274,    5 561,    3 015,    2 546,,,  46,    21 885,    14 326,    7 559,    1 077,    629,    448,    1 765,    1 412,    353,    16 997,    14 248,    2 749,    59,    47,    12
  47,    660 034,    365 293,    294 741,    542 287,    282 914,    259 373,    35 868,    24 883,    10 985,    547,    447,    100,,,  47,    5 117,    4 299,    818,    6 961,    5 946,    1 015,    17 705,    10 348,    7 357,    2 812,    1 642,    1 170,    5 647,    3 006,    2 641,,,  47,    23 181,    15 510,    7 671,    1 222,    750,    472,    1 809,    1 468,    341,    16 814,    14 029,    2 785,    64,    51,    13
  48,    664 919,    368 396,    296 523,    550 871,    287 908,    262 963,    35 010,    24 423,    10 587,    507,    412,    95,,,  48,    4 922,    4 131,    791,    6 959,    5 975,    984,    17 052,    10 009,    7 043,    2666,    1 535,    1 131,    5 416,    2 873,    2 543,,,  48,    22 449,    15 468,    6 981,    1 376,    842,    534,    1 752,    1 419,    333,    15 884,    13 361,    2 523,    55,    40,    15
  49,    622 590,    349 309,    273 281,    513 967,    270 803,    243 164,    32 851,    23 609,    9 242,    570,    471,    99,,,  49,    4 609,    3 887,    722,    6 640,    5 727,    913,    16 115,    9 618,    6 497,    2 489,    1 461,    1 028,    5 306,    2 859,    2 447,,,  49,    21 744,    15 660,    6 084,    1 426,    894,    532,    1 606,    1 296,    310,    15 211,    12 980,    2 231,    56,    44,    12
50-54岁,    2 782 684,    1 617 348,    1 165 336,    2 359 005,    1 278 930,    1 080 075,    114 565,    95 773,    18 792,    2 683,    2 374,    309,,,50-54岁,    17 512,    15 670,    1 842,    24 865,    22 941,    1 924,    65 745,    44 203,    21 542,    9 573,    6 762,    2 811,    21 366,    12 882,    8 484,,,50-54岁,    81 541,    63 874,    17 667,    6 588,    4 816,    1 772,    8 008,    6 977,    1 031,    70 988,    61 941,    9 047,    245,    205,    40
  50,    655 419,    368 426,    286 993,    550 985,    289 035,    261 950,    29 618,    23 230,    6 388,    620,    523,    97,,,  50,    4 338,    3 820,    518,    6 277,    5 596,    681,    15 921,    10 095,    5 826,    2 294,    1 486,    808,    5 393,    3 002,    2 391,,,  50,    20 910,    15 487,    5 423,    1 446,    978,    468,    1 758,    1 487,    271,    15 788,    13 625,    2 163,    71,    62,    9
  51,    553 287,    323 005,    230 282,    463 852,    252 394,    211 458,    24 740,    20 536,    4 204,    571,    508,    63,,,  51,    3 696,    3 298,    398,    5 325,    4 902,    423,    13 365,    8 811,    4 554,    1 955,    1 353,    602,    4 597,    2 718,    1 879,,,  51,    17 545,    13 501,    4 044,    1 397,    995,    402,    1 623,    1 390,    233,    14 573,    12 569,    2 004,    48,    30,    18
  52,    561 618,    330 514,    231 104,    476 425,    261 440,    214 985,    22 695,    19 384,    3 311,    548,    483,    65,,,  52,    3 554,    3 172,    382,    5 108,    4 763,    345,    13 087,    8 949,    4 138,    1 921,    1 388,    533,    4 273,    2 626,    1 647,,,  52,    16 456,    13 139,    3 317,    1 370,    1 036,    334,    1 632,    1 432,    200,    14 504,    12 663,    1 841,    45,    39,    6
  53,    520 695,    306 521,    214 174,    444 623,    244 066,    200 557,    19 812,    17 125,    2 687,    471,    432,    39,,,  53,    3 105,    2 807,    298,    4 494,    4 220,    274,    12 096,    8 445,    3 651,    1 774,    1 339,    435,    3 768,    2 334,    1 434,,,  53,    14 224,    11 495,    2 729,    1 242,    942,    300,    1 549,    1 377,    172,    13 501,    11 906,    1 595,    36,    33,    3
  54,    491 665,    288 882,    202 783,    423 120,    231 995,    191 125,    17 700,    15 498,    2 202,    473,    428,    45,,,  54,    2 819,    2 573,    246,    3 661,    3 460,    201,    11 276,    7 903,    3 373,    1 629,    1 196,    433,    3 335,    2 202,    1 133,,,  54,    12 406,    10 252,    2 154,    1 133,    865,    268,    1 446,    1 291,    155,    12 622,    11 178,    1 444,    45,    41,    4
55-59岁,    2 030 020,    1 226 494,    803 526,    1 803 446,    1 025 722,    777 724,    51 911,    47 418,    4 493,    826,    806,        20,,,55-59岁,    8 301,    7 912,    389,    10 807,    10 424,    383,    44 622,    33 678,    10 944,    6 338,    5 146,    1 192,    9 818,    7 810,    2 008,,,55-59岁,    36 801,    34 026,    2 775,    2 892,    2 574,    318,    5 294,    5 034,    260,    48 814,    45 806,    3 008,    150,    138,    12
  55,    481 746,    284 409,    197 337,    421 623,    232 699,    188 924,    14 871,    13 342,    1 529,    269,    258,    11,,,  55,    2 391,    2 239,    152,    3 023,    2 882,    141,    10 864,    7 877,    2 987,    1 551,    1 206,    345,    2 791,    2 014,    777,,,  55,    10 303,    9 087,    1 216,    918,    767,    151,    1 330,    1 241,    89,    11 784,    10 772,    1 012,    28,    25,    3
  56,    431 681,    261 165,    170 516,    379 427,    214 794,    164 633,    1 1 984,    10 936,    1 048,    202,    198,    4,,,  56,    2 081,    1 971,    110,    2 609,    2 513,    96,    9 886,    7 485,    2 401,    1 392,    1 135,    257,    2 290,    1 786,    504,,,  56,    8 242,    7 617,    625,    692,    626,    66,    1 290,    1 215,    75,    11 548,    10 855,    693,    38,    34,    4
  57,    407 097,    248 318,    158 779,    361 740,    207 635,    154 105,    10 203,    9 418,    785,    167,    165,    2,,,  57,    1 562,    1 500,    62,    2 219,    2 153,    66,    9 108,    6 949,    2 159,    1 265,    1 038,    227,    1 859,    1 530,    329,,,  57,    7 039,    6 632,    407,    536,    492,    44,    1 149,    1 097,    52,    10 215,    9 676,    539,    35,    33,    2
  58,    367 539,    222 870,    144 669,    330 889,    189 891,    140 998,    7 890,    7 280,    610,    99,    97,    2,,,  58,    1 219,    1 186,    33,    1 597,    1 549,    48,    7 699,    5 911,    1 788,    1 086,    896,    190,    1 538,    1 324,    214,,,  58,    5 989,    5 681,    308,    405,    371,    34,    833,    805,    28,    8 269,    7 855,    414,    26,    24,    2
  59,    341 957,    209 732,    132 225,    309 767,    180 703,    129 064,    6 963,    6 442,    521,    89,    88,    1,,,  59,    1 048,    1 016,    32,    1 359,    1 327,    32,    7 065,    5 456,    1 609,    1 044,    871,    173,    1 340,    1 156,    184,,,  59,    5 228,    5 009,    219,    341,    318,    23,    692,    676,    16,    6 998,    6 648,    350,    23,    22,    1
60-64岁,    1 187 243,    746 651,    440 592,    1 116 659,    686 350,    430 309,    15 402,    13 907,    1 495,    51,    48,    3,,,60-64岁,    2 247,    2 185,    62,    2 387,    2 314,    73,    21 293,    15 517,    5 776,    3 298,    2 749,    549,    2 937,    2 514,    423,,,60-64岁,    11 008,    10 209,    799,    468,    435,    33,    893,    845,    48,    10 495,    9 486,    1 009,    105,    92,    13
  60,    350 321,    212 756,    137 565,    325 909,    191 493,    134 416,    5 140,    4 623,    517,    24,    22,    2,,,  60,    815,    794,    21,    912,    881,    31,    6 638,    4 941,    1 697,    975,    816,    159,    946,    806,    140,,,  60,    3 868,    3 627,    241,    182,    171,    11,    396,    381,    15,    4 489,    4 179,    310,    27,    22,    5
  61,    244 515,    152 520,    91 995,    230 036,     140 249,    89 787,    3 060,    2 758,    302,    12,    12,-,,,  61,    472,    454,    18,    501,    476,    25,    4 403,    3 115,    1 288,    682,    586,    96,    659,    571,    88,,,  61,    2 111,    1 941,    170,    103,    95,    8,    186,    179,    7,    2 267,    2 061,    206,    23,    23,   -
  62,    237 308,    150 801,    86 507,    224 484,    139 962,    84 522,    2 978,    2 692,    286,    8,    7,    1,,,  62,    401,    393,    8,    361,    355,    6,    3 960,    2 856,    1 104,    651,    533,    118,    545,    460,    85,,,  62,    1 994,    1 833,    161,    87,    81,    6,    155,    142,    13,    1 659,    1 466,    193,    25,    21,    4
  63,    191 159,    123 418,    67 741,    181 193,    115 026,    66 167,    2 231,    2 008,    223,    6,        6,-,,,  63,    297,    286,    11,    335,    329,    6,    3 297,    2 404,    893,    519,    426,    93,    418,    365,    53,,,  63,    1 587,    1 463,    124,    49,    46,    3,    75,    67,    8,    1 140,    982,    158,    12,    10,    2
  64,    163 940,    107 156,    56 784,    155 037,    99 620,    55 417,    1 993,    1 826,    167,    1,    1,-,,,  64,    262,    258,    4,    278,    273,    5,    2 995,    2 201,    794,    471,    388,    83,    369,    312,    57,,,  64,    1 448,    1 345,    103,    47,    42,     5,    81,    76,    5,    940,    798,    142,    18,    16,    2
65岁及以上,    945 186,    655 962,    289 224,    893 271,    611 324,    281 947,    10 108,    9 307,    801,    15,    15,-,,,65岁及以上,    1 162,    1 131,    31,    1 021,    991,    30,    18 635,    14 401,    4 234,    3 046,    2 598,    448,    2 228,    1 972,    256,,,65岁及以上,    10 778,    9 938,    840,    207,    195,    12,    250,    244,    6,    4 373,    3 762,    611,    92,    84,    8
