表3-20全国各民族分职业大类的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, 单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,    Ⅶ、生产工人、运输,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,    Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    工人和有关人员,,,    Ⅷ、不便分类的其他劳动者,,
  民族别,,,,,,,    企事业单位负责人,,,,,,,,,,,    民族别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,647 244 706, 356 230 253, 291 014 453,  34 393 821,  18 829 927, 15 563 894, 11 328 317, 10 024 495, 1 303 822, 11 275 891, 8 382 217, 2 893 674, 19 472 273, 10 385 995, 9 086 278,,,总计,  15 511 513,    7 502 533,    8 008 980,  456 819 731, 237 806 378,  219 013 353,  98 125 481,  63 1 15 886,  35 009 595,    317 679,    182 822,    134 857
土家族,  3 394 994,  1 824 908,  1 570 086,    114 579,    77 353,    37 226,    30 789,    28 714,    2 075,    34 056,    28 176,    5 880,    39 996,    18 544,  21 452,,,土家族,    32 642,    14 330,    18 312,    3 006 735,  1 557 950,    1 448 785,    1 35 693,    99 543,    36 150,    504,    298,    206
哈尼族,    683 938,    350 285,    333 653,    12 361,    9 172,    3 189,    3 558,    3 396,    162,    4 972,    4 448,    524,    3 607,    1 928,    1 679,,,哈尼族,    3 450,    1 255,    2 195,    641 832,    318 889,    322 943,    14 151,    1 1 190,    2 961,    7,    7,    -
哈萨克族,    447 563,    262 146,    185 417,    39 430,    24 680,    14 750,    8 146,    7 666,    480,    8 058,    6 185,    1 873,    5 903,    3 243,    2 660,,,哈萨克族,    7 072,    3 579,    3 493,    359 225,    203 295,    155 930,    19 562,    13 399,    6 163,    167,    99,    68
傣族,    568 245,    291 184,    277 061,    13 394,    8 240,    5 154,    3 420,    3 072,    348,    4 129,    3 252,    877,    4 005,    1 496,    2 509,,,傣族,    2 952,    827,    2 125,    527 912,    264 919,    262 993,    12 430,    9 378,    3 052,    3,     -,    3
黎族,    554 805,    285 485,    269 320,    16 103,    10 777,    5 326,    3 856,    3 507,    349,    6 676,    5 608,    1 068,    5 733,    2 086,    3 647,,,黎族,    4 069,    939,    3 130,    505 483,    254 125,    251 358,    12 855,    8 424,    4 431,    30,    19,    11
傈僳族,    325 953,    166 140,    159 81 3,    4 656,    3 657,    999,    1 685,    1 604,    81,    1 774,    1 564,    210,    963,    548,    415,,,傈僳族,    723,    310,    413,    312 612,    155 417,    157 195,    3 537,    3 039,    498,    3,    1,2
佤族,    194 586,    98 787,    95 799,    3 381,    2 575,    806,    1 059,    1 011,    48,    1 219,    1 070,    149,    766,    360,    406,,,佤族,    543,    182,    361,    183 499,    90 332,    93167,    4 119,    3 257,    862,     -,    -,     -
畲族,    318 936,    203 844,    115 092,    10 014,    6 762,    3 252,    2 460,    2 318,    142,    3 024,    2 523,    501,    5 013,    3 056,    1 957,,,畲族,    3 530,    1 845,    1 685,    265 720,    165 222,    100 498,    29 136,    22 095,    7 041,    39,    23,    16
高山族,    1 445,    734,    711,    243,    113,    130,    61,    46,    15,    107,    67,    40,    120,    53,    67,,,高山族,    67,    27,    40,    457,    195,    262,    388,    233,    155,    2,     -,    2
拉祜族,    233 149,    120 442,    1 12 707,    2 606,    1 514,    1 092,    675,    627,    48,    922,    788,    134,    753,    293,    460,,,拉祜族,    709,    230,    479,    224 479,    114 806,    109 673,    3 004,    2 184,    820,    1,      -,    1
水族,    189 469,    96 433,    93 036,    3 936,    2 761,    1 175,    1 095,    1 002,    93,    1 192,    978,    214,    1 163,    514,    649,,,水族,    800,    434,    366,    177 239,    87 653,    89 586,    4 036,    3 084,    952,    8,    7,    1
东乡族,    208 206,    109 491,    98 715,    2 268,    1 850,    418,    851,    827,    24,    559,    449,    110,    1 206,    1 002,    204,,,东乡族,    727,    559,    168,    200 653,    103 139,    97 514,    1 938,    1 662,    276,    4,    3,    1
纳西族,    161 485,    81 404,    80 081,    9 566,    5 958,    3 608,    2 470,    2 275,    195,    3 044,    2 445,    599,    2 898,    1 179,    1 719,,,纳西族,    2 300,    601,    1 699,    130 773,    61 667,    69 106,    10 428,    7 275,    3 153,    6,    4,    2
景颇族,    58 719,    28 879,    29 840,    1 681,    909,    772,    560,    509,    51,    687,    532,    155,    422,    121,    301,,,景颇族,    372,    82,    290,    53 776,    25 957,    27 819,    1 221,    769,    452,     -,    -,    -
柯尔克孜族,    61 411,    33 352,    28 059,    4 146,    2 759,    1 387,    981,    915,    66,    1 038,    835,    203,    451,    264,    187,,,柯尔克孜族,    769,    439,    330,    52 256,    26 837,    25 419,    1 762,    1 298,    464,    8,    5,    3
土族,    103 170,    54 591,    48 579,    4 763,    3 565,    1 198,    923,    867,    56,    1 031,    800,    231,    710,    406,    304,,,土族,    763,    382,    381,    90 845,    45 414,    45 431,    4 1 16,    3 146,    970,    19,    1 1,    8
达斡尔族,    46 602,    29 678,    16 924,    7 930,    2 933,    4 997,    2 387,    1 909,    478,    3 006,    2 023,    983,    2 196,    850,    1 346,,,达斡尔族,    2 211,    1 140,    1 071,    21 050,    15 225,    5 825,    7 652,    5 485,    2 167,    170,    113,    57
仫佬族,    79 134,    41 247,    37 887,    4 098,    2 233,    1865,    1 205,    1 090,    115,    1 314,    1 018,    296,    2 319,    877,    1 442,,,仫佬族,    1 186,    440,    746,    63 890,    32 301,    31 589,    5 120,    3 286,    1 834,     2,    2,    -
羌族,    109 066,    56 179,    52 887,    4 555,    2 888,    1 667,    1 289,    1 156,    133,    1 438,    1 081,    357,    1 012,    421,    591,,,羌族,    935,    387,    548,    96 611,    47 801,    48 810,    3 212,    2 436,    776,    14,    9,    5
布朗族,    44 352,    22 975,    21 377,    665,    512,    1 53,    265,    252,    13,    240,    217,    23,    148,    70,    78,,,布朗族,    113,    45,    68,    42 364,    21 422,    20 942,    557,    457,    100,    -,    -,    -
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--20全国各民族分职业大类的人口数(续01),,,,,,,,,,,,,,,,,,表3--20全国各民族分职业大类的人口数(续03),,,,,,,,,,,,
  单位：人,,,,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,  Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,,,,,,,,,,,,,
    民族别,,,,,,,    企事业单位负责人,,,,,,,,,,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运输,,,    Ⅷ、不便分类的其他劳动者,,
,  合计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    民族别,,,,,,,    工人和有关人员,,,,,
