表3-10省自治区直辖市的市少数民族人口的文化程度状况(第二种口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
,    6岁及6岁以上人口数,,,    大学本科,,,    大学专科,,,    中专,,,,,    地区别,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    1 102 752,    579 389,    523 363,    2 400 244,    1 302 927,  1 097 317,    2 317 338,    1 219 136,    1 098 202,    997 598,    343 177,    654 421
湖南省,    342 260,    182 920,    159 340,    5 733,    4 335,    1 398,    11 096,    7 814,    3 282,    16 412,    9 737,    6 675,,,广东省,    9 043,    5 083,    3 960,    22 756,    10 854,    11 902,    15 739,    6 516,    9 223,    2 895,    792,    2 103
广东省,    58 921,    28 331,    30 590,    3 178,    2 143,    1 035,    2 640,    1 626,    1 014,    2 670,    1 317,    1 353,,,广西壮族自治区,    74 508,    42 989,    31 519,    165 727,    91 793,    73 934,    195 623,    97 776,    97 847,    43 442,    9 811,    33 631
广西壮族自治区,    555 513,    291 229,    264 284,    15 846,    11 813,    4 033,    20 684,    14 389,    6 295,    39 683,    22 658,    17 025,,,海南省,    9 046,    6 201,    2 845,    36 851,    21 881,    14 970,    64 496,    33 174,    31 322,        39 820,    14 536,    25 284
海南省,    154 191,    78 418,    75 773,    484,    368,    116,    1 462,    1 070,    392,    2 032,    1 188,    844,,,四川省,    12 908,    6 757,    6 151,    26 296,    14 651,    11 645,37148,    18 834,    18 314,    17 818,    5 676,    12 142
四川省,    117 131,    60 346,    56 785,    8 834,    5 957,    2 877,    5 455,    3 526,    1 929,    8 672,    4 945,    3 727,,,贵州省,    36 286,    20 719,    15 567,    118 988,    76 969,    42 019,    230 649,    142 857,    87 792,    185 870,    62 346,    123 524
贵州省,    624 065,    337 690,    286 375,    11209,      8 239,    2 970,    13 727,    9 572,    4 155,    27 336,    16 988,    10 348,,,云南省,    26 767,    14 154,    12 613,    70 830,    39 955,    30 875,    91 260,    50 670,    40 590,    38 872,    13 098,    25 774
云南省,    268 096,    143 399,    124 697,    11 865,    7 986,    3 879,    10 389,    7 121,    3 268,    18 113,    10 415,    7 698,,,西藏自治区,    3 780,    2 106,    1 674,    15 750,    8 891,    6 859,    42 280,    24 265,    18 015,    40 038,    14 293,    25 745
西藏自治区,    112 180,    55 612,    56 568,    1 128,    755,    373,    2 499,    1 686,    813,    6 705,    3 616,    3 089,,,陕西省,    15 573,    7 805,    7 768,    24 014,    12 182,    11 832,    20 248,    10 438,    9 810,    6 774,    2 180,    4 594
陕西省,    77 614,    38 999,    38 615,    4 616,    3 044,    1 572,    3 035,    1 724,    1 311,    3 354,    1 626,    1 728,,,甘肃省,    19 231,    9 973,    9 258,    43 214,    24 353,    18 861,    46 326,    26 603,    19 723,    33 163,    11 257,    21 906
甘肃省,    156 098,    80 849,    75 249,    5 047,    3 350,    1 697,    3 764,    2 380,    1 384,    5 353,    2 933,    2 420,,,青海省,    7 642,    3 914,    3 728,    27 466,    15 623,    11 843,    35 076,    20 363,    14 713,    24 610,    8 926,    15 684
青海省,    104 360,    54 677,    49 683,    3 584,    2 324,    1 260,    1 969,    1 322,    647,    4 013,    2 205,    1 808,,,宁夏回族自治区,    14 427,    7 220,    7 207,    39 086,    21 263,    17 823,    37 345,    20 273,    17 072,    20 654,    7 680,    12 974
宁夏回族自治区,    122 893,    63 182,    59 711,    2 696,    1 719,    977,    3 859,    2 402,    1 457,    4 826,    2 625,    2 201,,,新疆维吾尔自治区,    99 256,    45 867,    53 389,    218 830,    112 975,    105 855,    240 355,    125 245,    115 110,    109 470,    48 829,    60 641
新疆维吾尔自治区,    794 464,    401 292,    393 172,    31 665,    19 253,    12 412,    27 887,    16 305,    11 582,    67 001,    32 818,    34 183,,,,,,,,,,,,,,,
