,,,,,,,,,,,,,,,,,,,,,
表3--30全国各民族按活产子女数分的1 5-64岁妇女人数,,,,,,,,,,,,,,,表3--30全国各民族按活产子女数分的15-64岁妇女人数(续02),,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,  活产,  活产,  活产,  活产,  活产15,  平均每个
,    15-64,    没有,  活产,  活产,  活产,    活产,    活产,    活产,    活产,    活产,    活产,    活产,,,    民族别,,,,,  个及15,  妇女活产
    民族别,    岁妇女,    活产,,,,,,,,,,,,,,  11个,  12个,  13个,  14个,  个以上,  子女数
,    人数,    子女,  1个,  2个,  3个,    4个,    5个,    6个,    7个,    8个,    9个,    10个,,,总计,    319 919,  160 508,    53 292,    19 808,    10 139,    2.10
总计,  364 219 700,  102 166 734, 67 697 301, 67 601 600,  46 51 1 613,  31 668 559,  21 104 014,  13 218 435,  7 191 210,  3 816 412,  1 801 695,    878 461,,,汉族,    246 475,  118 217,    37 880,    13 637,    6 561,    2.08
汉族,  336 942 632,    93 719 448, 64 017 935, 63 218 108,  43 31 1 555,  29 202 834,  19 275 025,  1 1 916 171,  6 355 473,  3 289 414,  1 504 818,    709 081,,,蒙古族,    3 768,    2 180,    916,    355,    215,    2.13
蒙古族,    1 444 189,    486 242,    217 610,    257 767,    156 176,    108 172,    74 693,    53 426,    36 172,    23 784,    14 247,    8 466,,,回族,    7 083,    4 093,    1 674,    698,    427,    2.26
回族,    2 688 890,    777 819,    476 904,    466 741,    308 400,    222 988,    157 265,    109 399,    69 857,    44 434,    25 203,    15 905,,,藏族,    6 391,    3 372,    1 205,    452,    229,    2.42
藏族,    1 373 772,    491 585,    166 515,    173 147,    149 037,    1 11 391,    84 734,    65 744,    48 889,    35 219,    22 386,    13 476,,,维吾尔族,    16 619,    10 463,    4 315,    2 135,    1 353,    2.99
维吾尔族,    1 984 538,    586 918,    237 728,    226 390,    194 371,    175 143,    150 337,    125 954,    96 719,    73 159,    47 876,    35 058,,,苗族,    6 235,    3 792,    1 173,    444,    221,    2.55
苗族,    2 1 52 043,    687 119,    223 801,    289 309,    268 134,    217 404,    166 484,    1 19 581,    76 680,    49 287,    27 688,    14 691,,,彝族,    7 671,    4 613,    1 390,    433,    191,    2.74
