,,,,,,,,,,,,,,,,
表3--32全国各民族的死亡人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年上半年,,,,    1989年下半年,,,,   1990年上半年,,,
    民族别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,  性别比,  小计,    男,    女,性别比,小计,    男,    女,性别比
    民族别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,性别比,  小计,    男,    女,性别比,小计,    男,    女,性别比
撒拉族,    801,    41 1,    390,  105.38,    249,    125,    124,  100.81,    251,    137,    114,  120.18,    301,    149,    152,  98.03
毛南族,    607,    363,    244,  148.77,    198,    132,    66,  200.00,    213,    127,    86,  147.67,    196,    104,    92,  113.04
仡佬族,  4 527,    2 494,    2 033,  122.68,    1 360,    775,    585,  132.48,    1 456,    792,    664,  119.28,    1 711,    927,    784,  118.24
锡伯族,    944,    583,    361,  161.50,    290,    190,    100,  190.00,    308,    185,    123,  150.41,    346,    208,    138,  150.72
阿昌族,    368,    184,    184,  100.00,    110,    58,    52,  111.54,    134,    69,    65,  106.15,    124,    57,    67,  85.07
普米族,    358,    182,    176,  103.41,    117,    67,    50,  134.00,    115,    52,    63,  82.54,    126,    63,    63,  100.00
塔吉克族,    461,    229,    232,  98.71,    132,    62,    70,    88.57,    142,    75,    67,  111.94,    187,    92,    95,  96.84
怒族,    450,    233,    217,  107.37,    134,    67,    67,  100.00,    162,    78,    84,  92.86,    154,    88,    66,  133.33
乌孜别克族,    94,    52,    42,  123.81,    30,    18,    12,  150.00,    26,    18,    8,  225.00,    38,    16,    22,    72.73
俄罗斯族,    96,    48,    48,  100.00,    26,    13,    13,  100.00,    27,    15,    12,  125.00,    43,    20,    23,    86.96
鄂温克族,    266,    166,    100,  166.00,    78,    46,    32,  143.75,    92,    64,    28,  228.57,    96,    56,    40,  140.00
德昂族,    255,    133,    122,  109.02,    71,    39,    32,  121.88,    85,    42,    43,    97.67,    99,    52,    47,  110.64
保安族,    76,    38,    38,  100.00,    10,    7,    3,  233.33,    27,    13,    14,    92.86,    39,    18,    21,    85.71
裕固族,    86,    41,    45,    91.11,    26,    14,    12,  116.67,    28,    17,    11,  154.55,    32,    10,    22,    45.45
