表3-28全国各民族出生人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年上半年,,,,    1989年下半年,,,,    1990年上半年,,,
    民族别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,性别比,小计,    男,    女,性别比,  小计,    男,    女,  性别比
京族,    815,    431,    384, 112.24,    253,    120,    133,    90.23,    316,    172,    144,  119.44,    246,    139,    107,    129.91
塔塔尔族,    190,    96,    94, 102.13,    68,    32,    36,    88.89,    66,    30,    36,  83.33,    56,    34,    22,    154.55
独龙族,    290,    147,    143, 102.80,    105,    49,    56,    87.50,    87,    45,    42,  107.14,    98,    53,    45,    117.78
鄂伦春族,    365,    179,    186,  96.24,    129,    65,    64,  101.56,    121,    62,    59,  105.08,    115,    52,    63,    82.54
赫哲族,    218,    111,    107, 103.74,    75,    35,    40,    87.50,    66,    32,    34,  94.12,    77,    44,    33,  133.33
门巴族,    431,    237,    194, 122.16,    152,    87,    65,  133.85,    125,    71,    54,  131.48,    154,    79,    75,  105.33
珞巴族,    131,    59,    72,  81.94,    43,    20,    23,    86.96,    43,    21,    22,  95.45,    45,    18,    27,    66.67
基诺族,    792,    394,    398,  98.99,    254,    108,    146,    73.97,    267,    141,    126,  111.90,    271,    145,    126,    115.08
其他未识别的民族,    28 092,    13 406,    14 686,  91.28,    9 420,    4 637,    4 783,    96.95,    10 647,    5 093,    5 554,    91.70,    8 025,    3 676,    4 349,    84.53
外国人加入中国籍,    38,    20,    18, 111.11,    12,    6,    6,  100.00,    17,    10,7,  142.86,    9,    4,    5,    80.00
