表3-8全国县各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
30-34岁,    56 483 281,    29 343 529,    27 139 752,    51 889 994,    26 963 565,    24 926 429,    270 307,    138 018,    132 289,    288 142,    147 327,    140 815
  30,    9 351 763,    4 840 780,    4 510 983,    8 487 491,    4 398 841,    4 088 650,    57 830,    29 517,    28 313,    51 782,    26 377,    25 405
  31,    9 512 632,    4 967 857,    4 544 775,    8 702 504,    4 545 211,    4 157 293,    49 632,    25 256,    24 376,    46 278,    23 844,    22 434
  32,    12 859 691,    6 742 603,    6 117 088,    11 835 964,    6 206 600,    5 629 364,    57 866,    29 773,    28 093,    62 205,    32 267,    29 938
  33,    12 613 211,    6 537 406,    6 075 805,    11 647 931,    6 037 459,    5 610 472,    54 774,    27 869,    26 905,    63 204,    32 058,    31 146
  34,    12 145 984,    6 254 883,    5 891 101,    11 216 104,    5 775 454,    5 440 650,    50 205,    25 603,    24 602,    64 673,    32 781,    31 892
35-39岁,    60 835 992,    31 261 913,    29 574 079,    56 306 343,    28 917 926,    27 388 417,    226 942,    117 452,    109 490,    314 354,    159 812,    154 542
  35,    13 513 283,    6 995 488,    6 517 795,    12 464 233,    6 453 628,    6 010 605,    53 564,    27 653,    25 911,    70 277,    35 920,    34 357
  36,    12 803 846,    6 581 839,    6 222 007,    11 827 579,    6 075 530,    5 752 049,    49 989,    26 009,    23 980,    66 654,    33 709,    32 945
  37,    12 203 570,    6 257 429,    5 946 141,    11 304 222,    5 790 528,    5 513 694,    42 456,    21 909,    20 547,    61 005,    30 847,    30 158
  38,    12 052 214,    6 178 585,    5 873 629,    11 193 710,    5 733 710,    5 460 000,    43 194,    22 471,    20 723,    61 691,    31 822,    29 869
  39,    10 263 079,    5 248 572,    5 014 507,    9 516 599,    4 864 530,    4 652 069,    37 739,    19 410,    18 329,    54 727,    27 514,    27 213
40-44岁,    45 475 907,    23 587 992,    21 887 915,    41 856 947,    21 721 073,    20 135 874,    149 824,    77 934,    71 890,    249 738,    126 957,    122 781
  40,    10 867 584,    5 654 103,    5 213 481,    9 941 791,    5 174 731,    4 767 060,    39 670,    20 853,    18 817,    61 230,    31 200,    30 030
  41,    9 312 827,    4 843 110,    4 469 717,    8 588 618,    4 466 368,    4 122 250,    30 646,    15 873,    14 773,    50 455,    26 185,    24 270
  42,    8 889 541,    4 626 129,    4 263 412,    8 196 506,    4 267 744,    3 928 762,    29 447,    15 439,    14 008,    45 657,    23 617,    22 040
  43,    8 525 855,    4 418 419,    4 107 436,    7 859 652,    4 074 928,    3 784 724,    28 175,    14 531,    13 644,    46 316,    23 450,    22 866
  44,    7 880 100,    4 046 231,    3 833 869,    7 270 380,    3 737 302,    3 533 078,    21 886,    11 238,    10 648,    46 080,    22 505,    23 575
45-49岁,    34 990 374,    18 405 928,    16 584 446,    31 930 425,    16 828 274,    15 102 151,    110 515,    57 973,    52 542,    208 178,    108 712,    99 466
  45,    7 524 864,    3 913 416,    3 611 448,    6 868 084,    3 579 201,    3 288 883,    23 421,    12 107,    11 314,    44 611,    22 436,    22 175
  46,    7 179 714,    3 776 831,    3 402 883,    6 556 077,    3 453 338,    3 102 739,    24 042,    12 631,    11 411,    42 458,    22 527,    19 931
  47,    6 712 509,    3 544 461,    3 168 048,    6 115 707,    3 235 166,    2 880 541,    19 520,    10 363,    9 157,    42 586,    22 391,    20 195
  48,    6 863 562,    3 620 595,    3 242 967,    6 254 639,    3 306 389,    2 948 250,    21 137,    11 171,    9 966,    41 490,    21 858,19632
  49,    6 709 725,    3 550 625,    3 159 100,    6 135 918,    3 254 180,    2 881 738,    22 395,    11 701,    10 694,    37 033,    19 500,    17 533
50—54岁,    31 889 005,    16 906 593,    14 982 412,    29 152 496,    15 492 664,    13 659 832,    112 925,    59 639,    53 286,    174 245,    90 825,    83 420
  50,    6 452 391,    3 410 426,    3 041 965,    5 826 261,    3 091 830,    2 734 431,    22 639,    12 059,    10 580,    38 340,    20 066,    18 274
