表3-14全国各民族人口的文化程度状况,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
  民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  789 235 125, 445 547 738,  343 687 387, 6 138 484, 4 418 514,    1 719 970, 9 618 959, 6 559 621, 3 059 338, 17 283 681,10 130 670, 7 153 011, 72 603 846,44 632 787, 27 971 059
毛南族,    51 644,    28 799,    22 845,    218,    174,    44,    431,    333,    98,    1 455,    916,    539,    4 064,    2 640,    1 424
仡佬族,    265 372,    170 229,    95 143,    966,    786,    180,    1 273,    1 000,    273,    4 045,    2 864,    1 181,    10 840,    7 959,    2 881
锡伯族,    135 817,    72 912,    62 905,    2 338,    1 441,    897,    3 248,    1 855,    1 393,    5 169,    2 632,    2 537,    16 774,    8 960,    7 814
阿昌族,    13 339,    8 055,    5 284,    44,    38,    6,    68,    55,    13,    274,    174,    100,    436,    296,    140
普米族,    13 293,    9 164,    4 129,    47,    38,    9,    94,    85,    9,    394,    291,    103,    368,    279,    89
塔吉克族,    18 326,    10 315,    8 011,    96,    82,    14,    122,    114,    8,    709,    567,    142,    861,    673,    188
怒族,    10 357,    6 176,    4 181,    33,    26,    7,    82,    71,    11,    378,    239,    139,    364,    226,    138
乌孜别克族,    10 968,    5 867,    5 101,    392,    199,    193,    288,    156,    132,    699,    359,    340,    1 596,    791,    805
俄罗斯族,    10 592,    5 011,    5 581,    323,    144,    179,    354,    155,    199,    718,    263,    455,    1 759,    766,    993
鄂温克族,    19 077,    9 652,    9 425,    215,    105,    110,    461,    242,    219,    790,    345,    445,    2 208,    999,    1 209
德昂族,    5 213,    3 117,    2 096,    8,    8,    -,    17,    15,    2,    74,    49,    25,    87,    59,    28
保安族,    3 280,    2 433,    847,    25,    19,    6,    64,    54,    10,    117,    80,    37,    338,    250,    88
裕固族,    7 754,    4 289,    3 465,    91,    65,    26,    176,    117,    59,    253,    154,    99,    650,    395,    255
京族,    12 738,    6 687,    6 051,    139,    109,    30,    163,    127,    36,    438,    267,    171,    1 339,    820,    519
塔塔尔族,    3 934,2 075,    1 859,    183,    103,    80,    130,    69,    61,    298,    149,    149,    555,    247,    308
独龙族,    2 198,    1 228,    970,    13,    8,    5,    22,    19,    3,    98,    57,    41,    72,    44,    28
鄂伦春族,    5 095,    2 446,    2 649,    63,    30,    33,    156,    68,    88,    286,    107,    179,    606,    275,    331
赫哲族,    3 072,    1 585,    1 487,    62,    41,    21,    133,    71,    62,    162,    77,    85,    502,    249,    253
门巴族,    1 402,    839,    563,    10,    3,    7,    32,    15,    17,    107,    56,    51,    16,    7,    9
珞巴族,    605,    327,    278,    1,    1,    -,    10,    4,    6,    31,    11,    20,    10,    4,    6
基诺族,    10 122,    5 552,    4 570,    27,    21,    6,    43,    28,    15,    288,    189,    99,    338,    192,    146
其他未识别的民族,    345 111,    236 456,    108 655,    621,    506,    115,    1 143,    949,    194,    4 713,    3 650,    1 063,    9 891,    7 660,    2 231
外国人加入中国籍,    1 944,    608,    1 336,    59,    23,    36,    51,    16,    35,    72,    25,    47,    261,    72,    189
