,,,,,,,,,,,,,,,
表3--15全国各民族在校学生数,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
    民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,  男,  女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,182 014 379,  99 864 554,  82 149 825,    1 432 110,  964 745,  467 365, 1 367 874,  822 186,  545 688, 3 033 963, 1 581 506, 1 452 457,  9 245 500,  5 563 901, 3 681 599
塔吉克族,    5 814,    3 309,    2 505,    27,    22,    5,    28,    26,    2,    100,    74,    26,    167,    122,    45
怒族,    3 466,    1 841,    1 625,    13,    10,    3,    11,    8,    3,    80,    45,    35,    90,    48,    42
乌孜别克族,    3 327,    1 607,    1 720,    106,    47,    59,    57,    23,    34,    110,    47,    63,    408,    174,    234
俄罗斯族,    2 989,    1 428,    1 561,    118,    59,    59,    97,    35,    62,    145,    58,    87,    352,    163,    189
鄂温克族,    6 277,    3 017,    3 260,    46,    16,    30,    11 1,    58,    53,    123,    55,    68,    395,    157,    238
德昂族,    1 708,    901,    807,    2,    2,    -,    4,    4,    -,    18,    9,    9,    26,    17,    9
保安族,    1 063,    696,    367,    10,    6,    4,    12,    10,    2,    33,    19,    14,    69,    44,    25
裕固族,    2 450,    1 31 1,    1 139,    30,    18,    12,    81,    51,    30,    62,    35,    27,    157,        85,    72
京族,    3 655,    2 057,    1 598,    48,    34,    14,    26,    19,    7,    100,    50,    50,    226,    139,    87
塔塔尔族,    1 378,    678,    700,    56,    26,    30,    22,    10,    12,    41,    18,    23,    149,    57,    92
独龙族,    759,    410,    349,    4,    3,    1,    4,    4,-,    20,    9,    11,    13,    9,    4
鄂伦春族,    1 793,    830,    963,    15,    3,    12,    27,    12,    15,    73,    26,    47,    108,    44,    64
赫哲族,    950,    450,    500,    24,    14,    10,    15,    9,    6,    39,    18,    21,    65,    30,    35
门巴族,    497,    262,    235,    2,    1,    1,    3,    1,    2,    14,    6,    8,    8,     2,    6
珞巴族,    236,    119,    1 17,    -,     -,  -,  -,  -,   -,    4,   -,    4,    3,      -,3
基诺族,    3 305,    1 775,    1 530,    13,    12,    1,    15,    7,    8,    83,    51,    32,    125,    73,    52
其他未识别的民族,    124 232,    79 476,    44 756,    321,    254,    67,    367,    292,    75,    1 344,    986,    358,    2 165,    1 575,    590
外国人加入中国籍,    190,    96,    94,    4,    2,    2,    1,    1,   -,    3,    2,    1,    15,    7,    8
