表3-18全国各民族的行业门类人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业、,,,Ⅶ、房地产管理、公用事业、,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  民族别,,,,,,,      物资供销和仓储业,,,    居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    民族别,,,,,,,,,,,,,,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,,,,,,,总计,15 102 055,  8 846 725,  6 255 330,  1 450 491,    914 083,  536 408, 2 132 142, 1 289 832,  842 310,12 952 647,10 019 017, 2 933 630,  115 991,  82 566, 33 425
壮族,    8 502 301,    4 369 888,    4 132 413,    7 560 438,  3 743 487,  3 816 951,    308 261,    190 894,    117 367,    4 460,    3 744,    716,,,壮族,    38 677,    31 899,    6 778,    63 324,    53 818,    9 506,    159 156,    80 741,    78 415,    26 378,    14 542,    11 836,    36 487,    17 604,    18 883,,,布依族,    21 666,    15 642,    6 024,    575,    381,    194,    2 144,    1 600,    544,    17 446,    14 303,    3 143,    12,    8,    4
布依族,    1 433 095,    728 525,    704 570,    1 333 929,    658 387,    675 542,    28 495,    19 508,    8 987,    534,    479,    55,,,布依族,    3 828,    3 278,    550,    5 547,    4 799,    748,    12 366,    6 593,    5 773,    2 131,    1 157,    974,    4 422,    2 390,    2 032,,,朝鲜族,    56 904,    29 127,    27 777,    5 144,    3 363,    1 781,    8 997,    4 750,    4 247,    38 547,    29 783,    8 764,    157,    107,    50
朝鲜族,    1 046 772,    571 835,    474 937,    552 122,    295 749,    256 373,    212 301,    120 149,    92 152,    1 828,    1 370,    458,,,朝鲜族,    18 726,    14 239,    4 487,    25 593,    19 847,    5 746,    91 229,    38 481,    52 748,    14 809,    6 793,    8 016,    20 415,    8 077,    12 338,,,满族,    168 043,    88 21 5,    79 828,    13 940,    8 400,    5 540,    26 128,    16 123,    10 005,  132 035,  100 063,    31 972,    995,    726,    269
满族,    5 075 386,    3 068 355,    2 007 031,    3 454 808,  2 046 099,  1 408 709,    710 986,    443 430,    267 556,    6 468,    4 627,    1 841,,,满族,    98 341,    81 221,    17 120,    114 866,    96 448,    18 418,  245 084,    131 102,    113 982,    50 276,    27 916,    22 360,    53 416,    23 985,    29 431,,,侗族,    26 787,    19 105,    7 682,    513,    362,    151,    3 290,    2 218,    1 072,    22 410,    18 569,    3 841,    48,    32,    16
侗族,    1 413 616,    769 768,    643 848,    1 277 473,    677 572,    599 901,    37 709,    23 404,    14 305,    593,    473,    120,,,侗族,    4 807,    4 069,    738,    9 517,    8 213,    1 304,    20 978,    10 762,    10 216,    3 444,    1 836,    1 608,    6 047,    3 153,    2 894,,,瑶族,    19 515,    13 743,    5 772,    373,    250,    123,    1 887,    1 303,    584,    1 5 083,    12 415,    2 668,    49,    31,    18
瑶族,    1148 014,    610 425,    537 589,    1 056 966,    549 072,    507 894,    27 487,    17 439,    10 048,    325,    264,    61,,,瑶族,      2 762,    2 246,    516,    5 083,    4 207,    876,    12 287,    6 277,    6 010,    2 035,    1 063,    972,    4 162,    2 115,    2 047,,,白族,    21 068,    14 514,    6 554,    951,    616,    335,    3 012,    2 079,    933,    16 947,    13 486,    3 461,    108,    96,    12
白族,    871 665,    445 997,    425 668,    722 992,    338 825,    384 167,    45 165,    30 984,    14 181,    764,    627,    1 37,,,白族,    21 032,    19 585,    1 447,    12 587,    10 896,    1 691,    17 956,    9 711,    8 245,    3 194,    1 689,    1 505,    5 889,    2 889,    3 000,,,土家族,    66 042,    45 984,    20 058,    1 313,    886,    427,    7 866,    5 293,    2 573,    56 281,    46 419,    9 862,    497,    298,    199
士家族,    3 394 994,    1 824 908,    1 570 086,    3 025 084,  1 573 996,  1 451 088,    108 785,    70 893,    37 892,    1 452,    1 082,    370,,,土家族,    14 004,    12 417,    1 587,    24 654,    21 150,    3 504,    60 610,    31 989,    28 621,    12 714,    6 093,    6 621,    15 692,    8 408,    7 284,,,哈尼族,    7 731,    5 850,    1 881,    314,    198,    116,    926,    773,    153,    6 309,    5 296,    1 01 3,    10,    8,   2
哈尼族,    683 938,    350 285,    333 653,    645 932,    322 490,    323 442,    9 731,    6 995,    2 736,    87,    81,    6,,,哈尼族,    1 704,    1 374,    330,    3 238,    2 842,    396,    5 914,    3 416,    2 498,    694,    255,    439,    1 348,    707,    641,,,哈萨克族,    26 389,    15 800,    10 589,    290,    190,    100,    1 878,    1 284,    594,    15 046,    11 920,    3 126,    5,    1,    4
哈萨克族,    447 563,    262 146,    185 417,    369 151,    211841,    157 310,    14 389,    8 559,      5 830,    150,    121,    29,,,哈萨克族,    973,    718,    255,    3 378,    2 745,    633,    10 108,    6 342,    3 766,    902,    379,    523,    4 904,    2 246,    2 658,,,傣族,    7 815,    4 865,    2 950,    179,    93,    86,    999,    689,    310,    6 648,    5 103,    1 545,    6,    3,    3
