表3-9省自治区直辖市少数民族人口的文化程度状况,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表3--9省、自治区、直辖市少数民族人口的文化程度状况(续01),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    6岁及6岁以上人口数,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女
湖南省,    4 135 385,    2 168 669,    1 966 716,    7 918,    6 274,    1 644,    25 515,    19 431,    6 084,    61 366,    41 120,    20 246,,,湖南省,    258 839,    180 828,    78 011,    844 316,    550 353,    293 963,    2 009 259,  1 078 633,    930 626,    928 172,    292 030,    636 142
广东省,    316 497,    131 080,    185 417,    3 577,    2 462,    1 115,    3 690,    2 462,    1 228,    5 358,    3 054,    2 304,,,广东省,    22 520,    13 199,    9 321,    84 187,    39 311,    44 876,    150 740,    57 741,      92 999,    46 425,    12 851,    33 574
广西壮族自治区,    14 354 297,    7 347 251,    7 007 046,    27 560,    21 801,    5 759,    61 208,    47 251,    13 957,    193 685,    128 205,    65 480,,,广西壮族自治区,    742 158,    514 447,    227 711,    2 798 209,    1 824 462,    973 747,    7 602 475,    3 986 419,  3 616 056,    2 929 002,    824 666,  2 104 336
海南省,    942 706,    476 613,    466 093,    908,    723,    185,    3 992,    3 162,    830,    8 759,    5 889,    2 870,,,海南省,    53 451,    37 198,    16 253,    202 704,    119 498,    83 206,    415 052,    215 493,    199 559,    257 840,    94 650,    163 190
四川省,    4 238 025,    2 160 651,    2 077 374,    11 722,    8 149,    3 573,    14 593,    10 625,    3 968,    54 538,    35 990,    18 548,,,四川省,    89 700,    59 074,    30 626,    486 431,    333 422,    153 009,  1 418 048,    847 384,    570 664,    2 162 993,    866 007,    1 296 986
贵州省,    9 660 490,    5 026 861,    4 633 629,    16 067,    12 495,    3 572,    30 645,    23 575,    7 070,    106 942,    75 540,    31 402,,,贵州省,    214 416,    155 470,    58 946,    1 296 067,    977 935,    318 132,  4 077 652,    2 542 708,    1 534 944,    3 918 701,    1 239 138,    2 679 563
云南省,    10 597 043,    5 385 533,    5 211 510,    18 663,    13 421,    5 242,    28 444,    21 178,    7 266,    109 450,    72 884,    36 566,,,云南省,    213 450,    138 915,    74 535,    1 220 315,    836 166,    384 149,  4 488 071,    2 676 019,    1 812 052,    4 518 650,    1 626 950,    2 891 700
西藏自治区,    1 786 618,    879 262,    907 356,    1 648,    1 112,    536,    4 623,    3 177,    1 446,    18 236,    10 994,    7 242,,,西藏自治区,    8 360,    5 555,    2 805,    52 949,    36 140,    16 809,    391 737,    277 425,    114 312,    1 309 065,    544 859,    764 206
陕西省,    138 067,    70 032,    68 035,    4 949,    3 285,    1 664,    3 808,    2 245,    1 563,    4 777,    2 374,    2 403,,,陕西省,    22 993,    11 750,    11 243,    40 587,    21 529,    19 058,    40 042,    21 326,    18 716,    20 911,    7 523,    13 388
甘肃省,    1 598 321,    815 184,    783 137,    5 953,    4 121,    1 832,    7 392,    5 370,    2 022,    16 427,    11 104,    5 323,,,甘肃省,    47 103,    30 403,    16 700,    136 395,    95 487,    40 908,    319 407,    222 860,    96 547,    1 065 644,445 839,    619 805
青海省,1 607 797,    812 051,    795 746,    5 721,    4 013,    1 708,    6 265,    4 876,    1 389,    22 789,    14 732,    8 057,,,青海省,    34 175,    20 780,    13 395,    150 125,    106 042,    44 083,    409 301,    282 217,    127 084,    979 421,    379 391,    600 030
宁夏回族自治区,    1 306 936,    667 189,    639 747,    3 719,    2 551,    1 168,    7 642,    5 455,    2 187,    14 434,    10 168,    4 266,,,宁夏回族自治区,    43 521,    28 075,    15 446,    182 642,    123 516,    59 126,    430 963,    266 205,    164 758,    624 015,    231 219,    392 796
新疆维吾尔自治区,    7 765 360,    3 978 166,    3 787 194,    41 704,    26 705,    14 999,    48 388,    30 928,    17 460,    174 986,    99 831,    75 155,,,新疆维吾尔自治区,    378 546,    197 819,    180 727,    1 258 991,    700 300,    558 691,    4 033 369,    2 064 453,    1 968 916,    1 829 376,    858 130,    971 246
