,,,,,,,,,,,,,,,
表3--1 3全国少数民族人口分年龄、性别的文化程度状况,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,
  年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,小计,  男,  女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  36,    907 803,    541 119,    366 684,    3 662,    2 608,    1 054,    14 801,    10 466,    4 335,    32 004,    20 496,    11 508,    81 562,    58 144,    23 418
  37,    817 125,    491 51 1,    325 614,    3 093,    2 221,    872,    12 857,    9 372,    3 485,    26 594,    17 396,    9 198,    54 562,    40 044,    14 518
  38,    769 222,    461 503,    307 719,    2 797,    2 050,    747,    11 605,    8 563,    3 042,    22 902,    14 994,    7 908,    39 774,    29 036,    10 738
  39,    660 578,    396 432,    264 146,    2 632,    1 946,    686,    10 863,    8 132,    2 731,    18 596,    12 361,    6 235,    29 212,    21 338,    7 874
40-44岁,    3 035 416,    1 844 253,    1 191 163,    17 092,    12 460,    4 632,    43 558,    33 517,    10 041,    100 931,    66 907,    34 024,    124 075,    86 915,    37 160
  40,    800 244,    479 095,    321 149,    3 247,    2 470,    777,    12 469,    9 561,    2 908,    23 192,    15 932,    7 260,    34 212,    24 529,    9 683
  41,    614183,    373 591,    240 592,    2 739,    2 019,    720,    9 594,    7 401,    2 193,    21 039,    13 835,    7 204,    25 511,    17 977,    7 534
  42,    576 836,    351 639,    225 197,    2 802,    2 086,    716,    8 264,    6 431,    1 833,    21 038,    13 805,    7 233,    23 649,    16 412,    7 237
  43,    550 518,    338 422,    212 096,    3 574,    2 544,    1 030,    7 131,    5 489,    1 642,    19 402,    12 807,    6 595,    21 432,    14 855,    6 577
  44,    493 635,    301 506,    192 129,    4 730,    3 341,    1 389,    6 100,    4 635,    1 465,    16 260,    10 528,    5 732,    19 271,    13 142,    6 129
45-49岁,    2 222 887,    1 416 992,    805 895,    26 649,    19 242,    7 407,    27 044,    20 393,    6 651,    89 445,    57 398,    32 047,    107 853,    76 760,    31 093
  45,    504 063,    309 255,    194 808,    4 960,    3 566,    1 394,    5 503,    4 128,    1 375,    16 394,    10 380,    6 014,    21 314,    14 449,    6 865
  46,    467 844,    296 901,    170 943,    4 804,    3 477,    1 327,    5 212,    3 929,    1 283,    17 173,    10 621,    6 552,    21 603,    14 999,    6 604
  47,    434 876,    279 116,    155 760,    5 012,    3 636,    1 376,    5 387,    4 035,    1 352,    19 109,    12 068,    7 041,    23 018,    16 420,    6 598
  48,    423 448,    273 545,    149 903,    5 605,    4 025,    1 580,    5 328,    3 991,    1 337,    18 804,    12 188,    6 616,    22 213,    16 165,    6 048
  49,    392 656,    258 175,    134 481,    6 268,    4 538,    1 730,    5 614,    4 310,    1 304,    17 965,    12 141,    5 824,    19 705,    14 727,    4 978
50-54岁,    1 636 299,    1 143 077,    493 222,    31 510,    24 974,    6 536,    26 922,    21 680,    5 242,    74 656,    54 534,    20 122,    66 834,    52 155,    14 679
  50,    393 858,    260 515,    133 343,    7 182,    5 349,    1 833,    6 065,    4 719,    1 346,    18 172,    12 585,    5 587,    18 053,    13 704,    4 349
  51,    339110,    233 757,    105 353,    7 045,    5 558,    1 487,    5 789,    4 540,    1 249,    15 813,    11 254,    4 559,    14 287,    11 121,    3 166
  52,    330 343,    233 551,    96 792,    6 616,    5 361,    1 255,    5 433,    4 458,    975,    15 091,    11 283,    3 808,    12 982,    10 284,    2 698
  53,    297 863,    214 407,    83 456,    5 762,    4 697,    1 065,    5 084,    4 162,    922,    13 613,    10 244,    3 369,    11 160,    8 815,    2 345
  54,    275 125,    200 847,    74 278,    4 905,    4 009,    896,    4 551,    3 801,    750,    11 967,    9 168,    2 799,    10 352,    8 231,    2 121
55-59岁,    1 084 132,    837 419,    246 713,    13 921,    11 552,    2 369,    15 409,    13 210,    2 199,    35 531,    28 856,    6 675,    40 701,    34 104,    6 597
  55,    260 167,    191 771,    68 396,    4 043,    3 314,    729,    4 157,    3 541,    616,    10 288,    8 019,    2 269,    9 609,    7 721,    1 888
  56,    236 330,    180 408,    55 922,    3 190,    2 634,    556,    3 535,    3 000,    535,    8 487,    6 812,    1 675,    8 718,    7 223,    1 495
  57,    217 784,    170 340,    47 444,    2 640,    2 169,    471,    3 008,    2 556,    452,    6 913,    5 666,    1 247,    7 899,    6 676,    1 223
  58,    190 217,    150 462,    39 755,    2 115,    1 801,    314,    2 514,    2 187,    327,    5 373,    4 570,    803,    7 266,    6 229,    1 037
  59,    179 634,    144 438,    35 196,    1 933,    1 634,    299,    2 195,    1 926,    269,    4 470,    3 789,    681,    7 209,    6 255,    954
60-64岁,    691 225,    564 715,    126 510,    6 731,    5 711,    1 020,    7 486,    6 623,    863,    14 327,    12 472,    1 855,    29 398,    25 887,    3 511
  60,    185 956,    148 780,    37 176,    1 820,    1 499,    321,    2 110,    1 815,    295,    4 399,    3 789,    610,    7 496,    6 549,    947
  61,    141 980,    115 710,    26 270,    1 503,    1 250,    253,    1 652,    1 460,    192,    2 892,    2 492,    400,    5 997,    5 220,    777
  62,    141794,    116 699,    25 095,    1 334,    1 161,    173,    1 460,    1 310,    150,    2 873,    2 515,    358,    6 148,    5 442,    706
  63,    1 17 443,    97 200,    20 243,    1 115,    964,    151,    1 233,    1 108,    125,    2 280,    2 015,    265,    5 148,    4 581,    567
  64,    104 052,    86 326,    17 726,    959,    837,    122,    1 031,    930,    101,    1 883,    1 661,    222,    4 609,    4 095,    514
65岁及以上,    781 730,    669 600,    112 130,    5 678,    5 043,    635,    5 685,    5 209,    476,    9 801,    8 520,    1 281,    28 189,    25 360,    2 829
