,,,,,,,,,,,,,,,
表3--24全国各民族人口分性别的婚姻状况,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
  民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
总计,817 508 784, 418 956 809, 398 551 975, 205 404 790, 121 303 468, 84 101 322, 557 373 062, 278 265 597,279 107 465,49 893 332,15 914 739, 33 978 593,4 837 600, 3 473 005, 1 364 595
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    15岁及15岁以上人口,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    民族别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
撒拉族,    52 024,    26 550,    25 474,    11 395,    6 800,    4 595,    36 768,    18 693,    18 075,    2 641,    620,    2 021,    1 220,    437,    783
毛南族,    44 993,    23 292,    21 701,    14 482,    8 864,    5 618,    27 778,    13 393,    14 385,    2 498,    867,    1 631,    235,    168,    67
仡佬族,  289 212,    157 819,    131 393,    99 214,    56 048,    43 166,  171 796,    92 213,    79 583,    17 299,    8 888,    8 411,    903,    670,    233
锡伯族,    113 500,    60 684,    52 816,    32 543,    17 758,    14 785,    76 007,    40 599,    35 408,    4 041,    1773,    2 268,    909,    554,    355
阿昌族,    16 645,    8 297,    8 348,    4 736,    2 656,    2 080,    10 670,    5 230,    5 440,    1 138,    354,    784,    101,    57,    44
普米族,    19 198,    9 653,    9 545,    5 726,    3 261,    2 465,    11 897,    5 899,    5 998,    1 405,    418,    987,    170,    75,    95
塔吉克族,    19 013,    9 742,    9 271,    4 633,    2 800,    1 833,    12 484,    6 261,    6 223,    1 299,    373,    926,    597,    308,    289
怒族,    16 093,    8 166,    7 927,    3 981,    2 354,    1 627,    10 715,    5 345,    5 370,    1 184,    375,    809,    213,    92,    121
乌孜别克族,    9 115,    4 856,    4 259,    3 358,    1 873,    1 485,    4 970,    2 759,    2 211,    467,    92,    375,    320,    132,    188
俄罗斯族,    9 280,    4 209,    5 071,    3 081,    1 668,    1 413,    5 578,    2 431,    3 147,    446,    38,    408,    175,    72,    103
鄂温克族,    15 686,    7 822,    7 864,    5 530,    3 157,    2 373,    9 052,    4 239,    4 813,    918,    317,    601,    186,    109,    77
德昂族,    9 030,    4 508,    4 522,    2 163,    1 228,    935,    6 165,    3 037,    3 128,    610,    201,    409,    92,    42,    50
保安族,    7 987,    4 129,    3 858,    2 101,    1 296,    805,    5 357,    2 643,    2 714,    388,    124,    264,    141,    66,    75
裕固族,    8 406,    4 192,    4 214,    3 069,    1 692,    1 377,    4 767,    2 367,    2 400,    492,      100,    392,    78,    33,    45
京。族,    12 123,    5 434,    6 689,    3 060,    1 735,    1 325,    8 398,    3 573,    4 825,    621,    99,    522,    44,    27,    17
塔塔尔族,    3 067,    1 606,    1 461,    1 285,    683,    602,    1 567,    864,    703,    155,    32,    123,    60,    27,    33
独龙族,    3 356,    1 590,    1 766,    863,    489,    374,    2 171,    998,    1 173,    293,    86,    207,    29,    17,    12
鄂伦春族,    4 109,    1925,    2 184,    1 345,    750,    595,    2 493,    1 067,    1 426,    218,    74,    144,    53,    34,    19
赫哲族,    2 577,    1 330,    1 247,    738,    418,    320,    1 716,    864,    852,    102,    38,    64,    21,    10,    11
门巴族,    4 293,    2 103,    2 190,    1 021,    559,    462,    2 901,    1 414,    1 487,    305,    106,    199,    66,    24,    42
珞巴族,    1 444,    697,    747,    417,    229,    188,    889,    438,    451,    104,    22,    82,    34,    8,    26
基诺族,    11 891,    5 939,    5 952,    2 998,    1 823,    1 175,    8 141,    3 903,    4 238,    642,  168,    474,    110,    45,    65
其他未识别的民族,    468 282,    243 710,    224 572,    137 298,    82 765,    54 533,  302 009,    149 456,    152 553,    26 918,    9 902,    17 016,    2 057,    1 587,    470
外国人加入中国籍,    3 219,    652,    2 567,    256,    155,    101,    1808,    443,    1 365,    1 120,    35,    1 085,    35,    19,    16
