,,,,,,,,,,,,,,,,    藏族,,,    维吾尔族,,,    苗族,,,    彝族,,,    壮族,,,,,,    布依族,,,    朝鲜族,,,    满族,,,    侗族,,,    瑶族,,,,,,    白族,,,    土家族,,,    哈尼族,,,    哈萨克族,,,    傣族,,,,,,    拉祜族,,,    水族,,,    东乡族,,,    纳西族,,,    景颇族,,,    柯尔克孜族,,,    土族,,,,,,    达斡尔族,,,    仫佬族,,,    羌族,,,    布朗族,,,    撒拉族,,,    毛南族,,,    仡佬族,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    鄂温克族,,,    德昂族,,,    保安族,,,    裕固族,,,    京族,,,    塔塔尔族,,,    独龙族,,,,,,    鄂伦春族,,,    赫哲族,,,    门巴族,,,    珞巴族,,,    基诺族,,,  其他木识别的民族,,,  外国人加入中国籍,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,  地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,    173 274,    91 011,    82 263,    502 803,    251 411,    251 392,  286 932,  154 295,    132 637,    215 281,  121 382,    93 899,  909 982,    496 344,  413 638,,,总计,    78 387,    43 578,    34 809,    300 146,    146 927,    153 219,  990 971,  500 143,  490 828,  153 726,    82 658,    71 068,    84 179,    45 708,    38 471,,,总计,    108 733,    59 131,    49 602,    267 580,    142 085,    125 495,    39 301,    21 590,    17 711,    81 441,    41 239,    40 202,    67 701,    33 424,  34 277,,,总计,  10 338,    5 117,    5 221,  14 496,    7 892,    6 604,    2 973,    1 981,    992,  32 482, 16 846, 15 636,  5 299,  2 612,  2 687,  8 440,  4 328,  4 112,  9 905,  5 632, 4 273,,,总计,  30 870,  15 305,  15 565,  17 815,    9 081,    8 734,  11 768,    6 319,  5 449,    1 764,  1 004,    760,  4 868,  2 763,  2 105,  6 490,  3 416,  3 074, 16 567,  8 740, 7 827,,,总计,  16 568,    8 366,    8 202,    947,    565,    382,    1 191,    740,    451,    1 912,  1 080,    832,  1 388,    745,    643,    3 578,  1 830,  1 748,  3 063,  1 442,  1 621,,,总计,    7 694,    3 731,    3 963,    341,    197,    144,    604,    374,    230,    1 349,    676,    673,  3 483,  1 675,  1 808,    751,    395,    356,    392,    193,    199,,,总计,    1 959,    892,    1 067,    730,    337,    393,    295,    137,    158,    98,    44,    54,  1 479,    767,    712, 28 501, 15 405, 13 096,    383,    82,  301
吉林省,    3 214 611,    1 622 637,    1 591 974,    2 836 476,    1 435 849,    1 400 627,    23 801,    11 364,    12 437,    22 109,    11 169,    10 940,,,黑龙江省,    35,    18,    17,    18,    8,    10,    370,    199,    171,    56,    30,    26,    453,    219,    234,,,黑龙江省,    37,    22,    15,    65 169,    31 927,    33 242,  140 108,    74 919,    65 189,    79,    40,    39,    57,    29,    28,,,黑龙江省,    24,    13,    11,    207,    140,    67,-,-,-,    3,    2,    1,    4,    2,    2,,,黑龙江省,-,-,-,    6,    4,    2,-,-,-,    7,    3,    4,-,-,-,    237,    113,    124,    3,    2,    1,,,黑龙江省,    3 983,    1 931,    2 052,-,-,-,    2,    2,-,-,-,-,    1,-,    1,    2,    2,-,    4,    1,    3,,,黑龙江省,    1 339,    728,    611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    65,    25,    40,,,黑龙江省,    599,    301,    298,-,-,-,-,-,-,-,-,-,    1,    1,-,    1,-,    1,-,-,-,,,黑龙江省,    636,    293,    343,    664,    312,    352,-,-,-,-,-,-,-,-,-,    12,    7,    5,    87,    23,    64
黑龙江省,    5 357 048,    2 715 844,    2 641 204,    5 096 716,    2 581 033,    2 515 683,    20 844,    10 528,    10 316,    25 136,    12 920,    12 216,,,上海市,-,-,-,    2,-,    2,    11,    9,    2,    7,    4,    3,    51,    28,    23,,,上海市,    5,    4,    1,    23,    10,    13,    164,    78,    86,        7,    4,    3,    4,    1,    3,,,上海市,    5,    2,    3,    57,    47,    10,    1,-,    1,-,-,-,    3,-,    3,,,上海市,-,-,-,    1,    1,-,-,-,-,    4,    2,   2,-,-,-,-,-,-,-,-,-,,,上海市,    5,    4,    1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,上海市,    3,    1,    2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,上海市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,上海市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    2,-,   2
上海市,    621 964,    336 630,    285 334,    620 725,    335 965,    284 760,    29,    16,    13,    830,    441,    389,,,江苏省,    79,    48,    31,    22,    9,    13,    74,    37,    37,    46,    17,    29,    134,    61,    73,,,江苏省,    50,    21,    29,    65,    23,    42,    515,    223,    292,    27,    15,    12,    17,    10,    7,,,江苏省,    34,    13,    21,    69,    42,    27,    11,        3,    8,-,-,-,    7,    2,    5,,,江苏省,    2,-,    2,    18,    17,    1,    2,    1,    1,    4,-,    4,-,-,-,-,-,-,    7,    3,    4,,,江苏省,    5,    1,    4,    1,-,    1,    4,    1,    3,-,-,-,-,-,-,-,-,-,    4,    1,    3,,,江苏省,    6,    2,    4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    3,    1,    2,,,江苏省,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    1,    1,-,,,江苏省,-,-,-,    3,    2,    1,-,-,-,-,-,-,-,-,-,    4,-,    4,    4,    1,    3
江苏省,    4 129 428,    2 134 912,    1 994 516,    4 113 018,    2 126 739,    1 986 279,    224,    107,    117,    14 919,    7 493,    7 426,,,浙江省,    39,    11,    28,    14,    7,    7,    364,    142,    222,    54,    20,    34,    635,    143,    492,,,浙江省,    80,    21,    59,    49,    20,    29,    579,    263,    316,    48,    15,    33,    29,    14,    15,,,浙江省,    47,    16,    31,    194,    99,    95,    5,    1,    4,-,-,-,    8,    1,    7,,,浙江省,    2,    1,    1,    8,    3,    5,    8,    2,    6,    16,    2,    14,-,-,-,    8,    5,    3,    5,    3,    2,,,浙江省,    11,    6,    5,    16,    5,    11,    9,    5,    4,-,-,-,-,-,-,    2,-,    2,    5,    3,   2,,,浙江省,    3,    3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    2,    1,    1,,,浙江省,    7,    2,    5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,浙江省,-,-,-,   2,    1,    1,    1,-,    1,-,-,-,-,-,-,    5,    3,   2,    8,-,    8
浙江省,    6 328 880,    3 233 399,    3 095 481,    6 307 892,    3 222 935,    3 084 957,    170,    66,    104,    3 201,    1 640,    1 561,,,安徽省,    15,    6,    9,    13,    6,    7,    258,    142,    116,    62,    15,    47,    192,    92,    100,,,安徽省,    81,    59,    22,    95,    41,    54,    532,    265,    267,    45,    27,    18,    3,-,    3,,,安徽省,    19,    7,    12,    307,    212,    95,    4,-,    4,    4,     2,    2,    3,-,    3,,,安徽省,    2,-,    2,    10,    7,    3,    3,-,    3,    9,    2,    7,-,-,-,-,-,-,   5,    1,    4,,,安徽省,    6,    1,    5,    4,    2,    2,    1,    1,-,-,-,-,-,-,-,    1,    1,-,    13,    9,    4,,,安徽省,    7,    4,    3,-,-,-,-,-,-,-,-,-,    1,-,    1,-,-,-,-,-,-,,,安徽省,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,安徽省,-,-,-,    2,    1,    1,    1,-,    1,2,-,    2,-,-,-,    1,    1,-,-,-,-
安徽省,    3 102 612,    1 615 487,    1 487 125,    3 045 669,    1 587 281,    1 458 388,    98,    44,    54,    55 058,    27 213,    27 845,,,福建省,    19,    7,    12,    6,    3,    3,    359,    197,    162,    21,    11,    10,    234,    72,    162,,,福建省,    60,    36,    24,    5,    3,    2,    583,    313,    270,    67,    29,    38,    20,    12,    8,,,福建省,    7,    3,    4,    61,    27,    34,2,-,    2,-,-,-,    3,-,    3,,,福建省,-,-,-,    2,    2,-,-,-,-,    1,-,    1,    1,-,    1,-,-,-,-,-,-,,,福建省,-,-,-,    1,    1,-,-,-,-,-,-,-,-,-,-,-,-,-,    1,-,    1,,,福建省,    2,-,    2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    3,    1,    2,,,福建省,-,-,-,-,-,-,-,-,-,-,-,-,    6,    2,    4,-,-,-,-,-,-,,,福建省,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,     7,    6,    1,    18,    2,    16
福建省,    2 439 906,    1 276 851,    1 163 055,    2 416 146,    1 263 697,    1 152 449,    55,    25,    30,    10 466,    5 873,    4 593,,,江西省,    20,    11,    9,    4,-,    4,    311,    210,    101,    54,    31,    23,    572,    319,    253,,,江西省,    66,    46,    20,    48,    21,    27,    1 070,    589,    481,    207,    130,    77,    90,    49,    41,,,江西省,    22,    8,    14,    190,    94,    96,    1,-,    1,    2,    1,    1,    7,    1,    6,,,江西省,-,-,-,    19,    9,    10,-,-,-,    2,-,    2,-,-,-,-,-,-,    6,    4,   2,,,江西省,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    8,    7,    1,    3,    3,-,,,江西省,    8,    4,    4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,江西省,-,-,-,-,-,-,-,-,-,-,-,-,    7,    6,    1,-,-,-,-,-,-,,,江西省,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    4,     3,    1,    8,    3,    5
江西省,    2 421 814,    1 289 983,    1 131 831,    2 414 535,    1 285 768,    1 128 767,    366,    209,    157,    1 316,    716,    600,,,山东省,    51,    19,    32,    11,    7,    4,    191,    108,    83,    95,    54,    41,    333,    186,    147,,,山东省,    144,    106,    38,    483,    206,    277,    2 140,    1 011,    1 129,    102,    79,    23,    19,    6,    13,,,山东省,    61,    20,    41,    58,    38,    20,    28,    3,    25,-,-,-,    11,-,    11,,,山东省,    8,-,    8,    17,    8,    9,-,-,-,    8,    3,    5,2,-,    2,-,-,-,    12,    5,    7,,,山东省,    15,    5,    10,    8,    4,    4,    4,    2,    2,    7,    2,    5,    1,-,    1,-,-,-,-,-,-,,,山东省,    2,    1,    1,-,-,-,    5,    2,    3,-,-,-,-,-,-,-,-,-,    6,    2,    4,,,山东省,-,-,-,-,-,-,-,-,-,-,-,-,    8,    7,    1,    4,  2,  2,-,-,-,,,山东省,-,-,-,-,-,-,-,-,-,-,-,-,    3,2,    1,    7,    5,   2,    2,    1,    1
山东省,    6 448 627,    3 398 210,    3 050 417,    6 371 061,    3 359 000,    3 012 061,    310,    132,    178,    73 294,    37 125,    36 169,,,河南省,    109,    46,    63,    181,    91,    90,    101,    35,    66,    62,    32,    30,    329,    167,    162,,,河南省,    31,    12,    19,    79,    28,    51,    3 782,    2 042,    1 740,    57,    22,    35,    19,    8,    11,,,河南省,    57,    23,    34,    140,    74,    66,    16,    2,    14,       2,    1,    1,    13,     2,    11,,,河南省,    15,    3,    12,    4,    2,    2,-,-,-,    14,    7,    7,-,-,-,-,-,-,    14,    5,    9,,,河南省,    2,    1,    1,    3,-,    3,    6,    4,    2,-,-,-,-,-,-,-,-,-,    5,    3,    2,,,河南省,    13,    5,    8,-,-,-,    1,-,    1,-,-,-,    1,-,    1,-,-,-,-,-,-,,,河南省,-,-,-,-,-,-,-,-,-,-,-,-,    3,    1,    2,-,-,-,-,-,-,,,河南省,-,-,-,    10,  2,    8,-,-,-,-,-,-,-,-,-,    22,    11,    11,    7,-,    7
河南省,    4 224 411,    2 265 942,    1 958 469,    4 058 138,    2 182 498,    1 875 640,    6 603,    3 778,    2 825,    154 498,    76 999,    77 499,,,湖北省,    28,    12,    16,    11,    2,    9,    6 074,    3 427,    2 647,    69,    44,    25,    388,    193,    195,,,湖北省,    59,    40,    19,    142,    64,    78,    1 532,    749,    783,    1 445,    834,    611,    66,    34,    32,,,湖北省,    137,    74,    63,    60 436,    33 361,    27 075,    5,    2,    3,       2,-,   2,    2,-,      2,,,湖北省,-,-,-,    9,    8,    1,         5,   2,   3,    2,    1,    1,-,-,-,-,-,-,    4,    2,    2,,,湖北省,-,-,-,-,-,-,    8,    5,    3,-,-,-,-,-,-,-,-,-,    1,    1,-,,,湖北省,    14,    6,    8,    1,    1,-,    1,    1,-,-,-,-,-,-,-,-,-,-,    6,    3,    3,,,湖北省,    4,    1,    3,-,-,-,-,-,-,-,-,-,    5,    4,    1,    1,-,    1,-,-,-,,,湖北省,-,-,-,    3,    1,2,-,-,-,-,-,-,-,-,-,-,-,-,    3,-,    3
