表3-6全国市各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
30—34岁,    20 028 986,    10 441 880,    9 587 106,    19 284 192,    10 055 785,    9 228 407,    55 049,    27 699,    27 350,    225 468,    113 870,    111 598
  30,    3 747 163,    1 962 136,    1 785 027,    3 599 134,    1 885 443,    1 713 691,    11 874,    6 012,    5 862,    42 851,    21 647,    21 204
  31,    3 555 770,    1 866 045,    1 689 725,    3 419 647,    1 795 180,    1 624 467,    10 614,    5 365,    5 249,    39 790,    20 058,    19 732
  32,    4 522 110,    2 366 817,    2 155 293,    4 359 013,    2 282 087,    2 076 926,11 857,    6 052,    5 805,    50 146,    25 476,    24 670
  33,    4 189 556,    2 172 427,    2 017 129,    4 036 509,    2 093 619,    1 942 890,    10 722,    5 313,    5 409,    47 383,    23 805,    23 578
  34,    4 014 387,    2 074 455,    1 939 932,    3 869 889,    1 999 456,    1 870 433,    9 982,    4 957,    5 025,    45 298,    22 884,    22 414
35-39岁,    18 420 810,    9 505 759,8 915 051,    17 760 678,    9 162 840,    8 597 838,    38 595,    19 196,    19 399,    212 884,    107 089,    105 795
  35,    4 258 548,    2 201 781,    2 056 767,    4 104 936,    2 122 213,    1 982 723,    10 153,    5 081,    5 072,    47 542,    23 861,    23 681
  36,    4 001 295,    2 060 055,    1 941 240,    3 855 994,    1 984 838,    1 871 156,    8 996,    4 486,    4 510,    47 077,    23 636,    23 441
  37,    3 613 089,    1 858 312,    1 754 777,    3 483 706,    1 791 013,    1 692 693,    7 139,    3 494,    3 645,    41 213,    20 841,    20 372
  38,    3 474 654,    1 793 260,    1 681 394,    3 351 605,    1 729 231,    1 622 374,    6 663,    3 313,    3 350,    40 386,    20 217,    20 169
  39,    3 073 224,    1 592 351,    1 480 873,    2 964 437,    1 535 545,    1 428 892,    5 644,    2 822,    2 822,    36 666,    18 534,    18 132
40—44岁,    12 915 487,    6 766 633,    6 148 854,    12 448 464,    6 522 047,    5 926 417,    22 579,    11 095,    11 484,    154 115,    77 041,    77 074
  40,    3 184 503,    1 672 512,    1 511 991,    3 065 427,    1 609 425,    1 456 002,    5 760,    2 831,    2 929,    38 531,    19 662,    18 869
  41,    2 617 717,    1 363 701,    1 254 016,    2 524 204,    1 315 015,    1 209 189,    4 529,    2 225,    2 304,    31 127,    15 497,    15 630
  42,    2 483 048,    1 299 425,    1 183 623,    2 395 010,    1 253 517,    1 141 493,    4 402,    2 164,    2 238,    29 039,    14 670,    14 369
  43,    2 419 729,    1 274 322,    1 145 407,    2 333 265,    1 228 894,    1 104 371,    4 187,    2 047,    2 140,    28 423,    14 159,    14 264
  44,    2 210 490,    1 156 673,    1 053 817,    2 130 558,    1 115 196,    1 015 362,    3 701,    1 828,    1 873,    26 995,    13 053,    13 942
45-49岁,    9 982 419,    5 146 032,    4 836 387,    9 607 680,    4 954 247,    4 653 433,    19 687,    9 452,    10 235,    119 989,    58 216,    61 773
  45,    2 069 085,    1 073 816,    995 269,    1 993 324,    1 035 014,    958 310,    3 836,    1 845,    1 991,    24 815,    12 071,    12 744
  46,    1 952 720,    1 010 737,    941 983,    1 879 930,    973 341,    906 589,    3 874,    1 797,    2 077,    22 643,    11 130,    11 513
  47,    1 936 082,    994 463,    941 619,1 861 231,    956 107,    905 124,    3 817,    1 843,    1 974,    24 268,    11 828,    12 440
  48,    1 999 541,    1 023 105,    976 436,    1 923 157,    984 403,    938 754,    3 887,    1 876,    2 011,    24 492,    11 680,    12 812
  49,    2 024 991,    1 043 911,    981 080,    1 950 038,    1 005 382,    944 656,    4 273,    2 091,    2 182,    23 771,    11 507,    12 264
50-54岁,    9 923 948,    5 086 363,    4 837 585,    9 559 850,    4 895 259,    4 664 591,    21 013,    10 544,    10 469,    111 419,    55 247,    56 172
  50,    1 997 242,    1 020 386,    976 856,    1 919 358,    980 422,    938 936,    4 525,    2 224,    2 301,    23 683,    11 480,    12 203
  51,    1 950 093,    990 222,    959 871,    1 876 177,    951 634,    924 543,    4 620,    2 307,    2 313,    22 055,    10 807,    11 248
  52,    2 008 507,    1 034 406,    974 101,    1 934 496,    995 254,    939 242,    4 212,    2 153,    2 059,    22 569,    11 333,    11 236
  53,    1 982 116,    1 025 778,    956 338,    1 911 876,    988 377,    923 499,    3 975,    1 991,    1 984,    21 808,    11 016,    10 792
  54,1 985 990,    1 015 571,    970 419,    1 917 943,    979 572,    938 371,    3 681,    1 869,    1 812,    21 304,    10 611,    10 693
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    表3-6单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,       汉族,,,    蒙占族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女
55—59岁,    8 889 831,    4 665 248,    4 224 583,    8 595 883,    4 506 504,    4 089 379,15 199,    8 407,    6 792,    95 254,    48 798,    46 456
  55,    1 928 604,    985 647,    942 957,    1 861 709,    950 277,    911 432,    3 501,    1 840,    1 661,    21 264,    10 686,    10 578
  56,    1 894 860,    987 286,    907 574,    1 831 832,    953 366,    878 466,    3 269,    1 820,    1 449,    20 861,    10 493,    10 368
  57,    1 834 144,    962 007,872 137,    1 774 886,    929 997,    844 889,    2 952,    1 649,    1 303,    19 411,    9 851,    9 560
  58,    1 646 009,    875 961,    770 048,    1 593 048,    847 008,    746 040,    2 709,    1 481,    1 228,    16 716,    8 781,    7 935
  59,    1 586 214,    854 347,    731 867,    1 534 408,    825 856,    708 552,    2 768,    1 617,    1 151,    17 002,       8 987,    8 015
60—64岁,    6 767 661,    3 542 563,    3 225 098,    6 549 801,    3 426 007,    3 123 794,    11 669,    7 013,    4 656,    71 783,    36 771,    35 012
  60,    1 590 598,    843 374,    747 224,    1 536 579,    814 279,    722 300,    2 802,    1 683,    1 119,    17 176,    8 923,    8 253
  61,    1 409 298,    735 980,    673 318,    1 364 553,    712 140,    652 413,    2 420,    1 465,    955,    15 041,    7 668,    7 373
  62,    1 391 658,    726 558,    665 100,    1 347 136,    702 672,    644 464,    2 499,    1 517,    982,    14 569,    7 390,    7 179
  63,    1 215 424,    634 981,    580 443,    1 176 696,    614 224,    562 472,    2 083,    1 270,    813,    12 513,    6 429,    6 084
  64,    1 160 683,    601 670,    559 013,    1 124 837,    582 692,    542 145,    1 865,    1 078,    787,    12 484,    6 361,    6 123
65—69岁,    4 838 665,    2 427 127,    2 411 538,    4 690 728,    2 351 550,    2 339 178,    6 757,    3 932,    2 825,    49 759,    24 460,    25 299
  65,    1 129 466,    574 305,    555 161,    1 094 575,    556 397,    538 178,    1 704,    997,    707,    11 628,    5 700,    5 928
  66,    1 049 945,    527 786,    522 159,    1 018 549,511 740,    506 809,    1 516,    907,    609,    10 735,    5 272,    5 463
  67,    917 450,    459 422,    458 028,    888 948,    444 795,    444 153,    1 228,    725,    503,    9 552,    4 750,    4 802
  68,    905 577,    452 586,    452 991,    877 825,    438 337,    439 488,    1 237,    711,    526,    9 202,    4 530,    4 672
  69,    836 227,    413 028,    423 199,    810 831,    400 281,    410 550,    1 072,    592,    480,    8 642,    4 208,    4 434
70-74岁,    3 159 823,    1 498 764,    1 661 059,    3 063 441,    1 452 335,    1 611 106,    3 630,    1 970,    1 660,    33 934,    15 827,    18 107
  70,    771 581,    377 844,    393 737,    747 421,    366 045,    381 376,    933,    525,    408,    8 128,    3 893,    4 235
  71,    665 431,    318 591,    346 840,    645 870,    308 985,    336 885,    707,    383,    324,    7 140,    3 395,    3 745
