,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    白族,,,    土家族,,,    哈尼族,,,    哈萨克族,,,    傣族,,,,,,,,,,,,,,,,,,,,,,,,    拉祜族,,,    水族,,,    东乡族,,,    纳西族,,,    景颇族,,,    柯尔克孜族,,,    土族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    鄂温克族,,,    德昂族,,,    保安族,,,    裕固族,,,    京族,,,    塔塔尔族,,,    独龙族,,,,,,    鄂伦春族,,,    赫哲族,,,    门巴族,,,    珞巴放,,,    基诺族,,,  其他未识别的民族,,,  外国人加人中国籍,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,,,,,    藏族,,,    维吾尔族,,,    苗族,,,    彝族,,,    壮族,,,,,,    布依族,,,    朝鲜族,,,    满族,,,    侗族,,,    瑶族,,,,,    地区别,,,,,,,,,,,,,,,,,,,    黎族,,,    傈僳族,,,    佤族,,,    畲族,,,    高山族,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,,    达斡尔族,,,    仫佬族,,,    羌族,,,    布朗族,,,    撒拉族,,,    毛南族,,,    仡佬族,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,,,,小计,  男,  女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,,小计,    男,    女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,    男,    女,小计,    男,    女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,    男,    女,小计,  男,  女,小汁,    男,    女,    小计,    男,    女,小计,  男,  女,小计,  男,  女,小计,  男,  女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,  1 598 052,    810 200,    787 852,  5 725 049,  3 006 954,  2 718 095, 1 254 800, 640 653,  614 147,  1 110 758,  568 715,  542 043,  1 025 402,    511 327,  514 075,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,411 545, 209 492, 202 053, 347 116, 179 141, 167 975, 373 669,  192 634,181 035,  277 750,139 474,138 276,119 276, 58 271, 61 005,143 537, 73 128, 70 409,192 568, 98 905,93 663,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,总计,172 932,  90 786,  82 146,  27 718,  13 853,  13 865,  29 721,  15 083,  14 638,    33 223, 16 966,  16 257,  27 190,  13 694, 13 496, 14 763,  7 711,  7 052, 13 500,  6 290, 7 210,,,总计,  26 379,  13 154,  13 225,  15 461,  7 721,    7 740,  11 683,    6 003,  5 680,    12 293,  6 150,  6 143, 18 749,  8 963,  9 786,  5 064,  2 631,  2 433,  5 825,  2 792, 3 033,,,总计,    7 004,    3 388,    3 616,    4 254,    2 115,    2 139,    7 498,    3 740,    3 758,    2 322,  1 128,  1 194,  18 022,  9 096,  8 926, 752 347, 389 363, 362 984,    3 498,    788, 2 710
山西省,    28 758 846,    14 958 318,    13 800 528,    28 676 551,  14 917 662,  13 758 889,    2 845,    1 471,    1 374,    58 098,    29 334,    28 764,,,山西省,    474,    217,    257,    66,    30,    36,    1 105,    391,    714,    406,    184,    222,    2 230,    377,    1 853,,,山西省,    262,    85,    177,    1 066,    499,    567,    13 319,    6 967,    6 352,    147,    66,    81,    101,    42,    59,,,内蒙古自治区,    154,    76,    78,    511,    281,    230,    31,    11,    20,    13,    4,    9,    28,    12,    16,,,山西省,    6,-,    6,    10,    4,    6,    7,    4,    3,    365,    237,    128,    4,    3,    1,,,内蒙占自治区,    8,    5,    3,    37,    17,    20,    52,    26,    26,    17,    12,    5,    13,    4,    9,    111,    60,    51,    384,    195,    189,,,山西省,    32,    19,    13,    27,-,    27,    57,    18,    39,-,-,-,    1,-,    1,    5,-,    5,    19,    7,    12,,,内蒙古自治区,    2 867,    1 493,    1 374,-,-,-,    1,-,    1,-,-,-,    1,-,    1,    3,    1,    2,  4 388,  2 123, 2 265,,,内蒙占自治区,  23 379,  11 709,  11 670,    2,-,2,    5,    3,    2,    9,    3,    6,    15,    7,    8,    1,-,    1,-,-,-,,,内蒙古自治区,    3 110,    1 507,    1 603,    62,    29,    33,-,-,-,-,-,-,-,-,-,    91,    53,    38,    172,    69,    103
内蒙古自治区,    21 456 518,    11 155 668,    10 300 850,    17 289 995,    9 049 566,  8 240 429,    3 379 738,    1 708 046,    1 671 692,    192 725,    97 597,    95 128,,,内蒙占自治区,    807,    393,    414,    166,    83,    83,    848,    417,    431,    334,    148,    186,    1 503,    807,    696,,,内蒙古自治区,    112,    58,    54,    22 173,    10 741,    11 432,  460 517,  233 648,  226 869,    178,    89,    89,    107,    55,    52,,,辽宁省,    298,    150,    148,    1 083,    672,    411,    95,    62,    33,    30,    19,    11,    36,    21,    15,,,内蒙古自治区,    117,    49,    68,    9,    4,    5,    32,    17,    15,    51,    30,    21,    75,    36,    39,,,辽宁省,    1,-,    1,    40,    21,    19,-,-,-,    55,    30,    25,    7,    4,    3,    19,    16,    3,    20,    9,    11,,,内蒙古自治区,  71 484,  36 135,  35 349,    8,    4,    4,    61,    40,    21,-,-,-,    1,    1,-,    5,    2,    3,    7,    2,    5,,,辽宁省, 120 196,  63 634,  56 562,    7,    3,    4,    2,    2,-,-,-,-,-,-,-,-,-,-,    122,    57,    65,,,辽宁省,    86,    34,    52,-,-,-,-,-,-,    5,    3,    2,    3,    2,    1,    4,    4,-,-,-,-,,,辽宁省,    86,    28,    58,    28,    13,    15,-,-,-,    8,    4,    4,-,-,-,    65,    36,    29,    339,    82,    257
辽宁省,    39 459 694,    20 152 574,    19 307 120,    33 293 782,  16 967 375,  16 326 407,    587 311,    298 759,    288 552,    263 481,    133 855,    129 626,,,辽宁省,    625,    393,    232,    390,    242,    148,    1 232,    652,    580,    440,    225,    215,    2 760,    1 383,    1 377,,,辽宁省,    258,    135,    123,    230 719,    112 933,    117 786, 4 954 217, 2 570 756,  2 383 461,    484,    278,    206,    310,    188,    122,,,吉林省,    295,    162,    133,    379,    229,    150,    22,    11,    11,    38,    25,    13,    46,    29,    17,,,辽宁省,    100,    49,    51,    14,    6,    8,-,-,-,    99,    65,    34,    229,    101,    128,,,吉林省,    10,    5,    5,    14,    6,    8,    2,    1,    1,    5,    4,    1,    3,    1,    2,    17,    8,    9,    63,    33,    30,,,辽宁省,    526,    228,    298,    17,    10,    7,    31,    15,    16,-,-,-,-,-,-,    7,    6,    1,    27,    14,    13,,,吉林省,    3 452,    1 803,    1 649,-,-,-,    1,    1,-,-,-,-,-,-,-,-,-,-,    44,    26,    18,,,吉林省,    43,    23,    20,-,-,-,    4,    2,    2,-,-,-,-,-,-,-,-,-,-,-,-,,,吉林省,    44,    14,    30,    232,    120,    112,    11,    8,3,    6,    3,     3,    20,    13,    7,    35,    22,    13,    118,    31,    87
吉林省,    24 659 790,    12 624 084,    12 035 706,22 134 425,  11 345 430,  10 788 995,    156 488,    77 052,    79 436,    122 422,    62 072,    60 350,,,吉林省,    143,    75,    68,    264,    149,    115,    495,    256,    239,    210,    114,    96,    1 254,    624,    630,,,吉林省,    105,    59,    46,  1 183 567,    587 313,    596 254, 1 054 535,  547 859,  506 676,    165,    92,    73,    141,    72,    69,,,黑龙江省,    256,    140,    116,    1 375,    852,    523,    18,    8,    10,    10,    7,    3,    11,    6,    5,,,吉林省,    39,    16,    23,    126,    66,    60,-,-,-,    31,    17,    14,    49,    26,    23,,,黑龙江省,    2,    1,    1,    132,    72,    60,    5,    2,    3,    48,    25,    23,-,-,-,  1 436,    714,    722,    49,    25,    24,,,吉林省,    391,    192,    199,    4,    2,    2,    15,    10,    5,-,-,-,    7,    4,    3,-,-,-,    10,    4,    6,,,黑龙江省,    9 002,    5 013,    3 989,-,-,-,    3,-,    3,    1,-,    1,    1,    1,-,    2,-,    2,    322,    126,    196,,,黑龙江省,    2 613,    1 262,    1 351,-,-,-,    5,    1,    4,    30,    17,    13,    33,    18,    15,    10,    6,    4,-,-,-,,,黑龙江省,    3 618,    1 772,    1 846,    3 759,    1 890,    1 869,    1,-,    1,    1,-,    1,    1,-,    1,    95,    52,    43,    603,    170,    433
黑龙江省,    35 215 932,    18 048 747,    17 167 185,    33 217 300,  17 004 445,  16 212 855,    139 077,    70 630,    68 447,    139 357,    70 663,    68 694,,,黑龙江省,    186,    95,    91,    211,    114,    97,    2 438,    1 374,    1 064,    586,    321,    265,    3 242,    1 671,    1 571,,,黑龙江省,    622,    347,    275,    454 091,    225 864,    228 227, 1 191 577,  638 893,  552 684,    797,    458,    339,    336,    174,    162,,,上海市,    218,    118,    100,    720,    469,    251,    99,    28,    71,    62,    38,    24,    92,    31,    61,,,黑龙江省,    44,    22,    22,    28,    14,    14,    33,    17,    16,    109,    74,    35,    40,    23,    17,,,上海市,    6,    1,    5,    21,    12,    9,    1,-,    1,    39,    20,    19,-,-,-,    3,    3,-,    11,    8,    3,,,黑龙江省,  42 319,    21 315,  21 004,    16,    9,    7,    33,    17,    16,    2,    1,    1,    3,    2,    1,    13,    10,    3,    30,    14,    16,,,上海市,    90,    48,    42,-,-,-,-,-,-,-,-,-,-,-,-,    4,    2,    2,    22,    14,    8,,,上海市,    2,-,    2,-,-,-,-,-,-,-,-,-,    2,    2,-,    6,    3,    3,-,-,-,,,上海市,    6,    3,    3,    3,-,    3,-,-,-,-,-,-,    1,-,    1,    44,    20,    24,    20,    5,    15
上海市,    13 341 852,    6 806 091,    6 535 761,    13 279 617,    6 774 697,  6 504 920,    1 939,    1 010,    929,    50 392,    25 046,    25 346,,,上海市,    637,    326,    311,    492,    289,    203,    422,    258,    164,    199,    86,    113,    898,    503,    395,,,上海市,    136,    80,    56,    742,    382,    360,    4 236,    2 194,    2 042,    226,    143,    83,    86,    48,    38,,,江苏省,    863,    189,    674,    2 370,    561,    1 809,    726,    53,    673,    31,    15,    16,    377,    29,    348,,,上海市,    35,    22,    13,    11,    3,    8,    14,    6,    8,    174,    106,    68,    60,    35,    25,,,江苏省,    170,    19,    151,    223,    97,    126,    14,    2,    12,    144,    47,    97,    21,-,    21,    4,   2,2,    152,    32,    120,,,上海市,    28,    13,    15,    14,    7,    7,    2,-,    2,    2,-,    2,    5,    4,    1,    4,    2,    2,    9,    6,    3,,,江苏省,    116,    49,    67,    5,-,    5,    25,    3,    22,    1,-,    1,    14,    1,    13,    1,    1,-,    58,    27,    31,,,江苏省,    13,    5,    8,    4,-,    4,-,-,-,    1,    1,-,    33,    3,    30,    1,-,    1,    18,    4,14,,,江苏省,    8,    2,    6,    7,   2,    5,    8,    5,    3,5,    1,    4,-,-,-,    268,    33,    235,    15,    5,    10
江苏省,    67 056 812,    34 123 252,    32 933 560,    66 903 469,  34 053 288,  32 850 181,    2 749,    1 364,    1 385,121 695,60 969,    60 726,,,江苏省,    866,    446,    420,    361,    193,    168,    3 746,    639,    3 107,    2 165,    245,    1 920,    4 361,    714,    3 647,,,江苏省,    2 075,    271,    1 804,    963,    422,    541,    6 008,    2 901,    3 107,    1 287,    236,    1 051,    290,    86,    204,,,浙江省,    382,    75,    307,    1 390,    361,    1 029,    69,    10,    59,    4,    1,    3,    138,    13,    125,,,江苏省,    258,    53,    205,    117,    13,    104,    143,    9,    134,    142,    79,    63,    102,    42,    60,,,浙江省,    37,    4,    33,    339,    24,    315,    14,    2,    12,    431,    36,    395,    13,    1,    12,    8,    5,    3,    105,    19,    86,,,江苏省,    48,    18,    30,    67,    19,    48,    25,    4,    21,    45,    2,    43,    10,    4,    6,    25,    3,    22,    99,    44,    55,,,浙江省,    27,    12,    15,-,-,-,    22,    1,    21,-,-,-,    9,    1,    8,-,-,-,    5,    2,    3,,,浙江省,    7,    2,    5,-,-,-,    1,-,    1,    2,    1,    1,    13,-,    13,    2,-,    2,    9,-,    9,,,浙江省,2,-,2,    18,    3,    15,    2,-,  2,-,-,-,-,-,-,    145,    10,    135,    25,-,    25
浙江省,    41 446 015,    21 363 128,    20 082 887,    41 233 263,  21 259 074,  19 974 189,    652,    266,    386,    17 294,    9 116,    8 178,,,浙江省,    393,    157,    236,    65,    39,    26,    3 139,    613,    2 526,    695,    101,    594,    7 766,    963,    6 803,,,浙江省,    1 288,    151,    1 137,    254,    113,    141,    2 720,    1 284,    1 436,    683,    162,    521,    277,    61,    216,,,安徽省,    559,    68,    491,    1 527,    736,    791,    567,    36,    531,    16,    11,    5,    354,    45,    309,,,浙江省,    215,    96,    119,    43,    7,    36,    49,    10,    39,  173 750,    90 247,    83 503,    78,    39,    39,,,安徽省,    140,    9,    131,    191,    41,    150,    14,    3,    11,    71,    11,    60,    5,    1,    4,    2,-,    2,    93,    16,    77,,,浙江省,    22,    10,    12,    51,    11,    40,    16,    5,    11,    8,    1,    7,    23,    7,    16,    23,    5,    18,    29,    7,    22,,,安徽省,    64,    23,    41,    1,-,    1,    27,    1,    26,-,-,-,    7,-,     7,    1,    1,-,    10,    4,    6,,,安徽省,    2,    1,    1,    4,-,    4,    1,-,    1,-,-,-,    24,    4,    20,    1,-,    1,    23,    1,    22,,,安徽省,    3,    1,    2,    9,       2,    7,    1,-,    1,     7,-,    7,-,-,-,    114,    25,    89,    11,-,    11
安徽省,    56 181 005,    29 026 412,    27 154 593,    55 856 653,  28 866 227,  26 990 426,    759,    318,    441,    302 052,    152 037,    150 015,,,安徽省,    558,    203,    355,    130,    56,    74,    2 141,    641,    1 500,    1 920,    241,    1 679,    2 684,    825,    1 859,,,安徽省,    1 157,    420,    737,    667,    301,    366,    5 514,    2 841,    2 673,    520,    199,    321,    169,    54,    115,,,福建省,    146,    72,    74,    1 082,    449,    633,    11,-,    11,    2,-,    2,    59,    13,    46,,,安徽省,    120,    17,    103,    53,    4,    49,    145,    9,    136,    1 520,    823,    697,    92,    44,    48,,,福建省,    5,-,    5,    92,    36,    56,    8,    4,    4,    39,    17,    22,    10,    1,    9,-,-,-,    51,    15,    36,,,安徽省,    26,    7,    19,    49,    19,    30,    39,    12,    27,    32,    2,    30,    8,    1,    7,    22,    5,    17,    126,    66,    60,,,福建省,    16,    4,    12,    1,    1,-,    3,-,    3,    1,    1,-,    4,    1,    3,    3,    1,    2,    10,    4,    6,,,福建省,    1,-,    1,-,-,-,    1,-,    1,    1,-,    1,    162,    29,    133,-,-,-,    1,-,    1,,,福建省,    1,-,    1,-,-,-,-,-,-,    2,-,    2,-,-,-,    111,    47,    64,    694,    119,    575
福建省,    30 048 275,    15 434 048,    14 614 227,    29 581 475,  15 186 261,  14 395 214,    2 383,    1 246,    1 137,    92 464,    51 279,    41 185,,,福建省,    282,    48,    234,    33,    15,    18,    3 902,    1 717,    2 185,    356,    72,    284,    7 836,    1 054,    6 782,,,福建省,    596,    164,    432,    137,    61,    76,    5 329,    2 814,    2 515,    513,    177,    336,    468,    119,    349,,,江西省,    263,    98,    165,    833,    391,    442,    22,    10,    12,    2,    1,    1,    54,    19,    35,,,福建省,    258,    76,    182,    6,-,    6,    18,    4,    14,  349 052,  187 805,  161 247,    521,    297,    224,,,江西省,    4,    1,    3,    61,    33,    28,    1,    1,-,    26,    11,    15,    5,    3,    2,-,-,-,    30,    17,    13,,,福建省,    4,    1,    3,    41,    13,    28,    11,    1,    10,    4,-,    4,-,-,-,    43,    1,    42,    26,    9,    17,,,江西省,    63,    36,    27,-,-,-,    2,    1,    1,-,-,-,-,-,-,-,-,-,    3,-,    3,,,江西省,-,-,-,    2,    2,-,-,-,-,-,-,-,    43,    21,    22,-,-,-,    2,-,    2,,,江西省,-,-,-,-,-,-,    6,    2,    4,    1,-,     1,    1,-,    1,    126,    76,    50,    18,    5,    13
