表3-4省自治区直辖市的县各民族人口数(第二种口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,,,,,,,表3-4单位：人,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    藏族,,,    维吾尔族,,,    苗族,,,    彝族,,,    壮族,,,,,,    布依族,,,    朝鲜族,,,    满族,,,    侗族,,,    瑶族,,,,,,,,,,,,,,,,,,,,,,,,    黎族,,,    傈僳族,,,    佤族,,,    畲族,,,    高山族,,,,,,    拉祜族,,,    水族,,,    东乡族,,,    纳西族,,,    景颇族,,,    柯尔克孜族,,,    土族,,,,,,    达斡尔族,,,    仫佬族,,,    羌族,,,    布朗族,,,    撒拉族,,,    毛南族,,,    仡佬族,,,,,,    锡伯族,,,    阿昌族,,,    普米族,,,    塔吉克族,,,    怒族,,,    乌孜别克族,,,    俄罗斯族,,,,,,    鄂温克族,,,    德昂族,,,    保安族,,,    裕固族,,,    京族,,,    塔塔尔族,,,    独龙族,,,,,,    鄂伦春族,,,    赫哲族,,,    门巴族,,,    珞巴族,,,    基诺族,,,  其他未识别的民族,,,  外国人加入中国籍,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  地区别,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,,,,地区别,,,,,,,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,    男,    女,小计,  男,  女,小计,    男,    女,    小计,    男,    女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女,,,,小计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,  4 268 506,  2 101 885,  2 166 621,  6 087 770,  3 119 744,  2 968 026,  6 792 621, 3 512 593, 3 280 028, 6 039 583, 3 057 600, 2 981 983, 14 020 702, 7 116 226, 6 904 476,,,总计,  2 290 014,  1 156 685,  1 133 329,    957 835,    478 638,479 197,  7 079 529, 3 713 648, 3 365 881, 2 297 653,1 210 930, 1 086 723, 2 021 375, 1 051 373,  970 002,,,,,,,,,,,,,,,,,,,,,总计,    877 621,    444 081,    433 540,    555 437,    280 752,    274 685,  337 582,  169 514,  168 068,  574 426,  305 823,  268 603,    1 198,    569,    629,,,总计,400 297, 203 995, 196 302,323 341, 166 005, 157 336,365 313, 187 494,177 819,  238 024,118 651,119 373,113 128, 55 173, 57 955,127 948, 64 990, 62 958,177 383, 90 202,87 181,,,总计,  51 405,  26 194,  25 211, 136 727,  69 609,  67 118, 184 277,  93 096, 91 181,    80 481, 40 931, 39 550,  80 296,  40 313, 39 983, 64 550, 33 310,  31 240, 406 994,217 669,189 325,,,总计,  91 275,  48 210,  43 065,  26 666,  13 215,  13 451,  28 326,  14 222,  14 104,    30 837,  15 567,  15 270,  25 709,  12 893,  12 816,  5 668,  3 089,  2 579,  3 065,  1 469, 1 596,,,总计,  16 557,    8 378,    8 179,  15 082,    7 499,    7 583,  10 732,    5 433,  5 299,    10 102,  5 044,  5 058,  14 011,  6 685,  7 326,  2 929,  1 558,  1 371,  5 302,  2 524,2 778,,,总计,    4 154,    2 059,    2 095,1 871,    948,    923,  7 100,    3 559,  3 541,    2 197,  1 075,  1 122,  16 462,  8 291,  8 171,695 410,357 902,337 508,  2 168,    449, 1 719
总计,  834 365 458,  427 641 955,  406 723 503,  757 979 840,  388 554 507,  369 425 333,    3 628 378,    1 849 583,    1 778 795,    5 242 008,    2 671 391,  2 570 617,,,北京市,    13,    6,    7,    9,    4,    5,    119,    38,    81,    53,    15,    38,    1 244,    256,    988,,,北京市,    25,    5,    20,    148,    65,    83,    44 420,    23 651,    20 769,    50,    23,    27,    72,    25,    47,,,,,,,,,,,,,,,,,,,,,北京市,    4,    1,    3,    8,    3,    5,-,-,-,    7,    6,    1,    1,    1,-,,,北京市,-,-,-,-,-,-,-,-,-,    1,-,    1,-,-,-,-,-,-,    3,    2,    1,,,北京市,    1,-,    1,    5,    1,    4,    4,    2,    2,-,-,-,-,-,-,    1,    1,-,-,-,-,,,北京市,    6,    2,    4,-,-,-,    1,-,    1,-,-,-,-,-,-,-,-,-,    1,    1,-,,,北京市,    2,    1,    1,-,-,-,-,-,-,-,-,-,2,    2,-,-,-,-,-,-,-,,,北京市,    3,    2,    1,    1,-,    1,-,-,-,-,-,-,-,-,-,    1,    1,-,    2,-,  2
北京市,    2 874 077,    1 434 824,    1 439 253,    2 797 826,    1 395 875,    1 401 951,    851,    332,    519,    29 050,    14 440,    14 610,,,天津市,    18,    1,    17,    1, -,    1,    156,    18,    138,    17,    1,    16,    1 956,    135,    1 821,,,天津市,    41,    5,    36,    225,    71,    154,    17 277,    9 257,    8 020,    48,    5,    43,    118,    12,    106,,,,,,,,,,,,,,,,,,,,,天津市,    2,-,2,    1,    1,-,    1,-,    1,    1,-,    1,-,-,-,,,天津市,-,-,-,    10,    1,    9,-,-,-,    4,    1,    3,-,-,-,    2,-,    2,    9,    6,    3,,,天津市,    11,    2,    9,    10,-,    10,-,-,-,-,-,-,-,-,-,    12,-,    12,    8,    1,    7,,,天津市,    12,    4,    8,-,-,-,    4,    2,    2,-,-,-,-,-,-,-,-,-,-,-,-,,,天津市,    10,    3,    7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,天津市,    2,    2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,    1,    1,    1,-,    1
天津市,    2 674 344,    1 341 210,    1 333 134,    2 647 230,    1 328 423,    1 318 807,    535,    121,    414,    6 510,    3 122,    3 388,,,河北省,    417,    89,    328,    75,    28,    47,    1 598,    261,    1 337,    703,    116,    587,    15 948,    1 228,    14 720,,,河北省,    913,    60,    853,    2 932,    1 295,    1 637,  1 528 503,  809 057,  719 446,    479,    40,    439,    784,    74,    710,,,,,,,,,,,,,,,,,,,,,河北省,    105,    9,    96,    475,    53,    422,    35,    2,    33,    108,    70,    38,    199,    104,    95,,,河北省,    39,    1,    38,    127,    20,    107,    1,-,    1,    285,    15,    270,    14,    2,    12,-,-,-,    78,    26,    52,,,河北省,    97,    31,    66,    155,    18,    137,    26,    1,    25,    6,-,    6,    2,-,    2,    39,    4,    35,    20,    1,    19,,,河北省,    42,    11,    31,-,-,-,    18,    3,    15,    3,-,    3,    4,-,    4,-,-,-,    16,    7,    9,,,河北省,    10,    2,    8,-,-,-,-,-,-,    1,-,    1,    6,-,    6,    15,    6,    9,    5,    1,    4,,,河北省,    8,    2,    6,    10,    4,    6,    3,    2,    1,    2,-,    2,    1,-,    1,    59,    4,    55,    36,    2,    34
河北省,    49 348 876,    25 005 471,    24 343 405,  47 381 732,  23 982 913,  23 398 819,    123 407,    65 845,    57 562,    287 559,    143 898,    143 661,,,山西省,    100,    25,    75,    16,    7,    9,    593,    113,    480,    186,    32,    154,    1 734,    98,    1 636,,,山西省,    113,    6,    107,    68,    31,    37,    1 529,    696,    833,    33,    6,    27,    29,        1,    28,,,,,,,,,,,,,,,,,,,,,山西省,    4,-,    4,    4,-,    4,    2,-,    2,    254,    169,    85,-,-,-,,,山西省,    2,-,    2,    14,    1,    13,    2,-,    2,    6,    1,    5,      5,    1,    4,-,-,-,    16,    2,    14,,,山西省,    3,    1,    2,    17,-,    17,    29,    6,    23,-,-,-,-,-,-,    5,-,    5,    11,    1,    10,,,山西省,    4,    1,    3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,    2,-,    2,,,山西省,    2,    1,    1,    1,-,    1,-,-,-,    1,-,    1,    2,-,   2,    2,    1,    1,    3,-,    3,,,山西省,    1,-,    1,    1,-,    1,-,-,-,    1,-,    1,-,-,-,    179,    22,    157,    3,-,    3
