表10—16 1989年全国分年龄按月分布的死亡人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——16 1989年全国分年龄按月分布的死亡人口数(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    四月,,,    五月,,,    六月,,,    七月,,,    八月,,,,,,,,,,,,,,,,,
,    合计,,,    一月,,,    二月,,,    三月,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    九月,,,    十月,,,    十一月,,,    十二月,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    552 574,    304 421,    248 153,    524 611,    291 111,    233 500,    537 039,  299 549, 237 490,  545 735,  303 163,  242 572,    551 923,  305 158, 246 765,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  8,    12 211,    7 624,    4 587,    524,    305,    219,639,    376,    263,    768,    425,    343,,,  9,    891,    518,    373,    984,    597,    387,    1 486,    979,    507,    1 902,    1 230,    672,    1 470,    920,    550,,,  8,    905,    563,    342,    930,    548,    382,    716,    401,    315,    644,    387,    257
  9,    11 588,    7 107,    4 481,    554,    327,    227,    628,    359,    269,    761,    444,    317,,,10——14岁,    4 729,    2 730,    1 999,    5 316,    3 175,    2 141,    6 961,    4 176,    2 785,    8 213,    5 058,    3 155,    6 785,    4 019,    2 766,,,  9,    880,    550,    330,    826,    469,    357,    609,    363,    246,    597,    351,    246
10——14岁,    58 472,    34 273,    24 199,    3 037,    1 776,    1 261,    3 838,    2 197,    1 641,    4 036,    2 287,    1 749,,,  10,    902,    528,    374,    948,    575,    373,    1 339,    835,    504,    1 618,    1 018,    600,    1 406,    863,    543,,,10——14岁,    4 364,    2 502,    1 862,    4 446,    2 513,    1 933,    3 400,    1 938,    1 462,    3 347,    1 902,    1 445
  10,    10 978,    6 553,    4 425,    535,    311,    224,    648,    394,    254,    735,    419,    316,,,  11,    795,    479,    316,    925,    572,    353,    1 240,    750,    490,    1 554,    942,    612,    1 314,    784,    530,,,  10,    762,    449,    313,    840,    460,    380,    648,    356,    292,    597,    345,    252
  11,    10 407,    6 194,    4 213,    480,    281,    199,    624,    371,    253,    664,    386,    278,,,  12,    854,    480,    374,    969,    588,    381,    1 318,    779,    539,    1 584,    958,    626,    1 220,    722,    498,,,  11,    792,    462,    330,    809,    475,    334,    599,    346,    253,    611,    346,    265
  12,    10 838,    6 296,    4 542,    597,    350,    247,    722,    385,    337,    764,    443,    321,,,  13,    964,    550,    414,    1 175,    688,    487,    1 450,    875,    575,    1 604,    981,    623,    1 312,    765,    547,,,  12,    816,    488,    328,    764,    425,    339,    614,    337,    277,    616,    341,    275
  13,    12 231,    7 127,    5 104,    667,    388,    279,    842,    472,    370,    879,    492,    387,,,  14,    1 214,    693,    521,    1 299,    752,    547,    1 614,    937,    677,    1 853,    1 159,    694,    1 533,    885,    648,,,  13,    948,    536,    412,    935,    537,    398,    713,    421,    292,    742,    422,    320
  14,    14 018,    8 103,    5 915,    758,    446,    312,    1 002,    575,    427,    994,    547,    447,,,15——19岁,    10 179,    5 667,    4 512,    11 204,    6 354,    4 850,  13 268,    7 542,    5 726,  14 330,    8 308,    6 022,    13 369,    7 603,    5 766,,,  14,    1 046,    567,    479,    1 098,    616,    482,    826,    478,    348,    781,    448,    333
15——19岁,    121 952,    68 945,    53 007,    6 991,    4 064,    2 927,    8 066,    4 518,    3 548,    9 061,    5 073,    3 988,,,  15,    1 357,    733,    624,    1 616,    934,    682,    1 889,    1 071,    818,    2 066,    1 259,    807,    1 933,    1 107,    826,,,15——19岁,    9 891,    5 495,    4 396,    9 747,    5 396,    4 351,    7 974,    4 407,    3 567,    7 872,    4 518,    3 354
  15,    16 938,    9 640,    7 298,    935,    548,    387,    1 127,    621,    506,    1 328,    762,    566,,,  16,    1 684,    896,    788,    1 888,    1 054,    834,    2 375,    1 333,    1 042,    2 554,    1 501,    1 053,    2 261,    1 283,    978,,,  15,    1 299,    739,    560,    1 298,    751,    547,    1 023,    536,    487,    1 067,    579,    488
