表10—15全国15岁以上死亡人口的婚姻状况,,,,,,,,,,,,,,,
(1989．1．1——1990．6．30),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
  46,    56 498,    34 900,    21 598,    4 270,    4 044,    226,    47 987,    28 261,    19 726,    3 250,    1 714,    1 536,    991,    881,  110
  47,    61 343,    37 614,    23 729,    4 398,    4 166,    232,    52 106,    30 530,    21 576,    3 735,    1 948,    1 787,    1 104,    970,  134
  48,    68 294,    41 829,    26 465,    4 613,    4 361,    252,    57 789,    33 955,    23 834,    4 627,    2 407,    2 220,    1 265,    1 106,  159
  49,    74 228,    45 401,    28 827,    4 969,    4 708,    261,    62 037,    36 479,    25 558,    5 846,    2 986,    2 860,    1 376,    1 228,  148
50——54岁,    474 723,    293 601,    181 122,    24 856,    23 648,    1 208,    391 506,    237 623,    153 883,    50 151,    24 934,    25 217,    8 210,    7 396,  814
  50,    79 379,    49 091,    30 288,    4 912,    4 669,    243,    65 909,    39 508,    26 401,    7 150,    3 643,    3 507,    1 408,    1 271,  137
  51,    87 219,    54 126,    33 093,    4 888,    4 635,    253,    72 583,    43 881,    28 702,    8 213,    4 201,    4 012,    1 535,    1 409,  126
  52,    94 303,    58 419,    35 884,    4 858,    4 624,    234,    78 072,    47 443,    30 629,    9 759,    4 918,    4 841,    1 614,    1 434,  180
  53,    102 898,    63 455,    39 443,    5 093,    4 855,    238,    84 594,    51 461,    33 133,    11 463,    5 572,    5 891,    1 748,    1 567,  181
  54,    110 924,    68 510,    42 414,    5 105,    4 865,    240,    90 348,    55 330,    35 018,    13 566,    6 600,    6 966,    1 905,    1 715,  190
55——59岁,    690 223,    432 637,    257 586,    25 433,    24 102,    1 331,  541 066,    344 193,    196 873,    112 505,    54 269,    58 236,  11 219,    10 073,    1 146
  55,    120 171,    75 045,    45 126,    5 152,    4 924,    228,    97 078,    60 464,    36 614,    15 908,    7 835,    8 073,    2 033,    1 822,    211
  56,    128 593,    80 744,    47 849,    4 989,    4 716,    273,    102 815,    64 849,    37 966,    18 569,    9 156,    9 413,    2 220,    2 023,    197
  57,    131 218,    82 265,    48 953,    4 841,    4 597,    244,    103 622,    65 704,    37 918,    20 612,    10 018,    10 594,    2 143,    1 946,    197
  58,    143 844,    90 438,    53 406,    4 919,    4 670,    249,    111 638,    71 757,    39 881,    25 095,    12 071,    13 024,    2 192,    1 940,    252
  59,    166 397,    104 145,    62 252,    5 532,    5 195,    337,    125 913,    81 419,    44 494,    32 321,    15 189,    17 132,    2 631,    2 342,    289
60——64岁,    942 471,    582 740,    359 731,    25 794,    24 099,    1 695,    665 001,  437 764,    227 237,    238 427,  109 244,    129 183,    13 249,    11 633,    1 616
  60,    171 954,    106 994,    64 960,    5 255,    4 945,    310,    127 022,    82 425,    44 597,    37 206,    17 445,    19 761,    2 471,    2 179,    292
  61,    179 982,    112 112,    67 870,    5 066,    4 751,    315,    130 648,    85 577,    45 071,    41 564,    19 384,    22 180,    2 704,    2 400,    304
  62,    185 372,    115 070,    70 302,    5 043,    4 714,    329,    131 394,    86 723,    44 671,    46 368,    21 383,    24 985,    2 567,    2 250,    317
  63,    191 900,    117 709,    74 191,    4 976,    4 634,    342,    132 679,    87 599,    45 080,    51 629,    23 192,    28 437,    2 616,    2 284,    332
  64,    213 263,    130 855,    82 408,    5 454,    5 055,    399,    143 258,    95 440,    47 818,    61 660,    27 840,    33 820,    2 891,    2 520,    371
65岁及以上,    5 206 949,    2 670 501,    2 536 448,    93 610,    82 751,    10 859,    2 062 970,    1 451 907,    611 063,  3 010 414,    1 103 738,  1 906 676,    39 955,    32 105,    7 850
