表10—7 全国县分年龄、性别的死亡人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
35——39岁,  123 556,    71 963,    51 593,    39 951,    23 190,    16 761,    40 673,    23 823,    16 850,    42 932,    24 950,    17 982
  35,    25 119,    14 407,    10 712,    8 109,    4 627,    3 482,    8 367,    4 801,    3 566,    8 643,    4 979,    3 664
  36,    25 059,    14 518,    10 541,    8 262,    4 644,    3 618,    8 214,    4 818,    3 396,    8 583,    5 056,    3 527
  37,    24 850,    14 495,    10 355,    7 334,    4 316,    3 018,    8 419,    4 928,    3 491,    9 097,    5 251,    3 846
  38,    23 411,    13 619,    9 792,    7 733,    4 492,    3 241,    7 425,    4 327,    3 098,    8 253,    4 800,    3 453
  39,    25 117,    14 924,    10 193,    8 513,    5 111,    3 402,    8 248,    4 949,    3 299,    8 356,    4 864,    3 492
40——44岁,    129 748,    77 593,    52 155,    41 631,    24 721,    16 910,    42 679,    25 648,    17 031,    45 438,    27 224,    18 214
  40,    26 639,    16 015,    10 624,    8 253,    4 983,    3 270,    8 724,    5 257,    3 467,    9 662,    5 775,    3 887
  41,    24 724,    14 918,    9 806,    7 982,    4 736,    3 246,    8 161,    4 979,    3 182,    8 581,    5 203,    3 378
  42,    25 558,    15 239,    10 319,    8 196,    4 806,    3 390,    8 399,    5 030,    3 369,    8 963,    5 403,    3 560
  43,    25 499,    15 230,    10 269,    8 289,    4 908,    3 381,    8 347,    5 010,    3 337,    8 863,    5 312,    3 551
  44,    27 328,    16 191,    11 137,    8 911,    5 288,    3 623,    9 048,    5 372,    3 676,    9 369,    5 531,    3 838
45——49岁,    158 410,    96 010,    62 400,    52 215,    31 558,    20 657,    51 816,    31 714,    20 102,    54 379,    32 738,    21 641
