表10—13 全国6岁以上死亡人口的文化程度状况,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,    年龄别,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    145 304,    115 829,    29 475,    717 470,    562 617,    154 853,    2 347 035,    1 819 189,    527 846,  5 815 196,    2 472 173,    3 343 023
总计,    9 104 489,    5 034 072,    4 070 417,    19 122,    16 245,    2 877,    21 456,    18 415,    3 041,    38 906,    29 604,    9 302,,,6——9岁,     ——,     ——,     ——,     ——,     ——,     ——,    38 537,    25 193,    13 344,    41 151,    23 118,    18 033
6——9岁,    79 688,    48 311,    31 377,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  6,     ——,     ——,     ——,     ——,     ——,     ——,    4 821,    3 140,    1 681,    18 101,    10 407,    7 694
  6,    22 922,    13 547,    9 375,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  7,     ——,     ——,     ——,     ——,     ——,     ——,    10 301,    6 710,    3 591,    11 411,    6 505,    4 906
  7,    21 712,    13 215,    8 497,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  8,     ——,     ——,     ——,     ——,     ——,     ——,    11 561,    7 718,    3 843,    6 833,    3 709,    3 124
  8,    18 394,    11 427,    6 967,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  9,     ——,     ——,     ——,     ——,     ——,     ——,    11 854,    7 625,    4 229,    4 806,    2 497,    2 309
  22,    45 708,    25 423,    20 285,    147,    112,    35,    169,    124,    45,    368,    242,    126,,,  23,    2 518,    1 688,    830,    17 755,    11 465,    6 290,    19 536,    9 740,    9 796,    7 729,    3 122,    4 607
  23,    48 281,    26 529,    21 752,    170,    128,    42,    206,    141,    65,    367,    245,    122,,,  24,    3 137,    2 141,    996,    18 309,    11 860,    6 449,    18 811,    9 569,    9 242,    7 902,    3 120,    4 782
  24,    48 956,    27 227,    21 729,    165,    132,    33,    210,    138,    72,    422,    267,    155,,,25——29岁,    19 877,    13 870,    6 007,    67 757,    45 412,    22 345,    64 698,    32 737,    31 961,    31 282,    11 548,    19 734
25——29岁,    186 602,    105 698,    80 904,530,    414,    116,    923,    671,    252,    1 535,    1 046,    489,,,  25,    3 957,    2 673,    1 284,    18 609,    12 056,    6 553,    17 315,    8 633,    8 682,    7 901,    3 004,    4 897
  25,    48 627,    26 948,    21 679,    163,    121,    42,    249,    180,    69,    433,    281,    152,,,  26,    4 841,    3 360,    1 481,    18 446,    12 245,    6 201,    16 761,    8 391,    8 370,    7 505,    2 826,    4 679
  26,    48 399,    27 425,    20 974,    153,    121,    32,    254,    173,    81,    439,    309,    130,,,  27,    4 256,    2 985,    1 271,    13 254,    8 952,    4 302,    12 258,    6 172,    6 086,    6 213,    2 236,    3 977
  27,    36 552,    20 766,    15 786,    95,    73,    22,    180,    139,    41,    296,    209,    87,,,  28,    3 235,    2 310,    925,    8 627,    5 992,    2 635,    8 613,    4 389,    4 224,    4 499,    1 603,    2 896
  28,    25 324,    14 550,    10 774,    61,    52,    9,    116,    83,    33,    173,    121,    52,,,  29,    3 588,    2 542,    1 046,    8 821,    6 167,    2 654,    9 751,    5 152,    4 599,    5 164,    1 879,    3 285
  29,    27 700,    16 009,    11 691,    58,    47,    11,    124,    96,    28,    194,    126,    68,,,30——34岁,    18 369,    13 646,    4 723,    56 633,    41 696,    14 937,    80 077,    45 780,    34 297,    43 466,    15 926,    27 540
30——34岁,    201 184,    119 042,    82 142,    250,    199,    51,    846,    676,    170,    1 543,    1 119,    424,,,  30,    3 749,    2 730,    1 019,    9 501,    6 892,    2 609,    11 791,    6 529,    5 262,    6 249,    2 358,    3 891
  30,    31 652,    18 783,    12 869,    39,    34,    5,    126,    103,    23,    197,    137,    60,,,  31,    4 071,    2 918,    1 153,    11 404,    8 328,    3 076,    14 747,    8 287,    6 460,    7 751,    2 901,    4 850
  31,    38 443,    22 790,    15 653,    49,    43,    6,    151,    113,    38,    270,    200,    70,,,  32,    4 027,    3 005,    1 022,    12 044,    8 947,    3 097,    16 634,    9 509,    7 125,    9 089,    3 243,    5 846
  32,    42 333,    25 122,    17 211,    44,    35,    9,    186,    150,    36,    309,    233,    76,,,  33,    3 303,    2 500,    803,    11 598,    8 471,    3 127,    17 163,    9 867,    7 296,    9 340,    3 468,    5 872
  33,    42 013,    24 769,    17 244,    54,    43,    11,    188,    153,    35,    367,    267,    100,,,  34,    3 219,    2 493,    726,    12 086,    9 058,    3 028,    19 742,    11 588,    8 154,    11 037,    3 956,    7 081
  34,    46 743,    27 578,    19 165,    64,    44,    20,    195,    157,    38,    400,    282,    118,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表10——13全国6岁以上死亡人口的文化程度状况(1989．1．1——1990．6．30)(续01),,,,,,,,,,,,,,,表10——13全国6岁以上死亡人口的文化程度状况(1989．1．1——1990．6．30)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,      单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
35——39岁,    244 777,    146 721,    98 056,    276,    237,    39,    1 098,    902,    196,    1 961,    1 406,    555,,,35——39岁,    9 549,    7 760,    1 789,    54 950,    41 793,    13 157,    113 521,    70 515,    43 006,    63 422,    24 108,    39 314
