表10—6全国镇分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,  合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  36,    10 829,    6 620,    4 209,    3 508,    2 112,    1 396,    3 600,    2 246,    1 354,    3 721,    2 262,    1 459
  37,    11 130,    6 849,    4 281,    3 289,    2 022,    1 267,    3 858,    2 408,    1 450,    3 983,    2 419,    1 564
  38,    10 698,    6 635,    4 063,    3 485,    2 124,    1 361,    3 407,    2 141,    1 266,    3 806,    2 370,    1 436
  39,    11 470,    7 230,    4 240,    3 734,    2 359,    1 375,    3 828,    2 470,    1 358,    3 908,    2 401,    1 507
40——44岁,    57 944,    36 341,    21 603,    18 183,    11 355,    6 828,    19 286,    12 228,    7 058,    20 475,    12 758,    7 717
  40,    11 663,    7 382,    4 281,    3 484,    2 210,    1 274,    3 931,    2 539,    1 392,    4 248,    2 633,    1 615
  41,    11 287,    7 142,    4 145,    3 486,    2 193,    1 293,    3 695,    2 350,    1 345,    4 106,    2 599,    1 507
  42,    11 473,    7 157,    4 316,    3 652,    2 267,    1 385,    3 819,    2 387,    1 432,    4 002,    2 503,    1 499
  43,    11 343,    7 014,    4 329,    3 709,    2 264,    1 445,    3 749,    2 343,    1 406,    3 885,    2 407,    1 478
  44,    12 178,    7 646,    4 532,    3 852,    2 421,    1 431,    4 092,    2 609,    1 483,    4 234,    2 616,    1 618
45——49岁,    70 842,    44 718,    26 124,    23 147,    14 608,    8 539,    23 254,    14 768,    8 486,    24 441,    15 342,    9 099
  45,    12 361,    7 881,    4 480,    3 901,    2 464,    1 437,    4 061,    2 611,    1 450,    4 399,    2 806,    1 593
  46,    12 673,    8 041,    4 632,    4 234,    2 709,    1 525,    4 232,    2 671,    1 561,    4 207,    2 661,    1 546
  47,    13 879,    8 775,    5 104,    4 556,    2 874,    1 682,    4 505,    2 872,    1 633,    4 818,    3 029,    1 789
  48,    15 210,    9 505,    5 705,    5 128,    3 196,    1 932,    4 933,    3 138,    1 795,    5 149,    3 171,    1 978
  49,    16 719,    10 516,    6 203,    5 328,    3 365,    1 963,    5 523,    3 476,    2 047,    5 868,    3 675,    2 193
50——54岁,    106 728,    67 823,    38 905,    35 926,    22 775,    13 151,    34 397,    21 948,    12 449,    36 405,    23 100,    13 305
  50,    17 921,    11 443,    6 478,    6 335,    4 040,    2 295,    5 599,    3 603,    1 996,    5 987,    3 800,    2 187
  51,    19 699,    12 592,    7 107,    6 501,    4 109,    2 392,    6 522,    4 194,    2 328,    6 676,    4 289,    2 387
  52,    21 177,    13 492,    7 685,    7 142,    4 522,    2 620,    6 767,    4 349,    2 418,    7 268,    4 621,    2 647
  53,    23 185,    14 741,    8 444,    7 763,    4 925,    2 838,    7 520,    4 819,    2 701,    7 902,    4 997,    2 905
  54,    24 746,    15 555,    9 191,    8 185,    5 179,    3 006,    7 989,    4 983,    3 006,    8 572,    5 393,    3 179
55——59岁,    154 486,    98 574,    55 912,    51 040,    32 635,    18 405,    49 483,    31 759,    17 724,    53 963,    34 180,    19 783
  55,    26 674,    16 853,    9 821,    8 947,    5 635,    3 312,    8 478,    5 425,    3 053,    9 249,    5 793,    3 456
  56,    29 084,    18 665,    10 419,    9 073,    5 799,    3 274,    9 447,    6 170,    3 277,    10 564,    6 696,    3 868
  57,    29 297,    18 724,    10 573,    9 628,    6 225,    3 403,    9 316,    5 920,    3 396,    10 353,    6 579,    3 774
  58,    32 248,    20 661,    11 587,    11 510,    7 409,    4 101,    9 916,    6 349,    3 567,    10 822,    6 903,    3 919
  59,    37 183,    23 671,    13 512,    11 882,    7 567,    4 315,    12 326,    7 895,    4 431,    12 975,    8 209,    4 766
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表10——6全国镇分年龄、性别的死亡人口数(1989．1．1．——1990．6．30．)(第二口径)(续02),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,  小计,    男,    女,    小计,    男,    女
60——64岁,    209 762,    131 840,    77 922,    69 698,    44 058,  25 640,    65 890,    41 570,    24 320,    74 174,    46 212,    27 962
  60,    38 230,    24 231,    13 999,    13 024,    8 339,    4 685,    11 807,    7 532,    4 275,    13 399,    8 360,    5 039
  61,    39 986,    25 301,    14 685,    13 240,    8 429,    4 811,    12 753,    8 118,    4 635,    13 993,    8 754,    5 239
  62,    41 681,    26 369,    15 312,    13 346,    8 429,    4 917,    13 014,    8 208,    4 806,    15 321,    9 732,    5 589
