表10—4全国分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,  小计,    男,     女,    小计,    男,    女
35——39岁,    244 777,    146 721,    98 056,    78 396,    46 816,    31 580,    81 192,    49 117,    32 075,    85 189,    50 788,    34 401
  35,    50 097,    29 705,    20 392,    15 921,    9 423,    6 498,    16 719,    9 972,    6 747,    17 457,    10 310,    7 147
  36,    48 831,    29 108,    19 723,    15 972,    9 350,    6 622,    16 083,    9 690,    6 393,    16 776,    10 068,    6 708
  37,    49 007,    29 357,    19 650,    14 535,    8 648,    5 887,    16 708,    10 138,    6 570,    17 764,    10 571,    7 193
  38,    46 750,    27 991,    18 759,    15 304,    9 149,    6 155,    15 000,    9 014,    5 986,    16 446,    9 828,    6 618
  39,    50 092,    30 560,    19 532,    16 664,    10 246,    6 418,    16 682,    10 303,    6 379,    16 746,    10 011,    6 735
40——44岁,  256 136,    156 391,    99 745,    81 463,    49445,    32 018,    84 776,    52 092,    32 684,    89 897,    54 854,    35 043
  40,    52 111,    32 060,    20 051,    15 923,    9 793,    6 130,    17 314,    10 717,    6 597,    18 874,    11 550,    7 324
  41,    49 164,    30 274,    18 890,    15 726,    9 572,    6 154,    16 244,    10 089,    6 155,    17 194,    10 613,    6 581
  42,    50 663,    30 909,    19 754,    16 166,    9 751,    6 415,    16 766,    10 309,    6 457,    17 731,    10 849,    6 882
  43,    50 426,    30 559,    19 867,    16 400,    9 871,    6 529,    16 569,    10 085,    6 484,    17 457,    10 603,    6 854
  44,    53 772,    32 589,    21 183,    17 248,    10 458,    6 790,    17 883,    10 892,    6 991,    18 641,    11 239,    7 402
45——49岁,  315 584,    193 815,    121 769,    103 398,    63 348,    40 050,    103 524,    64 142,    39 382,    108 662,    66 325,    42 337
  45,    55 221,    34 071,    21 150,    17 607,    10 731,    6 876,    18 124,    11 298,    6 826,    19 490,    12 042,    7 448
  46,    56 498,    34 900,    21 598,    18 793,    11 675,    7 118,    18 474,    11 513,    6 961,    19 231,    11 712,    7 519
  47,    61 343,    37 614,    23 729,    20 272,    12 411,    7 861,    20 039,    12 381,    7 658,    21 032,    12 822,    8 210
  48,    68 294,    41 829,    26 465,    22 905,    13 980,    8 925,    22 211,    13 738,    8 473,    23 178,    14 111,    9 067
  49,    74 228,    45 401,    28 827,    23 821,    14 551,    9 270,    24 676,    15 212,    9 464,    25 731,    15 638,    10 093
50——54岁,    474 723,    293 601,    181 122,    158 655,    97 777,    60 878,    153 185,    95 405,    57 780,    162 883,    100 419,    62 464
  50,    79 379,    49 091,    30 288,    27 782,    17 136,    10 646,    25 035,    15 604,    9 431,    26 562,    16 351,    10 211
  51,    87 219,    54 126,    33 093,    28 655,    17 784,    10 871,    28 660,    17 785,    10 875,    29 904,    18 557,    11 347
  52,    94 303,    58 419,    35 884,    31 458,    19 283,    12 175,    30 290,    18 911,    11 379,    32 555,    20 225,    12 330
  53,    102 898,    63 455,    39 443,    34 060,    20 899,    13 161,    33 394,    20 842,    12 552,    35 444,    21 714,    13 730
  54,    110 924,    68 510,    42 414,    36 700,    22 675,    14 025,    35 806,    22 263,    13 543,    38 418,    23 572,    14 846
55——59岁,    690 222,    432 637,    257 585,    228 552,    143 374,    85 178,    221 063,    139 392,    81 671,    240 607,    149 871,    90 736
  55,    120 171,    75 045,    45 126,    40 611,    25 386,    15 225,    38 185,    23 963,    14 222,    41 375,    25 696,    15 679
  56,    128 593,    80 744,    47 849,    40 620,    25 336,    15 284,    41 661,    26 543,    15 118,    46 312,    28 865,    17 447
  57,    131 218,    82 265,    48 953,    42 658,    26 997,    15 661,    42 273,    26 508,    15 765,    46 287,    28 760,    17 527
  58,    143 843,    90 438,    53 405,    51 549,    32 485,    19 064,    44 298,    28 069,    16 229,    47 996,    29 884,    18 112
  59,    166 397,    104 145,    62 252,    53 114,    33 170,    19 944,    54 646,    34 309,    20 337,    58 637,    36 666,    21 971
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表10——4全国分年龄、性别的死亡人口数(1989．1．1．——1990．6．30．)(续02),,,,,,,,,,,,
         单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
6——64岁,    942 471,    582 740,    359 731,    314 468,    194 801,    119 667,    296 026,    183 711,    112 315,    331 977,    204 228,    127 749
  60,    171 954,    106 994,    64 960,    58 918,    36 694,    22 224,    53 069,    33 142,    19 927,    59 967,    37 158,    22 809
  61,    179 982,    112 112,    67 870,    59 333,    36 906,    22 427,    57 559,    36 148,    21 411,    63 090,    39 058,    24 032
  62,    185 372,    115 070,    70 302,    59 691,    37 206,    22 485,    58 033,    35 856,    22 177,    67 648,    42 008,    25 640
  63,    191 900,    117 709,    74 191,    66 371,    40 680,    25 691,    59 042,    36 508,    22 534,    66 487,    40 521,    25 966
  64,    213 263,    130 855,    82 408,    70 155,    43 31 5,    26 840,    68 323,    42 057,    26 266,    74 785,    45 483,    29 302
65——69岁,  1 164 234,    692 196,  472 038,  385 486,    229 372,  156 114,    364 119,    218 382,    145 737,    414 629,    244 442,    170 187
  65,    217 242,    131 662,    85 580,    71 257,    43 280,    27 977,    68 452,    41 772,    26 680,    77 533,    46 610,    30 923
  66,    215 138,    129 539,    85 599,    69 457,    42 065,    27 392,    66 724,    40 578,    26 146,    78 957,    46 896,    32 061
  67,    224 776,    134 211,    90 565,    74 545,    44 592,    29 953,    70 221,    42 341,    27 880,    80 010,    47 278,    32 732
  68,    244 140,    144 200,    99 940,    83 780,    49 301,    34 479,    76 047,    45 336,    30 711,    84 313,    49 563,    34 750
  69,    262 938,    152 584,    110 354,    86 447,    50 134,    36 313,    82 675,    48 355,    34 320,    93 816,    54 095,    39 721
70——74岁,    1 317 403,    734 863,    582 540,  430 696,  239 990,  190 706,    407 559,    229 282,    178 277,    479 148,    265 591,    213 557
  70,    266 320,    151 999,    114 321,    87 667,    49 855,    37 812,    81 732,    46 995,    34 737,    96 921,    55 149,    41 772
  71,    257 968,    146 198,    111 770,    83 809,    47 635,    36 174,    80 286,    45 858,    34 428,    93 873,    52 705,    41 168
  72,    266 461,    149 455,    117 006,    85 911,    48 146,    37 765,    83 428,    47 128,    36 300,    97 122,    54 181,    42 941
  73,    261 814,    144 089,    117 725,    84 849,    46 308,    38 541,    81 001,    45 132,    35 869,    95 964,    52 649,    43 315
  74,    264 840,    143 122,    121 718,    88 460,    48 046,    40 414,    81 112,    44 169,    36 943,    95 268,    50 907,    44 361
75——79岁,    1 200 731,    617 465,    583 266,    381 650,    195 903,    185 747,    371 512,    192 755,    178 757,    447 569,    228 807,    218 762
  75,    266 375,    142 501,    123 874,    82 953,    44 415,    38 538,    84 396,    45 526,    38 870,    99 026,    52 560,    46 466
  76,    246 402,    129 786,    116 616,    77 637,    40 930,    36 707,    76 095,    40 664,    35 431,    92 670,    48 192,    44 478
