表10—5全国市分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
  37,    13 027,    8 013,    5 014,    3 912,    2 310,    1 602,    4 431,    2 802,    1 629,    4 684,    2 901,    1 783
  38,    12 641,    7 737,    4 904,    4 086,    2 533,    1 553,    4 168,    2 546,    1 622,    4 387,    2 658,    1 729
  39,    13 505,    8 406,    5 099,    4 417,    2 776,    1 641,    4 606,    2 884,    1 722,    4 482,    2 746,    1 736
40——44岁,    68 444,    42 457,    25 987,    21 649,    13 369,    8 280,    22 811,    14 216,    8 595,    23 984,    14 872,    9 112
  40,    13 809,    8 663,    5 146,    4 186,    2 600,    1 586,    4 659,    2 921,    1 738,    4 964,    3 142,    1 822
  41,    13 153,    8 214,    4 939,    4 258,    2 643,    1 615,    4 388,    2 760,    1 628,    4 507,    2 811,    1 696
  42,    13 632,    8 513,    5 119,    4 318,    2 678,    1 640,    4 548,    2 892,    1 656,    4 766,    2 943,    1 823
  43,    13 584,    8 315,    5 269,    4 402,    2 699,    1 703,    4 473,    2 732,    1 741,    4 709,    2 884,    1 825
  44,    14 266,    8 752,    5 514,    4 485,    2 749,    1 736,    4 743,    2 911,    1 832,    5 038,    3 092,    1 946
45——49岁,    86 332,    53 087,    33 245,    28 036,    17 182,    10 854,    28 454,    17 660,    10 794,    29 842,    18 245,    11 597
  45,    14 863,    9 251,    5 612,    4 702,    2 904,    1 798,    4 893,    3 056,    1 837,    5 268,    3 291,    1 977
  46,    15 179,    9 408,    5 771,    5 058,    3 146,    1 912,    4 968,    3 107,    1 861,    5 153,    3 155,    1 998
  47,    16 917,    10 439,    6 478,    5 494,    3 334,    2 160,    5 594,    3 487,    2 107,    5 829,    3 618,2211
  48,    18 828,    11 506,    7 322,    6 199,    3 796,    2 403,    6 191,    3 814,    2 377,    6 438,    3 896,    2 542
  49,    20 545,    12 483,    8 062,    6 583,    4 002,    2 581,    6 808,    4 196,    2 612,    7 154,    4 285,    2 869
50——54岁,    137 650,    84 800,    52 850,    45 384,    27 849,    17 535,    44 752,    27 777,    16 975,    47 514,    29 174,    18 340
  50,    22 298,    13 777,    8 521,    7 598,    4 735,    2 863,    7 192,    4 431,    2 761,    7 508,    4 611,    2 897
  51,    25 203,    15 457,    9 746,    8 143,    4 987,    3 156,    8 232,    5 062,    3 170,    8 828,    5 408,    3 420
  52,    27 546,    17 017,    10 529,    9 093,    5 546,    3 547,    8 943,    5 581,    3 362,    9 510,    5 890,    3 620
  53,    29 936,    18 282,    11 654,    9 834,    5 954,    3 880,    9 808,    6 031,    3 777,    10 294,    6 297,    3 997
  54,    32 667,    20 267,    12 400,    10 716,    6 627,    4 089,    10 577,    6 672,    3 905,    11 374,    6 968,    4 406
55——59岁,    201 052,    127 113,    73 939,    65 636,    41 769,    23 867,    64 905,    41 218,    23 687,    70 511,    44 126,    26 385
  55,    35 810,    22 292,    13 518,    12 002,    7 498,    4 504,    11 384,    7 121,    4 263,    12 424,    7 673,    4 751
  56,    37 678,    23 781,    13 897,    11 750,    7 515,    4 235,    12 397,    7 875,    4 522,    13 531,    8 391,    5 140
  57,    38 307,    24 321,    13 986,    12 363,    7 959,    4 404,    12 412,    7 887,    4 525,    13 532,    8 475,    5 057
  58,    41 734,    26 537,    15 197,    14 536,    9 278,    5 258,    13 084,    8 369,    4 715,    14 114,    8 890,    5 224
  59,    47 523,    30 182,    17 341,    14 985,    9 519,    5 466,    15 628,    9 966,    5 662,    16 910,    10 697,    6 213
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,    小计,    男,    女,    小计,    男,    女
60——64岁,    267 170,  167 500,    99 670,    87 959,    55 071,  32 888,    84 855,    53 398,    31 457,    94 356,    59 031,    35 325
  60,    48 998,    30 987,    18 011,    16 570,    10 477,    6 093,    15 342,    9 660,    5 682,    17 086,    10 850,    6 236
  61,    51 442,    32 466,    18 976,    16 738,    10 497,    6 241,    16 670,    10 672,    5 998,    18 034,    11 297,    6 737
  62,    52 674,    33 149,    19 525,    16 752,    10 534,    6 218,    16 705,    10 466,    6 239,    19 217,    12 149,    7 068
