,备注：新疆维吾尔自治区人口数为结合六普数据预估人口，其余均为官网发布人口数,,,,,,
,序号,省,市,县,七普人口.人,,
,1390,黑龙江省,鹤岗市,绥滨县,139795,,
,1391,黑龙江省,鹤岗市,向阳区,72867,,
,1392,黑龙江省,鹤岗市,兴安区,99013,,
,1393,黑龙江省,鹤岗市,兴山区,21125,,
,1394,黑龙江省,黑河市,爱辉区,223832,,
,1395,黑龙江省,黑河市,北安市,308237,,
,1396,黑龙江省,黑河市,嫩江市,355528,,
,1397,黑龙江省,黑河市,孙吴县,73387,,
,1398,黑龙江省,黑河市,五大连池市,243283,,
,1399,黑龙江省,黑河市,逊克县,82134,,
,1400,黑龙江省,鸡西市,鸡冠区,402345,,
,1401,黑龙江省,鸡西市,恒山区,87822,,
,1402,黑龙江省,鸡西市,滴道区,65980,,
,1403,黑龙江省,鸡西市,梨树区,39833,,
,1404,黑龙江省,鸡西市,城子河区,69951,,
,1405,黑龙江省,鸡西市,麻山区,17301,,
,1406,黑龙江省,鸡西市,鸡东县,211855,,
,1407,黑龙江省,鸡西市,虎林市,267870,,
,1408,黑龙江省,鸡西市,密山市,339103,,
,1409,黑龙江省,佳木斯市,向阳区,295017,,
,1410,黑龙江省,佳木斯市,前进区,180893,,
,1411,黑龙江省,佳木斯市,东风区,121305,,
,1412,黑龙江省,佳木斯市,郊  区,265340,,
,1413,黑龙江省,佳木斯市,桦南县,286855,,
,1414,黑龙江省,佳木斯市,桦川县,145876,,
,1415,黑龙江省,佳木斯市,汤原县,173688,,
,1416,黑龙江省,佳木斯市,同江市,176112,,
,1417,黑龙江省,佳木斯市,富锦市,414090,,
,1418,黑龙江省,佳木斯市,抚远市,97329,,
,1419,黑龙江省,牡丹江市,东安区,221194,,
,1420,黑龙江省,牡丹江市,阳明区,190973,,
,1421,黑龙江省,牡丹江市,爱民区,275436,,
,1422,黑龙江省,牡丹江市,西安区,242412,,
,1423,黑龙江省,牡丹江市,林口县,238193,,
,1424,黑龙江省,牡丹江市,绥芬河市,114564,,
,1425,黑龙江省,牡丹江市,海林市,292755,,
,1426,黑龙江省,牡丹江市,宁安市,322127,,
,1427,黑龙江省,牡丹江市,穆棱市,197065,,
,1428,黑龙江省,牡丹江市,东宁市,195489,,
,1429,黑龙江省,七台河市,勃利县,199583,,
,1430,黑龙江省,七台河市,茄子河区,127499,,
,1431,黑龙江省,七台河市,桃山区,204111,,
,1432,黑龙江省,七台河市,新兴区,158418,,
,1433,黑龙江省,齐齐哈尔市,昂昂溪区,67824,,
,1434,黑龙江省,齐齐哈尔市,拜泉县,282019,,
,1435,黑龙江省,齐齐哈尔市,富拉尔基区,197424,,
,1436,黑龙江省,齐齐哈尔市,富裕县,224040,,
,1437,黑龙江省,齐齐哈尔市,甘南县,288203,,
,1438,黑龙江省,齐齐哈尔市,建华区,332566,,
,1439,黑龙江省,齐齐哈尔市,克东县,156983,,
,1440,黑龙江省,齐齐哈尔市,克山县,255041,,
,1441,黑龙江省,齐齐哈尔市,龙江县,414285,,
,1442,黑龙江省,齐齐哈尔市,龙沙区,355849,,
,1443,黑龙江省,齐齐哈尔市,梅里斯达斡尔族区,125399,,
,1444,黑龙江省,齐齐哈尔市,讷河市,436906,,
,1445,黑龙江省,齐齐哈尔市,碾子山区,56553,,
,1446,黑龙江省,齐齐哈尔市,泰来县,249153,,
,1447,黑龙江省,齐齐哈尔市,铁锋区,271372,,
,1448,黑龙江省,齐齐哈尔市,依安县,353872,,
,1449,黑龙江省,双鸭山市,尖山区,262359,,
,1450,黑龙江省,双鸭山市,岭东区,27498,,
,1451,黑龙江省,双鸭山市,四方台区,39550,,
,1452,黑龙江省,双鸭山市,宝山区,72475,,
,1453,黑龙江省,双鸭山市,友谊县,101080,,
,1454,黑龙江省,双鸭山市,宝清县,331377,,
,1455,黑龙江省,双鸭山市,饶河县,130519,,
,1456,黑龙江省,双鸭山市,集贤县,243945,,
,1457,黑龙江省,绥化市,北林区,698025,,
,1458,黑龙江省,绥化市,望奎县,286848,,
,1459,黑龙江省,绥化市,兰西县,308684,,
,1460,黑龙江省,绥化市,青冈县,287557,,
,1461,黑龙江省,绥化市,庆安县,260592,,
,1462,黑龙江省,绥化市,明水县,198271,,
,1463,黑龙江省,绥化市,绥棱县,211907,,
,1464,黑龙江省,绥化市,安达市,357535,,
,1465,黑龙江省,绥化市,肇东市,666532,,
,1466,黑龙江省,绥化市,海伦市,480216,,
,1467,黑龙江省,伊春市,伊美区,173320,,
,1468,黑龙江省,伊春市,乌翠区,72259,,
,1469,黑龙江省,伊春市,友好区,54302,,
,1470,黑龙江省,伊春市,嘉荫县,56523,,
,1471,黑龙江省,伊春市,汤旺县,33245,,
,1472,黑龙江省,伊春市,丰林县,62214,,
,1473,黑龙江省,伊春市,大箐山县,57697,,
,1474,黑龙江省,伊春市,南岔县,82895,,
,1475,黑龙江省,伊春市,金林区,60466,,
,1476,黑龙江省,伊春市,铁力市,225960,,
,1477,吉林省,白城市,大安市,270911,,
,1478,吉林省,白城市,洮北区,356054,,
,1479,吉林省,白城市,洮南市,307215,,
,1480,吉林省,白城市,通榆县,281589,,
,1481,吉林省,白城市,镇赉县,217387,,
,1482,吉林省,白山市,抚松县,217252,,
,1483,吉林省,白山市,浑江区,307982,,
,1484,吉林省,白山市,江源区,138272,,
,1485,吉林省,白山市,靖宇县,108478,,
,1486,吉林省,白山市,临江市,121616,,
,1487,吉林省,白山市,长白朝鲜族自治县,58266,,
,1488,吉林省,吉林市,昌邑区,541020,,
,1489,吉林省,吉林市,船营区,404044,,
,1490,吉林省,吉林市,丰满区,243876,,
,1491,吉林省,吉林市,桦甸市,365270,,
,1492,吉林省,吉林市,蛟河市,367082,,
,1493,吉林省,吉林市,龙潭区,433034,,
,1494,吉林省,吉林市,磐石市,415278,,
,1495,吉林省,吉林市,舒兰市,530149,,
,1496,吉林省,吉林市,永吉县,323960,,
,1497,吉林省,辽源市,龙山区,327079,,
,1498,吉林省,辽源市,西安区,136337,,
,1499,吉林省,辽源市,东丰县,307302,,
,1500,吉林省,辽源市,东辽县,226185,,
,1501,吉林省,四平市,铁西区,314307,,
,1502,吉林省,四平市,铁东区,313650,,
,1503,吉林省,四平市,梨树县,537145,,
,1504,吉林省,四平市,伊通满族自治县,331873,,
,1505,吉林省,四平市,双辽市,317758,,
,1506,吉林省,松原市,宁江区,619364,,
,1507,吉林省,松原市,前郭尔罗斯蒙古族自治县,407385,,
,1508,吉林省,松原市,长岭县,451620,,
,1509,吉林省,松原市,乾安县,205542,,
,1510,吉林省,松原市,松原经济技术开发区,94066,,
,1511,吉林省,通化市,东昌区,201801,,
,1512,吉林省,通化市,二道江区,82205,,
,1513,吉林省,通化市,辉南县,201409,,
,1514,吉林省,通化市,集安市,130148,,
,1515,吉林省,通化市,柳河县,203885,,
,1516,吉林省,通化市,梅河口市,344845,,
,1517,吉林省,通化市,通化县,138485,,
,1518,吉林省,延边朝鲜族自治州,安图县,124187,,
,1519,吉林省,延边朝鲜族自治州,敦化市,392486,,
,1520,吉林省,延边朝鲜族自治州,和龙市,117087,,
,1521,吉林省,延边朝鲜族自治州,珲春市,239359,,
,1522,吉林省,延边朝鲜族自治州,龙井市,129286,,
,1523,吉林省,延边朝鲜族自治州,图们市,85248,,
,1524,吉林省,延边朝鲜族自治州,汪清县,167911,,
,1525,吉林省,延边朝鲜族自治州,延吉市,686136,,
,1526,吉林省,长春市,南关区,657682,,
,1527,吉林省,长春市,宽城区,669148,,
,1528,吉林省,长春市,朝阳区,614021,,
,1529,吉林省,长春市,二道区,522453,,
,1530,吉林省,长春市,绿园区,714919,,
,1531,吉林省,长春市,双阳区,335723,,
,1532,吉林省,长春市,九台区,569976,,
,1533,吉林省,长春市,农安县,867274,,
,1534,吉林省,长春市,经济技术开发区,429387,,
,1535,吉林省,长春市,净月高新技术产业开发区,408740,,
,1536,吉林省,长春市,长春新区,502165,,
,1537,辽宁省,鞍山市,铁东区（含风景区）,511574,,
,1538,辽宁省,鞍山市,铁西区,309397,,
,1539,辽宁省,鞍山市,立山区,406680,,
,1540,辽宁省,鞍山市,千山区,94729,,
,1541,辽宁省,鞍山市,高新区,122595,,
,1542,辽宁省,鞍山市,开发区,98721,,
,1543,辽宁省,鞍山市,海城市,1067905,,
,1544,辽宁省,本溪市,平山区,226059,,
,1545,辽宁省,本溪市,溪湖区,142982,,
,1546,辽宁省,本溪市,明山区,378936,,
,1547,辽宁省,本溪市,南芬区,55560,,
,1548,辽宁省,本溪市,本溪满族自治县,230850,,
,1549,辽宁省,本溪市,桓仁满族自治县,229953,,
,1550,辽宁省,朝阳市,北票市,439998,,
,1551,辽宁省,朝阳市,朝阳县,404460,,
,1552,辽宁省,朝阳市,建平县,455826,,
,1553,辽宁省,朝阳市,喀左县,346133,,
,1554,辽宁省,朝阳市,凌源市,540832,,
,1555,辽宁省,朝阳市,龙城区,222065,,
,1556,辽宁省,朝阳市,双塔区,463543,,
,1557,辽宁省,大连市,甘井子区,1534722,,
,1558,辽宁省,大连市,金普新区,1545491,,
,1559,辽宁省,大连市,旅顺口区,355427,,
,1560,辽宁省,大连市,普兰店区,629664,,
,1561,辽宁省,大连市,沙河口区,670310,,
,1562,辽宁省,大连市,瓦房店市,818847,,
,1563,辽宁省,大连市,西岗区,305317,,
,1564,辽宁省,大连市,长海县,66824,,
,1565,辽宁省,大连市,中山区,388564,,
,1566,辽宁省,大连市,庄河市,742496,,
,1567,辽宁省,丹东市,元宝区,202325,,
,1568,辽宁省,丹东市,振兴区,423538,,
,1569,辽宁省,丹东市,振安区,189995,,
,1570,辽宁省,丹东市,宽甸满族自治县,334636,,
,1571,辽宁省,丹东市,东港市,568566,,
,1572,辽宁省,丹东市,凤城市,469376,,
,1573,辽宁省,抚顺市,东洲区,236731,,
,1574,辽宁省,抚顺市,抚顺县,83125,,
,1575,辽宁省,抚顺市,清原满族自治县,238890,,
,1576,辽宁省,抚顺市,顺城区,466126,,
,1577,辽宁省,抚顺市,望花区,266749,,
,1578,辽宁省,抚顺市,新宾满族自治县,217259,,
,1579,辽宁省,抚顺市,新抚区,222984,,
,1580,辽宁省,阜新市,阜新蒙古族自治县,545749,,
,1581,辽宁省,阜新市,海州区,234029,,
,1582,辽宁省,阜新市,清河门区,51394,,
,1583,辽宁省,阜新市,太平区,142171,,
,1584,辽宁省,阜新市,细河区,273525,,
,1585,辽宁省,阜新市,新邱区,66769,,
,1586,辽宁省,阜新市,彰武县,333643,,
,1587,辽宁省,葫芦岛市,建昌县,453436,,
,1588,辽宁省,葫芦岛市,连山区,468110,,
,1589,辽宁省,葫芦岛市,龙港区,294250,,
,1590,辽宁省,葫芦岛市,南票区,182135,,
,1591,辽宁省,葫芦岛市,绥中县,545963,,
,1592,辽宁省,葫芦岛市,兴城市,490300,,
,1593,辽宁省,锦州市,古塔区,252209,,
,1594,辽宁省,锦州市,凌河区,402038,,
,1595,辽宁省,锦州市,太和区,175098,,
,1596,辽宁省,锦州市,滨海新区,100068,,
,1597,辽宁省,锦州市,松山新区,182436,,
,1598,辽宁省,锦州市,黑山县,451206,,
,1599,辽宁省,锦州市,义县,305996,,
,1600,辽宁省,辽阳市,白塔区,359401,,
,1601,辽宁省,辽阳市,灯塔市,354617,,
,1602,辽宁省,辽阳市,弓长岭区,80870,,
,1603,辽宁省,辽阳市,宏伟区,142491,,
,1604,辽宁省,辽阳市,辽阳县,372131,,
,1605,辽宁省,辽阳市,太子河区,134604,,
,1606,辽宁省,辽阳市,文圣区,160466,,
,1607,辽宁省,盘锦市,大洼区,422797,,
,1608,辽宁省,盘锦市,盘山县,223210,,
,1609,辽宁省,盘锦市,双台子区,214290,,
,1610,辽宁省,盘锦市,兴隆台区,529394,,
,1611,辽宁省,沈阳市,大东区,754952,,
,1612,辽宁省,沈阳市,法库县,340933,,
,1613,辽宁省,沈阳市,和平区,730785,,
,1614,辽宁省,沈阳市,皇姑区,877287,,
,1615,辽宁省,沈阳市,浑南区,798765,,
,1616,辽宁省,沈阳市,康平县,278384,,
,1617,辽宁省,沈阳市,辽中区,395017,,
,1618,辽宁省,沈阳市,沈北新区,619375,,
,1619,辽宁省,沈阳市,沈河区,782628,,
,1620,辽宁省,沈阳市,苏家屯区,524336,,
,1621,辽宁省,沈阳市,铁西区,1335935,,
,1622,辽宁省,沈阳市,新民市,565634,,
,1623,辽宁省,沈阳市,于洪区,1066062,,
,1624,辽宁省,铁岭市,银州区,322498,,
,1625,辽宁省,铁岭市,铁岭经济开发区,52794,,
,1626,辽宁省,铁岭市,清河区,84693,,
,1627,辽宁省,铁岭市,铁岭县,324383,,
,1628,辽宁省,铁岭市,西丰县,225123,,
,1629,辽宁省,铁岭市,昌图县,711818,,
,1630,辽宁省,铁岭市,调兵山市,206058,,
,1631,辽宁省,营口市,鲅鱼圈区,541113,,
,1632,辽宁省,营口市,大石桥市,607098,,
,1633,辽宁省,营口市,盖州市,559271,,
,1634,辽宁省,营口市,老边区,146748,,
,1635,辽宁省,营口市,西市区,212913,,
,1636,辽宁省,营口市,站前区,261439,,
,1637,福建省,福州市,仓山区,1142991,,
,1638,福建省,福州市,福清市,1390487,,
,1639,福建省,福州市,鼓楼区,669090,,
,1640,福建省,福州市,晋安区,789775,,
,1641,福建省,福州市,连江县,639498,,
,1642,福建省,福州市,罗源县,255214,,
,1643,福建省,福州市,马尾区,290554,,
,1644,福建省,福州市,闽侯县,988200,,
,1645,福建省,福州市,闽清县,256181,,
,1646,福建省,福州市,平潭县,385981,,
,1647,福建省,福州市,台江区,411819,,
,1648,福建省,福州市,永泰县,281216,,
,1649,福建省,福州市,长乐区,790262,,
,1650,福建省,龙岩市,连城县,250518,,
,1651,福建省,龙岩市,上杭县,376392,,
,1652,福建省,龙岩市,武平县,278238,,
,1653,福建省,龙岩市,新罗区,841745,,
,1654,福建省,龙岩市,永定区,325880,,
,1655,福建省,龙岩市,漳平市,253394,,
,1656,福建省,龙岩市,长汀县,397470,,
,1657,福建省,南平市,光泽县,130294,,
,1658,福建省,南平市,建瓯市,434451,,
,1659,福建省,南平市,建阳区,340843,,
,1660,福建省,南平市,浦城县,297719,,
,1661,福建省,南平市,邵武市,273721,,
,1662,福建省,南平市,顺昌县,179064,,
,1663,福建省,南平市,松溪县,130867,,
,1664,福建省,南平市,武夷山市,259668,,
,1665,福建省,南平市,延平区,454605,,
,1666,福建省,南平市,政和县,179413,,
,1667,福建省,宁德市,福安市,609779,,
,1668,福建省,宁德市,福鼎市,553132,,
,1669,福建省,宁德市,古田县,323771,,
,1670,福建省,宁德市,蕉城区,623840,,
,1671,福建省,宁德市,屏南县,139815,,
,1672,福建省,宁德市,寿宁县,177960,,
,1673,福建省,宁德市,霞浦县,475936,,
,1674,福建省,宁德市,柘荣县,92989,,
,1675,福建省,宁德市,周宁县,149567,,
,1676,福建省,莆田市,城厢区,547422,,
,1677,福建省,莆田市,涵江区,479605,,
,1678,福建省,莆田市,荔城区,673935,,
,1679,福建省,莆田市,仙游县,905068,,
,1680,福建省,莆田市,秀屿区,486713,,
,1681,福建省,泉州市,鲤城区,428361,,(含开发区)
,1682,福建省,泉州市,丰泽区,698557,,
,1683,福建省,泉州市,洛江区,247172,,
,1684,福建省,泉州市,泉港区,354296,,
,1685,福建省,泉州市,石狮市,685930,,
,1686,福建省,泉州市,晋江市,2061551,,
,1687,福建省,泉州市,南安市,1517514,,
,1688,福建省,泉州市,惠安县,1030626,,(含台商区）
,1689,福建省,泉州市,安溪县,1003599,,
,1690,福建省,泉州市,永春县,422531,,
,1691,福建省,三明市,大田县,299513,,
,1692,福建省,三明市,建宁县,114400,,
,1693,福建省,三明市,将乐县,144943,,
,1694,福建省,三明市,明溪县,98930,,
,1695,福建省,三明市,宁化县,261579,,
,1696,福建省,三明市,清流县,118029,,
,1697,福建省,三明市,三元区,187936,,
,1698,福建省,三明市,沙县,250503,,
,1699,福建省,三明市,泰宁县,104071,,
,1700,福建省,三明市,永安市,344793,,
,1701,福建省,三明市,尤溪县,341638,,
,1702,福建省,厦门市,海沧区,582519,,
,1703,福建省,厦门市,湖里区,1036974,,
,1704,福建省,厦门市,集美区,1036987,,
,1705,福建省,厦门市,思明区,1073315,,
,1706,福建省,厦门市,同安区,855920,,
,1707,福建省,厦门市,翔安区,578255,,
,1708,福建省,漳州市,东山县,219511,,
,1709,福建省,漳州市,华安县,134276,,
,1710,福建省,漳州市,龙海市,952000,,
,1711,福建省,漳州市,龙文区,301883,,
,1712,福建省,漳州市,南靖县,305259,,
,1713,福建省,漳州市,平和县,455042,,
,1714,福建省,漳州市,芗城区,638060,,
,1715,福建省,漳州市,云霄县,411558,,
,1716,福建省,漳州市,漳浦县,847535,,
,1717,福建省,漳州市,长泰县,228235,,
,1718,福建省,漳州市,诏安县,560969,,
,1719,广东省,潮州市,潮安区,1017036,,
,1720,广东省,潮州市,饶平县,817442,,
,1721,广东省,潮州市,湘桥区,575795,,
,1722,广东省,东莞市,东莞市,10466625,,
,1723,广东省,佛山市,禅城区,1330262,,
,1724,广东省,佛山市,高明区,469038,,
,1725,广东省,佛山市,南海区,3667247,,
,1726,广东省,佛山市,三水区,803226,,
,1727,广东省,佛山市,顺德区,3229090,,
,1728,广东省,广州市,白云区,3742991,,
,1729,广东省,广州市,从化区,717684,,
,1730,广东省,广州市,番禺区,2658397,,
,1731,广东省,广州市,海珠区,1819037,,
,1732,广东省,广州市,花都区,1642360,,
,1733,广东省,广州市,黄埔区,1264447,,
,1734,广东省,广州市,荔湾区,1238305,,
,1735,广东省,广州市,南沙区,846584,,
,1736,广东省,广州市,天河区,2241826,,
,1737,广东省,广州市,越秀区,1038643,,
,1738,广东省,广州市,增城区,1466331,,
,1739,广东省,河源市,东源县,348386,,
,1740,广东省,河源市,和平县,353903,,
,1741,广东省,河源市,连平县,285224,,
,1742,广东省,河源市,龙川县,595471,,
,1743,广东省,河源市,源城区,703607,,
,1744,广东省,河源市,紫金县,551095,,
,1745,广东省,惠州市,惠城区,1558793,,
,1746,广东省,惠州市,惠阳区,959750,,
,1747,广东省,惠州市,惠东县,1018076,,
,1748,广东省,惠州市,博罗县,1210878,,
,1749,广东省,惠州市,龙门县,319183,,
,1750,广东省,江门市,恩平市,483907,,
,1751,广东省,江门市,鹤山市,530684,,
,1752,广东省,江门市,江海区,364694,,
,1753,广东省,江门市,开平市,748777,,
,1754,广东省,江门市,蓬江区,853007,,
,1755,广东省,江门市,台山市,907744,,
,1756,广东省,江门市,新会区,909277,,
,1757,广东省,揭阳市,惠来县,1040779,,
,1758,广东省,揭阳市,揭东区,931719,,
,1759,广东省,揭阳市,揭西县,674829,,
,1760,广东省,揭阳市,普宁市,1998619,,
,1761,广东省,揭阳市,榕城区,537212,,
,1762,广东省,茂名市,电白区,1503737,,
,1763,广东省,茂名市,高州市,1328657,,
,1764,广东省,茂名市,化州市,1291668,,
,1765,广东省,茂名市,茂南区,1035411,,
,1766,广东省,茂名市,信宜市,1014577,,
,1767,广东省,梅州市,大埔县,330948,,
,1768,广东省,梅州市,丰顺县,478731,,
,1769,广东省,梅州市,蕉岭县,184355,,
,1770,广东省,梅州市,梅江区,435616,,
,1771,广东省,梅州市,梅县区,556735,,
,1772,广东省,梅州市,平远县,190482,,
,1773,广东省,梅州市,五华县,916961,,
,1774,广东省,梅州市,兴宁市,779411,,
,1775,广东省,清远市,佛冈县,315502,,
,1776,广东省,清远市,连南瑶族自治县,134691,,
,1777,广东省,清远市,连山壮族瑶族自治县,95136,,
,1778,广东省,清远市,连州市,377220,,
,1779,广东省,清远市,清城区,1119901,,
,1780,广东省,清远市,清新区,618523,,
,1781,广东省,清远市,阳山县,367175,,
,1782,广东省,清远市,英德市,941325,,
,1783,广东省,汕头市,潮南区,1231638,,
,1784,广东省,汕头市,潮阳区,1654276,,
,1785,广东省,汕头市,澄海区,874444,,
,1786,广东省,汕头市,濠江区,269471,,
,1787,广东省,汕头市,金平区,777024,,
,1788,广东省,汕头市,龙湖区,630749,,
,1789,广东省,汕头市,南澳县,64429,,
,1790,广东省,汕尾市,城区,394593,,
,1791,广东省,汕尾市,海丰县,736791,,
,1792,广东省,汕尾市,陆丰市,1221634,,
,1793,广东省,汕尾市,陆河县,249242,,
,1794,广东省,汕尾市,华侨区,14193,,
,1795,广东省,韶关市,乐昌市,383498,,
,1796,广东省,韶关市,南雄市,353916,,
,1797,广东省,韶关市,曲江区,290455,,
,1798,广东省,韶关市,仁化县,186009,,
,1799,广东省,韶关市,乳源瑶族自治县,187276,,
,1800,广东省,韶关市,始兴县,198060,,
,1801,广东省,韶关市,翁源县,322482,,
,1802,广东省,韶关市,武江区,373686,,
,1803,广东省,韶关市,新丰县,195430,,
,1804,广东省,韶关市,浈江区,364319,,
,1805,广东省,深圳市,宝安区,4476554,,
,1806,广东省,深圳市,福田区,1553225,,
,1807,广东省,深圳市,光明区,1095289,,
,1808,广东省,深圳市,龙岗区,3979037,,
,1809,广东省,深圳市,龙华区,2528872,,
,1810,广东省,深圳市,罗湖区,1143801,,
,1811,广东省,深圳市,南山区,1795826,,
,1812,广东省,深圳市,坪山区,551333,,
,1813,广东省,深圳市,盐田区,214225,,
,1814,广东省,阳江市,江城区,673984,,
,1815,广东省,阳江市,阳春市,875896,,
,1816,广东省,阳江市,阳东区,478299,,
,1817,广东省,阳江市,阳西县,434076,,
,1818,广东省,云浮市,罗定市,936931,,
,1819,广东省,云浮市,新兴县,430831,,
,1820,广东省,云浮市,郁南县,371661,,
,1821,广东省,云浮市,云安区,235390,,
,1822,广东省,云浮市,云城区,408537,,
,1823,广东省,湛江市,赤坎区,390300,,
,1824,广东省,湛江市,霞山区,536424,,
,1825,广东省,湛江市,坡头区,337723,,
,1826,广东省,湛江市,麻章区,326154,,
,1827,广东省,湛江市,经开区,340854,,
,1828,广东省,湛江市,遂溪县,824608,,
,1829,广东省,湛江市,吴川市,907354,,
,1830,广东省,湛江市,徐闻县,633258,,
,1831,广东省,湛江市,廉江市,1363470,,
,1832,广东省,肇庆市,德庆县,331438,,
,1833,广东省,肇庆市,鼎湖区,209116,,
,1834,广东省,肇庆市,端州区,602402,,
,1835,广东省,肇庆市,封开县,374848,,
,1836,广东省,肇庆市,高要区,741591,,
,1837,广东省,肇庆市,广宁县,408112,,
,1838,广东省,肇庆市,怀集县,805177,,
,1839,广东省,肇庆市,四会市,526457,,
,1840,广东省,中山市,中山市,4418060,,
,1841,广东省,珠海市,斗门区,608899,,
,1842,广东省,珠海市,金湾区,301507,,
,1843,广东省,珠海市,香洲区,1124126,,
,1844,广西壮族自治区,百色市,德保县,269758,,
,1845,广西壮族自治区,百色市,靖西市,489163,,
,1846,广西壮族自治区,百色市,乐业县,146397,,
,1847,广西壮族自治区,百色市,凌云县,188194,,
,1848,广西壮族自治区,百色市,隆林各族自治县,350765,,
,1849,广西壮族自治区,百色市,那坡县,171781,,
,1850,广西壮族自治区,百色市,平果市,455643,,
,1851,广西壮族自治区,百色市,田东县,352007,,
,1852,广西壮族自治区,百色市,田林县,224828,,
,1853,广西壮族自治区,百色市,田阳区,308785,,
,1854,广西壮族自治区,百色市,西林县,142098,,
,1855,广西壮族自治区,百色市,右江区,472086,,
,1856,广西壮族自治区,北海市,海城区,527895,,
,1857,广西壮族自治区,北海市,合浦县,864193,,
,1858,广西壮族自治区,北海市,铁山港区,145943,,
,1859,广西壮族自治区,北海市,银海区,315196,,
,1860,广西壮族自治区,崇左市,大新县,282563,,
,1861,广西壮族自治区,崇左市,扶绥县,408921,,
,1862,广西壮族自治区,崇左市,江州区,435438,,
,1863,广西壮族自治区,崇左市,龙州县,232068,,
,1864,广西壮族自治区,崇左市,宁明县,319386,,
,1865,广西壮族自治区,崇左市,凭祥市,129843,,
,1866,广西壮族自治区,崇左市,天等县,280473,,
,1867,广西壮族自治区,防城港市,东兴市,216053,,
,1868,广西壮族自治区,防城港市,防城区,390961,,
,1869,广西壮族自治区,防城港市,港口区,244280,,
,1870,广西壮族自治区,防城港市,上思县,194774,,
,1871,广西壮族自治区,贵港市,港北区,760633,,
,1872,广西壮族自治区,贵港市,港南区,516598,,
,1873,广西壮族自治区,贵港市,桂平市,1511011,,
,1874,广西壮族自治区,贵港市,平南县,1104273,,
,1875,广西壮族自治区,贵港市,覃塘区,423747,,
,1876,广西壮族自治区,桂林市,叠彩区,202875,,
,1877,广西壮族自治区,桂林市,恭城瑶族自治县,245432,,
,1878,广西壮族自治区,桂林市,灌阳县,208412,,
,1879,广西壮族自治区,桂林市,荔浦市,334527,,
,1880,广西壮族自治区,桂林市,临桂区,555109,,
,1881,广西壮族自治区,桂林市,灵川县,422776,,
,1882,广西壮族自治区,桂林市,龙胜各族自治县,139483,,
,1883,广西壮族自治区,桂林市,平乐县,340921,,
,1884,广西壮族自治区,桂林市,七星区,387304,,
,1885,广西壮族自治区,桂林市,全州县,565696,,
,1886,广西壮族自治区,桂林市,象山区,286872,,
,1887,广西壮族自治区,桂林市,兴安县,307043,,
,1888,广西壮族自治区,桂林市,秀峰区,161066,,
,1889,广西壮族自治区,桂林市,雁山区,132639,,
,1890,广西壮族自治区,桂林市,阳朔县,273124,,
,1891,广西壮族自治区,桂林市,永福县,228646,,
,1892,广西壮族自治区,桂林市,资源县,139212,,
,1893,广西壮族自治区,河池市,巴马瑶族自治县,236152,,
,1894,广西壮族自治区,河池市,大化瑶族自治县,365001,,
,1895,广西壮族自治区,河池市,东兰县,219549,,
,1896,广西壮族自治区,河池市,都安瑶族自治县,538061,,
,1897,广西壮族自治区,河池市,凤山县,169845,,
,1898,广西壮族自治区,河池市,环江毛南族自治县,276076,,
,1899,广西壮族自治区,河池市,金城江区,372521,,
,1900,广西壮族自治区,河池市,罗城仫佬族自治县,272672,,
,1901,广西壮族自治区,河池市,南丹县,275554,,
,1902,广西壮族自治区,河池市,天峨县,143155,,
,1903,广西壮族自治区,河池市,宜州区,549359,,
,1904,广西壮族自治区,贺州市,八步区,655994,,
,1905,广西壮族自治区,贺州市,富川瑶族自治县,266530,,
,1906,广西壮族自治区,贺州市,平桂区,404161,,
,1907,广西壮族自治区,贺州市,昭平县,330116,,
,1908,广西壮族自治区,贺州市,钟山县,351057,,
,1909,广西壮族自治区,来宾市,合山市,98938,,
,1910,广西壮族自治区,来宾市,金秀瑶族自治县,130313,,
,1911,广西壮族自治区,来宾市,武宣县,340312,,
,1912,广西壮族自治区,来宾市,象州县,281846,,
,1913,广西壮族自治区,来宾市,忻城县,297825,,
,1914,广西壮族自治区,来宾市,兴宾区,925377,,
,1915,广西壮族自治区,柳州市,城中区,243628,,
,1916,广西壮族自治区,柳州市,柳北区,484765,,
,1917,广西壮族自治区,柳州市,柳城县,314242,,
,1918,广西壮族自治区,柳州市,柳江区,503772,,
,1919,广西壮族自治区,柳州市,柳南区,617925,,
,1920,广西壮族自治区,柳州市,鹿寨县,337298,,
,1921,广西壮族自治区,柳州市,融安县,253360,,
,1922,广西壮族自治区,柳州市,融水苗族自治县,412445,,
,1923,广西壮族自治区,柳州市,三江侗族自治县,321538,,
,1924,广西壮族自治区,柳州市,鱼峰区,668961,,
,1925,广西壮族自治区,南宁市,宾阳县,801407,,
,1926,广西壮族自治区,南宁市,横县,896099,,
,1927,广西壮族自治区,南宁市,江南区,989823,,
,1928,广西壮族自治区,南宁市,良庆区,587618,,
,1929,广西壮族自治区,南宁市,隆安县,325140,,
,1930,广西壮族自治区,南宁市,马山县,382430,,
,1931,广西壮族自治区,南宁市,青秀区,1124334,,
,1932,广西壮族自治区,南宁市,上林县,359323,,
,1933,广西壮族自治区,南宁市,武鸣区,683826,,
,1934,广西壮族自治区,南宁市,西乡塘区,1643819,,
,1935,广西壮族自治区,南宁市,兴宁区,615485,,
,1936,广西壮族自治区,南宁市,邕宁区,332280,,
