表6—23 全国市分年龄、性别、职业大类人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—23全国市分年龄、性别、职业大类 人口数(第二口径)(续02),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    Ⅰ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
,    在业人口总数,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    8 187 235,    4015 840,    4 171 395,    8 113 055,    3 389 811,  4 723 244,    30482 578,  15 226 347,  15 256 231, 46 511 049,  28 974 284,  17 536 765,    193 443,  107 760,    85 683
  25,    4480 568,    2446017,    2034 551,    670 732,    327 547,    343 185,    35 509,    28 766,    6 743,    200077,    132238,    67 839,,,  26,    399 633,    190 998,    208 635,    290 358,    109463,    180 895,    1 078 105,    504 314,    573 791,    2 312415,    1 411 105,    901 310,    8 153,    3 498,    4 655
  26,    5 222036,    2 816 226,    2405 810,    826 857,    390469,    436 388,    58 368,    47 642,    10 726,    248 147,    158 737,    89410,,,  27,    442 707,    215094,    227 613,    308 908,    115 711,    193 197,    1 181 356,    554 138,    627 218,    2445 208,    1 494 001,    951 207,    7 936,    3 379,    4 557
  27,    5 613 708,    3 035 285,    2 578 423,    877 283,    411 198,    466 085,80 886,    67 153,    13 733,    269424,    174611,    94 813,,,  28,    262 954,    129 167,    133 787,    179 596,    67493,    112 103,    674 181,    315467,    358 714,    1 348 309,    826728,    521 581,    3 695,    1 560,    2 135
  28,    3 163 596,    1 707 750,    1 455 846,    482 729,    219072,    263 657,    54 271,    45425,    8 846,    157 861,    102 838,    55023,,,  29,    246017,    117 604,    128413,    181 372,    64 365,    117 007,    489099,    226 622,    262477,    1 343 263,    802 330,    540 933,    3 453,    1 366,    2 087
  29,    2 874 895,    1 528 016,    1 346 879,    409 781,    175 139,    234642,    54997,    45 953,    9 044,    146 913,    94 637,    52276,,,30-34岁,    1 603 065,    772 193,    830 872,    1 239 077,    426646,    812431,    3 794455,    1 787 375,    2 007 080,    8 391 856,    5 073 652,  3 318 204,    18 562,    8 005,    10 557
30-34岁,    18 984020,    10 159475,    8 824 545,    2 392 885,    978 593,    1 414 292,    574 298,    482 612,    91 686,    969 822,    630 399,    339423,,,  30,    303 356,    146 772,    156 584,    228 714,    81 525,    147 189,    650 505,    308 933,    341 572,    1 652 120,    994 887,    657 233,    3 893,    1 642,    2 251
  30,    3 530 556,    1 898 435,    1 632 121,    444089,    187 371,    256 718,    74477,    63 289,    11 188,    173 402,    114016,    59 386,,,  31,    289 392,    139 636,    149 756,    223 844,    78 533,    145 311,    653 632,    311 643,    341 989,    1 550 545,    940 235,    610 310,    3 572,    1 457,    2 115
  31,    3 361 465,    1 812 004,    1 549 461,    393 688,    161 440,    232 248,    81 849,    69 778,    12071,    164 943,    109 282,    55 661,,,  32,    367470,    176 882,    190 588,    282 946,    97 776,    185 170,    858 387,    408 200,    450 187,    1 916 329,    1 159 386,    756 943,    4 111,    1 784,    2 327
  32,    4 294 187,    2 304 359,    1 989 828,    526 733,    216036,    310 697,    122 359,    103 733,    18 626,    215 852,    140 562,    75 290,,,  33,    331 448,    159 142,    172 306,    256 756,    85 896,    170 860,    827 738,    386 355,    441 383,    1 694 867,    1 023 232,    671 635,    3 652,    1 599,    2 053
  33,    3 981 100,    2 118 177,    1 862 923,    518 898,    211 198,    307 700,    139 841,    117 151,    22 690,    207 900,    133 604,    74296,,,  34,    311 399,    149 761,    161 638,    246 817,    82 916,    163 901,    804 193,    372244,    431 949,    1 577 995,    955 912,    622083,    3 334,    1 523,    1 811
