表6—32 全国市分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6-32全国市分年龄、性别、文化程度的不在业人口数(第二口径)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    和年龄别,,,,,,,,,,,,,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    3 034 314,    1 577 237,    1 457 077,    12 940 464,    6 549 292,    6 391 172,    2 794 004,    1 170 957,    1 623 047,    1 268 708,    939 589,    329 119
总计,    44666 417,    17848 727,    26 817690,    11 955 746,    6 672 716,    5 283 030,    12 153 965,    670 847,  11 483 118,    519 216,    268 089,    251 127,,,  15-19岁,    1 351 156,    690 958,    660 198,    442,    313,    129,    39 530,    22 854,    16 676,    287 718,    179 899,    107 819
  15-19岁,    11 431 375,    5 990 189,    5 441 186,    9 115 928,    4 837 661,    4 278 267,    165 585,    17 683,    147 902,    471 016,    240 821,    230 195,,,  20—24岁,    991 386,    491 402,    499 984,    2 166,    1 074,    1 092,    43 494,    25 854,    17 640,    320 476,    236 178,    84 298
  20—24岁,    4 583 016,    2 403 811,    2 179 205,    2 530 139,    1 614 728,    915 411,    647 155,    7 307,    639 848,    48 200,    27 268,    20 932,,,  25—29岁,    393 239,    214 427,    178 812,    7 744,    4 376,    3 368,    43 969,    26 705,    17 264,    198 388,    162 215,    36 173
  25—29岁,    1 707 400,    566 943,    1 140 457,    215 240,    153 439,    61 801,    848 820,    5 781,    843 039,       -,    -,     -,,,  30—34岁,    173 072,    105 615,    67 457,    12 260,    7 245,    5 015,    40 514,    25 468,    15 046,    113 068,    93 972,    19 096
  30-34岁,    1 044 966,    282 405,    762 561,    62 494,    43 866,    18 628,    643 558,    6 239,    637 319,      -,    -,     -,,,  35—39岁,    86 150,    50 695,    35 455,    18 354,    9 777,    8 577,    44 626,    28 047,    16 579,    82 356,    66 51 1,    15 845
  35—39岁,    906 429,    179 651,    726 778,    24 557,    17 504,    7 053,    650 386,    7 117,    643 269,      -,    -,     -,,,  40—44岁,    32 786,    17 615,    15 171,    64 493,    21 579,    42 914,    40 045,    24 740,    15 305,    51 042,    41 104,    9 938
  40-44岁,    826 759,    118 238,    708 521,    7 377,    5 508,    1 869,    631 016,    7 692,    623 324,      -,    -,     -,,,  45—49岁,    6 525,    6525,          -,    436 452,    83 421,    353 031,    36 922,    21 947,    14 975,    37 232,    29 971,    7 261
  45-49岁,    1 268 913,    151 197,    1 117 716,    7,    6,    1,    751 775,    9 327,    742 448,      -,    -,     -,,,  50—54岁,        -,        -,        -,    2 046 960,    422 061,    1 624 899,    51 614,    29 617,    21 997,    33 522,    28 147,    5 375
  50-54岁,    3 259 831,    502 070,    2 757 761,    3,    3,      -,    1 127 732,    22 242,    1 105 490,       -,    -,     -,,,  55—59岁,        -,        -,        -,    2 973 702,    1 121 552,    1 852 150,    90 744,    47 679,    43 065,    30 052,    24 922,    5 130
  55—59岁,    4 530 429,    1 243 892,    3 286 537,    1,    1,      -,    1 435 930,    49 738,    1 386 192,       -,    -,     -,,,  60—64岁,        -,        -,        -,    3 165 133,    1 926 268,    1 238 865,    209 233,    103 991,    105 242,    28 034,    21 969,    6 065
  60-64岁,    4 989 610,    2 162 251,    2 827 359,    -,    -,      -,    1 587 210,    110 023,    1 477 187,       -,    -,     -,,,  65岁及以上,        -,        -,        -,    4 212 758,    2 951 626,    1 261 132,    2 153 313,    814 055,    1 339 258,    86 820,    54 701,    32 119
  65岁及以上,    10 117 689,    4 248 080,    5 869 609,     -,    -,      -,    3 664 798,    427 698,    3 237 100,       -,    -,     -,,,文盲、半文盲,    30 109,    13 350,    16 759,    3 476 218,    1 208 527,    2267 691,    2 151 421,    682 835,    1 468 586,    177 268,    118 022,    59 246
文盲、半文盲,    12 486540,    2 331 706,    10 154 834,    625,    340,    285,    6 650 817,    308 595,    6 342 222,    82,    37,    45,,,  15-19岁,    8 124,    4 255,    3 869,    72,    62,    10,    30 862,    17 485,    13 377,    14 053,    8 577,    5 476
  15-19岁,    67 357,    32 113,    35 244,    506,    281,    225,    13 681,    1 426,    12 255,    59,    27,    32,,,  20—24岁,    6 700,    3 386,    3 314,    111,    83,      28,    28 598,    16 305,    12 293,    14 581,    11 413,    3 168
  20-24岁,    86 744,    31 956,    54 788,    70,    40,    30,    36 661,    719,    35 942,    23,    10,    13,,,  25—29岁,    4 735,    2 159,    2 576,    259,    153,    106,    24 830,    14 002,    10 828,    12 473,    10 213,    2 260
  25—29岁,    100 233,    27 136,    73 097,    14,    5,    9,    57 922,    604,    57 318,    -,     -,      -,,,  30—34岁,    4 062,    1 589,    2 473,    477,    216,    261,    19 394,    11006,    8 388,    12 395,    9 910,    2 485
  30-34岁,    133 047,    23 401,    109 646,    16,    6,    10,    96 703,    674,    96 029,    -,      -,      -,,,  35—39岁,    3 739,    1 163,    2 576,    1 189,    465,    724,    19 066,    10 878,    8 188,    12 618,    9 659,    2 959
  35—39岁,    177 121,    23 075,    154 046,    11,    8,    3,    140 498,    902,    139 596,    -,      -,      -,,,  40-44岁,    2 506,    555,    1 951,    4 605,    1 239,    3 366,    15 279,    8 645,    6 634,    9 551,    7 380,    2 171
  40—44岁,    177 267,    18 904,    158 363,    8,      -,    8,    145 318,    1 085,    144 233,    -,      -,      -,,,  45—49岁,    243,    243,       -,    44 399,    5 669,    38 730,    14 125,    7 181,    6 944,    7 654,    5 677,    1 977
  45—49岁,    312 555,    20 377,    292 178,    -,     -,   -,    246134,    1 607,    244 527,    -,      -,      -,,,  50—54岁,     -,       -,     -,    380 052,    44 909,    335 143,    24 718,    11 024,    13 694,    9 652,    7 174,    2 478
  50-54岁,    1 003 519,    68 685,    934 834,    -,     -,    -,    589 097,    5 578,    583 519,    -,      -,      -,,,  55—59岁,     -,       -,      -,    795 375,    169 618,    625 757,    56 510,    21 763,    34 747,    12 274,    8 979,    3 295
  55—59岁,    1 905 177,    217 934,    1 687 243,    -,     -,     -,    1 041 018,    17 574,1 023 444,    -,      -,      -,,,  60-64岁,     -,       -,       -,    827 957,    280 620,    547 337,    146 168,    53 373,    92 795,    14 220,    9 647,    4 573
  60—64岁,    2 235 878,    390 902,    1 844 976,    -,      -,      -,    1 247 533,    47 262,  1 200 271,    -,      -,      -,,,  65岁及以上,     -,       -,        -,    1 421 722,    705 493,    716 229,    1 771 871,    511 173,    1 260 698,    57 797,    29 393,    28 404
  65岁及以上,    6 287 642,    1 477 223,    4 810 419,    -,       -,       -,    3 036 252,    231 164,  2 805 088,    -,      -,      -,,,小学,    276 611,    153 716,    122 895,    5 363 075,    2 924 653,    2 438 422,    488 438,    373 718,    114 720,    326 614,    260 960,    65 654
小学,    9 972 791,    4 177 891,    5 794 900,    300 736,    178 045,    122 691,    3 196 933,    275 105,  2 921 828,    20 384,    11 694,    8 690,,,  15—19岁,    106 704,    62 628,    44 076,    119,    100,    19,    6 054,    3 710,    2 344,    74 165,    49 085,    25 080
  15-19岁,    572 034,    311 540,    260 494,    299 763,    177 491,    122 272,    65 148,    6 972,    58 176,    20 081,    11 554,    8 527,,,  20—24岁,    76 605,    43 527,    33 078,    281,    201,    80,    7 709,    4 845,    2 864,    71 938,    58 071,    13 867
  20—24岁,    334 689,    108 955,    225 734,    748,    450,    298,    177 105,    1 721,    175 384,    303,    140,    163,,,  25—29岁,    32 794,    18 459,    14 335,    746,    490,    256,    7 044,    4 422,    2 622,    41 013,    35 553,    5 460
  25—29岁,    267 358,    60 081,    207 277,    75,    43,    32,    185 686,    11 14,    184 572,     -,      -,      -,,,  30—34岁,    23 665,    11 391,    12 274,    1 705,    924,    781,    7 641,    4 941,    2 700,    27 002,    22 914,    4 088
  30—34岁,    276 785,    41 687,    235 098,    55,    22,    33,    216 717,    1 495,    215 222,     -,     -,      -,,,  35—39岁,    21 735,    9 938,    11 797,    5 030,    2 532,    2 498,    11 429,    7 489,    3 940,    25 838,    20 930,    4 908
  35—39岁,    361 936,    43 411,    318 525,    54,    27,    27,    297 850,    2 495,    295 355,     -,      -,      -,,,  40-44岁,    13 070,    5 735,    7 335,    27 469,    8 940,    18 529,    13 525,    8 618,    4 907,    19 278,    15 474,    3 804
  40——44岁,    403 731,    42 230,    361 501,    41,    12,    29,    330 348,    3 451,    326 897,     -,      -,      -,,,  45—49岁,    2 038,    2 038,      -,    196 698,    36 038,    160 660,    12 735,    8 083,    4 652,    12 875,    10 503,    2 372
  45—49岁,    556 740,    60 702,    496 038,      -,        -,    -,    332 394,    4 040,    328 354,     -,      -,      -,,,  50—54岁,       -,    -,      -,    1 015 802,    202 079,    813 723,    18 364,    12 369,    5 995,    12 367,    10 788,    1 579
  50—54岁,    1 477 545,    236 392,    1 241 153,       -,        -,    -,    431 012,    11 156,    419 856,     -,      -,      -,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表6—32全国市分年龄、性别、文化程度的不在业人口数(第二口径)(续04),,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,,,,,,,,,,,,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
  55—59岁,    1 653 374,    607 211,    1 046 163,       -,        -,        -,    341 327,    25 005,    316 322,   -,       -,  -,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  60—64岁,    1 582 107,    923 587,    658 520,        -,        -,         -,    293 396,    51 784,    241 612,    -,       -,  -,,,  55—59岁,        -,       -,       -,    1 274 834,    552 830,    722 004,    26 590,    19 767,    6 823,    10 623,    9 609,    1 014
  65岁及以上,    2 486 492,    1 742 095,    744 397,         -,        -,          -,    525 950,    165 872,    360 078,     -,       -,  -,,,  60—64岁,        -,       -,       -,    1 226 862,    821 569,    405 293,    52 272,    41 526,    10 746,    9 577,    8 708,    869
初中,    10 994 382,    5 205 819,    5 788 563,    3 786 776,    2 013 947,    1 772 829,    1 865 396,    68 317,    1 797 079,    321 660,    161 314,    160 346,,,  65岁及以上,        -,       -,       -,    1 613 529,    1 298 950,    314 579,    325 075,    257 948,    67 127,    21 938,    19 325,    2 613
  15-19岁,    5 244 499,    2 743 840,    2 500 659,    3 761 519,    1 999 023,    1 762 496,    80 822,    8 320,    72 502,    313 690,    157 130,    156 560,,,初中,    1 788 785,    944 478,    844 307,    2 567 485,    1 525 134,    1 042 351,    114 990,    86 071,    28 919,    549 290,    406 558,    142 732
  20—24岁,    1 102 909,    402 495,    700 414,    20 967,    12 293,    8 674,    380 825,    3 674,    377 151,    7 970,    4 184,    3 786,,,  15—19岁,    916 614,    473 151,    443 463,    180,    115,    65,    2 395,    1 523,    872,    169 279,    104 578,    64 701
  25—29岁,    760 736,    206 769,    553 967,    929,    555,    374,    450 710,    2 866,    447 844,     -,     -,   -,,,  20—24岁,    527 613,    261 804,    265 809,    1 147,    510,    637,    5 863,    3 862,    2 001,    158 524,    116 168,    42 356
  30-34岁,    372 162,    105 676,    266 486,    1 309,    818,    491,    228 496,    2 787,    225 709,      -,      -,  -,,,  25—29岁,    198 840,    114 167,    84 673,    3 210,    1 889,    1 321,    8 537,    5 875,    2 662,    98 510,    81 417,    17 093
  35—39岁,    284 493,    76 985,    207 508,    1 594,    984,    610,    178 791,    3 027,    175 764,       -,     -,   -,,,  30-34岁,    81 091,    52 499,    28 592,    5 839,    3 474,    2 365,    9 136,    6 502,    2 634,    46 291,    39 596,    6 695
  40-44岁,    205 511,    39 265,    166 246,    458,    274,    184,    140 980,    2 669,    138 311,        -,      -,   -,,,  35—39岁,    48 533,    31 670,    16 863,    10 289,    5 685,    4 604,    11 820,    8 048,    3 772,    33 466,    27 571,    5 895
  45—49岁,    321 292,    49 516,    271 776,      -,     -,       -,    151 932,    2 801,    149 131,        -,      -,   -,,,  40—44岁,    13 444,    8 537,    4 907,    26 037,    8 838,    17 199,    8 595,    5 720,    2 875,    15 997,    13 227,    2 770
  50-54岁,    582 762,    136 020,    446 742,      -,     -,        -,    91 420,    3 955,    87 465,        -,      -,   -,,,  45—49岁,    2 650,    2 650,        -,    149 814,    31 138,    118 676,    7 017,    4 626,    2 391,    9 879,    8 301,    1 578
  55-59岁,    618 352,    294 353,    323 999,      -,     -,         -,    45 441,    5 711,    39 730,        -,      -,   -,,,  50—54岁,        -,      -,        -,    479 611,    122 452,    357 159,    5 417,    3 883,    1 534,    6 314,    5 730,    584
  60—64岁,    700 216,    518 931,    181 285,      -,     -,          -,    38 157,    8 803,    29 354,        -,      -,    -,,,  55—59岁,        -,      -,        -,    563 246,    280 303,    282 943,    5 418,    4 416,    1 002,    4 247,    3 923,    324
  65岁及以上,    801 450,    631 969,    169 481,      -,     -,           -,    77 822,    23 704,    54 118,        -,      -,    -,,,  60—64岁,        -,      -,        -,    651 164,    500 694,    150 470,    8 342,    7 106,    1 236,    2 553,    2 328,    225
高中,    5 670 110,    2 900 248,    2 769 862,    3 330 296,    1 802 157,    1 528 139,    413 974,    15 066,    398 908,    173 956,    93 638,    80 318,,,  65岁及以上,        -,      -,        -,    676 948,    570 036,    106 912,    42 450,    34 510,    7 940,    4 230,    3 719,    511
  15-19岁,    3 514 242,    1 863 804,    1 650 438,    3 060 350,    1 638 133,    1 422 217,    5 689,    922,    4 767,    135 505,    71 427,    64 078,,,高中,    828 660,    412 559,    416 101,    741 068,    442 915,    298 153,    28 490,    20 985,    7 505,    153 666,    112 928,    40 738
  20-24岁,    718 500,    369 994,    348 506,    255 004,    154 653,    100 351,    51 070,    1 099,    49 971,    38 451,    22 211,    16 240,,,  15-19岁,    289 148,    138 929,    150 219,    51,    23,    28,    199,    126,    73,    23 300,    14 244,    9 056
  25—29岁,    347 954,    109 965,    237 989,    7 260,    4 364,    2 896,    152 473,    1 091,    151 382,       -,    -,         -,,,  20—24岁,    319 748,    154 165,    165 583,    459,    202,    257,    1 188,    749,    439,    52 580,    36 915,    15 665
  30-34岁,    197 026,    65 412,    131 614,    5 552,    3 598,    1 954,    100 455,    1 210,    99 245,       -,    -,         -,,,  25—29岁,    145 050,    72 452,    72 598,    3 015,    1 528,    1 487,    3 278,    2 200,    1 078,    36 878,    28 330,    8 548
  35—39岁,    54 197,    16 057,    38 140,    1 520,    1 009,    511,    32 185,    618,    31 567,       -,   -,         -,,,  30-34岁,    60 888,    37 647,    23 241,    3 833,    2 347,    1 486,    4 145,    2 880,    1 265,    22 153,    17 730,    4 423
  40-44岁,    24 498,    7 693,    16 805,    610,    400,    210,    12 793,    378,    12 415,       -,    -,         -,,,  35—39岁,    10 332,    6 619,    3 713,    1 318,    763,    555,    1 951,    1 389,    562,    6 891,    5 659,    1 232
  45-49岁,    50 085,    11 720,    38 365,      -,             -,      -,    17 067,    643,    16 424,       -,    -,       -,,,  40-44岁,    2 482,    1 735,    747,    3 708,    1 460,    2 248,    1 743,    1 146,    597,    3 162,    2 574,    588
  50-54岁,    110 175,    32 378,    77 797,       -,             -,      -,    12 162,    1 047,    11 115,       -,    -,        -,,,  45—49岁,    1 012,    1 012,      -,    27 265,    6 358,    20 907,    1 821,    1 257,    564,    2 920,    2 450,    470
  55—59岁,    155 290,    66 349,    88 941,        -,             -,      -,    5 860,    1 059,    4 801,       -,    -,         -,,,  50—54岁,       -,       -,      -,    94 378,    28 243,    66 135,    1 466,    1 136,    330,    2 169,    1 952,    217
  60—64岁,    226 287,    159 073,    67 214,        -,             -,      -,    6 226,    1 672,    4 554,    -,    -,        -,,,  55—59岁,       -,       -,      -,    146 937,    63 181,    83 756,    1 204,    967,    237,    1 289,    1 142,    147
