表6—24 全国镇分年龄、性别、职业大类人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—24全国镇分年龄、性别、职业大类 人口数(第二口径)(续02),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总数,,,    Ⅴ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,,,,,,,    Ⅳ、商业工作人员,,,   Ⅴ、服务性工作人员、农、林、牧、渔劳动者,,,,,,    Ⅶ、生产工人、运,,,,,
    年龄别,,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,  年龄别,,,,,,,,,,    输工人和有关人员,,,    ⅤⅢ、不便分类的其他劳动者,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
总计,    45 791 797,    27058094,    18 733 703,    7 746485,    4 036 126,    3 710 359,    2470 222,  2 236444,    233 778,    3 223 656,    2 536 824,    686 832,,,总计,    5 223 986,    2 491 363,    2 732 623,    3 287 906,    1 560 408,    1 727 498,    6 871 467,    3 661 557,    3 209 910,  16 888408,  10487 794,    6400 614,    79 667,    47 578,    32 089
15—19岁,    3 242 544,    1 596 083,    1 646 461,    176 776,    60453,    116 323,    1 654,    1 136,    518,    147 676,    114 880,    32 796,,,15-19岁,    280 112,    113 514,    166 598,    259 500,    97 670,    161 830,    749 980,    399 171,    350 809,  1 611 335,    800 086,  811 249,    15 511,    9 173,    6 338
  15,    153480,    69 748,    83 732,    2 276,    924,    1 352,    22,    13,    9,    1 520,    1 090,    430,,,  15,    9 475,    4 023,    5 452,    14 362,    4 422,    9 940,    73 782,    36 622,    37 160,    51 729,    22467,    29 262,    314,    187,    127
  16,    338232,    158 750,    179482,    8 247,    2 950,    5 297,    75,    55,    20,    6 397,    4 476,    1 921,,,  16,    25 744,    10 580,    15 164,    30 689,    10491,    20 198,    119 333,    62 177,    57 156,    146 351,    67209,    79 142,    1 396,    812,    584
  17,    626045,    303 617,    322428,    22 763,    7 793,    14 970,    195,    134,    61,    22 307,    17 195,    5 112,,,  17,    52 558,    21 209,    31 349,    53457,    19 689,    33 768,    163 104,    87499,    75 605,    308 455,    148 225,    160 230,    3 206,    1 873,    1 333
  18,    908443,    452056,    456 387,    49 395,    16 370,    33 025,    432,    294,    138,    47 749,    38 053,    9 696,,,  18,    80 538,    32 674,    47 864,    71 610,    27 693,    43 917,    185 906,  100 617,    85 289,    468 138,    233 589,    234 549,    4 675,    2 766,    1 909
  19,    1 216 344,    611 912,    604432,    94095,    32416,    61 679,    930,    640,    290,    69 703,    54066,    15 637,,,  19,    111 797,    45 028,    66 769,    89 382,    35 375,    54007,    207 855,  112256,    95 599,    636 662,    328 596,    308066,    5 920,    3 535,    2 385
20-24岁,    7 972021,    4216410,    3 755611,    1 240233,    580 565,    659 668,    30 265,    24 129,    6 136,    459 310,    327 858,    131 452,,,20—24岁,    836 751,    360 636,    476 115,    498 129,    213 332,    284 797,    1 138 995,  584 523,    554472,    3 739 754,    2 107 245,    1 632 509,    28 584,    18 122,    10462
  20,    1 445 818,    731 531,    714287,    151 354,    56 312,    95 042,    1 948,    1 372,    576,    82 567,    61 060,    21 507,,,  20,    139 636,    57 141,    82495,    100 618,    40928,    59 690,    217 889,  114 715,    103 174,  745044,    395 761,    349 283,    6 762,    4 242,    2 520
  21,    1 642 677,    841 975,    800 702,    215275,    89070,    126 205,3444,    2 513,    931,    90 917,    63 822,    27095,,,  21,    166 100,    68 853,    97 247,    107 196,    44 584,    62 612,    234 540,  121 870,    112 670,  818031,    446462,    371 569,    7 174,    4 801,    2 373
  22,    1 562 925,    826 754,    736 171,    241 113,    111 684,    129429,    5 016,    3 817,    1 199,    86 656,    60 326,    26 330,,,  22,    163 395,    70 532,    92 863,    97 191,    41 929,    55 262,    222 165,  114 628,    107 537,  741 293,    419 808,    321 485,    6 096,    4 030,    2 066
  23,    1 523 071,    825 865,    697 206,    275041,    138 318,    136 723,    7 277,    5 901,    1 376,    88 064,    62447,    25 617,,,  23,    163 488,    72 139,    91 349,    90201,    40019,    50 182,    218018,  110055,    107 963,  676 385,    394095,    282 290,    4 597,    2 891,    1 706
  24,    1 797 530,    990285,    807245,    357450,    185 181,    172269,    12 580,    10 526,    2 054,    111 106,    80203,    30903,,,  24,    204 132,    91 971,    112 161,    102 923,    45 872,    57051,    246 383,  123 255,    123 128,  759001,    451 119,    307 882,    3 955,    2 158,    1 797
25—29岁,    8 381 768,    4 691 232,    3 690 536,    1 782 822,    911 506,    871 316,    147 510,    130 651,    16 859,    566 739,    420418,    146 321,,,25—29岁,    1 093 837,    503 210,    590 627,    478 508,    213 111,    265 397,    1 040 896,  507 979,    532 917,    3 259 552,    1 998 720,    1 260 832,    11 904,    5 637,    6 267
  25,    1 908 418,    1 063 434,    844 984,    403 358,    210 801,    192 557,    20059,    17 152,    2 907,    125490,    91 670,    33 820,,,  25,    230 040,    105004,    125036,    107 286,    48 141,    59 145,    241 692,  119 700,    121 992,    777239,    469 349,    307 890,    3 254,    1 617,    1 637
  26,    2 051 718,    1 140 600,    911 118,    452 342,    232 367,    219 975,    30 561,    26 740,    3 821,    139459,    102490,    36969,,,  26,    260 875,    118 780,    142095,    115 213,    51 203,    64010,    245 669,  120053,    125 616,    804 584,    487 579,    317005,    3 015,    1 388,    1 627
  27,    2 169 682,    1 219 204,    950478,    471 012,    242400,    228 612,    41 879,    37 349,    4 530,    146 550,    109490,    37 060,,,  27,    288 187,    133 007,    155 180,    122287,    54 515,    67 772,    273 128,  133 040,    140088,    823 794,    508 068,    315 726,    2 845,    1 335,    1 510
  28,    1 265 971,    714 841,    551 130,    263 158,    133 736,    129422,    29 244,    26 277,    2 967,    86 915,    65 616,    21 299,,,  28,    176038,    82 219,    93 819,    73 384,    32 836,    40 548,    163 247,    78 152,    85095,    472485,    295 279,    177206,    1 500,    726,    774
  29,    985 979,    553 153,    432 826,    192 952,    92 202,    100 750,    25 767,    23 133,    2 634,    68 325,    51 152,    17 173,,,  29,    138 697,    64 200,    74497,    60 338,    26416,    33 922,    117 160,    57034,    60 126,    381 450,    238445,    143 005,    1 290,    571,    719
30-34岁,    6 696 868,    3 808005,    2 888 863,    1 195 640,    567 366,    628 274,    269404,    241 847,    27 557,    466 132,    356025,    110 107,,,30—34岁,    899 509,    422452,    477057,    434 624,    186268,    248 356,    884 304,    439 935,    444 369,  2 540073,    1 590 808,    949 265,    7 182,    3 304,    3 878
  30,    1 219 172,    693 352,    525 820,    223 642,    106 924,    116 718,    35 634,    32 116,    3 518,    83 768,    63 693,    20075,,,  30,    170 862,    80 178,    90 684,    76 808,    33 841,    42 967,    149083,    75 045,    74038,    477 939,    300 911,    177028,    1 436,    644,    792
  31,    1 189 916,    680 353,    509 563,    211 057,    101 311,    109 746,    40 193,    36404,    3 789,    82 011,    63 147,    18 864,,,  31,    166 065,    78 610,    87455,    77068,    33 608,    43 460,    150 607,    75 523,    75 084,    461 576,    291 111,    170465,    1 339,    639,    700
  32,    1 531 020,    872 100,    658 920,    271 459,    129 103,    142 356,    59 588,    53 771,    5 817,    104 398,    79 825,    24 573,,,  32,    207 950,    98 271,    109 679,    99 577,    42 951,    56 626,    200 755,    100091,  100 664,    585 679,    367 323,    218 356,    1 614,    765,    849
