,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6--29省、自治区、直辖市的镇不在业人口数(第二口径),,,,,,,,,,,,,,,表6--29省、自治区、直辖市的镇不在业人口数(第二口径)(续01),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
海南省,    188 128,    78 850,    109 278,    47 479,    27 248,    20 231,    45 943,    2 867,    43 076,    5 036,    2 877,    2 159,,,海南省,    35 539,    17 751,    17 788,    29 275,    17 430,    11 845,    14 201,    4 011,    10 190,    10 655,    6 666,    3 989
四川省,    1 537 977,    691 524,    846 453,    359 504,    192 832,    166 672,    331 549,    17 352,    314 197,    40 692,    20 529,    20 163,,,四川省,    187 395,    91 308,    96 087,    441 221,    252 801,    188 420,    72 609,    23 867,    48 742,    105 007,    92 835,    12 172
贵州省,    482 020,    204 924,    277 096,    103 385,    56 773,    46 612,    127 592,    6 484,    121 108,    29 845,    14 861,    14 984,,,贵州省,    67 753,    35 208,    32 545,    84 374,    54 959,    29 415,    41 065,    14 471,    26 594,    28 006,    22 168,    5 838
云南省,    631 601,    276 316,    355 285,    200 632,    106 439,    94 193,    141 634,    11 796,    129 838,    18 937,    9 391,    9 546,,,云南省,    47 929,    23 898,    24 031,    130 357,    75 464,    54 893,    59 070,    20 511,    38 559,    33 042,    28 817,    4 225
西藏自治区,    17 438,    6 379,    11 059,    4 673,    2 666,    2 007,    6 203,    573,    5 630,    137,    78,    59,,,西藏自治区,    1 087,    569,    518,    3 481,    1 716,    1 765,    1 498,    535,    963,    359,    242,    117
陕西省,    475 287,    180 917,    294 370,    127 486,    66 380,    61 106,    152 962,    1 672,    151 290,    14 622,    7 153,    7 469,,,陕西省,    61 424,    27 986,    33 438,    78 728,    53 462,    25 266,    21 345,    8 548,    12 797,    18 720,    15 716,    3 004
甘肃省,    265 271,    101 897,    163 374,    81 320,    44 774,    36 546,    92 299,    1 375,    90 924,    7 523,    3 905,    3 618,,,甘肃省,    34 324,    16 319,    18 005,    35 184,    27 363,    7 821,    8 041,    2 971,    5 070,    6 580,    5 190,    1 390
青海省,    93 697,    36 229,    57 468,    35 112,    19 024,    16 088,    29 993,    515,    29 478,    3 393,    1 614,    1 779,,,青海省,    10 411,    4 980,    5 431,    9 474,    7 219,    2 255,    3 092,    1 071,    2 021,    2 222,    1 806,    416
宁夏回族自治区,    102 763,    41 202,    61 561,    36 235,    18 933,    17 302,    29 501,    385,    29 116,    3 038,    1 444,    1 594,,,宁夏回族自治区,    11 462,    5 364,    6 098,    15 083,    9 530,    5 553,    2 450,    903,    1 547,    4 994,    4 643,    351
新疆维吾尔自治区,    336 721,    115 775,    220 946,    74 911,    36 481,    38 430,    140 435,    6 545,    133 890,    10 982,    5 240,    5 742,,,新疆维吾尔自治区,    40 158,    20 843,    19 315,    49 526,    35 493,    14 033,    13 028,    5 183,    7 845,    7 681,    5 990,    1 691
