,,,,,,,,,,,,
表6—33全国镇分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,,,,,,,,,,,,
高中,    2 753 829,    1 411 983,    1 341 846,    1 566 793,    870 841,    695 952,    295 637,    8 434,    287 203,    133 119,    74 051,    59 068
  15-19岁,    1 709 570,    938 850,    770 720,    1 418 624,    784 870,    633 754,    4 442,    681,    3 761,    96 514,    52 705,    43 809
  20—24岁,    458 269,    235 915,    222 354,    147 332,    85 482,    61 850,    36 596,    859,    35 737,    36 605,    21 346,    15 259
  25—29岁,    180 943,    40 749,    140 194,    712,    413,    299,    110 142,    1 001,    109 141,-,-,-
  30-34岁,    105 073,    18 070,    87 003,    66,    40,    26,    77 992,    932,    77 060,-,-,-
  35—39岁,    34 998,    6 758,    28 240,    25,    16,    9,    26 350,    618,    25 732,-,-,-
  40—44岁,    14 621,    3 558,    11 063,    34,    20,    14,    9 990,    333,    9 657,-,-,-
  45—49岁,    22 359,    5 480,    16 879,-,-,-,    12 092,    478,    11 614,-,-,-
  50-54岁,    33 032,    12 218,    20 814,-,-,-,    8 346,    637,    7 709,-,-,-
  55—59岁,    48 900,    29 428,    19 472,-,-,-,    3 322,    562,    2 760,-,-,-
  60-64岁,    76 232,    62 749,    13 483,-,-,-,    2 460,    754,    1 706,-,-,-
  65岁及以上,    69 832,    58 208,    11 624,-,-,-,    3 905,    1 579,    2 326,-,-,-
中专,    880 579,    441 523,    439 056,    692 527,    350 059,    342 468,    12 520,    1 088,    11 432,    705,    324,    381
  15-19岁,    532 673,    257 467,    275 206,    516 073,    250 302,    265 771,    149,    21,    128,    452,    202,    250
  20-24岁,    149 013,    80 174,    68 839,    134 087,    73 353,    60 734,    762,    35,    727,    253,    122,    131
  25—29岁,    27 312,    15 402,    11 910,    23 360,    13 305,    10 055,    867,    34,    833,-,-,-
  30-34岁,    13 314,    8 336,    4 978,    11 198,    7 196,    4 002,    695,    28,    667,-,-,-
  35—39岁,    7 510,    5 112,    2 398,    5 639,    4 132,    1 507,    629,    38,    591,-,-,-
  40-44岁,    4 864,        2 919,    1 945,    2 170,    1 771,    399,    935,    53,    882,-,-,-
  45—49岁,    10 015,    2 488,    7 527,-,-,-,    3 115,    122,    2 993,-,-,-
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表6--33全国镇分年龄、性别、文化程度的不在业人口数(第二口径)(续02),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  50-54岁,    27 286,    8 800,    18 486,-,-,-,    2 533,    216,    2 317,-,-,-
  55—59岁,    43 438,    17 517,    25 921,-,-,-,    986,    128,    858,-,-,-
  60—64岁,    37 820,    25 210,    12 610,-,-,-,    690,    137,    553,-,-,-
  65岁及以上,    27 334,    18 098,    9 236,-,-,-,    1 159,    276,    883,-,-,-
大学专科,    203 560,    131 940,    71 620,    135 411,    80 587,    54 824,    1 264,    409,    855,    124,    58,    66
  15—19岁,    30 975,    15 261,    15 714,    29 067,    14 428,    14 639,    10,     -,    10,    35,    15,    20
  20—24岁,    100 003,    58 654,    41 349,    89 612,    53 574,    36 038,    160,    17,    143,    89,    43,    46
  25—29岁,    13 527,    9 810,    3 717,    11 611,    8 605,    3 006,    161,    16,    145,-,-,-
  30-34岁,    3 815,    2 954,    861,    3 211,    2 447,    764,    37,    11,    26,-,-,-
  35—39岁,    2 009,    1 584,    425,    1 462,    1 149,    313,    74,    17,    57,-,-,-
  40-44岁,    916,    752,    164,    448,    384,    64,    59,    14,    45,-,-,-
  45—49岁,    1 062,    656,    406,-,-,-,    133,    29,    104,-,-,-
  50—54岁,    4 077,    2 403,    1 674,-,-,-,    175,    50,    125,-,-,-
  55—59岁,    10 360,    6 582,    3 778,-,-,-,    120,    50,    70,-,-,-
  60—64岁,    18 885,    16 923,    1 962,-,-,-,    92,    50,    42,-,-,-
  65岁及以上,    17 931,    16 361,    1 570,-,-,-,    243,    155,    88,-,-,-
大学本科,    62 858,    47 235,    15 623,    28 711,    19 142,    9 569,    486,    196,    290,    31,    25,    6
  15—19岁,    6 161,    3 758,    2 403,    6 053,    3 696,    2 357,    5,    1,    4,    6,    5,    1
  20—24岁,    21 993,    14 780,    7 213,    20 961,    14 067,    6 894,    17,    1,    16,    25,    20,    5
  25—29岁,    1 754,    1 397,    357,    1 225,    1 001,    224,    37,    3,    34,-,-,-
  30—34岁,    461,    347,    1 14,    298,    230,    68,    23,    1,    22,-,-,-
  35—39岁,    259,    203,    56,    126,    104,    22,    26,    1,    25,-,-,-
  40-44岁,    230,    190,    40,    48,    44,    4,    27,    10,    17,-,-,-
  45—49岁,    481,    318,    163,-,-,-,    37,    6,    31,-,-,-
  50—54岁,    1 900,    1 146,    754,-,-,-,    84,    33,    51,-,-,-
  55—59岁,    4 578,    2 619,    1 959,-,-,-,    40,    20,    20,-,-,-
  60—64岁,    10 727,    9 442,    1 285,-,-,-,    40,    20,    20,-,-,-
  65岁及以上,    14 314,    13 035,    1 279,-,-,-,    150,    100,    50,-,-,-
