表6—34 全国县分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  35—39岁,    974 358,    97 910,    876 448,    62,    21,    41,    808 308,    5 104,    803 204,-,-,-,,,  45—49岁,    145,    145, -,    28 222,    10 815,    17 407,    139 270,    70 272,    68 998,    20 256,    12 817,    7 439
  40-44岁,    1 004 700,    99 376,    905 324,    46,    14,    32,    838 432,    7 166,    831 266,-,-,-,,,  50—54岁,-,-,-,    133 487,    55 358,    78 129,    254 467,    112 998,    141 469,    27 739,    16 046,    11 693
  45—49岁,    1 445 637,    106 361,    1 339 276,-,-,-,  1 257 744,    12 312,    1 245 432,-,-,-,,,  55—59岁,-,-,-,    232 518,    145 875,    86 643,    623 666,    247 017,    376 649,    42 244,    22 579,    19 665
  50—54岁,    3 272 225,    231 423,    3 040 802,-,-,-,  2 856 532,    47 021,    2 809 511,-,-,-,,,  60-64岁,-,-,-,    256 578,    193 441,    63 137,    1 730 780,    704 872,    1 025 908,    67 269,    37 626,    29 643
  55—59岁,    6 061 491,    573 657,    5 487 834,-,-,-,  5 163 063,    158 186,    5 004 877,-,-,-,,,  65岁及以上,-,-,-,    480 841,    364 100,    116 741,    15 714 358,    5 605 906,    10 108 452,    272 962,    135 386,    137 576
  60—64岁,    8 868 957,    1 432 045,    7 436 912,-,-,-,  6 814 330,    496 106,    6 318 224,-,-,-,,,小学,    123 631,    54 176,    69 455,    2 241 881,    2 035 516,    206 365,    3 985 392,    3 325 087,    660 305,    762 009,    489 792,    272 217
  65岁及以上,    30 895 938,    8 338 727,    22 557 211,-,-,-,  14 427 777,    2 233 335,  12 194442,-,-,-,,,  15—19岁,    47 840,    22 821,    25 019,    84,    79,    5,    41 710,    26 684,    15 026,    279 815,    124 642,    155 173
小学,    23 299 444,    10 291 107,    13 008 337,    3 525 426,    2 199 098,    1 326 328,  12 436 619,    2 049 251,  10 387 368,    224 486,    138 187,    86 299,,,  20—24岁,    32 429,    15 169,    17 260,    171,    135,    36,    54 272,    36 279,    17 993,    127 319,    76 276,    51 043
  15-19岁,    4 831 093,    2 574 387,    2 256 706,    3 521 105,    2 196 240,    1 324 865,    717 314,    66 272,    651 042,    223 225,    137 649,    85 576,,,  25—29岁,    11 101,    5 124,    5 977,    421,    316,    105,    44 598,    30 430,    14 168,    55 200,    42 114,    13 086
  20—24岁,    1 369 753,    137 926,    1 231 827,    3 597,    2 491,    1 106,  1 150 704,    7 038,    1 143 666,    1 261,    538,    723,,,  30-34岁,    9 447,    3 827,    5 620,    1 261,    845,    416,    42 823,    30 460,    12 363,    34 765,    26 852,    7 913
  25—29岁,    1 191 570,    81 671,    1 109 899,    223,    128,    95,  1 080 027,    3 559,    1 076 468,-,-,-,,,  35—39岁,    13 077,    4 156,    8 921,    6 565,    4 967,    1 598,    66 570,    47 473,    19 097,    36 642,    27 111,    9 531
  30—34岁,    1 107 873,    65 512,    1 042 361,    157,    73,    84,  1 019 420,    3 455,    1 015 965,-,-,-,,,  40—44岁,    8 807,    2 149,    6 658,    25 700,    20 753,    4 947,    77 521,    54 157,    23 364,    29 592,    21 768,    7 824
  35—39岁,    1 309 535,    89 205,    1 220 330,    139,    60,    79,  1 186 542,    5 438,    1 181 104,-,-,-,,,  45—49岁,    930,    930,-,    94 316,    68 165,    26 151,    80 198,    57 399,    22 799,    22 131,    16 581,    5 550
  40-44岁,    1 289 488,    107 558,    1 181 930,    205,    106,    99,  1 147 663,    8 625,    1 139 038,-,-,-,,,  50—54岁,-,-,-,    337 997,    262 361,    75 636,    128 745,    97 104,    31 641,    22 605,    18 457,    4 148
  45—49岁,    1 164 531,    159 917,    1004 614,-,-,-,    966 956,    16 842,    950 114,-,-,-,,,,,,,,,,,,,,,
  50—54岁,    1 595 658,    441 469,    1 154 189,-,-,-,  1 106 311,    63 547,  1 042 764,-,-,-,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  55—59岁,    1 821 187,    869 661,    951 526,-,-,-,    1 026 097,    174 423,    851 674,-,-,-,,,  55-59岁,-,-,-,    538 300,    489 194,    49 106,    230 578,    183 492,    47 086,    26 212,    22 552,    3 660
  60—64岁,    2 219 224,    1 450 299,    768 925,-,-,-,    1 086 532,    432 823,    653 709,-,-,-,,,  60-64岁,-,-,-,    560 659,    536 342,    24 317,    534 329,    447 435,    86 894,    37 704,    33 699,    4 005
  65岁及以上,    5 399 532,    4 313 502,    1 086 030,-,-,-,    1 949 053,    1 267 229,    681 824,-,-,-,,,  65岁及以上,-,-,-,    676407,    652 359,    24 048,  2 684 048,  2 314 174,    369 874,    90 024,    79 740,    10 284
初中,    21 963 797,    11 935 950,    10 027 847,    14 460 065,    8 793 195,    5 666 870,    3 624 184,    339 886,    3 284 298,    947 325,    556 884,    390 441,,,初中,    526 067,    264 198,    261 869,    1 051 754,    970 869,    80 885,    625 363,    550 297,    75 066,    729 039,460 621,    268 418
  15-19岁,    16 131 594,    9 578 483,    6 553 111,    14 286 917,    8 683 621,    5 603 296,    320 021,    36 165,    283 856,    910 390,    534 994,    375 396,,,  15-19岁,    278 915,    142 267,    136 648,    75,    55,    20,    10 953,    7 801,    3 152,    324 323,    173 580,    150 743
  20-24岁,    1 382 962,    368 018,    1 014 944,    170 938,    108 310,    62 628,    774421,    8 778,    765 643,    36 933,    21 890,    15 043,,,  20-24岁,    174 362,    86 599,    87 763,    235,    148,    87,    24 664,    18 316,    6 348,    201 409,    123 977,    77 432
  25—29岁,    1 056 885,    118 131,    938 754,    1 276,    738,    538,    890 553,    4 384,    886 169,    2, -,    2,,,  25-29岁,    43 798,    21 307,    22 491,    841,    544,    297,    31 757,    24 206,    7 551,    88 658,    66 952,    21 706
  30-34岁,    492 691,    61 223,    431 468,    240,    135,    105,    416 039,    3 114,    412 925,-,-,-,,,  30-34岁,    13 772,    6 996,    6 776,    1 861,    1 258,    603,    26 040,    21 452,    4 588,    34 739,    28 268,    6 471
  35—39岁,    331 567,    51 345,    280 222,    205,    106,    99,    267 394,    3 067,    264 327,-,-,-,,,  35-39岁,    9 789,4 406,    5 383,    4 749,    3 596,    1 153,    26 067,    21 468,    4 599,    23 363,    18 702,    4 661
  40-44岁,    267 695,    46 785,    220 910,    489,    285,    204,    210 484,    3 335,    207 149,-,-,-,,,  40-44岁,    4 671,    1 863,    2 808,    15 165,    12 387,    2 778,    22 551,    17 583,    4 968,    14 335,    11 332,    3 003
  45—49岁,    326 187,    80 910,    245 277,-,-,-,    230 402,    6 039,    224 363,-,-,-,,,  45-49岁,    760,    760, -,    57 951,    45 243,    12 708,    26 088,    20 160,    5 928,    10 986,    8 708,    2 278
  50—54岁,    310 074,    164 875,    145 199,-,-,-,    127 366,    13 326,    114 040,-,-,-,,,  50-54岁,-,-,-,    151 639,    125 235,    26 404,    24 018,    20 124,    3 894,    7 051,    6 190,    861
  55—59岁,    367 413,    294 878,    72 535,-,-,-,    79 444,    29 857,    49 587,-,-,-,,,  55-59岁,-,-,-,    248 360,    229 197,    19 163,    33 682,    30 285,    3 397,    5 927,    5 539,    388
  60—64岁,    478 577,    426 823,    51 754,-,-,-,    101 979,    66 086,    35 893,-,-,-,,,  60-64岁,-,-,-,    296 976,    287 157,    9 819,    73 329,    67 556,    5 773,    6 293,    6 024,    269
  65岁及以上,    818 152,    744 479,    73 673,-,-,-,    206 081,    165 735,    40 346,-,-,-,,,  65岁及以上,-,-,-,    273 902,    266 049,    7 853,    326 214,    301 346,    24 868,    11 955,    11 349,    606
高中,    5 851 672,    3 637 859,    2 213 813,    4 322 351,    2 877 813,    1 444 538,    561 893,    49 650,    512 243,    298 707,    200 040,    98 667,,,高中,    160 594,    84 856,    75 738,    246 342,    228 337,    18 005,    102 144,    90 502,    11 642,    159 641,    106 661,    52 980
  15-19岁,    3 661 736,    2 395 564,    1 266 172,    3 398 722,    2 239 234,    1 159 488,    13 480,    2 625,    10 855,    159 783,    104413,    55 370,,,  15-19岁,    55 764,    30 122,    25 642,    18,    13,    5,    479,    342,    137,    33 490,    18 815,    14 675
  20—24岁,    1 263 507,    813 514,    449 993,    916 872,    633 978,    282 894,    66 801,    3 390,    63 411,    138 924,    95 627,    43 297,,,  20-24岁,    75 466,    40 037,    35 429,    47,    31,    16,    2 763,    2 091,    672,    62 634,    38 360,    24 274
  25—29岁,    270 835,    46 301,    224 534,    6 433,    4 405,    2 028,    203 714,    1 870,    201 844,-,-,-,,,  25-29岁,    19 879,    9 882,    9 997,    246,    162,    84,    7 985,    6 247,    1 738,    32 578,    23 735,    8 843
  30—34岁,    178 608,    24 104,    154 504,    189,    109,    80,    147 092,    1 305,    145 787,-,-,-,,,  30-34岁,    6 847,    3 359,    3 488,    699,    463,    236,    8 456,    6 862,    1 594,    15 325,    12 006,    3 319
  35—39岁,    53 067,    11 210,    41 857,    55,    39,    16,    39 726,    760,    38 966,-,-,-,,,  35-39岁,    1 906,    986,    920,    757,    601,    156,    5 172,    4 317,    855,    5 451,    4 507,    944
  40—44岁,    20 178,    6 192,    13 986,    80,    48,    32,    12 877,    410,    12 467,-,-,-,,,  40-44岁,    561,    299,    262,    1 574,    1 265,    309,    2 869,    2 288,    581,    2 217,    1 882,    335
  45—49岁,    29 651,    10 675,    18 976,-,-,-,    16 975,    814,    16 161,-,-,-,,,  45-49岁,    171,    171, -,    6 995,    5 164,    1 831,    3 510,    2 781,    729,    2 000,    1 745,    255
  50—54岁,    38 196,    22 938,    15 258,-,-,-,    11 998,    1 781,    10 217,-,-,-,,,  50-54岁,-,-,-,    21 051,    16 706,    4 345,    3 667,    3 095,    572,    1 480,    1 356,    124
  55—59岁,    56 836,    48 370,    8 466,-,-,-,    6 954,    3 156,    3 798,-,-,-,,,  55-59岁,-,-,-,    44 916,    40 666,    4 250,    3 924,    3 567,    357,    1 042,    981,    61
  60-64岁,    107 931,    100 176,    7 755,-,-,-,    12 294,    8 729,    3 565,-,-,-,,,  60-64岁,-,-,-,    84 327,    80 867,    3 460,    10 223,    9 540,    683,    1 087,    1 040,    47
  65岁及以上,    171 127,    158 815,    12 312,-,-,-,    29 982,    24 810,    5 172,-,-,-,,,  65岁及以上,-,-,-,    85 712,    82 399,    3 313,    53 096,    49 372,    3 724,    2 337,    2 234,    103
中专,    613 764,    386 069,    227 695,    390 027,    212 558,    177 469,    19 371,    6 332,    13 039,    1 616,    920,    696,,,中专,    10 976,    5 474,    5 502,    159 648,    136 636,    23 012,    13 031,    11 210,    1 821,    19 095,    12 939,    6 156
  15-19岁,    273 519,    142 267,    131 252,    263 018,    137 329,    125 689,    433,    90,    343,    839,    463,    376,,,  15-19岁,    4 506,    1 975,    2 531,    8,    5,    3,    54,    30,    24,    4 661,    2 375,    2 286
  20—24岁,    120 134,    69 337,    50 797,    106 024,    62 075,    43 949,    1 242,    143,    1 099,777,    457,    320,,,  20-24岁,    5 166,    2 636,    2 530,    16,    9,    7,    150,    11 1,    39,    6 759,3 906,    2 853
  25—29岁,    17 541,    10 331,    7 210,    13 363,    7 924,    5 439,    1 075,    62,    1 013,-,-,-,,,  25-29岁,718,    434,    284,    59,    53,    6,    201,    173,    28,    2 125,    1 685,    440
