,,,,,,,,,,,,
表6--26全国分性别、文化程度的各职业大、中、小类人口数,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,      中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    菜农,  6 705 086,  3 214 156,  3 490 930,    309,    275,    34,    1 416,    1 214,    202,    8 504,    6 100,    2 404
    茶农、果农、桑农,  3 161 521,  1 811 821,  1 349 700,    268,    240,    28,    1 104,    978,    126,    6 726,    5 424,    1 302
    其他农业劳动者,  1 830 984,    943 987,    886 997,    123,    100,    23,    425,    361,    64,    2 528,    1 969,    559
  林业劳动者,  1 782 988,  1 164 789,    618 199,    617,    538,    79,    2 000,    1 634,    366,    11 706,    9 091,    2 615
    营造林人员,    808 172,    467 757,    340 415,    304,    270,    34,    812,    665,    147,    4 936,    3 719,    1 217
    采伐人员,    241 127,    191 115,    50 012,    66,    54,    12,    413,    296,    117,    2 479,    1 710,    769
    护林人员,    299 756,    261 855,    37 901,    224,    197,    27,    572,    510,      62,    3 276,    2 911,    365
    木材水运人员,    13 464,    12 246,    1 218,    1,    1,      -,    8,    7,    1,    60,    57,    3
    其他林业劳动者,    420 469,    231 816,    188 653,    22,    16,    6,    195,    156,    39,    955,    694,    261
  牧业劳动者,  4 662 589,  1 704 776,  2 957 813,    594,    511,    83,    1 264,    1 071,    193,    7 430,    5 482,    1 948
    大牲畜饲养人员,    807 037,    520 538,    286 499,    102,    89,    13,    182,    169,    13,    1 056,    869,    187
    家禽家畜饲养人员,  3 634 938,  1 123 023,    2 511 915,    309,    271,    38,    831,    691,    140,    5 041,    3 559,    1 482
    特殊用途动物饲养人员,    14 101,    6 489,    7 612,    54,    46,    8,    89,    67,    22,    339,    267,    72
    其他牧业劳动者,    206 513,    54 726,    151 787,    129,    105,    24,    162,    144,    18,    994,    787,    207
  渔业劳动者,  2 386 455,  1 918 088,    468 367,    386,    359,    27,    983,    898,    85,    5 424,    4 827,    597
    水产养殖劳动者,    974 012,    718 964,    255 048,    255,    235,    20,    780,    704,    76,    3 996,    3 464,    532
    水产捕捞劳动者,  1 237 571,  1 074 549,    163 022,    50,    49,    1,    129,    123,    6,    755,    715,    40
    天然水生物采集劳动者,    23 688,    17 508,    6 180,    1,-,    1,    3,    2,    1,    17,    13,    4
    机动渔船驾驶人员,    96 210,    95 341,    869,    80,    75,    5,    59,    57,    2,    579,    577,    2
    其他渔业劳动者,    54 974,    11 726,    43 248,     -,    -,  -,    12,    12,    -,    77,    58,    19
  狩猎业劳动者,    1 479,    1 222,    257,     -,    -,  -,    1,    1,    -,    2,    1,    1
    狩猎业劳动者,    1 479,    1 222,    257,     -,    -,   -,    1,    1,    -,    2,    1,    1
  农业机械操作人员,    572 786,    564 459,    8 327,    28,    27,    1,    190,    177,    13,    1 740,    1 670,    70
    拖拉机驾驶员,    523 189,    516 661,    6 528,    8,    8,      -,    122,    118,    4,    1 238,    1 212,    26
    其他农业机械操作人员,    49 597,    47 798,    1 799,    20,    19,    1,    68,    59,    9,    502,    458,    44
  其他农林牧渔劳动者,    478 007,    249 862,    228 145,    127,    108,    19,    471,    410,    61,    2 864,    2 440,    424
    其他农、林、牧、渔劳动者,    478 007,    249 862,    228 145,    127,    108,    19,    471,    410,    61,    2 864,    2 440,    424
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表6—26全国分性别、文化程度的各职业大、中、小类人口数(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  生产工人、运输工人和有关人员,  98 125 481,  63 115 886,  35 009 595,    122 037,    93 791,    28 246,    535 689,    377 326,    158 363,  1 504 861,  1 036 253,  468 608
    工段长,    1 034 381,    927 892,    106 489,    11 492,    10 755,    737,    36 314,    33 801,    2 513,    68 020,    63 082,    4 938
      工段长,    1 034 381,    927 892,    106 489,    11 492,    10 755,    737,    36 314,    33 801,    2 513,    68 020,    63 082,    4 938
    采矿、采石、勘探、钻井、采盐工人,    4 539 867,    4 041 923,    497 944,    2 752,    2 453,    299,    5 569,    4 774,    795,    22 607,    19 358,    3 249
      采矿、采石工,    3 534 255,    3 339 768,    194 487,    438,    416,    22,    1 679,    1 594,    85,    8 816,    8 312,    504
      矿物和石料处理工,    429 711,    241 912,    187 799,    117,    95,    22,    539,    392,    147,    1 873,    1 249,    624
      石油、天然气开采工,    121 645,    83 919,    37 726,    382,    315,    67,    793,    594,    199,    3 212,    2 101,    1 111
      地质勘探工,    217 437,    203 582,    13 855,    1 726,    1 544,    182,    2 339,    1 999,    340,    7 513,    6 705,    808
      采盐工人,    147 360,    111 940,    35 420,    10,    10, -,    74,    63,    11,    461,    392,    69
      其他采矿、采石、勘探、钻井、采盐工人,    89 459,    60 802,    28 657,    79,    73,    6,    145,    132,    13,    732,    599,    133
    金属冶炼和处理工人,    2 892 039,  2 076 563,    815 476,    3 220,    2 738,    482,    11 921,    9 522,    2 399,    33 500,    26 452,    7 048
      金属冶炼工人,    587 703,    475 278,    112 425,    786,    692,    94,    2 775,    2 271,    504,    6 713,    5 457,    1 256
      金属轧制和机械操作工,    339 485,    261 487,    77 998,    387,    333,    54,    1 547,    1 292,    255,    4 032,    3 351,    681
      铸工,    1 121 869,    844 260,    277 609,    775,    676,    99,    3 201,    2 644,    557,    11 576,    9 627,    1 949
      金属热处理工,    187 598,    146 167,    41 431,    761,    633,    128,    2 207,    1 800,    407,    5 778,    4 628,    1 150
      金属拉拔和挤压工,    235 474,    132 454,    103 020,    139,    111,    28,    597,    418,    179,    1 450,    932,    518
      金属表面处理工,    348 933,    179 287,    169 646,    262,    215,    47,    1 309,    904,    405,    3 328,    2 096,    1 232
      其他金属冶炼和处理工人,    70 977,    37 630,    33 347,    110,    78,    32,    285,    193,    92,    623,    361,    262
    化学工人,    1 854 630,    971 052,    883 578,    3 590,    2 640,    950,    13 203,    8 665,    4 538,    31 534,    18 160,    13 374
      基本化学原料制造工人,    328 174,    193 145,    135 029,    469,    353,    116,    1 873,    1 292,    581,    4 800,    2 968,    1 832
      化学肥料制造工人,    298 026,    207 068,    90 958,    464,    385,    79,    1 775,    1 371,    404,    4 365,    3 121,    1 244
      化学农药制造工人,    45 671,    25 903,    19 768,    69,    58,    11,    265,    181,    84,    662,    447,    215
      日用化学工人,    125 166,    46 939,    78 227,    115,    83,    32,    628,    389,    239,    1 410,    659,    751
      化学纤维制造工人,    87 891,    35 351,    52 540,    127,    97,    30,    610,    353,    257,    1 518,    737,    781
      炼油工人,    128 393,    76 869,    51 524,    790,    628,    162,    1 918,    1 357,    561,    3 967,    2 665,    1 302
      炼焦工人,    96 043,    74 581,    21 462,    67,    48,    19,    271,    212,    59,    796,    583,    213
      制药工人,    381 241,    124 775,    256 466,    1 054,    656,    398,    3 773,    2 154,    1 619,    9 106,    4 104,    5 002
      其他化学工人,    364 025,    186 421,    177 604,    435,    332,    103,    2 090,    1 356,    734,    4 910,    2 876,    2 034
    橡胶和塑料制品生产工人,  1 503 030,    490 667,  1 012 363,    571,    430,    141,    3 194,    1 986,    1 208,    9 488,    4 745,    4 743
      橡胶机械操作工,    337 190,    142 357,    194 833,    148,    109,    39,    1 064,    670,    394,    3 167,    1 679,    1 488
      塑料机械操作工,    923 008,    257 824,    665 184,    338,    251,    87,    1 618,    980,    638,    4 619,    2 138,    2 481
      轮胎制作工和加硫工,    103 443,    62 831,    40 612,    51,    41,    10,    374,    250,    124,    1 283,    763,    520
      其他橡胶和塑料生产工人,    139 389,    27 655,    111 734,    34,    29,    5,    138,    86,    52,    419,    165,    254
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,,,,,,,,,,,,
  纺织、针织、印染工人,  6 980 170,    1 506 498,  5 473 672,    1 555,    1 052,    503,    12 878,    7 524,    5 354,    42 700,    18 514,    24 186
    纤维预处理工,    431 935,    110 887,    321 048,    80,    39,    41,    721,    321,    400,    2 542,    826,    1 716
    纺纱工、缫丝工、合股捻线工,    1 623 014,    138 972,    1 484 042,    173,    82,    91,    1 652,    425,    1 227,    7 795,    1 215,    6 580
    纺织、针织、印染机安装维修工,    795 642,    703 287,    92 355,    474,    443,    31,    4 724,    4 349,    375,    12 819,    11 286,    1 533
    织布工,  2 339 335,    208 211,  2 131 124,    285,    133,    152,    2 608,    693,    1 915,    10 555,    1 719,    8 836
    针织工,  1 099 824,    95 233,  1 004 591,    151,    75,    76,    906,    274,    632,    3 354,    603,    2 751
    纺织印染工,    461 701,    218 592,    243 109,    296,    207,    89,    2 026,    1 335,    691,    4 960,    2 622,    2 338
    其他纺织、针织、印染工人,    228 719,    31 316,    197 403,    96,    73,    23,    241,    127,    114,    675,    243,    432
  皮革、皮毛制造及制品制作工人,    1 018 319,    313 231,    705 088,    122,    89,    33,    820,    456,    364,    3 034,    1 315,    1 719
    皮革、皮毛制造工,    107 253,    54 660,    52 593,    33,    25,    8,    191,    143,    48,    644,    416,    228
    皮革制造品制作工,    842 002,    240 113,    601 889,    76,    56,    20,    553,    277,    276,    2 117,    792,    1 325
    皮毛制品制作工,    37 785,    7 750,    30 035,    4,    2,    2,    43,    17,    26,    173,    60,    113
    其他皮革、皮毛制造及制品制作工人,    31 279,    10 708,    20 571,    9,    6,    3,    33,    19,    14,    100,    47,    53
  裁剪缝纫工人,  5 101 189,    880 340,  4 220 849,    332,    169,    163,    2 470,    951,    1 519,    11 410,    2 813,    8 597
    打样、裁剪工人,    265 043,    110 295,    154 748,    87,    50,    37,    492,        269,    223,    1 687,    725,    962
    缝纫、缝制工人,  3 546 138,    649 518,  2 896 620,    185,    82,    103,    1 419,    437,    982,    7 808,    1 501,    6 307
    鞋、帽制作工人,    405 946,    79 662,    326 284,    37,    22,    15,    308,    117,    191,    1 105,    303,      802
    刺绣工人,    821 729,    8 089,    813 640,    10,    6,    4,    115,    20,    95,    425,    37,    388
    其他裁剪缝纫工人,    62 333,    32 776,    29 557,    13,    9,    4,    136,    108,    28,    385,    247,    138
  食品饮料制造工人,    3 328 706,    1 893 585,1 435 121,    961,    750,    211,    5 406,    3 758,    1 648,    22 126,    13 612,    8 514
    碾米工、磨粉工、榨油工,    724 443,    541 314,    183 129,    200,    162,    38,    908,    736,    172,    4 804,    3 717,    1 087
    制糖工人,    74 491,    44 402,    30 089,    47,    39,    8,    345,    263,    82,    1 722,    1 087,    635
    屠宰和肉类食品加工工人,    395 387,    292 030,    103 357,    57,    40,    17,    266,    190,    76,    1 346,    927,    419
    食品腌渍、制罐头和保藏工人,    239 657,    93 558,    146 099,    104,    76,    28,    558,    370,    188,    2 116,    1 138,    978
    乳制品加工工人,    29 301,    11 934,    17 367,    20,    17,    3,    135,    81,    54,    456,    239,    217
    面包、糕点和糖果制造工人,    483 480,    193 290,    290 190,    87,    54,    33,    816,    467,    349,    3 097,    1 366,    1 731
    制茶工人,    84 241,    35 837,    48 404,    40,    29,    11,    164,    122,    42,    660,    402,    258
    酿造和饮料制造工人,    655 799,    332 121,    323 678,    278,    231,    47,    1 635,    1 118,    517,    5 547,    3 336,    2 211
    其他食品、饮料制造工人,    641 907,    349 099,    292 808,    128,    102,    26,    579,    411,    168,    2 378,    1 400,    978
  制烟工人,    151 279,    60 760,    90 519,    142,    113,    29,    620,    414,    206,    2 668,    1 366,    1 302
    制烟工人,    151 279,    60 760,    90 519,    142,    113,    29,    620,    414,    206,    2 668,    1 366,    1 302
  木材加工和木、竹、麻、藤、棕、草,,,,,,,,,,,,
    制品制作工人,    5 980 231,  5 145 666,    834 565,    455,    409,    46,3 140,2 711,429,12 852,10 742,2 110
    木材处理工,    31 275,    18 874,    12 401,    5,    5,   -,    58,    43,    15,    222,    131,    91
    制材工人,    489 216,    329 928,    159 288,    84,    73,    11,    580,    412,    168,    2 277,    1 404,    873
    家具、营建木工,  4 516 737,  4 363 752,    152 985,    308,    282,    26,    2 175,    1 998,    177,    9 091,    8 363,    728
    竹、麻、藤、棕、草制品制作工人,    779 078,    328 889,    450 189,    18,    17,    1,    59,    43,    16,    418,    228,    190
    其他木材加工和木、竹、麻、藤、棕、草,,,,,,,,,,,,
      制品制作工人,    163 925,    104 223,    59 702,    40,32,8,268,215,53,844,616,228
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  造纸和纸制品制作工人,  1 031 127,  411 014,  620 113,    251,    206,    45,    1 587,    1 114,    473,    5 441,    3 147,    2 294
    造纸工人,  568 819,  306 031,  262 788,    159,    130,    29,    1 159,    856,    303,    4 053,    2 612,    1 441
    纸制品制作工人,  426 909,    91 987,  334 922,    82,    66,    16,    372,    224,    148,    1 250,    458,    792
    其他造纸和纸制品制作工人,    35 399,    12 996,    22 403,    10,    10,-,    56,    34,    22,    138,    77,    61
  印刷工人和有关人员,  1 159 902,  380 396,  779 506,    1 196,    705,    491,    9 830,    5 077,    4 753,    16 575,    7 246,    9 329
    拣字和排版工人,    162 471,    46 825,  115 646,    164,    89,    75,    1 802,    717,    1 085,    2 561,    857,    1 704
    制版工人,    66 512,    30 791,    35 721,    134,    94,    40,    1 222,    698,    524,    1 978,    974,    1 004
    印刷工人,  620 728,  231 947,  388 781,    375,    266,    109,    3 494,    2 320,    1 174,    7 758,    4 134,    3 624
    装订工人,  231 994,    43 594,  188 400,    70,    28,    42,    768,    299,    469,    1 935,    473,    1 462
    照像暗室工人,    31 824,    12 659,    19 165,    81,    53,    28,    551,    302,    249,    976,    360,    616
    其他印刷工人和有关人员,    46 373,    14 580,    31 793,    372,    175,    197,    1 993,    741,    1 252,    1 367,    448,    919
  石料切割和雕刻工,  336 164,  313 912,    22 252,    34,    28,    6,    154,    126,    28,    468,    364,    104
    裁石工,  286 730,  278 096,    8 634,    15,    12,    3,    63,    57,    6,    261,    226,    35
    工艺石工,    38 576,    26 526,    12 050,    17,    14,    3,    77,    58,    19,    182,    113,    69
    其他石工,    10 858,    9 290,    1 568,    2,    2,-,    14,    11,    3,    25,    25,-
  锻工、工具制造工、机床安装操作工, 6 415 771, 4 389 780, 2 025 991,    5 265,    4 350,    915,    46 516,    34 473,    12 043,    156 234,    113 616,    42 618
    铁匠、锻工和锻压机操作工,  651 739,  595 386,    56 353,    202,    177,    25,    983,    870,    113,    4 085,    3 702,    383
    钳工, 2 023 344, 1 657 608,  365 736,    2 450,    2 174,    276,    19 403,    16 297,    3 106,    65 320,    54 853,    10 467
    机床安装工,    18 896,    13 062,    5 834,    42,    32,    10,    145,    113,    32,    463,    352,    111
    金属切削机床操作工和刃磨工, 3 518 430, 2 044 637, 1 473 793,    2 483,    1 899,    584,    25 585,    16 949,    8 636,    85 183,    54 073,    31 110
    其他锻工、工具制造工和机床安装操作工,  203 362,    79 087,  124 275,    88,    68,    20,    400,    244,    156,    1 183,    636,    547
  机器装配工和精密仪器制造工, 4 619 686, 3 880 901,  738 785,    6 839,    5 891,    948,    36 810,    30 353,    6 457,    116 586,    98 549,    18 037
    机器装配工,  445 603,  255 541,  190 062,    786,    640,    146,    4 365,    3 028,    1 337,    11 264,    7 828,    3 436
    机器修理工, 3 863 818, 3 501 367,  362 451,    4 497,    4 125,    372,    25 862,    23 494,    2 368,    94 423,    85 106,    9 317
    钟表及精密仪器制造工,  272 773,  101 912,  170 861,    1 439,    1 044,    395,    6 199,    3 579,    2 620,    10 013,    5 058,    4 955
    其他机器装配工和精密仪器制造工,    37 492,    22 081,    15 411,    117,    82,    35,    384,    252,    132,    886,    557,    329
  电气、电子设备安装工、修理工、装配工和有关人员,  5 611 448, 3 866 249, 1 745 199,    15 153,    12 228,    2 925,    75 196,    56 512,    18 684,    189 673,    140 486,    49 187
    电气设备安装工、修理工,  359 855,  257 495,  102 360,    2 451,    1 986,    465,    8 626,    6 364,    2 262,    18 967,    13 575,    5 392
    电子设备安装工、修理工,  100 371,    58 998,    41 373,    1 344,    1 121,    223,    4 252,    2 911,    1 341,    6 103,    4 230,    1 873
    电气、电子设备装配工, 1 006 846,  245 574,  761 272,    1 987,    1 399,    588,    9 397,    4 495,    4 902,    17 567,    7 296,    10 271
    电工, 3 567 738, 3 026 790,  540 948,    6 648,    5 741,    907,    45 636,    37 755,    7 881,    121 244,    98 260,    22 984
    电话、电报设备装修工,  173 230,    139 363,    33 867,    2 326,    1 688,    638,    5 457,    3 884,    1 573,    21 229,    14 759,    6 470
    其他电气、电子设备安装工、修理工、,,,,,,,,,,,,
    装配工和有关人员,  403 408,    138 029,  265 379,    397,    293,    104,    1 828,    1 103,725,4 563,2 366,2 197
  广播电台(站)录音设备操作人员和电影放映员,  209 391,    169 396,    39 995,    1 287,    1 027,    260,    5 104,    3 896,    1 208,    12 444,    9 360,    3 084
    发射设备操作人员,    41 878,    30 555,    11 323,    814,    669,    145,    2 044,    1 544,    500,    4 617,    3 326,    1 291
    录音设备操作人员,    18 772,    13 108,    5 664,    321,    232,    89,    1 054,    758,    296,    1 189,    829,    360
    电影放映员,  148 741,  125 733,    23 008,    152,    126,    26,    2 006,    1 594,    412,    6 638,    5 205,    1 433
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表6—26全国分性别、文化程度的各．职业大、中、小类人口数(续09),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  管工、焊工、冷作工和金属构件安装工,    3 474 483,  2 536 768,    937 715,    1 773,    1 519,    254,    12 000,    9 487,    2 513,    43 227,    33 779,    9 448
    管工和管道工,    671 800,    617 598,    54 202,    415,    379,    36,    2 733,    2 477,    256,    9 314,    8 477,    837
    焊工,    1 637 831,    1 163 671,    474 160,    755,    603,    152,    4 863,    3 412,    1 451,    20 415,    14 452,    5 963
    冷作工,    902 184,    531 771,    370 413,    353,    305,    48,    2 899,    2 268,    631,    8 407,    6 210,    2 197
    金属构件制作和安装工,    262 668,    223 728,    38 940,    250,    232,    18,    1 505,    1 330,    175,    5 091,    4 640,    451
  玻璃、陶瓷和搪瓷制品工人,    971 656,    490 981,    480 675,    360,    283,    77,    1 923,    1 347,    576,    6 282,    3 808,    2 474
    玻璃工,    384 833,    182 755,    202 078,    222,    176,    46,    1 066,    741,    325,    3 058,    1 953,    1 105
    陶瓷工,    544 084,    287 056,    257 028,    114,    88,    26,    720,    520,    200,    2 864,    1 647,    1 217
    搪瓷工,    42 739,    21 170,    21 569,    24,    19,    5,    137,    86,    51,    360,    208,    152
  油漆工人,    1 133 371,    649 636,    483 735,    212,    160,    52,    1 449,    886,    563,    5 311,    2 675,    2 636
    油漆工,    1 085 651,    628 913,    456 738,    193,    148,    45,    1 355,    838,    517,    5 015,    2 533,    2 482
    其他油漆工,    47 720,    20 723,    26 997,    19,    12,    7,    94,    48,    46,    296,    142,    154
  其他生产工人和有关人员,  4 745 619,  2 305 745,  2 439 874,    883,    696,    187,    3 936,    2 828,    1 108,    11 835,    7 400,    4 435
    水泥及其制品制造工人,    798 157,    552 018,    246 139,    180,    152,    28,    873,    726,    147,    3 255,    2 485,    770
    石棉及其制品制造工人,    52 644,    20 541,    32 103,    14,    11,    3,    53,    37,    16,    226,    142,    84
    砖瓦、石灰制造工人,    1 624 138,    1 165 228,    458 910,    63,    54,    9,    371,    323,    48,    1 733,    1 319,    414
    耐火材料制造工人,    135 394,    86 794,    48 600,    38,    31,    7,    188,    139,    49,    484,    331,    153
    其他非金属矿物制品制造工人,    118 360,    54 449,    63 911,    64,    51,    13,    276,    173,    103,    812,    471,    341
    文教体育用品制造工人,    100 661,    27 267,    73 394,    75,    57,        18,    390,    229,    161,    891,    358,    533
    珠宝、金银首饰加工工人,    52 675,    23 730,    28 945,    28,    14,    14,    155,    101,    54,    340,    198,    142
    工艺美术品制作工人,    1 250 033,    170 420,  1 079 613,    245,    182,    63,    994,    680,    314,    2 356,    1 203,    1 153
    其他生产工人和有关人员,    613 557,    205 298,    408 259,    176,    144,    32,    636,    420,    216,    1 738,    893,    845
  建筑工人,  7 692 383,  7 019 366,    673 017,    762,    673,    89,    4 439,    3 639,    800,    17 850,    14 891,    2 959
    瓦工、抹灰工,  5 456 625,  5 298 301,    158 324,    335,    313,    22,    2 145,    1 919,    226,    9 500,    8 802,    698
    混凝土工,    208 519,    167 170,    41 349,    37,    32,    5,    204,    155,    49,    850,    647,    203
    钢筋工,    312 441,    224 184,    88 257,    55,    39,    16,    465,    307,    158,    1 995,    1 248,    747
    架子工,    150 702,    145 959,    4 743,    22,    19,    3,    120,      113,    7,    458,    428,    30
    力工(壮工),    1 388 921,  1 034 155,    354 766,    153,    126,    27,    893,    633,    260,    3 362,    2 305,    1 057
    其他建筑工人,    175 175,    149 597,    25 578,    160,    144,    16,    612,    512,    100,    1 685,    1 461,    224
  动力设备操作工,    2 150 773,  1 625 660,    525 113,    3 736,    3 127,    609,    15 916,    12 090,    3 826,    53 359,    39 017,    14 342
    发电设备运行工,    330 480,    233 684,    96 796,    1 282,    1 096,    186,    4 351,    3 336,    1 015,    16 250,    11 858,    4 392
    电力网值班运行工,    144 747,    102 392,    42 355,    822,    689,    133,    3 209,    2 390,    819,    10 809,    7 779,    3 030
    锅炉工,    967 431,    873 260,    94 171,    580,    535,    45,    2 691,    2 430,    261,    11 124,    10 008,    1 116
    其他动力设备操作工,    708 115,    416 324,    291 791,    1 052,    807,    245,    5 665,    3 934,    1 731,    15 176,    9 372,    5 804
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  装卸工和有关设备操作工,    3 601 112,  2 805 248,    795 864,    734,    627,    107,    4 715,    3 439,    1 276,    19 438,    13 597,    5 841
    装卸搬运工,    2 491 012,  2 041 115,    449 897,    376,    338,    38,    1 922,    1 595,    327,    7 574,    6 036,    1 538
    起重机械操作工,    761 118,    471 377,    289 741,    254,    193,    61,    2 218,    1 351,    867,    9 223,    5 339,    3 884
    土建机械和有关设备操作工,    270 470,    232 744,    37 726,    61,    55,    6,    442,    378,    64,    2 188,    1 876,    312
    其他装卸工和有关设备操作工,    78 512,    60 012,    18 500,        43,    41,    2,    133,    115,    18,    453,    346,    107
  运输设备操作工,  10 328 053,    9 659 050,    669 003,    4 248,    4 073,    175,    25 815,    24 477,    1 338,    146 117,    137 441,    8 676
    船员,    1 120 259,    913 995,    206 264,    1 737,    1 726,    11,    3 898,    3 882,    16,    15 632,    15 521,    111
    机车司机和司炉,    197 171,    193 034,    4 137,    129,    128,    1,    645,    627,    18,    14 104,    14 019,    85
    铁路运输工人,    791 602,    671 938,    119 664,    696,    613,    83,    3 153,    2 597,    556,    22 847,    18 966,    3 881
    汽车司机,    5 301 834,  5 134 819,    167 015,    1 471,    1 413,    58,    16 760,    16 210,    550,    85 165,    81 807,    3 358
    机动车司机,    421 647,    394 656,    26 991,    41,    39,    2,    458,    399,    59,    2 261,    2 005,    256
    兽力车驭手,    123 315,    121 283,    2 032,    3,    3,-,    16,    12,    4,    113,    102,    11
    其他运输设备操作工和有关人员,    2 372 225,  2 229 325,    142 900,    171,    151,    20,    885,    750,    135,    5 995,    5 021,    974
  检验、计量、试验、分析人员和有关人员,    3 699 700,  1 183 254,  2 516 446,    41 115,    26 084,    15 031,    126 849,    64 426,    62 423,    236 014,    104 553,  131 461
    检验员(工)、检查员(工),    2 070 600,    701 030,  1 369 570,    15 622,    10 723,    4 899,    47 936,    28 587,    19 349,    103 727,    54 428,    49 299
    计量员(工),    244 397,    114 466,    129 931,    3 551,    2 434,    1 117,    13 940,    8 229,    5 711,    20 809,    11 428,    9 381
    测试员(工)、试验员(工),    225 549,    95 609,    129 940,    4 731,    3 260,    1 471,    12 941,    7 327,    5 614,    18 099,    9 162,    8 937
    化验员(工)、分析员(工),    936 123,    219 630,    716 493,    10 475,    5 198,    5 277,    32 771,    11 875,    20 896,    71 137,    22 279,    48 858
    描图、绘图、影印员(工),    183 857,    36 971,    146 886,    2 289,    1 380,    909,    10 560,    3 987,    6 573,    17 138,    5 073,    12 065
    计算机纸带穿孔录入员(工),    39 174,    15 548,    23 626,    4 447,    3 089,    1 358,    8 701,    4 421,    4 280,    5 104,    2 183,    2 921
  其他生产工人、运输工人和有关人员,    6 561 001,    3 120 353,  3 440 648,    12 997,    10 516,    2 481,    67 915,    48 594,    19 321,    208 068,    126 165,    81 903
    水下作业人员,    7 600,    6 501,    1 099,    13,    12,    1,    59,    46,    13,    275,    251,    24
    测绘工人,    100 136,    83 277,    16 859,    1 043,    912,    131,    2 870,    2 402,    468,    9 202,    7 669,    1 533
    包装工、打包工,    1 191 614,    336 203,    855 411,    287,    175,    112,    2 129,    930,    1 199,    7 309,    2 331,    4 978
    仓储工人,    4 724 014,    2 221 995,  2 502 019,    6 036,    4 477,    1 559,    38 855,    24 701,    14 154,    147 125,    77 556,    69 569
    其他生产工人、运输工人和有关人员,    537 637,    472 377,    65 260,    5 618,    4 940,    678,    24 002,    20 515,    3 487,    44 157,    38 358,    5 799
不便分类的其他劳动者,    317 679,    182 822,    134 857,    11 840,    8 554,    3 286,    17 151,    10 698,    6 453,    17 474,    10 165,    7 309
  不便分类的其他劳动者,    317 679,    182 822,    134 857,    11 840,    8 554,    3 286,    17 151,    10 698,    6 453,    17 474,    10 165,    7 309
    不便分类的其他劳动者,    317 679,    182 822,    134 857,    11 840,    8 554,    3 286,    17 151,    10 698,    6 453,    17 474,    10 165,    7 309
