表6—31 全国分年龄、性别、文化程度的不在业人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  40——44岁,    613 773,    106 003,    507 770,    1 055,    616,    439,    463 275,    7 956,    455 319,      -,    -,     -
  45—49岁,    822 367,    156 847,    665 520,        -,        -,             -,    499 752,    10 883,    488 869,      -,      -,        -
  50—54岁,    1 102 124,    362 285,    739 839,       -,        -,          -,    288 562,    19 919,    268 643,       -,      -,     -
  55—59岁,    1 221 375,    725 642,    495 733,      -,        -,        -,    156 058,    38 744,    117 314,      -,       -,        -
  60—64岁,    1 435 546,    1 155 594,    279 952,          -,     -,     -,    158 068,    78 441,    79 627,       -,     -,   -
  65岁及以上,    1 865 764,    1 582 240,    283 524,        -,       -,               -,    306 543,    197048,    109 495,      -,       -,      -
高中,    14 275 611,7950 090,    6 325 521,    9 219440,    5 550 811,    3668 629,  1 271 504,    73 150,  1 198 354,    605 782,    367 729,    238 053
  15-19岁,    8 885 548,5198 218,    3 687 330,    7 877 696,    4 662 237,    3 215 459,    23 611,    4 228,    19 383,    391 802,    228 545,    163 257
  20—24岁,    2440 276,    1 419 423,    1 020 853,    1 319 208,    874 113,    445 095,    154 467,    5 348,    149 119,    213 980,    139 184,    74 796
  25—29岁,    799 732,    197 015,    602 717,    14 405,    9 182,    5 223,    466 329,    3 962,    462 367,       -,     -,    -
  30—34岁,    480 707,    107 586,    373 121,    5 807,    3 747,    2 060,    325 539,    3 447,    322 092,     -,       -,       -
  35—39岁,    142 262,    34 025,    108 237,    1 600,    1 064,    536,    98 261,    1 996,    96 265,      -,       -,    -
  40-44岁,    59 297,    17 443,    41 854,    724,    468,    256,    35 660,    1 121,    34 539,       -,       -,      -
  45—49岁,    102 095,    27 875,    74 220,          -,       -,          -,    46 134,    1 935,    44 199,        -,        -,       -
  50—54岁,    181 403,    67 534,    113 869,        -,       -,       -,    32 506,    3 465,    29 041,         -,         -,          -
  55—59岁,    261 026,    144 147,    116 879,       -,         -,       -,    16 136,    4 777,    11 359,          -,       -,     -
  60—64岁,    410 450,    321 998,    88 452,        -,      -,    -,    20 980,    11 155,    9 825,        -,       -,        -
  65岁及以上,    512 815,    414 826,    97 989,       -,     -,       -,    51 881,    31 716,    20 165,         -,     -,    -
中专,    3847 637,    2 010468,    1 837 169,    3 029 756,    1 580 375,    1 449 381,    51 012,    9 049,    41 963,    4 608,    2 183,    2 425
