表6—11 全国镇分年龄、性别、行业门类的人口数(第二口径),,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,小计,    男,    女,    小计,    男,    女
50—54岁,    2 523064,    1 883 484,    639 580,    66.28,    88.95,    37.86,    441 685,    284 396,    157 289,    635 780,    515402,    120 378
  50,    581 545,    413 385,    168 160,    72.82,    92.97,    47.52,    92410,    57 153,    35 257,    162 823,    125 033,    37 790
  51,    524 861,    385 298,    139 563,    68.71,    91.04,    40.97,    88 390,    56 783,    31 607,    136698,    109 331,    27 367
  52,    511 592,    386207,    125 385,    66.12,    89.17,    36.81,    90 865,    59 316,    31 549,    127 082,    104 631,    22451
  53,    470455,    360999,    109456,    63.20,    86.86,    33.29,    86226,    56441,    29 785,    111 380,    93 317,    18 063
  54,    434611,    337 595,    97016,    59.85,    84.22,    29.83,    83 794,    54 703,    29091,    97 797,    83 090,    14 707
55—59岁,    1 518 699,    1 259 560,    259 139,    48.52,    70.93,    19.14,    336 784,    228 518,    108 266,    284994,    253 008,    31 986
  55,    376000,    301 800,    74 200,    55.03,    80.27,    24.14,    78 288,    51 754,    26 534,    77 776,    67 576,    10 200
  56,    350477,    290455,    60 022,    51.57,    75.62,    20.30,    73 359,    49 385,    23 974,    67 823,    60057,    7 766
  57,    310 610,    260283,    50 327,    48.42,    71.26,    18.22,    69437,    47 227,    22 210,    57421,    51 321,    6 100
  58,    257472,    217 219,    40 253,    44.98,    65.96,    16.56,    60 751,    41 868,    18 883,    44422,    39 992,    4430
  59,    224 140,    189 803,    34 337,    40.52,    59.08,    14.81,    54 949,      38 284,    16665,    37 552,    34062,3 490
60-64岁,    557 754,    448 867,    108 887,    24.80,    36.04,    10.85,    198 022,    144 929,    53 093,    78 910,    69 332,    9 578
  60,    169423,    139 313,    30 110,    31.34,    45.44,    12.87,    50 336,    35 729,    14 607,    25482,    22 581,    2 901
  61,    120 329,    95 975,    24 354,    25.82,    37.12,    11.74,    42 688,    30 657,    12031,    16 935,    14 795,    2 140
  62,    107643,    85 544,    22099,    23.16,    33.30,    10.63,    40 378,    29 649,    10 729,    14 975,    13018,    1 957
  63,    85 989,    68407,    17 582,    21.36,    31.00,    9.67,    34028,    25445,    8 583,    11 660,    10 252,    1 408
  64,    74 370,    59 628,    14 742,    19.83,    29.40,    8.56,    30 592,    23449,    7 143,    9 858,    8 686,    1 172
65岁及以上,    380 664,    308 416,    72 248,    10.14,    18．00,    3.54,    160 702,    129 506,    31 196,    47 089,    41 653,    5 436
