,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,,,    年龄别,,,,,,,,,,    物资供销和仓储业,,,,,,    Ⅶ、房地产管理、公用事业,,,    Ⅷ、卫生、体育和社会福利事业,,,    Ⅸ、教育、文化艺,,,   Ⅹ、科学研究和综,,,,,,Ⅺ、金融、保险业,,,    Ⅻ、国家机关、政党,,,,,
    年龄别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    居民服务和咨询服务业,,,,,,    术和广播电视事业,,,    合技术服务事业,,,,,  年龄别,,,,    机关和和社会团体,,,ⅩⅢ、其他行业,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  年龄别,,,,,,,,,,,,,,,,小计,  男,  女,  小计,    男,    女,小计,  男,  女
总计,    480 852 734,    261 461 156,    219 391 578,    81.85,    87.40,    76.09,    428406207,    225 905 501,    202 500 706,    25 123 709,    15 030 593,    10 093 116,,,总计,    137424,    103 974,    33450,    3 509 795,    3 329 983,    179 812,    3 547 538,    3 250 057,    297481,    7 122 972,    4499 769,    2 623 203,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  502 327,  366 281,  136046,  2 911 968,  2 518471,    393 497,    20 292,    16 071,    4 221
20-24岁,    87414 176,    45 025 917,    42 388 259,    94.88,    96.66,    93.06,    76 613 898,    38 634 930,    37 978 968,    5 856 340,    3 032024,    2 824 316,,,20-24岁,    21 349,    16 184,    5 165,    852084,    808 509,    43 575,    718 296,    650 797,    67499,    1 148 792,    619 879,    528 913,,,  19,    62474,    33 968,    28 506,    25 839,    10 313,    15 526,    127 324,    48 676,    78 648,    1 420,    865,    555,,,20—24岁,  123 276,  74 504,    48 772,  370 704,    279 252,    91 452,    4 888,  4 006,    882
  20,    17 585 324,    8 812 522,    8 772 802,    92.85,    93.01,    92.68,    15430 614,    7 661 823,    7 768 791,    1 302 347,    606 110,    696 237,,,  20,    3 087,    2 321,    766,    160 281,    150 862,    9 419,    118 128,    105492,    12 636,    209446,    104 365,    105 081,,,20—24岁,    301 557,    192 349,    109 208,    181 258,    86492,    94 766,    1 209 393,    619 573,    589 820,    12 341,    7 418,    4 923,,,  20,    19496,  10 557,    8 939,    51 721,    36 715,    15 006,    979,    754,    225
  21,    18 652 853,    9 515 736,    9 137 117,    94.66,    95.93,    93.38,    16 299014,    8 184 988,    8 114 026,    1 340 608,    661 153,    679455,,,  21,    4 158,    3 114,1044,    182237,    172 554,    9 683,    144495,    130 037,    14458,    236 659,    122 549,    114 110,,,  20,    64 893,    36472,    28 421,    33 419,    13 307,    20 112,    189 080,    82677,    106403,    1 833,    1 067,    766,,,  21,    24 776,  14 230,    10 546,    67 775,    49461,    18 314,    1 185,    970,    215
  22,    17 171 997,    8 904 804,    8 267 193,    95.40,    97.46,    93.27,    15 054 219,    7 638 465,    7415 754,    1 138 100,    597449,    540 651,,,  22,    4 406,    3 345,    1 061,    168 938,    160425,    8 513,    143 169,    129 993,    13 176,    223 549,    121 639,    101 910,,,  21,    69098,    41 837,    27 261,    37 332,    16 673,    20 659,    243 166,    116 801,    126 365,    2 350,    1 369,    981,,,  22,    25 145,  15 207,    9 938,    71 678,    53 882,    17 796,    1 032,    855,    177
  23,    16 292292,    8 495458,    7 796 834,    95.74,    98.35,    93.05,    14 326 854,    7 268 199,    7 058 655,    995 730,    550 174,    445 556,,,  23,    4 474,    3 427,    1 047,    159 827,    152 313,    7 514,    143 513,    130 840,    12 673,    218 623,    122462,    96 161,,,  22,    59 318,    38 264,    21 054,    34 625,    16 903,    17 722,    245 384,    126 952,    118 432,    2 434,    1 425,    1 009,,,  23,    24 714,  15 642,    9 072,    78 381,    60220,    18 161,    852,    716,    136
  24,    17 711 710,    9297 397,    8414 313,    95.88,    98.75,    92.90,    15 503 197,    7 881 455,    7 621 742,    1 079 555,    617 138,    462417,,,  24,    5 224,    3 977,    1 247,    180 801,    172 355,    8 446,    168 991,    154435,    14 556,    260 515,    148 864,    111 651,,,  23,    52 253,    35 832,    16421,    34 810,    17 962,    16 848,    249 728,    136 125,    113 603,    2 533,    1 546,    987,,,  24,    29 145,  18 868,    10277,    101 149,    78 974,    22 175,    840,    711,    129
25—29岁,    68 722 863,    36 135 888,    32 586975,    95.66,    99.03,    92.17,    59 745 779,    30 147 896,    29 597 883,    4 063 724,    2 441 531,    1 622 193,,,25—29岁,    25 507,    18453,    7 054,    693 169,    656 504,    36 665,    759221,    696 372,    62 849,    1 224 943,    713 471,    511 472,,,  24,    55 995,    39944,    16051,    41 072,    21 647,    19425,    282035,    157018,    125 017,    3 191,    2 011,    1 180,,,25—29岁,  113 377,  77 114,    36 263,    485446,    396 312,    89 134,    3 046,    2 433,    613
  25,    16 717 888,    8 773090,    7 944 798,    95.78,    98.92,    92.53,    14 552402,    7 357 136,    7 195 266,    1 022 139,    600 554,    421 585,,,  25,    5 522,    4 087,    1 435,    173 209,    164475,    8 734,    172 319,    157457,    14 862,    274217,    157 807,    116410,,,25-29岁,    201 656,    149 829,    51 827,    189 386,    103 375,    86011,    1 203 244,    723482,    479 762,    14 365,    9 116,    5 249,,,  25,    28 878,  19 161,    9 717,    112051,    88 902,    23 149,    792,    656,    136
  26,    16 614 539,    8 707 979,    7 906 560,    95.78,    99.00,    92.47,    14433 061,    7 267 551,    7 165 510,    997 584,    594018,    403 566,,,  26,    6 315,    4 573,    1 742,    169 709,    160 605,    9 104,    176 901,    161 737,    15 164,    293 260,    169 342,    123 918,,,  25,    51 902,    37 955,    13 947,    43 158,    23 027,    20 131,    277 922,    159 688,    118 234,    3 377,    2 185,    1 192,,,  26,    28 625,  19239,    9 386,    119 311,    95 650,    23 661,    775,    609,    166
  27,    17 789 667,    9435 076,    8 354 591,    95.75,    99.10,    92.22,    15 443 964,    7 854223,    7 589 741,    1 044 271,    634715,    409 556,,,  27,    6 832,    5 039,    1 793,    182 730,    173494,    9 236,    202498,    186 680,    15 818,    325469,    189 667,    135 802,,,  26,    49 837,    36 905,    12 932,    46 720,    25 113,    21 607,    288 916,    170403,    118 513,    3 525,    2 234,    1 291,,,  27,    29414,  20 171,    9 243,    127 798,    105437,    22 361,    794,    639,    155
