,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  纺织业,    10 124 687,    3 401 216,    6 723 471,    39 848,    27 264,    12 584,    153 127,    94 750,    58 377,    227 201,    117 199,    110 002,,,    纤维原料初步加工业,    57 898,    35 373,    22 525,    154 151,    94 145,    60 006,    61 358,    36 589,    24 769,    10 439,    4 527,    5 912
    纤维原料初步加工业,    296 266,    179 422,    116 844,    501,    391,    110,    2 513,    1 937,    576,    9 406,    6 460,    2 946,,,    棉纺织业, 1 158 037,  442 491,  715 546,    2 831 307,    945 081,    1 886 226,    790 026,    260 217,    529 809,    96 515,    21 346,    75 169
    棉纺织业,    5 116 578,    1 806 985,    3 309 593,    22 038,    15 374,    6 664,    90 064,    56 167,    33 897,    128 591,    66 309,    62 282,,,    毛纺织业,  246 622,    90 877,  155 745,    539 393,    180 220,    359 173,    167 588,    50 284,    117 304,    25 673,    6 127,    19 546
    毛纺织业,    1 032 363,    356 316,    676 047,    6 016,    3 901,    2 115,    19 877,    11 698,    8 179,    27 194,    13 209,    13 985,,,    麻纺织业,  109 662,    47 203,    62 459,    293 473,    110 050,    183 423,    78 273,    28 396,    49 877,    10 721,    2 700,    8 021
    麻纺织业,    511 315,    200 022,    311 293,    1 646,    1 237,    409,    6 494,    4 334,    2 160,    11 046,    6 102,    4 944,,,    丝绢纺织业,  218 084,    80 571,  137 513,    750 571,    203 606,    546 965,    341 071,    81 224,    259 847,    59 090,    9 461,    49 629
    丝绢纺织业,    1 409 677,    398 245,    1 011 432,    4 596,    3 077,    1 519,    14 000,    8 803,    5 197,    22 265,    11 503,    10 762,,,    针织品业,  299 765,  100 997,  198 768,    839 974,    224 408,    615 566,    423 631,    74 762,    348 869,    49 984,    6 462,    43 522
    针织品业,    1 664 629,    433 681,    1 230 948,    4 710,    3 037,    1 673,    19 203,    11 154,    8 049,    27 362,    12 861,    14 501,,,    其他纺织业,    12 018,    5 411,    6 607,    36 995,    12 817,    24 178,    33 615,    5 855,    27 760,    8 577,    803,    7 774
    其他纺织业,    93 859,    26 545,    67 314,    341,    247,    94,    976,    657,    319,    1 337,    755,    582,,,  缝纫业,  616 580,  185 736,  430 844,    2 185 473,    557 345,    1 628 128,    1 110 626,    255 051,    855 575,    123 462,    26 136,    97 326
  缝纫业,    4 086 437,    1 047 998,    3 038 439,    3 133,    2 122,    1 011,    17 314,    9 583,    7 731,    29 849,    12 025,    17 824,,,    服装制造业,  522 242,  153 165,  369 077,    1 881 048,    466 433,    1 414 615,    967 722,    217 115,    750 607,    102 429,    21 157,    81 272
    服装制造业,    3 513 751,    876 232,    2 637 519,    2 396,    1 582,    814,    13 762,    7 470,    6 292,    24 152,    9 310,    14 842,,,    制帽业,    9 562,    2 769,    6 793,    29 546,    7 170,    22 376,    12 850,    3 138,    9 712,    1 725,    463,    1 262
    制帽业,    54 733,    14 002,    40 731,    62,    43,    19,    410,    199,    211,     578,    220,    358,,,    制鞋业,    63 916,    22 340,    41 576,    203 331,    63 483,    139 848,    94 207,    26 806,    67 401,    14 143,    3 417,    10 726
    制鞋业,    381 612,    119 310,    262 302,    359,    257,    102,    2 031,    1 237,    794,    3 625,    1 770,    1 855,,,    其他缝纫业,    20 860,    7 462,    13 398,    71 548,    20 259,    51 289,    35 847,    7 992,    27 855,    5 165,    1 099,    4 066
    其他缝纫业,    136 341,    38 454,    97 887,    316,    240,    76,    1 111,    677,    434,    1 494,    725,    769,,,  皮革、毛皮及其制品业,  215 966,    92 233,  123 733,    731 273,    279 784,    451 489,    336 021,    119 133,    216 888,    38 241,    12 909,    25 332
  皮革、毛皮及其制品业,    1 350 773,    521 279,    829 494,    2 393,    1 785,    608,    10 289,    6 602,    3 687,    16 590,    8 833,    7 757,,,    制革业,    27 861,    15 677,    12 184,    69 476,    40 347,    29 129,    28 737,    16 514,    12 223,    4 521,    2 042,    2 479
    制革业,    137 427,    79 225,    58 202,    746,    570,    176,    2 370,    1 739,    631,    3 716,    2 336,    1 380,,,    皮革制品制造业,  170 767,    69 061,  101 706,    613 731,    219 067,    394 664,    286 322,    93 386,    192 936,    29 350,    8 483,    20 867
    皮革制品制造业,    1 119 650,    400 780,    718 870,    1 393,    1 024,    369,    6 963,    4 239,    2 724,    11 124,    5 520,    5 604,,,    毛皮鞣制及制品业,    17 338,    7 495,    9 843,    48 066,    20 370,    27 696,    20 962,    9 233,    11 729,    4 370,    2 384,    1 986
    毛皮鞣制及制品业,    93 696,    41 274,    52 422,    254,    191,    63,    956,    624,    332,    1 750,    977,    773,,,      业,  211 231,  119 749,    91 482,    585 127,    368 038,    217 089,    349 211,    227 812,    121 399,    72 275,    37 052,    35 223
  木材加工及竹、藤、棕、草制品业,    1 255 338,    777 435,    477 903,    4 601,    3 668,    933,    12 678,    8 836,    3 842,    20 215,    12 280,    7 935,,,    锯材加工业,    75 662,    43 365,    32 297,    188 063,    124 746,    63 317,    69 825,    56 206,    13 619,    11 616,    8 375,    3 241
    锯材加工业,    360 361,    242 333,    118 028,    1 891,    1 471,    420,    5 200,    3 551,    1 649,    8 104,    4 619,    3 485,,,    人造板制造业,    58 314,    31 326,    26 988,    113 072,    64 412,    48 660,    33 178,    20 458,    12 720,    4 351,    2 237,    2 114
    人造板制造业,    222 111,    127 461,    94 650,    1 971,    1 604,    367,    4 479,    3 162,    1 317,    6 746,    4 262,    2 484,,,    木制品业,    62 562,    36 918,    25 644,    200 846,    134 495,    66 351,    118 527,    89 018,    29 509,    17 800,    1 1 840,    5 960
    木制品业,    407 975,    277 788,    130 187,    696,    558,    138,    2 770,    1 945,    825,    4 774,    3 014,    1 760,,,    竹、藤、棕、草制品业,    14 693,    8 140,    6 553,    83 146,    44 385,    38 761,    127 681,    62 130,    65 551,    38 508,    14 600,    23 908
    竹、藤、棕、草制品业,    264 891,    129 853,    135 038,    43,    35,    8,    229,    178,    51,    591,    385,    206,,,  家具制造业,  204 250,  157 256,    46 994,    839 054,    711 462,    127 592,    515 431,    446 806,    68 625,    62 681,    49 741,    12 940
  家具制造业,    1 640 075,    1 377 882,    262 193,    1 724,    1 384,    340,    6 509,    4 589,    1 920,    10 426,    6 644,    3 782,,,    木制家具制造业,  171 887,  138 360,    33 527,    731 017,    643 596,    87 421,    439 811,    399 402,    40 409,    49 459,    42 294,    7 165
    木制家具制造业,    1 405 891,    1 233 021,    172 870,    1 309,    1 043,    266,    4 655,    3 305,    1 350,    7 753,    5 021,    2 732,,,    竹、藤家具制造业,    6 063,    4 119,    1 944,    34 220,    24 046,    10 174,    40 152,    26 873,    13 279,    8 452,    5 376,    3 076
    竹、藤家具制造业,    89 245,    60 662,    28 583,    22,    16,    6,    82,    62,    20,    254,    170,    84,,,    金属家具制造业,    21 121,    11 575,    9 546,    57 176,    33 429,    23 747,    27 191,    15 619,    11 572,    3 620,    1 590,    2 030
    金属家具制造业,    113 100,    64 803,    48 297,    333,    271,    62,    1 564,    1 080,    484,    2 095,    1 239,    856,,,    塑料家具制造业,    446,    279,    167,    1 310,    701,    609,    728,        393,    335,    95,    37,    58
    塑料家具制造业,    2 661,    1 469,    1 192,    15,    13,    2,    29,    23,    6,    38,    23,    15,,,    其他家具制造业,    4 733,    2 923,    1 810,    15 331,    9 690,    5 641,    7 549,    4 519,    3 030,    1 055,    444,    611
    其他家具制造业,    29 178,    17 927,    11 251,    45,    41,    4,    179,    119,    60,    286,    191,    95,,,  造纸及纸制品业,  351 427,  193 772,  157 655,    914 048,    502 275,    411 773,    436 456,    221 690,    214 766,    76 209,    28 775,    47 434
  造纸及纸制品业,    1 854 668,    997 446,    857 222,    8 401,    6 418,    1 983,    26 042,    18 360,    7 682,    42 085,    26 156,    15 929,,,    纸浆制造业,    3 505,    2 117,    1 388,    7 499,    4 734,    2 765,    3 157,    2 055,    1 102,    628,    299,    329
    纸浆制造业,    15 738,    9 888,    5 850,    163,    127,    36,    288,    215,    73,    498,    341,    157,,,    造纸业,  256 047,  151 242,  104 805,    603 944,    375 550,    228 394,    254 455,    161 328,    93 127,    40 043,    20 161,    19 882
    造纸业,    1 219 086,    751 809,    467 277,    7 412,    5 646,    1 766,    21 806,    15 493,    6 313,    35 379,    22 389,    12 990,,,    纸制品业,    91 875,    40 413,    51 462,    302 605,    121 991,    180 614,    178 844,    58 307,    120 537,    35 538,    8 315,    27 223
    纸制品业,    619 844,    235 749,    384 095,    826,    645,    181,    3 948,    2 652,    1 296,    6 208,    3 426,    2 782,,,  印刷业,  357 929,  154 914,  203 015,    697 462,    291 086,    406 376,    220 210,    84 096,    136 114,    22 013,    5 843,    16 170
  印刷业,    1 364 989,    574 760,    790 229,    4 890,    3 503,    1 387,    25 581,    15 828,    9 753,    36 904,    19 490,    17 414,,,    印刷业,  357 929,  154 914,  203 015,    697 462,    291 086,    406 376,    220 210,    84 096,    136 114,    22 013,    5 843,    16 170
    印刷业,    1 364 989,    574 760,    790 229,    4 890,    3 503,    1 387,    25 581,    15 828,    9 753,    36 904,    19 490,    17 414,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数(续03),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,    行业别,,,,,,,,,,,,
    行业别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,  文教体育用品制造业,    113 793,    51 245,    62 548,    383 090,    128 213,    254 877,    183 385,    46 557,    136 828,    19 376,    4 275,    15 101
  文教体育用品制造业,    725 679,    246 012,    479 667,    3 306,    2 487,    819,    10 527,    6 816,    3 711,    12 202,    6 419,    5 783,,,    文化用品制造业,    45 075,    19 671,    25 404,    109 249,    45 126,    64 123,    49 410,    17 746,    31 664,    7 201,    1 848,    5 353
    文化用品制造业,    221 858,    90 597,    131 261,    1 070,    767,    303,    4 262,    2 648,    1 614,    5 591,    2 791,    2 800,,,    音像产品制造业,    4 606,    2 184,    2 422,    5 068,    2 208,    2 860,    1 076,    486,    590,    59,    23,    36
    音像产品制造业,    13 593,    6 661,    6 932,    624,    458,    166,    1 249,    787,    462,    911,    515,    396,,,    体育用品制造业,    8 887,    4 245,    4 642,    25 173,    11 021,    14 152,    12 052,    4 741,    7 311,    1 611,    521,    1 090
    体育用品制造业,    49 936,    21 890,    28 046,    243,    183,    60,    881,    571,    310,    1 089,    608,    481,,,    乐器及其他文娱用品制造业,    10 551,    5 158,    5 393,    22 050,    10 526,    11524,    7 767,    3 654,    4 113,    837,    340,    497
    乐器及其他文娱用品制造业,    44 002,    21 387,    22 615,    311,    238,    73,    1 167,    784,    383,    1 319,    687,    632,,,    玩具制造业,    41 986,    18 601,    23 385,    215 804,    56 942,    158 862,    111 478,    19 299,    92 179,    9 545,    1 506,    8 039
    玩具制造业,    384 733,    100 130,    284 603,    782,    623,    159,    2 293,    1 583,    710,    2 845,    1 576,    1 269,,,    游艺器材制造业,    558,    296,    262,    1 410,    748,    662,    452,    252,    200,    47,    18,    29
    游艺器材制造业,    2 682,    1 465,    1 217,    47,      45,    2,    78,    57,    21,    90,    49,    41,,,    其他文教体育用品制造业,    2 130,    1 090,    1 040,    4 336,    1 642,    2 694,    1 150,    379,    771,    76,    19,    57
    其他文教体育用品制造业,    8 875,    3 882,    4 993,    229,    173,    56,    597,    386,    211,    357,    193,    164,,,  工艺美术品制造业,  229 415,    90 254,  139 161,    906 281,    253 452,    652 829,    799 921,    127 699,    672 222,    104 586,    11 809,    92 777
  工艺美术品制造业,    2 069 553,    500 125,    1 569 428,    2 330,    1 718,    612,    10 883,    6 697,    4 186,    16 137,    8 496,    7 641,,,    雕塑工艺品制造业,    24 721,    13 061,    11 660,    73 960,    39 196,    34 764,    39 084,    21 811,    17 273,    3 751,    1 267,    2 484
    雕塑工艺品制造业,    145 497,    77 805,    67 692,    331,    253,    78,    1 495,    971,    524,    2 155,    1 246,    909,,,    金属工艺品制造业,    10 782,    4 850,    5 932,    32 012,    13 790,    18 222,    13 882,    5 734,    8 148,    1 757,    730,    1 027
    金属工艺品制造业,    60 297,    26 216,    34 081,    173,    125,    48,    765,    484,    281,    926,    503,    423,,,    漆器工艺品制造业,    4 185,    2 204,    1 981,    11 784,    6 618,    5 166,    6 043,    3 189,    2 854,    582,    227,    355
    漆器工艺品制造业,    23 316,    12 654,    10 662,    55,    42,    13,    298,    179,    119,    369,    195,    174,,,    花画工艺品制造业,    17 234,    7 845,    9 389,    71 661,    22 871,    48 790,    36 443,    8 024,    28 419,    3 040,    728,    2 312
    花画工艺品制造业,    130 771,    40 899,    89 872,    182,    140,    42,    947,    592,    355,    1 264,    699,    565,,,    抽纱刺绣工艺品制造业,    54 440,    12 503,    41 937,    235 514,    27 507,    208 007,    352 386,    10 483,    341 903,    41 164,    779,    40 385
    抽纱刺绣工艺品制造业,    689 134,    53 920,    635 214,    338,    236,    102,    2 127,    1 086,    1 041,    3 165,    1 326,    1 839,,,    地毯制造业,    50 102,    16 897,    33 205,    229 967,    46 568,    183 399,    121 716,    16 944,    104 772,    11 157,    1 895,    9 262
    地毯制造业,    419 117,    85 769,    333 348,    490,    341,    149,    2 179,    1 339,    840,    3 506,    1 785,    1 721,,,    首饰制造业,    13 234,    6 362,    6 872,    38 502,    16 818,    21 684,    17 191,    7 030,    10 161,    1 431,    712,    719
    首饰制造业,    72 592,    32 249,    40 343,    248,    175,    73,    922,    577,    345,    1 064,    575,    489,,,    其他工艺美术品制造业,    43 617,    21 528,    22 089,    165 992,    63 173,    102 819,    155 011,    40 377,    114 634,    16 216,    3 751,    12 465
    其他工艺美术品制造业,    386 045,    132 165,    253 880,    450,    356,    94,    1 783,    1 203,    580,    2 976,    1 777,    1 199,,,    电力生产业,  308 563,  205 516,  103 047,    422 477,    300 923,    121 554,    129 405,    100 589,    28 816,    12 472,    7 802,    4 670
    电力生产业,    1 029 172,    729036,    300136,    22 147,    18 367,    3 780,    43 539,    32 611,    10 928,    90 569,    63 228,    27 341,,,    电力供应业,253 401,  183 347,    70 054,    385 611,    299 126,    86 485,    113 515,    94 899,    18 616,    7 206,    4 821,    2 385
    电力供应业,    897 062,    682 944,    214 118,    18 577,    15 284,    3 293,    41 020,    30 454,    10 566,    77 732,    55 013,    22 719,,,    蒸汽、热水生产和供应业,    18 238,    11 614,    6 624,    27 502,    18 621,    8 881,    5 066,    3 739,    1 327,    586,    351,    235
    蒸汽、热水生产和供应业,    59 816,    39 959,    19 857,    1 243,    928,    315,    3 112,    2 074,    1 038,    4 069,    2 632,    1 437,,,  石油加工业,  108 559,    64 124,    44 435,    162 235,    100 626,    61 609,    41 671,    28 521,    13 150,    5 554,    2 756,    2 798
  石油加工业,    388 090,    243 753,    144 337,    16 564,    12 661,    3 903,    23 991,    16 650,    7 341,    29 516,    18 415,    11 101,,,    人造原油生产业,    2 295,    1 393,    902,    3 219,    2 074,    1 145,    1 077,    762,    315,    113,    44,    69
    人造原油生产业,    7 749,    4 975,    2 774．,    211,    152,    59,    288,    213,    75,    546,    337,    209,,,    原油加工业,  106 264,    62 731,    43 533,    159 016,    98 552,    60 464,    40 594,    27 759,    12 835,    5 441,    2 712,    2 729
    原油加工业,    380 341,    238 778,    141 563,    16 353,    12 509,    3 844,    23 703,    16 437,    7 266,    28 970,    18 078,    10 892,,,  炼焦、煤气及煤制品业,    98 082,    64 101,    33 981,    204 016,    143 186,    60 830,    75 776,    56 455,    19 321,    13 650,    8 151,    5 499
  炼焦、煤气及煤制品业,    429 847,    298 288,    131 559,    6 554,    5 008,    1 546,    13 918,    9 886,    4 032,    17 851,    11 501,    6 350,,,    炼焦业,    35 971,    24 936,    11 035,    92 149,    70 241,    21 908,    34 564,    29 329,    5 235,    4 940,    3 890,    1 050
    炼焦业,    180 928,    138 073,    42 855,    2 429,    1 893,    536,    4 439,    3 330,    1 109,    6 436,    4 454,    1 982,,,    煤气生产和供应业,    46 402,    30 135,    16 267,    66 849,    44 576,    22 273,    12 731,    8 899,    3 832,    1 516,    947,    569
    煤气生产和供应业,    149 284,    99 153,    50 131,    3 910,    2 952,    958,    8 418,    5 784,    2 634,    9 458,    5 860,    3 598,,,    煤制品业,    15 709,    9 030,    6 679,    45 018,    28 369,    16 649,    28 481,    18 227,    10 254,    7 194,    3 314,    3 880
    煤制品业,    99 635,    61 062,    38 573,    215,    163,    52,    1 061,    772,    289,    1 957,    1 187,    770,,,  化学工业, 1 041 243,  621 185,  420 058,  2 080 355,  1 315 971,    764 384,    781 861,    511 687,    270 174,    107 169,    52 837,    54 332
  化学工业,    4 440 986,    2 792 377,    1 648 609,    74 830,    57 233,    17 597,    146 691,    102 962,    43 729,    208 837,    130 502,    78 335,,,    基本化学原料制造业,  244 154,  144 989,    99 165,    496 366,    321 810,    174 556,    184 596,    126 933,    57 663,    27 847,    15 187,    12 660
    基本化学原料制造业,    1 050 189,    674 533,    375 656,    17 260,    13 160,    4 100,    33 543,    23 468,    10 075,    46 423,    28 986,    17 437,,,    化学肥料制造业,  303 134,197 504,  105 630,    625 357,    435 935,    189 422,    239 390,    173 840,    65 550,    30 300,    16 346,    13 954
    化学肥料制造业,    1 316 857,    908 642,    408 215,    18 241,    14 719,    3 522,    36 924,    27 772,    9 152,    63 511,    42 526,    20 985,,,    化学农药制造业,    35 445,    21 414,    14 031,    71 097,    45 061,    26 036,    27 172,    17 284,    9 888,    3 191,    1 430,    1 761
    化学农药制造业,    151 389,    95 582,    55 807,    2 307,    1 822,    485,    5 203,    3 911,    1 292,    6 974,    4 660,    2 314,,,    有机化学产品制造业,  236 808,  137 653,    99 155,    449 292,    269 922,    179 370,    161 616,    97 251,    64 365,    23 467,    10 508,    12 959
    有机化学产品制造业,    969 630,    579 093,    390 537,    18 687,    13 735,    4 952,    35 198,    23 612,    11 586,    44 562,    26 412,    18 150,,,    合成材料制造业,    43 400,    24 992,    18 408,    72 890,    43 291,    29 599,    24 690,    14 423,    10 267,    3 614,    1 409,    2 205
    合成材料制造业,    168 788,    99 840,    68 948,    5 745,    4 280,    1 465,    8 450,    5 610,    2 840,    9 999,    5 835,    4 164,,,    林产化学产品制造业,    10 379,    6 553,    3 826,    19 707,    13 022,    6 685,    11 390,    8 031,    3 359,    1 663,    890,    773
    林产化学产品制造业,    46 416,    30 929,    15 487,    520,    443,    77,    937,    730,    207,    1 820,    1 260,    560,,,    炸药及火工产品制造业,    58 095,    32 776,    25 319,    120 922,    74 717,    46 205,    46 025,    32 127,    13 898,    4 231,    2 214,    2 017
    炸药及火工产品制造业,    262 368,    164 380,    97 988,    4 722,    3 867,    855,    11 025,    7 906,    3 119,    17 348,    10 773,    6 575,,,    日用化学产品制造业,  109 828,    55 304,    54 524,    224 724,    112 213,    112 511,    86 982,    41 798,    45 184,    12 856,    4 853,    8 003
    日用化学产品制造业,    475 349,    239 378,    235 971,    7 348,    5 207,    2 141,    15 411,    9 953,    5 458,    18 200,    10 050,    8 150,,,  医药工业,  258 911,    116 983,  141 928,    397 145,    183 737,    213 408,    114 325,    50 455,    63 870,    13 663,    4 564,    9 099
  医药工业,    903 138,    423 574,    479 564,    25 630,    16 510,    9 120,    40 925,    24 714,    16 211,    52 539,    26 611,    25 928,,,    化学药品原药制造业,    72 830,    36 275,    36 555,    105 260,    56 642,    48 618,    29 228,    16 091,    13 137,    3 182,    1 413,    1 769
    化学药品原药制造业,    246 579,    131 655,    114 924,    8 370,    5 505,    2 865,    13 546,    8 431,    5 115,    14 163,    7 298,    6 865,,,    化学药品制剂制造业,    94 226,    40 829,    53 397,    139 850,    62 063,    77 787,    35 544,    14 930,    20 614,    3 826,    1 279,    2 547
    化学药品制剂制造业,    317 988,    143 651,    174 337,    9 512,    5 973,    3 539,    15 141,    8 853,    6 288,    19 889,    9 724,    10 165,,,    中药材及中成药加工业,    70 737,    29 628,    41 109,    117 290,    49 112,    68 178,    38 122,    14 483,    23 639,    5 126,    1 399,    3 727
    中药材及中成药加工业,    258 124,    109 788,    148 336,    4 815,    3 118,    1 697,    8 504,    5 084,    3 420,    13 530,    6 964,    6 566,,,    畜用药品制造业,    9 347,    4 387,    4 960,    18 973,    7 948,    11 025,    6 807,    2 591,    4 216,    876,    243,    633
    畜用药品制造业,    39 495,    17 415,    22 080,    686,    481,    205,    1 105,    742,    363,    1 701,    1 023,    678,,,    生物制品业,    11 771,    5 864,    5 907,    15 772,    7 972,7 800,    4 624,    2 360,    2 264,    653,    230,    423
    生物制品业,    40 952,    21 065,    19 887,    2 247,    1 433,    814,    2 629,    1 604,    1 025,    3 256,    1 602,    1 654,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数(续04),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,    行业别,,,,,,,,,,,,
    行业别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,  化学纤维工业,  122 622,    64 793,    57 829,    178 969,    95 136,    83 833,    43 502,    23 217,    20 285,    5 054,    1 963,    3 091
  化学纤维工业,    397 956,    216 000,    181 956,    10 103,    7 475,    2 628,    17 234,    11 600,    5 634,    20 472,    11 816,    8 656,,,    合成纤维制造业,    92 648,    47 827,    44 821,    134 559,    68 896,    65 663,    32 922,    16 903,    16 019,    4 145,    1 518,    2 627
    合成纤维制造业,    301 244,    159 116,    142 128,    8 236,    6 139,    2 097,    13 404,    9 018,    4 386,    15 330,    8 815,    6 515,,,  橡胶制品业,  207 944,  102 781,  105 163,    489 957,    245 139,    244 818,    176 075,    82 272,    93 803,    24 690,    7 986,    16 704
  橡胶制品业,    960 814,    476 374,    484 440,    7687,    5 637,    2 050,    23 821,    15 541,    8 280,    30 640,    17 018,    13 622,,,    轮胎制造业,    44 368,    25 708,    18 660,    79 068,    50 225,    28 843,    19 163,    11 931,    7 232,    2 205,    996,    1 209
    轮胎制造业,    163 157,    100 680,    62 477,    2 673,    1 996,    677,    6 932,    4 674,    2 258,    8 748,    5 150,    3 598,,,    力车胎制造业,    14 039,    6 997,    7 042,    28 436,    15 244,    13 192,    8 078,    4 010,    4 068,    999,    385,    614
    力车胎制造业,    55 834,    29 212,    26 622,    440,    323,    117,    1 708,    1 094,    614,    2 134,    1 159,    975,,,    橡胶板、管、带制品业,    35 799,    18 504,    17 295,    80 642,    43 542,    37 100,    27 982,    14 495,    13 487,    3 916,    1 198,    2 718
    橡胶板、管、带制品业,    160 661,    85 293,    75 368,    1 455,    1 065,    390,    4 827,    3 117,    1 710,    6 040,    3 372,    2 668,,,    橡胶零件制造业,    16 801,    8 023,    8 778,    45 081,    21 545,    23 536,    19 872,    8 477,    11 395,    3 368,    1 001,    2 367
    橡胶零件制造业,    89 615,    41 785,    47 830,    589,    434,    155,    1 639,    1 049,    590,    2 265,    1 256,    1 009,,,    再生橡胶制造业,    5 989,    3 327,    2 662,    15 805,9 008,    6 797,    7 547,    4 030,    3 517,    1 207,    427,    780
    再生橡胶制造业,    31 792,    17 604,    14 188,    105,    77,    28,    454,    317,    137,    685,    418,    267,,,    橡胶靴鞋制造业,    58 995,    24 156,    34 839,    156 646,    62 128,    94 518,   55 262,    20 769,    34 493,      7 048,    1 696,    5 352
    橡胶靴鞋制造业,    291 454,    116 570,    174 884,    1 408,    1 019,    389,    5 156,    3 247,    1 909,    6 939,    3 555,    3 384,,,    日用橡胶制品业,    14 754,    6 913,    7 841,    37 186,    16 509,    20 677,    16 177,    6 204,    9 973,    2 560,    737,    1 823
    日用橡胶制品业,    74 423,    32 635,    41 788,    498,    361,    137,    1 602,    1 048,    554,    1 646,    863,    783,,,    橡胶制品修理业,    7 756,    4 449,    3 307,    22 211,    14 259,    7 952,    10 800,    7 186,    3 614,    1 645,    913,    732
    橡胶制品修理业,    44 094,    27 925,    16 169,    147,    118,    29,    578,    408,    170,    957,    592,    365,,,    其他橡胶制品业,    9 443,    4 704,    4 739,    24 882,    12 679,    12 203,    11 194,    5 170,    6 024,    1 742,    633,    1 109
    其他橡胶制品业,    49 784,    24 670,    25 114,    372,    244,    128,    925,    587,    338,    1 226,    653,    573,,,  塑料制品业,  297 911,  145 814,  152 097,    837 527,    367 175,    470 352,    438 703,    158 309,    280 394,    67 112,    14 784,    52 328
  塑料制品业,    1 704 711,    726 123,    978 588,    8 380,    6 222,    2 158,    23 208,    15 500,    7 708,    31 870,    18 319,    13 551,,,    塑料薄膜制造业,    44 601,    21 987,    22 614,    98 349,    46 883,    51 466,    35 740,    15 1 16,    20 624,    4 235,    1 240,    2 995
    塑料薄膜制造业,    197 046,    94 043,    103 003,    2 004,    1 499,    505,    5 227,    3 449,    1 778,    6 890,    3 869,    3 021,,,    塑料板、管、棒材制造业,    32 000,    16 269,    15 731,    78 073,    38 383,    39 690,    30 868,    14 010,    16 858,    4 003,    1 241,    2 762
    塑料板、管、棒材制造业,    153 297,    75 151,    78 146,    1 246,    890,    356,    3 037,    2 033,    1 004,    4 070,    2 325,    1 745,,,    塑料丝、绳及编织品制造业,    63 900,    26 721,    37 179,    202 668,    69 645,    133 023,    111 816,    29 980,    81 836,    21 029,    3 273,    17 756
    塑料丝、绳及编织品制造业,    408 913,    135 591,    273 322,    921,    698,    223,    3 396,    2 270,    1 126,    5 183,    3 004,    2 179,,,    人造革、合成革制造业,    10 537,    5 642,    4 895,    21 818,    11 277,    10 541,    8 824,    3 950,    4 874,    1 481,    416,    1 065
    人造革、合成革制造业,    45 798,    23 327,    22 471,    527,    385,    142,    1 158,    800,    358,    1 453,    857,    596,,,    泡沫塑料制造业,    19 546,    10 583,    8 963,    45 425,    23 620,    21 805,    18 980,    8 607,    10 373,    2 737,    838,    1 899
    泡沫塑料制造业,    92 439,    47 314,    45 125,    1 038,    772,    266,    2 055,    1 368,    687,    2 658,    1 526,    1 132,,,    塑料零件制造业,    15 946,    9 132,    6 814,    57 304,    27 153,    30 151,    41 088,    14 840,    26 248,    5 506,    1 196,    4 310
