,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  畜牧服务业,    444 525,    378 464,    66 061,    10 353,    8 393,    1 960,    14 078,    11 731,    2 347,    62 804,    52 093,    10 711,,,    畜牧服务业,    65 345,    52 628,    12 717,    184 933,    158 389,    26 544,    98 097,    88 453,    9 644,    8 915,    6 777,    2 138
  渔业服务业,    53 889,    17 293,    36 596,    409,    342,    67,    769,    648,    121,    1 977,    1 635,    342,,,    渔业服务业,    3 906,    2 532,    1 374,    13 830,    5 851,    7 979,    23 510,    4 971,    18 539,    9 488,    1 314,    8 174
  其他农、林、牧、渔、水利服务业,    80 668,    66 211,    14 457,    1 056,    844,    212,    2 030,    1 657,    373,    6 363,    5 208,    1 155,,,    其他农、林、牧、渔、水利服务业,    15 895,    12 883,    3 012,    34 280,  28 308,    5 972,    18 028,    15 271,    2 757,    3 016,    2 040,    976
工业,  86 578 757,  49 452 189,  37 126 568,    937 840,    734 368,    203 472,  2 019 607,  1 398 053,    621 554,  2 937 468,  1 832 275,  1 105 193,,,工业,17 180 156, 9 485 796, 7 694 360,  41 896 624, 23 647 668,  18 248 956,    18 815 868,    10 955 820,    7 860 048,    2 791 194,    1 398 209,    1 392 985
  煤炭采选业,    5 432 001,    4 500 682,    931 319,    25 703,    22 871,    2 832,    68 336,    55 407,    12 929,    153 056,    113 832,    39 224,,,  煤炭采选业,  778 441,  573 558,  204 883,  2 673 636,  2 193 740,    479 896,    1 432 910,    1 286 554,    146 356,    299 919,    254 720,    45 199
    煤炭开采业,    5 293 206,    4 422 209,    870 997,    24 661,    22 016,    2 645,    66 013,    53 694,    12 319,    148 818,    111 130,    37 688,,,    煤炭开采业,  751 204,  559 696,  191 508,  2 594 048,  2 151 390,    442 658,    1 412 706,    1 272 063,    140 643,    295 756,    252 220,    43 536
    煤炭洗选业,    138 795,    78 473,    60 322,    1 042,    855,    187,    2 323,    1 713,    610,    4 238,    2 702,    1 536,,,    煤炭洗选业,    27 237,    13 862,    13 375,    79 588,    42 350,    37 238,    20 204,    14 491,    5 713,    4 163,    2 500,    1 663
  石油和天然气开采业,    541 316,    363 961,    177 355,    12 270,    10 251,    2 019,    20 524,    15 369,    5 155,    40 609,    27 082,    13 527,,,  石油和天然气开采业,  124 463,    76 342,    48 121,    257 658,    174 696,    82 962,    75 878,    55 889,    19 989,    9 914,    4 332,    5 582
    天然原油开采业,    483 589,    324 765,    1 58 824,    10 934,    9 117,    1 817,    18 269,    13 691,    4 578,    35 520,    23 625,    11 895,,,    天然原油开采业,  112 548,    68 918,    43 630,    232 138,    158 244,    73 894,    64 994,    47 335,    17 659,    9 186,    3 835,    5 351
    天然气开采业,    50 765,    33 630,    17 135,    1 209,    1 027,    182,    1 971,    1 458,    513,    4 523,    3 029,    1 494,,,    天然气开采业,    10 408,    6 355,    4 053,    23 101,    14 532,    8 569,    9 002,    6 865,    2 137,    551,    364,    187
