,,,,,,,,,,,,
    表11——4全国按现住地和1985年7月1日常住地类型分性别、不在业的迁入人口数,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
    不在业状况,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
    和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    6 916 282,    3 451 624,    3 464 658,    1 160 281,    681 788,    478 493,    1 753 131,    899 867,    853 264,    4 002 870,    1 869 969,    2 132 901
北京市,    32 996,    17 335,    15 661,    6 095,    3 212,    2 883,    4 980,    2 791,    2 189,    21 921,    11 332,    10 589
天津市,    12 844,    5 604,    7 240,    832,    488,    344,    2 237,    1 006,    1 231,    9 775,    4 110,    5 665
河北省,    284 177,    137 086,    147 091,    43 506,    28 056,    15 450,    46 463,    24 012,    22 451,    194 208,    85 018,    109 190
山西省,    261 402,    103 636,    157 766,    43 734,    25 910,    17 824,    63 137,    27 461,    35 676,    154 531,    50 265,    104 266
内蒙古自治区,    226 468,    92 280,    134 188,    34 534,    17 562,    16 972,    65 107,    29 825,    35 282,    126 827,    44 893,    81 934
辽宁省,    316 767,    135 206,    181 561,    71 052,    39 910,    31 142,    81 621,    36 198,    45 423,    164 094,    59 098,    104 996
吉林省,    245 257,    101 640,    143 617,    47 917,    25 647,    22 270,    90 616,    39 436,    51 180,    106 724,    36 557,    70 167
黑龙江省,    416 592,    142 111,    274 481,    69 946,    34 528,    35 418,    119 149,    49 381,    69 768,    227 497,    58 202,    169 295
上海市,    53 603,    30 611,    22 992,    14 773,    9 524,    5 249,    12 101,    6 442,    5 659,    26 729,    14 645,    12 084
江苏省,    272 359,    154 601,    117 758,    42 770,    26 610,    16 160,    50 629,    28 899,    21 730,    178 960,    99 092,    79 868
浙江省,    222 549,    118 261,    104 288,    27 711,    17 856,    9 855,    60 971,    35 246,    25 725,    133 867,    65 159,    68 708
安徽省,    268 027,    146 048,    121 979,    45 369,    27 753,    17 616,    51 221,    28 281,    22 940,    171 437,    90 014,    81 423
福建省,    215 213,    103 884,    111 329,    32 880,    18 996,    13 884,    59 487,    29 980,    29 507,    122 846,    54 908,    67 938
江西省,    219 967,    124 232,    95 735,    31 679,    20 108,    11 571,    52 737,    31 212,    21 525,    135 551,    72 912,    62 639
山东省,    367 669,    199 397,    168 272,    59 743,    35 829,    23 914,    127 399,    68 175,    59 224,    180 527,    95 393,    85 134
