表11—5 全国按现住地和1985年7月1日常住地类型分性别、婚姻状况的迁人人口数,,,,,,,,,,,,
,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  婚姻状况,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
山西省,    269 877,    171 999,    97 878,    50 738,    32 931,    17 807,    64 031,    38 974,    25 057,    155 108,    100 094,    55 014
内蒙古自治区,    223 888,    143 046,    80 842,    43 662,    28 060,    15 602,    65 239,    37 491,    27 748,    114 987,    77 495,    37 492
辽宁省,    319 398,    193 086,    126 312,    78 151,    49 513,    28 638,    84 549,    49 087,    35 462,    156 698,    94 486,    62 212
吉林省,    199 790,    117 129,    82 661,    48 577,    29 823,    18 754,    81 109,    44 822,    36 287,    70 104,    42 484,    27 620
黑龙江省,    317 696,    194 084,    123 612,    73 681,    46 145,    27 536,    105 556,    59 627,    45 929,    138 459,    88 312,    50 147
上海市,    69 054,    46 078,    22 976,    12 410,    9 032,    3 378,    16 042,    10 026,    6 016,    40 602,    27 020,    13 582
江苏省,    517 428,    348 353,    169 075,    70 013,    51 540,    18 473,    72 414,    48 177,    24 237,    375 001,    248 636,    126 365
浙江省,    342 313,    232 893,    109 420,    52 104,    39 128,    12 976,    78 153,    52 202,    25 951,    212 056,    141 563,    70 493
安徽省,    361 102,    254 380,    106 722,    66 350,    47 866,    18 484,    60 508,    38 804,    21 704,    234 244,    167 710,    66 534
福建省,    277 247,    190 348,    86 899,    55 727,    39 578,    16 149,    70 752,    46 012,    24 740,    150 768,    104 758,    46 010
江西省,    275 796,    196 229,    79 567,53 822,    39 996,    13 826,    61 633,    41 312,    20 321,    160 341,    114 921,    45 420
山东省,    554 548,    361 061,    193 487,    84 297,    55 608,    28 689,    185 835,    118 097,    67 738,    284 416,    187 356,    97 060
河南省,    545 081,    359 567,    185 514,    91 828,    58 459,    33 369,    59 709,    35 447,    24 262,    393 544,    265 661,    127 883
湖北省,    462 090,    298 001,    164 089,    71 370,    49 921,    21 449,    126 146,    78 516,    47 630,    264 574,    169 564,    95 010
湖南省,    510 345,    330 892,    179 453,    96 076,    64 792,    31 284,    101 215,    60 043,    41 172,    313 054,    206 057,    106 997
广东省,    1 463 587,    779 877,    683 710,    110 981,    73 176,    37 805,    279 664,    155 790,    123 874,    1 072 942,    550 911,    522 031
广西壮族自治区,    363 482,    235 099,    128 383,    45 907,    31 936,    13 971,    105 502,    64 645,    40 857,    212 073,    138 518,    73 555
海南省,    57 702,    34 231,    23 471,    4 670,    2 996,    1 674,    17 685,    10 338,    7 347,    35 347,    20 897,    14 450
四川省,    814 237,    545 488,    268 749,    133 435,    89 304,    44 131,    152 979,    97 512,    55 467,    527 823,    358 672,    169 151
贵州省,    190 149,    131 348,    58 801,    34 219,    23 942,    10 277,    52 446,    32 857,    19 589,    103 484,    74 549,    28 935
云南省,    307 638,    210 422,    97 216,    53 463,    36 439,    17 024,    79 191,    52 148,    27 043,    174 984,    121 835,    53 149
西藏自治区,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——
陕西省,    288 575,    187 874,    100 701,    57 656,    37 649,    20 007,    66 353,    40 291,    26 062,    164 566,    109 934,    54 632
甘肃省,    181 288,    125 741,    55 547,    42 397,    29 573,    12 824,    30 205,    19 351,    10 854,    108 686,    76 817,    31 869
青海省,    54 336,    37 527,    16 809,    11 083,    7 364,    3 719,    18 789,    11 590,    7 199,    24 464,    18 573,    5 891
宁夏回族自治区,    46 612,    30 358,    16 254,    9 544,    6 304,    3 240,    12 759,    7 457,    5 302,    24 309,    16 597,    7 712
新疆维吾尔自治区,    173 064,    105 981,    67 083,    54 558,    33 647,    20 911,    52 516,    30 656,    21 860,    65 990,    41 678,    24 312
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    表11——5全国按现住地和1985年7月1日常住地类型分性别、婚姻状况的迁入人口数(续02),,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  婚姻状况,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
有配偶,  10 898 104,    4 981 911,    5 916 193,    1 715 846,  1 105 594,    610 252,  2 140 219,  1 080 482,    1 059 737,  7 042 039,    2 795 835,  4 246 204
北京市,    37 333,    19 883,    17 450,    10 803,    6 523,    4 280,    5 893,    3 299,    2 594,    20 637,    10 061,    10 576
天津市,    16 722,    6 977,    9 745,    2 620,    1 745,    875,    3 033,    1 472,    1 561,    11 069,    3 760,    7 309
河北省,    404 478,    181 768,    222 710,    81 245,    54 427,    26 818,    61 190,    30 592,    30 598,    262 043,    96 749,    165 294
山西省,    279 874,    133 794,    146 080,    59 079,    38 977,    20 102,    60 343,    29 491,    30 852,    160 452,    65 326,    95 126
内蒙古自治区,    273 999,    120 824,    153 175,    42 750,    24 921,    17 829,    52 517,    25 782,    26 735,    178 732,    70 121,    108 611
辽宁省,    454 336,    197 237,    257 099,    78 846,    47 541,    31 305,    111 354,    48 527,    62 827,    264 136,    101 169,    162 967
吉林省,    315 317,    133 876,    181 441,    42 955,    23 726,    19 229,    102 003,    46 055,    55 948,    170 359,    64 095,    106 264
黑龙江省,    547 225,    240 958,    306 267,    70 422,    35 971,    34 451,    112 695,    50 301,    62 394,    364 108,    154 686,    209 422
上海市,    89 292,    49 337,    39 955,    28 181,    18 498,    9 683,    20 775,    10 760,    10 015,    40 336,    20 079,    20 257
江苏省,    587 020,    285 735,    301 285,    85 404,    60 987,    24 417,    65 303,    34 300,    31 003,    436 313,    190 448,    245 865
浙江省,    383 270,    181 380,    201 890,    51 010,    34 521,    16 489,    79 414,    41 734,    37 680,    252 846,    105 125,    147 721
安徽省,    415 647,    178 002,    237 645,    69 374,    46 147,    23 227,    58 277,    29 342,    28 935,    287 996,    102 513,    185 483
福建省,    362 958,    188 971,    173 987,    61 190,    40 425,    20 765,    81 006,    42 695,    38 311,    220 762,    105 851,    114 911
江西省,    356 551,    160 377,    196 174,    47 470,    29 663,    17 807,    59 987,    30 464,    29 523,    249 094,    100 250,    148 844
