表11—2 全国按现住地和1985年7月1日常住地类型分性别、文化程度的迁入人口数,,,,,,,,,,,,
,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  文化程度,    合计,,,    城市,,,    镇,,,    乡村,,
  和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,     男,    女
山西省,    35 157,    13 930,    21 227,    4 146,    2 354,    1 792,    6 114,    2 459,    3 655,    24 897,    9 117,    15 780
内蒙古自治区,    67 359,    26 826,    40 533,    3 720,    1 527,    2 193,    7 474,    2 833,    4 641,    56 165,    22 466,    33 699
辽宁省,    52 650,    18 578,    34 072,    7 601,    2 665,    4 936,    11 175,    3 908,    7 267,    33 874,    12 005,    21 869
吉林省,    52 906,    20 545,    32 361,    4 778,    1 954,    2 824,    14 204,    5 143,    9 061,    33 924,    13 448,    20 476
黑龙江省,    139 525,    52 798,    86 727,    9 780,    3 644,    6 136,    21 491,    7 868,    13 623,    108 254,    41 286,    66 968
上海市,    9 022,    3 374,    5 648,    3 460,    1 451,    2 009,    1 424,    519,    905,    4 138,    1 404,    2 734
江苏省,    86 121,    33 623,    52 498,    6 044,    2 707,    3 337,    7 397,    2 792,    4 605,    72 680,    28 124,    44 556
浙江省,    74 602,    29 071,    45 531,    4 397,    1 970,    2 427,    10 193,    4 157,    6 036,    60 012,    22 944,    37 068
安徽省,    120 102,    40 798,    79 304,    7 281,    3 495,    3 786,    9 039,    3 379,    5 660,    103 782,    33 924,    69 858
福建省,    77 087,    25 570,    51 517,    3 846,    1 571,    2 275,    13 320,    4 438,    8 882,    59 921,    19 561,    40 360
江西省,    72 514,    21 038,    51 476,    3 289,    1 337,    1 952,    6 015,    2 038,    3 977,    63 210,    17 663,    45 547
山东省,    78 065,    22 244,    55 821,    6 075,    2 527,    3 548,    24 208,    7 138,    17 070,    47 782,    12 579,    35 203
河南省,    84 502,    34 663,    49 839,    10 183,    5 671,    4 512,    5 492,    2 229,    3 263,    68 827,    26 763,    42 064
湖北省,    93 366,    30 329,    63 037,    5 801,    2 217,    3 584,    19 362,    5 841,    13 521,    68 203,    22 271,    45 932
湖南省,    66 577,    20 988,    45 589,    6 216,    2 282,    3 934,    8 132,    2 714,    5 418,    52 229,    15 992,    36 237
广东省,    126 124,    39 001,    87 123,    6 911,    2 023,    4 888,    18 671,    5 694,    12 977,    100 542,    31 284,    69 258
广西壮族自治区,    53 043,    16 689,    36 354,    2 188,    712,    1 476,    9 546,    2 766,    6 780,    41 309,    13 211,    28 098
海南省,    9 786,    2 534,    7 252,    484,    118,    366,    1 690,    408,    1 282,    7 612,    2 008,    5 604
四川省,    171 791,    63 446,    108 345,    14 615,    6 955,    7 660,    18 740,    7 829,    10 911,    138 436,    48 662,    89 774
贵州省,    64 804,    19 998,    44 806,    2 667,    1 361,    1 306,    7 449,    2 757,    4 692,    54 688,    15 880,    38 808
云南省,    92 081,    33 430,    58 651,    4 777,    2 872,    1 905,    11 659,    5 153,    6 506,    75 645,    25 405,    50 240
西藏自治区,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——
陕西省,    56 303,    20 842,    35 461,    3 737,    1 899,    1 838,    7 976,    2 945,    5 031,    44 590,    15 998,    28 592
甘肃省,    64 660,    16 645,    48 015,    3 583,    1 452,    2 131,    4 476,    1 300,    3 176,    56 601,    13 893,    42 708
青海省,    28 775,    12 298,    16 477,    1 158,    445,    713,    3 969,    1 286,    2 683,    23 648,    10 567,    13 081
宁夏回族自治区,    17 156,    5 384,    11 772,    1 173,    621,    552,    1 626,    487,    1 139,    14 357,    4 276,    10 081
新疆维吾尔自治区,    27 513,    12 052,    15 461,    4 118,    1 626,    2 492,    4 521,    1 747,    2 774,    18 874,    8 679,    10 195
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  文化程度,    合计,,,    城市,,,    镇,,,    乡村,,
  和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
小学,    5 781 332,    2 814 555,    2 966 777,    477 328,    328 079,    149 249,    914 121,    484 182,    429 939,  4 389 883,  2 002 294,    2 387 589
北京市,    11 092,    6 995,    4 097,    3 051,    1 982,    1 069,    1 521,    907,    614,    6 520,    4 106,    2 414
天津市,    6 918,    3 479,    3 439,    644,    440,    204,    1 182,    620,    562,    5 092,    2 419,    2 673
河北省,    171 752,    81 111,    90 641,    22 001,    15 898,    6 103,    21 963,    11 387,    10 576,    127 788,    53 826,    73 962
山西省,    135 515,    67 783,    67 732,    17 240,    12 483,    4 757,    25 662,    13 120,    12 542,    92 613,    42 180,    50 433
内蒙古自治区,    131 571,    64 018,    67 553,    8 724,    5 093,    3 631,    19 360,    10 014,    9 346,    103 487,    48 911,    54 576
辽宁省,    221 618,    107 639,    113 979,    21 267,    13 986,    7 281,    50 008,    24 129,    25 879,    150 343,    69 524,    80 819
吉林省,    155 278,    72 152,    83 126,    11 206,    6 573,    4 633,    41 990,    20 360,    21 630,    102 082,    45 219,    56 863
黑龙江省,    328 183,    164 234,    163 949,    21 650,    12 501,    9 149,    53 906,    27 463,    26 443,    252 627,    124 270,    128 357
上海市,    21 636,    13 849,    7 787,    7 614,    5 513,    2 101,    3 749,    2 165,    1 584,    10 273,    6 171,    4 102
江苏省,    238 583,    121 344,    117 239,    21 073,    15 765,    5 308,    22 947,    12 882,    10 065,    194 563,    92 697,    101 866
浙江省,    218 813,    115 914,    102 899,    14 892,    10 873,    4 019,    36 186,    20 870,    15 316,    167 735,    84 171,    83 564
安徽省,    220 118,    106 631,    113 487,    18 909,    13 215,    5 694,    24 056,    13 517,    10 539,    177 153,    79 899,    97 254
福建省,    229 686,    123 832,    105 854,    17 250,    11 366,    5 884,    44 857,    24 032,    20 825,    167 579,    88 434,    79 145
江西省,    218 811,    104 489,    114 322,    11 888,    8 145,    3 743,    23 965,    12 909,    11 056,    182 958,    83 435,    99 523
山东省,    217 771,    95 474,    122 297,    23 224,    15 984,    7 240,    72 948,    32 767,    40 181,    121 599,    46 723,    74 876
河南省,    248 498,    132 697,    115 801,    33 759,    25 164,    8 595,    18 687,    10 881,    7 806,    196 052,    96 652,    99 400
湖北省,    268 209,    127 467,    140 742,    18 946,    12 304,    6 642,    57 216,    29 262,    27 954,    192 047,    85 901,    106 146
湖南省,    329 943,    146 855,    183 088,    32 393,    22 875,    9 518,    42 667,    22 815,    19 852,    254 883,    101 165,    153 718
广东省,    688 963,    321 082,    367 881,    31 146,    19 793,    11 353,    93 700,    48 427,    45 273,    564 117,    252 862,    311 255
广西壮族自治区,    256 146,    120 400,    135 746,    11 078,    7 104,    3 974,    46 348,    23 809,    22 539,    198 720,    89 487,    109 233
海南省,    31 293,    14 464,    16 829,    1 553,    842,    711,    5 886,    3 019,    2 867,    23 854,    10 603,    13 251
四川省,    718 220,    326 056,    392 164,    55 567,    41 391,    14 176,    79 887,    47 500,    32 387,    582 766,    237 165,    345 601
贵州省,    136 933,    69 259,    67 674,    8 959,    6 244,    2 715,    20 586,    11 660,    8 926,    107 388,    51 355,    56 033
云南省,    208 445,    117 661,    90 784,    17 517,    13 378,    4 139,    39 182,    24 159,    15 023,    151 746,    80 124,    71 622
西藏自治区,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——
陕西省,    139 294,    72 106,    67 188,    16 867,    11 994,    4 873,    26 306,    14 553,    11 753,    96 121,    45 559,    50 562
甘肃省,    106 385,    52 438,    53 947,    11 028,    7 210,    3 818,    11 687,    6 352,    5 335,    83 670,    38 876,    44 794
青海省,    33 454,    20 396,    13 058,    3 067,    1 860,    1 207,    9 001,    5 066,    3 935,    21 386,    13 470,    7 916
宁夏回族自治区,    27 813,    13 864,    13 949,    3 759,    2 345,    1 414,    5 785,    2 851,    2 934,    18 269,    8 668,    9 601
新疆维吾尔自治区,    60 391,    30 866,    29 525,    11 056,    5 758,    5 298,    12 883,    6 686,    6 197,    36 452,    18 422,    18 030
