,,,,,,,,,,,,
    表11——3全国按现住地和1985年7月1日常住地类型分性别、职业的迁入人口数,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  职业和,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
山西省,    38 804,    20 730,    18 074,    21 809,    12 152,    9 657,    9 412,    4 681,    4 731,    7 583,    3 897,    3 686
内蒙古自治区,    39 000,    21 075,    17 925,    20 823,    11 825,    8 998,    10 972,    5 252,    5 720,    7 205,    3 998,    3 207
辽宁省,    57 566,    28 394,    29 172,    31 527,    16 529,    14 998,    14 836,    6 557,    8 279,    11 203,    5 308,    5 895
吉林省,    37 352,    17 853,    19 499,    16 684,    8 387,    8 297,    14 969,    6 502,    8 467,    5 699,    2 964,    2 735
黑龙江省,    49 280,    24 326,    24 954,    25 124,    12 844,    12 280,    15 592,    6 960,    8 632,    8 564,    4 522,    4 042
上海市,    17 127,    9 067,    8 060,    7 483,    4 414,    3 069,    5 803,    2 788,    3 015,    3 841,    1 865,    1 976
江苏省,    88 360,    54 202,    34 158,    50 326,    33 866,    16 460,    15 692,    8 075,    7 617,    22 342,    12 261,    10 081
浙江省,    67 552,    39 677,    27 875,    34 719,    22 430,    12 289,    18 686,    9 703,    8 983,    14 147,    7 544,    6 603
安徽省,    64 158,    41 163,    22 995,    38 259,    26 291,    11 968,    13 310,    7 351,    5 959,    12 589,    7 521,    5 068
福建省,    63 035,    39 531,    23 504,    36 279,    23 732,    12 547,    15 438,    8 667,    6 771,    11 318,    7 132,    4 186
江西省,    64 283,    40 360,    23 923,    33 549,    22 743,    10 806,    16 266,    8 953,    7 313,    14 468,    8 664,    5 804
山东省,    101 752,    60 958,    40 794,    59 376,    37 407,    21 969,    26 314,    14 346,    11 968,    16 062,    9 205,    6 857
河南省,    90 010,    50 356,    39 654,    54 087,    31 409,    22 678,    12 795,    6 411,    6 384,    23 128,    12 536,    10 592
湖北省,    68 259,    40 557,    27 702,    34 334,    22 039,    12 295,    21 711,    11 507,    10 204,    12 214,    7 011,    5 203
湖南省,    97 991,    56 465,    41 526,    55 521,    34 340,    21 181,    22 417,    11 170,    11 247,    20 053,    10 955,    9 098
广东省,    119 173,    67 650,    51 523,    46 416,    27 530,    18 886,    38 277,    19 384,    18 893,    34 480,    20 736,    13 744
广西壮族自治区,    67 046,    38 464,    28 582,    29 168,    18 669,    10 499,    27 036,    13 598,    13 438,    10 842,    6 197,    4 645
海南省,    10 559,    5 639,    4 920,    2 447,    1 445,    1 002,    4 569,    2 305,    2 264,    3 543,    1 889,    1 654
四川省,    170 074,    98 124,    71 950,    84 155,    51 428,    32 727,    51 307,    26 868,    24 439,    34 612,    19 828,    14 784
贵州省,    30 717,    18 718,    11 999,    15 667,    10 181,    5 486,    10 241,    5 559,    4 682,    4 809,    2 978,    1 831
云南省,    64 754,    36 827,    27 927,    26 618,    16 017,    10 601,    26 365,    13 941,    12 424,    11 771,    6 869,    4 902
