表11—6 全国按现住地和1985年7月1日常住地类型分性别、迁移原因的迁人人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表11——6全国按现住地和1985年7月1日常住地类型分性别、迁移原因的迁入人口数(续10),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    从本省其他县、市,,,,,,,,,,,,,,,    外省,,,,,,,,,,,,    其他,,
  迁移原因,,,,,,,,,,,,,,,  迁移原因,,,,,,,,,,,,,,,
,,,,    城市,,,    镇,,,    乡村,,,,,,,,,    城市,,,    镇,,,    乡村,,,,,
  和现住地,  合计,    男,    女,,,,,,,,,,,,  和现住地,  合计,    男,    女,,,,,,,,,,  小计,    男,    女
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,,,,  小计,    男,    女,  小计,    男,    女,合计,    男,    女,,,
山东省,    1 190 017,    660 565,    529 452,    210 772,    140 302,    70 470,    397 862,    217 034,    180 828,    581 383,    303 229,    278 154,,,山东省,    609 432,    287 962,    321 470,    195 360,    118 974,    76 386,    142 207,    69 026,    73 181,    271 865,    99 962,    171 903,    965,    872,    93
河南省,    1 238 943,    698 321,    540 622,    241 860,    158 800,    83 060,    125 439,    70 532,    54 907,    871 644,    468 989,    402 655,,,河南省,    477 833,    278 024,    199 809,    173 997,    117 789,    56 208,    69 148,    41 776,    27 372,    234 688,  118 459,    116 229,    453,    392,    61
湖北省,    1 088 391,    586 942,    501 449,    153 022,    98 957,    54 065,    279 571,    154 251,    125 320,    655 798,    333 734,    322 064,,,湖北省,    431 121,    290 724,    140 397,    110 265,    79 461,    30 804,    60 920,    41 119,    19 801,    259 936,  170 144,    89 792,    624,    518,    106
湖南省,    1 297 956,    655 728,    642 228,    220 874,    140 670,    80 204,    230 775,    122 702,    108 073,    846 307,    392 356,    453 951,,,湖南省,    271 802,    166 110,    105 692,    93 237,    65 979,    27 258,    47 701,    29 494,    18 207,    130 864,    70 637,    60 227,    524,    452,    72
广东省,    2 671 046,    1 410 627,    1 260 419,    234 566,    146 434,    88 132,    512 080,    282 078,    230 002,  1 924 400,    982 115,    942 285,,,广东省,    1 257 508,    585 933,    671 575,    210 104,    126 131,    83 973,    103 209,    53 206,    50 003,    944 195,  406 596,  537 599,    3 131,    1 775,    1 356
广西壮族自治区,    888 402,    466 866,    421 536,    92 943,    59 841,    33 102,    237 055,    128 102,    108 953,    558 404,    278 923,    279 481,,,广西壮族自治区,    142 505,    95 254,    47 251,    35 893,    25 837,    10 056,    29 290,    19 043,    10 247,    77 322,    50 374,    26 948,    386,    258,    128
海南省,    142 873,    73 164,    69 709,    11 701,    6 882,    4 819,    38 663,    20 996,    17 667,    92 509,    45 286,    47 223,,,海南省,    150 101,    100 825,    49 276,    22 753,    16 544,    6 209,    12 142,    8 565,    3 577,  115 206,    75 716,    39 490,    348,    234,    114
四川省,    2 345 256,    1 190 460,    1 154 796,    346 237,    226 248,    119 989,    397 028,    227 977,    169 051,  1 601 991,    736 235,    865 756,,,四川省,    469 876,    298 214,    171 662,    204 828,    152 918,    51 910,    91 640,    63 823,    27 817,  173 408,    81 473,    91 935,    2 606,    2 346,    260
贵州省,    464 694,    252 841,    211 853,    65 392,    42 822,    22 570,    108 660,    61 005,    47 655,    290 642,    149 014,    141 628,,,贵州省,    190 408,    133 141,    57 267,    29 046,    21 532,    7 514,    24 333,    16 748,    7 585,  137 029,    94 861,    42 168,    484,    255,    229
云南省,    732 225,    423 484,    308 741,    111 519,    74 646,    36 873,    185 852,    112 043,    73 809,    434 854,    236 795,    198 059,,,云南省,    250 264,    184 544,    65 720,    37 111,    27 518,    9 593,    33 280,    24 476,    8 804,  179 873,    132 550,    47 323,    4 070,    2 072,    1 998
西藏自治区,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,,,西藏自治区,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——
陕西省,    706 154,    399 015,    307 139,    133 753,    86 796,    46 957,    161 216,    91 895,    69 321,    411 185,    220 324,    190 861,,,陕西省,    314 588,    209 171,    105 417,    106 920,    72 319,    34 601,    55 030,    37 372,    17 658,  152 638,    99 480,    53 158,    298,    252,    46
甘肃省,    449 631,    247 052,    202 579,    88 102,    57 112,    30 990,    70 422,    40 829,    29 593,    291 107,    149 111,    141 996,,,甘肃省,    199 196,    112 832,    86 364,    50 621,    33 195,    17 426,    25 223,    14 774,    10 449,  123 352,    64 863,    58 489,    183,    147,    36
青海省,    150 900,    87 378,    63 522,    24 206,    14 777,    9 429,    49 058,    27 567,    21 491,    77 636,    45 034,    32 602,,,青海省,    115 819,    81 006,    34 813,    16 356,    11 219,    5 137,    13 905,    9 274,    4 631,    85 558,    60 513,    25 045,    42,    30,    12
宁夏回族自治区,    122 752,    65 132,    57 620,    23 675,    14 686,    8 989,    32 251,    17 201,    15 050,    66 826,    33 245,    33 581,,,宁夏回族自治区,    91 912,    49 999,    41 913,    13 086,    8 044,    5 042,    11 600,    6 299,    5 301,    67 226,    35 656,    31 570,    85,    81,    4
新疆维吾尔自治区,    360 912,    195 771,    165 141,    105 220,    60 487,    44 733,    100 612,    54 612,    46 000,    155 080,    80 672,    74 408,,,新疆维吾尔自治区,    341 718,    222 258,    119 460,    23 149,    15 902,    7 247,    17 135,    10 991,    6 144,  301 434,    195 365,  106 069,    41,    25,    16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    从本省其他县、市,,,,,,,,,,,,,,,    外省,,,,,,,,,,,,    其他,,
  迁移原因,,,,,,,,,,,,,,,  迁移原因,,,,,,,,,,,,,,,
,,,,    城市,,,    镇,,,    乡村,,,,,,,,,    城市,,,    镇,,,    乡村,,,,,
  和现住地,  合计,    男,    女,,,,,,,,,,,,  和现住地,  合计,    男,    女,,,,,,,,,,  小计,    男,    女
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,,,,  小计,    男,    女,  小计,    男,    女,合计,    男,    女,,,
工作调动,2 379 728,1 645 871,    733 857,    860 693,    609 126,    251 567,    916 622,  603 965,    312 657,    602 413,    432 780,    169 633,,,工作调动,  1 666 745, 1 299 893,    366 852,    957 201,  729 658,    227 543,    382 824,    291 671,    91 153,    326 720,  278 564,    48 156,    7 532,    6 394,    1 138
北京市,    10 695,    7 878,    2 817,    4 162,    2 868,    1 294,    2 621,    1 744,    877,    3 912,    3 266,    646,,,北京市,    65 449,    48 236,    17 213,    35 444,    23 226,    12 218,    12 588,    9 269,    3 319,    17 417,    15 741,    1 676,    2 627,    1 892,    735
天津市,    4 022,    2 778,    1 244,    1 014,    786,    228,    1 741,    1 052,    689,    1 267,    940,    327,,,天津市,    29 517,    20 641,    8 876,    16 622,    11 157,    5 465,    5 327,    3 519,    1 808,    7 568,    5 965,    1 603,    258,    242,    16
河北省,    88 433,    62 375,    26 058,    41 085,    29 578,    11 507,    26 630,    17 537,    9 093,    20 718,    15 260,    5 458,,,河北省,    100 798,    70 948,    29 850,    63 836,    44 061,    19 775,    23 329,    15 938,    7 391,    13 633,    10 949,    2 684,    119,    112,    7
山西省,    59 724,    43 705,    16 019,    28 398,    20 628,    7 770,    19 648,    14 546,    5 102,    11 678,    8 531,    3 147,,,山西省,    31 302,    25 461,    5 841,    16 148,    12 452,    3 696,    6 621,    5 275,    1 346,    8 533,    7 734,    799,    101,    100,    1
内蒙古自治区,    54 594,    40 075,    14 519,    21 622,    16 022,    5 600,    23 666,    16 712,    6 954,    9 306,    7 341,    1 965,,,内蒙古自治区,    18 006,    15 452,    2 554,    7 662,    6 394,    1 268,    5 882,    4 886,    996,    4 462,    4 172,    290,    20,    20,    ——
辽宁省,    89 314,    63 996,    25 318,    34 821,    25 854,    8 967,    34 869,    23 534,    11 335,    19 624,    14 608,    5 016,,,辽宁省,    56 329,    45 206,    11 123,    32 732,    25 553,    7 179,    15 038,    11 939,    3 099,    8 559,    7 714,    845,    157,    140,    17
吉林省,    80 606,    53 949,    26 657,    21 261,    14 892,    6 369,    44 455,    29 155,    15 300,    14 890,    9 902,    4 988,,,吉林省,    25 966,    22 403,    3 563,    15 071,    12 936,    2 135,    6 916,    5 840,    1 076,    3 979,    3 627,    352,    39,    33,    6
黑龙江省,    70 993,    50 323,    20 670,    28 185,    19 738,    8 447,    29 126,    20 389,    8 737,    13 682,    10 196,    3 486,,,黑龙江省,    23 087,    20 328,    2 759,    11 286,    9 853,    1 433,    7 253,    6 218,    1 035,    4 548,    4 257,    291,    9,    8,    1
上海市,    35 130,    21 460,    13 670,    4 844,    3 796,    1 048,    11 914,    6 829,    5 085,    18 372,    10 835,    7 537,,,上海市,    114 661,    83 441,    31 220,    48 195,    35 826,    12 369,    31 992,    21 913,    10 079,    34 474,    25 702,    8 772,    390,    322,    68
江苏省,    93 313,    65 536,    27 777,    37 871,    28 094,    9 777,    24 904,    15 836,    9 068,    30 538,    21 606,    8 932,,,江苏省,    148 712,    108 505,    40 207,    93 388,    66 816,    26 572,    27 063,    19 085,    7 978,    28 261,    22 604,    5 657,    364,    342,    22
浙江省,    73 391,    51 853,    21 538,    23 307,    17 531,    5 776,    31 031,    20 381,    10 650,    19 053,    13 941,    5 112,,,浙江省,    70 937,    56 283,    14 654,    45 422,    35 660,    9 762,    14 511,    11 186,    3 325,    11 004,    9 437,    1 567,    479,    464,    15
安徽省,    89 335,    62 672,    26 663,    36 201,    26 504,    9 697,    31 189,    20 258,    10 931,    21 945,    15 910,    6 035,,,安徽省,    67 820,    57 592,    10 228,    45 151,    38 247,    6 904,    11 815,    9 727,    2 088,    10 854,    9 618,    1 236,    273,    230,    43
福建省,    78 374,    57 182,    21 192,    32 767,    23 635,    9 132,    25 842,    18 187,    7 655,    19 765,    15 360,    4 405,,,福建省,    30 142,    25 021,    5 121,    17 536,    13 685,    3 851,    5 991,    5 152,    839,    6 615,    6 184,    431,    90,    81,    9
江西省,    95 719,    63 297,    32 422,    25 019,    17 233,    7 786,    32 901,    20 949,    11 952,    37 799,    25 115,    12 684,,,江西省,    45 305,    40 096,    5 209,    22 462,    19 523,    2 939,    11 046,    9 726,    1 320,    11 797,    10 847,    950,    283,    245,    38
山东省,    126 285,    93 933,    32 352,    58 232,    42 950,    15 282,    46 097,    33 948,    12 149,    21 956,    17 035,    4 921,,,山东省,    116 680,    83 965,    32 715,    71 882,    51 730,    20 152,    31 628,    21 523,    10 105,    13 170,    10 712,    2 458,    180,    175,5
河南省,    123 088,    86 941,    36 147,    63 408,    45 048,    18 360,    25 763,    17 130,    8 633,    33 917,    24 763,    9 154,,,河南省,    109 798,    87 022,    22 776,    72 422,    57 493,    14 929,    24 005,    18 188,    5 817,    13 371,    11 341,    2 030,    165,    161,    4
湖北省,    79 981,    56 230,    23 751,    31 955,    22 427,    9 528,    32 839,    22 127,    10 712,    15 187,    11 676,    3 511,,,湖北省,    65 384,    56 269,    9 115,    36 931,    31 283,    5 648,    14 373,    12 080,    2 293,    14 080,    12 906,    1 174,    134,    120,    14
湖南省,    139 301,    87 551,    51 750,    56 588,    35 849,    20 739,    53 047,    31 891,    21 156,    29 666,    19 811,    9 855,,,湖南省,    57 466,    45 491,    11 975,    35 676,    28 335,    7 341,    13 386,    10 039,    3 347,    8 404,    7 117,    1 287,    120,    116,    4
广东省,    177 986,    119 015,    58 971,    55 693,    36 553,    19 140,    73 786,    47 898,    25 888,    48 507,    34 564,    13 943,,,广东省,    132 574,    89 534,    43 040,    79 183,    49 938,    29 245,    23 618,    16 555,    7 063,    29 773,    23 041,    6 732,    136,    120,    16
广西壮族自治区,    97 766,    62 259,    35 507,    18 892,    12 746,    6 146,    53 058,    31 995,    21 063,    25 816,    17 518,    8 298,,,广西壮族自治区,    31 961,    25 763,    6 198,    12 393,    9 745,    2 648,    9 274,    7 136,    2 138,    10 294,    8 882,    1 412,    51,    49,    2
海南省,    21 223,    12 933,    8 290,    3 303,    2 090,    1 213,    9 001,    5 530,    3 471,    8 919,    5 313,    3 606,,,海南省,    10 919,    8 257,    2 662,    7 322,    5 225,    2 097,    1 759,    1 440,    319,    1 838,    1 592,    246,    8,    8,    ——
四川省,    279 942,    190 567,    89 375,    96 289,    66 902,    29 387,    109 141,    69 123,    40 018,    74 512,    54 542,    19 970,,,四川省,    145 285,    123 942,    21 343,    86 885,    73 765,    13 120,    37 158,    30 724,    6 434,    21 242,    19 453,    1 789,    1 269,    1 198,    71
贵州省,    41 428,    28 078,    13 350,    11 746,    8 283,    3 463,    19 848,    12 896,    6 952,    9 834,    6 899,    2 935,,,贵州省,    22 259,    19 321,    2 938,    9 687,    8 183,    1 504,    6 005,    5 110,    895,    6 567,    6 028,    539,    54,    31,    23
云南省,    111 715,    79 516,    32 199,    26 742,    19 956,    6 786,    49 760,    33 590,    16 170,    35 213,    25 970,    9 243,,,云南省,    28 328,    24 866,    3 462,    12 102,    10 196,    1 906,    7 142,    6 162,    980,    9 084,    8 508,    576,    21,    19,    2
西藏自治区,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,西藏自治区,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——
陕西省,    102 313,    73 068,    29 245,    36 064,    25 619,    10 445,    42 183,    29 467,    12 716,    24 066,    17 982,    6 084,,,陕西省,    62 175,    49 967,    12 208,    35 864,    28 020,    7 844,    14 969,    12 057,    2 912,    11 342,    9 890,    1 452,    160,    144,    16
甘肃省,    52 235,    36 917,    15 318,    23 861,    16 669,    7 192,    19 110,    12 939,    6 171,    9 264,    7 309,    1 955,,,甘肃省,    25 636,    19 978,    5 658,    14 415,    11 002,    3 413,    5 944,    4 375,    1 569,    5 277,    4 601,    676,    18,    18,    ——
青海省,    24 941,    17 939,    7 002,    5 818,    4 393,    1 425,    13 226,    8 922,    4 304,    5 897,    4 624,    1 273,,,青海省,    10 627,    9 576,    1 051,    3 673,    3 204,    469,    2 891,    2 464,    427,    4 063,    3 908,    155,    2,    1,    1
宁夏回族自治区,    14 519,    9 931,    4 588,    6 430,    4 522,    1 908,    5 987,    3 831,    2 156,    2 102,    1 578,    524,,,宁夏回族自治区,    8 197,    6 160,    2 037,    3 756,    2 694,    1 062,    2 601,    1 844,    757,    1 840,    1 622,    218,    3,    2,    1
新疆维吾尔自治区,    63 362,    43 914,    19 448,    25 115,    17 960,    7 155,    23 239,    15 569,    7 670,    15 008,    10 385,    4 623,,,新疆维吾尔自治区,    11 425,    10 169,    1 256,    4 055,    3 456,    599,    2 699,    2 301,    398,    4 671,    4 412,    259,    2,    1,    1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表11——6全国按现住地和1985年7月1日常住地类型分性别、迁移原因的迁入人口数(续02),,,,,,,,,,,,,,,表11——6全国按现住地和1985年7月1日常住地类型分性别、迁移原因的迁入人口数(续12),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    从本省其他县、市,,,,,,,,,,,,,,,    外省,,,,,,,,,,,,    其他,,
  迁移原因,,,,,,,,,,,,,,,  迁移原因,,,,,,,,,,,,,,,
,,,,    城市,,,    镇,,,    乡村,,,,,,,,,    城市,,,    镇,,,    乡村,,,,,
  和现住地,  合计,    男,    女,,,,,,,,,,,,  和现住地,  合计,    男,    女,,,,,,,,,,,,
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,,,,,,,,,,,,,小计,    男,    女
分配录用,  1 553 473,    1 065 291,  488 182,   803 950,    556 391,    247 559,    364 204,    232 398,    131 806,    385 319,    276 502,    108 817,,,,,,,  小计,    男,    女,小计,    男,    女,合计,    男,    女,,,
北京市,    6 442,    4 175,    2 267,    2 042,    1 204,    838,    1 187,    757,    430,    3 213,    2 214,    999,,,分配录用,  500 904,    391 007,  109 897,    397 125,  307 866,    89 259,    40 456,    31 324,    9 132,    63 323,    51 817,  11 506,    328,    265,    63
天津市,    4 051,    2 900,    1 151,    1 389,    855,    534,    593,    373,    220,    2 069,    1 672,    397,,,北京市,    50 580,    37 038,    13 542,    39 161,    27 315,    11 846,    2 042,    1 572,    470,    9 377,    8 151,    1 226,    153,    122,    31
河北省,    63 923,    42 160,    21 763,    33 050,    21 154,    11 896,    13 439,    8 531,    4 908,    17 434,    12 475,    4 959,,,天津市,    20 147,    16 729,    3 418,    12 813,    10 116,    2 697,    2 486,    2 277,    209,    4 848,    4 336,    512,    6,    4,    2
山西省,    43 493,    30 369,    13 124,    23 422,    15 385,    8 037,    9 161,    6 335,    2 826,    10 910,    8 649,    2 261,,,河北省,    22 126,    16 391,    5 735,    18 602,    13 638,    4 964,    1 577,    1 152,    425,    1 947,    1 601,    346,    2,    2,    ——
内蒙古自治区,    32 556,    21 418,    11 138,    20 517,    13 460,    7 057,    6 919,    4 538,    2 381,    5 120,    3 420,    1 700,,,山西省,    11 572,    8 970,    2 602,    8 306,    6 276,    2 030,    1 017,    826,    191,    2 249,    1 868,    381,    2,    2,    ——
辽宁省,    59 298,    34 721,    24 577,    29 489,    17 438,    12 051,    15 260,    8 665,    6 595,    14 549,    8 618,    5 931,,,内蒙古自治区,    8 383,    6 295,    2 088,    6 454,    4 847,    1 607,    1 110,    773,    337,    819,    675,    144,    2,    1,    1
吉林省,    24 795,    14 019,    10 776,    13 517,    8 340,    5 177,    9 019,    4 282,    4 737,    2 259,    1 397,    862,,,辽宁省,    20 083,    14 982,    5 101,    16 383,    11 955,    4 428,    1 722,    1 375,    347,    1 978,    1 652,    326,    10,    9,    1
黑龙江省,    41 011,    25 738,    15 273,    24 711,    15 365,    9 346,    12 476,    7 777,    4 699,    3 824,    2 596,    1 228,,,吉林省,    8 338,    6 568,    1 770,    6 896,    5 382,    1 514,    814,    668,    146,    628,    518,    110,    2,    1,    1
上海市,    21 429,    14 517,    6 912,    7 137,    4 515,    2 622,    4 796,    3 012,    1 784,    9 496,    6 990,    2 506,,,黑龙江省,    10 793,    8 536,    2 257,    9 110,    7 112,    1 998,    983,    829,    154,    700,    595,    105,    3,    3,    ——
江苏省,    99 425,    71 132,    28 293,    48 839,    36 212,    12 627,    15 099,    9 887,    5 212,    35 487,    25 033,    10 454,,,上海市,    18 749,    14 353,    4 396,    11 626,    9 108,    2 518,    1 825,    1 331,    494,    5 298,    3 914,    1 384,    17,    10,    7
浙江省,    77 037,    52 482,    24 555,    34 892,    25 072,    9 820,    15 536,    9 851,    5 685,    26 609,    17 559,    9 050,,,江苏省,    28 594,    22 067,    6 527,    23 515,    18 209,    5 306,    1 579,    1 118,    461,    3 500,    2 740,    760,    29,    25,    4
安徽省,    57 454,    43 598,    13 856,    37 071,    28 469,    8 602,    10 229,    7 093,    3 136,    10 154,    8 036,    2 118,,,浙江省,    16 276,    12 839,    3 437,    13 328,    10 744,    2 584,    1 021,    727,    294,    1 927,    1 368,    559,    11,    10,    1
福建省,    52 731,    38 380,    14 351,    35 505,    26 086,    9 419,    10 598,    7 369,    3 229,    6 628,    4 925,    1 703,,,安徽省,    13 001,    11 023,    1 978,    11 304,    9 636,    1 668,    699,    574,    125,    998,    813,    185,    1,    1,    ——
江西省,    60 750,    44 449,    16 301,    36 085,    26 953,    9 132,    13 192,    9 005,    4 187,    11 473,    8 491,    2 982,,,福建省,    10 916,    8 838,    2 078,    9 938,    8 072,    1 866,    523,    423,    100,    455,    343,    112,    6,    5,    1
山东省,    146 615,    104 440,    42 175,    59 129,    41 421,    17 708,    39 497,    27 477,    12 020,    47 989,    35 542,    12 447,,,江西省,    14 782,    13 038,    1 744,    10 741,    9 374,    1 367,    1 968,    1 846,    122,    2 073,    1 818,    255,    2,    1,    1
河南省,    98 817,    68 870,    29 947,    51 487,    34 591,    16 896,    9 505,    6 114,    3 391,    37 825,    28 165,    9 660,,,山东省,    28 956,    21 912,    7 044,    23 075,    17 678,    5 397,    2 915,    1 970,    945,    2 966,    2 264,    702,    25,    23,    2
湖北省,    62 925,    42 833,    20 092,    32 987,    24 164,    8 823,    19 332,    11 626,    7 706,    10 606,    7 043,    3 563,,,河南省,    27 345,    21 953,    5 392,    20 576,    16 278,    4 298,    2 150,    1 617,    533,    4 619,    4 058,    561,    6,    5,    1
湖南省,    115 824,    78 779,    37 045,    55 206,    38 354,    16 852,    22 622,    12 430,    10 192,    37 996,    27 995,    10 001,,,湖北省,    18 451,    15 391,    3 060,    15 671,    13 278,    2 393,    1 318,    955,    363,    1 462,    1 158,    304,    5,    5,    ——
广东省,    76 751,    55 500,    21 251,    35 283,    26 070,    9 213,    20 678,    13 775,    6 903,    20 790,    15 655,    5 135,,,湖南省,    18 737,    15 512,    3 225,    15 000,    12 461,    2 539,    1 661,    1 307,    354,    2 076,    1 744,    332,    6,    5,    1
广西壮族自治区,    56 829,    38 660,    18 169,    30 195,    21 353,    8 842,    18 730,    11 828,    6 902,    7 904,    5 479,    2 425,,,广东省,    35 830,    27 513,    8 317,    29 280,    22 561,    6 719,    3 035,    2 253,    782,    3 515,    2 699,    816,    17,    14,    3
海南省,    6 417,    4 344,    2 073,    1 614,    1 201,    413,    2 492,    1 583,    909,    2 311,    1 560,    751,,,广西壮族自治区,    12 992,    10 324,    2 668,    11 666,    9 266,    2 400,    774,    611,    163,    552,    447,    105,    2,    2,    ——
四川省,    121 390,    81 914,    39 476,    72 178,    49 204,    22 974,    28 453,    18 212,    10 241,    20 759,    14 498,    6 261,,,海南省,    5 303,    4 455,    848,    3 590,    2 937,    653,    626,    568,    58,    1 087,    950,    137,    ——,    ——,    ——
贵州省,    26 626,    19 026,    7 600,    16 310,    11 770,    4 540,    7 361,    5 059,    2 302,    2 955,    2 197,    758,,,四川省,    27 374,    22 272,    5 102,    24 655,    20 057,    4 598,    1 734,    1 399,    335,    985,    816,    169,    9,    7,    2
