表5    各职业大类人口和未工作人口（长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位：人
县市名,,,,,,,,,,,,,,,,,
,15岁及以上人口,各种职业人口,国家机关、党群组织、,专业技术人员,办事人员和有关人员,商业、服务业人员,农林牧渔水利业,生产、运输设备操作,不便分类的其他,各种未工作人口,在校学生,料理家务,离退休,丧失劳动能力,从未工作,失去工作,其他
,总        计,总        计,企业、事业单位负责人,,,,生  产  人  员,人 员 及 有 关 人 员,从  业  人  员,总        计,,,,,正在寻找工作,正在寻找工作,
,,,,,,,,,,,,,,,,,
木兰县,17633,13313,162,707,364,772,10436,846,26,4320,591,2007,458,667,389,124,84
通河县,16297,10457,278,709,366,836,7129,1085,54,5840,455,2611,765,670,562,288,489
延寿县,17083,12823,90,721,321,798,9843,1012,38,4260,496,1897,396,651,387,148,285
阿城市,45280,30247,534,1823,1123,2799,18021,5942,5,15033,2207,5297,2474,1575,1635,894,951
双城市,54154,37346,395,1557,595,2087,30252,2438,22,16808,1696,7801,1296,2421,1759,552,1283
尚志市,42180,27633,537,1734,703,2400,18699,3530,30,14547,1476,6661,1740,1864,1439,579,788
五常市,60692,46402,568,1938,642,2606,37944,2637,67,14290,1690,5777,1613,2820,1262,402,726
齐齐哈尔市,378409,248832,4955,15570,7696,20401,170417,29714,79,129577,16358,45301,23347,13075,10571,9174,11751
龙沙区,26350,12862,858,2091,1356,3323,1133,4101,,13488,2086,2754,4177,396,1293,1879,903
建华区,18464,7772,432,1292,799,1924,648,2672,5,10692,2270,2079,2493,313,975,1066,1496
铁锋区,26194,12530,488,1739,1248,2446,1485,5124,,13664,2047,3174,4227,395,1469,1391,961
昂昂溪区,7308,3984,109,281,95,497,1847,1155,,3324,248,1307,762,205,264,183,355
富拉尔基区,21809,10366,285,1458,717,1227,1620,5035,24,11443,1198,2536,3601,342,1101,1226,1439
碾子山区,6353,3366,163,322,142,407,1354,978,,2987,230,874,795,180,355,265,288
梅里斯达斡尔族区,12147,9479,71,413,92,375,8185,334,9,2668,294,1101,268,661,108,50,186
龙江县,40574,30587,332,1170,485,1793,25095,1711,1,9987,1086,4634,799,871,590,258,1749
依安县,27484,18543,207,840,268,1056,15241,921,10,8941,632,4633,613,1260,583,354,866
泰来县,21674,16511,189,658,382,1145,13101,1034,2,5163,706,2090,625,1059,321,134,228
甘南县,26111,17921,303,815,270,1046,14470,991,26,8190,961,3401,838,960,657,422,951
富裕县,19975,15013,202,734,335,1014,11267,1461,,4962,610,1894,841,784,395,254,184
克山县,29831,20923,379,1013,485,1054,16845,1147,,8908,1156,3699,966,1314,682,565,526
克东县,17086,12618,243,673,250,646,10132,673,1,4468,534,1811,510,748,324,189,352
拜泉县,30442,22018,318,828,235,806,19170,660,1,8424,1128,4148,589,1336,546,260,417
讷河市,46607,34339,376,1243,537,1642,28824,1717,,12268,1172,5166,1243,2251,908,678,850
鸡西市,154842,87449,2862,7452,3554,10788,43644,18983,166,67393,7910,24546,14406,5127,6303,4643,4458
鸡冠区,26814,13133,999,2602,1025,3182,1018,4267,40,13681,3009,3656,3448,444,1197,785,1142
恒山区,14117,5210,165,423,262,700,1596,2064,,8907,386,3663,1675,452,1016,1039,676
滴道区,9059,3747,56,270,73,414,1607,1317,10,5312,257,2243,1059,306,831,291,325
梨树区,7693,2531,65,221,108,433,562,1104,38,5162,266,2052,928,193,704,628,391
城子河区,11647,4837,131,354,192,846,684,2579,51,6810,406,3109,1341,361,747,417,429
麻山区,2813,1554,23,72,56,155,993,250,5,1259,76,533,171,112,141,65,161
鸡东县,21764,15416,292,837,493,1229,10678,1883,4,6348,677,2632,934,1002,552,417,134
虎林市,25606,16539,459,1241,686,1735,9569,2834,15,9067,808,3285,2651,706,497,512,608
密山市,35329,24482,672,1432,659,2094,16937,2685,3,10847,2025,3373,2199,1551,618,489,592
鹤岗市,84393,42850,1277,4337,2343,5940,14879,13913,161,41543,3578,17766,7929,2365,4704,3234,1967
向阳区,6922,3375,182,712,505,676,18,1281,1,3547,320,1140,1010,109,457,438,73
工农区,9856,4812,322,792,531,1092,114,1936,25,5044,589,1653,1087,219,626,456,414
南山区,10130,4343,77,401,155,681,59,2969,1,5787,430,2746,1024,227,918,355,87
兴安区,7217,2826,54,237,158,368,73,1933,3,4391,286,2134,726,159,673,236,177
东山区,12966,6155,119,315,185,672,2747,2100,17,6811,653,2906,1019,446,762,503,522
兴山区,4506,1804,38,136,97,225,15,1292,1,2702,135,1302,517,105,386,205,52
萝北县,18661,10527,313,1030,438,1460,5532,1688,66,8134,793,3224,1702,574,582,798,461
绥滨县,14135,9008,172,714,274,766,6321,714,47,5127,372,2661,844,526,300,243,181
双鸭山市,113862,65741,1860,5416,2884,7767,34422,13284,108,48121,3664,20813,9361,3582,4306,2769,3626
尖山区,14660,7374,359,1327,1063,1628,527,2457,13,7286,684,2537,1701,237,754,353,1020
岭东区,6591,2299,41,204,85,474,512,977,6,4292,166,1841,804,228,477,428,348
四方台区,5418,2422,72,230,83,227,678,1131,1,2996,118,1628,478,157,357,200,58
宝山区,11058,4740,132,372,173,552,1033,2409,69,6318,341,3045,1139,216,740,315,522
集贤县,23733,16194,397,989,386,1795,10535,2077,15,7539,665,3574,1026,976,557,374,367
友谊县,9185,4411,140,491,325,670,1808,975,2,4774,418,1722,1104,206,542,384,398
宝清县,31024,20235,456,1242,495,1729,14042,2269,2,10789,964,4474,2204,1168,611,503,865
饶河县,12193,8066,263,561,274,692,5287,989,,4127,308,1992,905,394,268,212,48
大庆市,201232,138761,5511,11155,6052,17729,68942,29370,2,62471,7038,25292,13971,6334,5286,2191,2359
萨尔图区,24248,14641,1267,1872,1170,4297,373,5662,,9607,1321,3403,2751,412,752,528,440
龙凤区,18400,11095,577,1427,805,2358,901,5027,,7305,482,3090,2139,280,556,363,395
让胡路区,34716,21457,1668,3259,1851,4540,1422,8717,,13259,1508,4671,4611,529,1153,247,540
红岗区,13640,8517,648,927,488,1689,1201,3564,,5123,448,2118,1477,300,501,146,133
大同区,17837,13120,275,687,371,953,8808,2026,,4717,448,2174,808,703,416,66,102
肇州县,28551,21292,269,951,386,984,17451,1249,2,7259,1010,2994,576,1394,588,232,465
肇源县,28776,21288,433,899,428,1168,17085,1275,,7488,875,3407,671,1428,656,291,160
林甸县,17707,14011,237,512,271,765,11389,837,,3696,471,1470,397,763,346,143,106
杜尔伯特蒙古族自治县,17357,13340,137,621,282,975,10312,1013,,4017,475,1965,541,525,318,175,18
伊春市,95033,46742,1992,4788,3117,8219,14181,14295,150,48291,3429,21554,9418,2331,4729,3138,3692
伊春区,10723,5654,310,968,841,1431,250,1852,2,5069,916,1521,1177,196,583,427,249
南岔区,10723,5153,120,539,353,925,1396,1782,38,5570,497,2472,1154,289,501,240,417
友好区,4855,2094,97,188,100,420,387,902,,2761,195,1222,600,108,214,197,225
西林区,3732,1962,158,254,126,291,112,1021,,1770,129,812,385,76,174,95,99
翠峦区,3528,1445,72,139,105,303,235,591,,2083,73,1029,441,84,182,99,175
新青区,3749,1630,72,147,150,306,287,663,5,2119,97,998,439,65,208,167,145
美溪区,3038,1237,61,140,94,249,310,314,69,1801,69,884,290,79,191,83,205
金山屯区,3406,1616,53,180,79,389,384,531,,1790,67,869,369,75,171,63,176
五营区,3002,1252,70,181,113,274,172,411,31,1750,47,747,360,67,167,170,192
乌马河区,2984,1471,52,135,132,229,246,677,,1513,79,742,330,56,105,46,155
汤旺河区,2793,1226,48,143,75,230,321,409,,1567,82,719,336,61,187,28,154
带岭区,2902,1515,96,167,66,332,343,510,1,1387,103,639,342,67,96,76,64
乌伊岭区,1873,844,75,112,57,184,221,195,,1029,20,551,162,35,106,134,21
红星区,1936,817,47,88,67,142,163,307,3,1119,29,546,245,51,96,62,90
上甘岭区,1701,686,67,103,25,118,304,69,,1015,28,437,233,27,86,76,128
嘉荫县,6282,4131,96,285,161,404,2643,542,,2151,176,995,288,200,186,73,233
铁力市,27806,14009,498,1019,573,1992,6407,3519,1,13797,822,6371,2267,795,1476,1102,964
佳木斯市,181249,113685,2844,9681,4914,12898,67146,16014,188,67564,8434,25088,12057,6132,4464,4486,6903
永红区,12681,5762,261,1014,679,1510,51,2227,20,6919,675,1391,2154,206,601,1139,753
向阳区,8089,3467,275,1064,349,918,13,845,3,4622,1987,565,1135,63,300,363,209
前进区,11716,5683,528,1423,836,1315,20,1560,1,6033,1304,1093,2060,96,264,464,752
东风区,8843,4016,129,625,257,1177,54,1736,38,4827,489,1056,1593,131,495,463,600
郊区,23661,15065,190,644,455,1788,8866,3116,6,8596,630,4165,830,986,508,406,1071
桦南县,30050,22011,331,1144,384,1574,17219,1348,11,8039,653,3381,959,1201,540,405,900
桦川县,14878,9752,198,613,340,637,7507,456,1,5126,465,2457,449,723,224,172,636
汤原县,18508,11841,292,755,307,954,8511,979,43,6667,502,3282,797,786,450,370,480
抚远县,6093,3903,151,324,239,361,2313,506,9,2190,250,1135,224,205,131,66,179
同江市,13139,8858,180,573,401,777,6070,840,17,4281,398,1836,579,421,223,181,643
富锦市,33591,23327,309,1502,667,1887,16522,2401,39,10264,1081,4727,1277,1314,728,457,680
七台河市,63283,36298,1146,3317,1654,5455,13896,10659,171,26985,2268,13822,3365,2549,3010,1269,702
新兴区,15092,6926,149,503,284,1633,366,3901,90,8166,466,4366,1098,617,1179,363,77
桃山区,12104,6838,489,1365,782,1638,186,2376,2,5266,836,2304,998,330,514,234,50
茄子河区,10283,5877,114,349,115,796,2177,2282,44,4406,277,2683,210,467,387,166,216
勃利县,25804,16657,394,1100,473,1388,11167,2100,35,9147,689,4469,1059,1135,930,506,359
牡丹江市,201419,124188,3803,10412,5524,16469,64464,23258,258,77231,10663,26327,16423,6554,7005,5737,4522
东安区,13360,7525,581,1093,955,1667,1244,1916,69,5835,763,1060,1974,276,582,677,503
阳明区,12898,7296,318,749,362,1295,1610,2952,10,5602,772,1242,1811,361,558,588,270
爱民区,21681,10564,470,1691,698,2724,643,4283,55,11117,2956,2211,3023,354,1026,1268,279
西安区,15215,8145,573,1356,718,1835,1293,2367,3,7070,1198,1318,2254,264,649,649,738
东宁县,16390,11085,249,737,449,1318,6507,1824,1,5305,565,2203,922,603,352,412,248
林口县,29839,20898,328,1016,364,1498,16006,1686,,8941,860,4320,983,1329,777,301,371
绥芬河市,5268,3590,146,299,306,1584,300,955,,1678,217,840,230,89,99,62,141
海林市,30920,17073,452,1294,797,1868,9267,3329,66,13847,1193,5991,2375,1170,1511,1032,575
宁安市,33150,23335,366,1133,496,1626,17563,2144,7,9815,1276,3541,1595,1231,755,484,933
穆棱市,22698,14677,320,1044,379,1054,10031,1802,47,8021,863,3601,1256,877,696,264,464
黑河市,122658,76867,2446,5920,3517,8166,47243,9485,90,45791,4119,19246,7215,4480,4134,3438,3159
爱辉区,15076,9318,497,1196,808,1608,3361,1841,7,5758,849,2028,1156,403,529,566,227
嫩江县,35844,22813,690,1487,803,2140,15135,2527,31,13031,1124,5622,1793,1379,1169,839,1105
逊克县,8054,5425,145,406,166,408,3831,468,1,2629,194,1281,257,314,130,121,332
孙吴县,7535,4928,172,341,242,509,2929,729,6,2607,211,1339,255,318,165,118,201
北安市,30898,18691,542,1371,934,2242,11136,2451,15,12207,997,4471,2428,1141,1211,1231,728
五大连池市,25251,15692,400,1119,564,1259,10851,1469,30,9559,744,4505,1326,925,930,563,566
绥化市,350074,244609,3583,11716,5497,17387,188447,17870,109,105465,11364,49667,9315,14554,9889,2580,8096
北林区,58149,39653,782,2328,1570,3983,27437,3547,6,18496,2417,7820,2270,2277,1681,240,1791
望奎县,29991,20571,264,864,401,996,16595,1436,15,9420,880,4998,498,1348,859,174,663
兰西县,29166,20045,313,870,430,974,15980,1463,15,9121,916,4883,509,1099,810,186,718
青冈县,24578,14154,214,791,361,900,11339,548,1,10424,732,5991,485,1378,1085,285,468
庆安县,24593,17978,272,689,333,799,15178,651,56,6615,766,2887,466,960,565,130,841
明水县,19251,14284,201,701,310,632,11686,752,2,4967,567,2140,362,833,502,192,371
绥棱县,22111,15099,246,799,483,1126,10918,1521,6,7012,483,3283,1090,829,607,336,384
安达市,34037,23229,448,1389,513,3086,14714,3078,1,10808,1521,4388,1194,1279,1246,520,660
肇东市,57639,41754,485,1698,583,3118,32712,3156,2,15885,1632,7507,1287,2281,1489,233,1456
海伦市,50559,37842,358,1587,513,1773,31888,1718,5,12717,1450,5770,1154,2270,1045,284,744
大兴安岭地区,40632,20126,1023,2480,1785,3949,4332,6550,7,20506,1482,8949,4136,970,1807,1654,1508
加格达奇区,11381,6009,330,894,583,1646,911,1644,1,5372,664,2229,1252,274,557,280,116
松岭区,2861,1504,85,186,127,237,228,636,5,1357,73,666,317,72,92,92,45
新林区,4097,1823,116,200,132,306,430,638,1,2274,50,964,507,67,114,237,335
呼中区,3582,1265,48,153,155,252,182,475,,2317,140,890,434,70,272,261,250
呼玛县,4789,2994,103,226,167,312,1492,694,,1795,150,843,271,157,175,71,128
塔河县,7466,3502,217,445,255,676,629,1280,,3964,219,1818,796,176,291,422,242
漠河县,6456,3029,124,376,366,520,460,1183,,3427,186,1539,559,154,306,291,392
,,,,,,,,,,,,,,,,,
上海市,1385119,811513,27724,103963,95907,182101,91709,310001,108,573606,95038,68381,266904,21049,22527,63376,36331
市辖区,1212996,687877,24805,96346,90644,168168,43544,264294,76,525119,88393,56588,251916,13885,20240,59578,34519
黄浦区,15777,6897,99,1234,1410,2377,5,1771,1,8880,1105,531,4820,124,313,1195,792
南市区,32989,15503,882,2481,2006,5518,15,4600,1,17486,2241,1393,9209,402,858,2890,493
卢湾区,28627,13394,217,2691,3088,3937,22,3439,,15233,2222,879,8123,207,503,2143,1156
徐汇区,91790,48563,3536,10862,7373,13904,100,12786,2,43227,10774,2332,21596,510,783,3359,3873
长宁区,59847,31220,927,5895,6465,9191,121,8621,,28627,5589,1478,14811,422,833,3557,1937
静安区,25698,12023,867,2926,2204,3439,14,2558,15,13675,1738,767,8052,206,443,1713,756
普陀区,89862,45701,1679,7562,8530,13990,196,13734,10,44161,8186,3001,21626,692,1517,5827,3312
闸北区,66818,32701,2530,5302,4512,9846,52,10456,3,34117,5142,2874,17000,564,1671,4452,2414
虹口区,74043,37142,1436,7430,8190,9696,39,10349,2,36901,5556,2450,19701,542,1637,4745,2270
杨浦区,106890,50639,1082,9573,9512,13641,97,16731,3,56251,13139,3778,26468,935,1984,7045,2902
闵行区,101451,64138,2781,7075,6437,14969,3196,29674,6,37313,6423,4754,18316,674,1568,3643,1935
宝山区,103672,60459,880,6465,7339,13836,4707,27214,18,43213,4726,7048,17531,1812,2153,3776,6167
嘉定区,64332,43038,1606,3650,3181,7553,4504,22543,1,21294,3526,3070,10501,629,788,1887,893
浦东新区,200554,116249,3640,15070,13857,30714,5021,47938,9,84305,12741,8916,43293,1493,3488,10571,3803
金山区,48472,36761,692,2980,2360,4728,11410,14589,2,11711,1536,3584,2977,2019,570,730,295
松江区,53410,38066,1071,2822,1745,5766,6317,20345,,15344,1944,5563,3933,1474,444,1209,777
青浦区,48764,35383,880,2328,2435,5063,7728,16946,3,13381,1805,4170,3959,1180,687,836,744
市辖县,172123,123636,2919,7617,5263,13933,48165,45707,32,48487,6645,11793,14988,7164,2287,3798,1812
南汇县,65123,47930,1003,2700,2519,5839,15946,19923,,17193,2437,4496,4830,2423,1047,1566,394
奉贤县,52507,36896,1417,2831,1647,5249,8448,17303,1,15611,2169,3701,5525,1462,763,1264,727
崇明县,54493,38810,499,2086,1097,2845,23771,8481,31,15683,2039,3596,4633,3279,477,968,691
,,,,,,,,,,,,,,,,,
江苏省,5605154,4215259,110147,244745,126106,463504,2203120,1066205,1432,1389895,271601,374761,310292,234796,62773,79415,56257
南京市,482965,311252,13380,35301,19996,56440,94517,91546,72,171713,41146,31704,56263,12466,7455,12703,9976
玄武区,38434,20622,1858,4812,2588,5347,366,5649,2,17812,6637,1299,7042,296,629,1219,690
白下区,29508,16561,1834,3625,1857,4585,313,4346,1,12947,3274,1160,6075,211,350,1178,699
秦淮区,22851,12040,667,1899,1187,3885,219,4182,1,10811,1216,1201,5124,219,607,1398,1046
建邺区,28330,15747,906,2741,1886,5370,235,4609,,12583,2547,1392,5372,226,672,1462,912
鼓楼区,49747,27023,2475,7163,3669,6906,134,6673,3,22724,8907,1613,8600,310,826,1498,970
下关区,29280,16278,774,2471,1667,5427,61,5877,1,13002,1919,1577,6234,242,707,1276,1047
浦口区,17861,10026,289,866,594,2290,1689,4297,1,7835,3051,1437,1844,428,343,437,295
大厂区,17839,11547,95,1670,1403,2264,914,5158,43,6292,978,982,3097,272,393,342,228
栖霞区,32405,20969,499,1871,1330,3757,5113,8399,,11436,2984,1979,3780,970,594,682,447
雨花台区,21231,13891,593,1341,829,2953,2458,5717,,7340,1645,1571,2403,592,337,606,186
江宁县,62326,45801,1304,2353,1180,5085,20970,14904,5,16525,3714,5603,2126,2992,715,970,405
江浦县,22525,15896,278,888,472,1915,9233,3110,,6629,1501,2050,959,1143,369,399,208
六合县,50015,37763,808,1608,454,3143,22833,8910,7,12252,1643,4449,1962,2460,487,568,683
溧水县,29022,22011,529,1092,431,1783,13983,4189,4,7011,599,2926,782,1695,291,359,359
高淳县,31591,25077,471,901,449,1730,15996,5526,4,6514,531,2465,863,410,135,309,1801
无锡市,409532,286908,14092,22928,13947,51539,53677,130581,144,122624,17081,35739,37419,13538,4061,9960,4826
崇安区,13776,8008,454,1196,1497,2356,17,2485,3,5768,827,405,3298,86,204,563,385
南长区,17884,9997,429,1605,1925,2492,28,3514,4,7887,1123,427,4618,94,255,975,395
北塘区,16096,9382,640,1219,994,2620,28,3848,33,6714,937,439,3806,94,269,878,291
郊区,66524,42424,2238,4902,3174,10211,2388,19494,17,24100,5127,3211,10578,891,890,2437,966
马山区,2654,2032,50,206,131,423,165,1053,4,622,91,137,174,75,27,99,19
江阴市,103376,76030,3556,5091,2325,12538,13102,39391,27,27346,3155,10677,6108,3681,918,1765,1042
宜兴市,93379,69529,2987,4212,1604,9504,27486,23703,33,23850,2875,9180,4283,4283,809,1657,763
锡山市,95843,69506,3738,4497,2297,11395,10463,37093,23,26337,2946,11263,4554,4334,689,1586,965
徐州市,646405,481272,7537,25281,9604,32770,345613,60265,202,165133,44826,40974,26255,33266,8612,6049,5151
鼓楼区,23581,13276,778,1680,969,3804,897,5146,2,10305,1863,1610,4190,333,768,1079,462
云龙区,17097,9153,736,1533,821,2694,628,2736,5,7944,1870,1159,3057,203,512,723,420
九里区,14891,9255,316,829,381,1273,1636,4820,,5636,1154,1847,1220,326,494,355,240
贾汪区,36637,25012,323,1372,642,1859,13463,7352,1,11625,2363,3735,1815,1776,1077,439,420
泉山区,37301,20462,1378,4146,2126,4587,2717,5441,67,16839,4937,2139,6363,555,972,1209,664
丰县,75501,58610,433,1918,579,2362,48923,4364,31,16891,4972,4064,1219,5200,501,555,380
沛县,82280,63548,560,2720,1145,3012,50632,5420,59,18732,6002,4375,2006,4741,796,408,404
铜山县,93910,72962,871,2549,635,3387,56066,9454,,20948,5445,5892,1705,5639,1279,409,579
睢宁县,85474,67110,656,2653,645,3443,54290,5413,10,18364,4479,5481,1578,5499,586,345,396
新沂市,67835,52961,498,2648,876,2963,41362,4605,9,14874,4002,4290,1274,3764,778,265,501
邳州市,111898,88923,988,3233,785,3386,74999,5514,18,22975,7739,6382,1828,5230,849,262,685
常州市,304349,220001,8977,14668,9247,32102,69295,85666,46,84348,14557,23711,22470,12095,2508,5520,3487
天宁区,23756,13983,1273,2273,1445,3800,31,5156,5,9773,2185,760,4977,116,241,1072,422
钟楼区,20185,11335,960,1963,1452,3032,43,3884,1,8850,1515,749,4660,134,274,1106,412
戚墅堰区,7573,4882,143,508,482,780,310,2647,12,2691,441,403,1282,126,93,246,100
郊区,37823,25773,1249,2148,1300,5152,2557,13360,7,12050,3977,2483,3044,648,420,1133,345
溧阳市,57936,42920,727,2002,1271,3956,26409,8554,1,15016,1812,5496,2461,3687,477,518,565
金坛市,42758,32237,1009,1622,614,3945,14506,10534,7,10521,1369,3707,1616,2489,346,455,539
武进市,114318,88871,3616,4152,2683,11437,25439,41531,13,25447,3258,10113,4430,4895,657,990,1104
苏州市,562681,422669,14880,27289,19953,68398,89460,202575,114,140012,23543,39766,38469,16409,4217,11958,5650
沧浪区,26523,14274,1676,2732,1671,3680,38,4461,16,12249,3551,795,5657,150,282,1419,395
平江区,35007,23196,1109,2346,1794,4389,3473,10085,,11811,1953,1995,4934,561,396,1448,524
金阊区,32463,18897,1184,2478,2047,4337,230,8618,3,13566,2931,1302,5606,546,485,1920,776
虎丘区,18512,13461,432,824,473,2739,1542,7450,1,5051,1236,1319,1209,403,160,536,188
常熟市,103136,82835,2235,4088,3996,12543,17433,42540,,20301,3071,6530,5301,3023,627,1083,666
张家港市,77488,59857,2506,3650,1362,9279,13996,29013,51,17631,2641,5703,3705,3254,435,1000,893
昆山市,60718,46389,1227,2906,2432,7791,10193,21840,,14329,1807,5488,2993,1628,587,1355,471
吴江市,72170,56414,2012,2944,1341,8365,16928,24824,,15756,1818,6574,3110,2189,408,1215,442
太仓市,43300,34426,906,1935,1474,4074,11270,14760,7,8874,1294,2124,2481,1452,303,792,428
吴县市,93364,72920,1593,3386,3363,11201,14357,38984,36,20444,3241,7936,3473,3203,534,1190,867
南通市,603890,484635,11917,21857,7968,38404,283814,120519,156,119255,20214,26270,28971,29083,4424,6104,4189
崇川区,43394,27417,2408,4012,2117,5988,2222,10652,18,15977,4589,1453,6531,744,645,1552,463
港闸区,17789,12431,415,780,362,1728,2902,6228,16,5358,687,986,2125,726,205,469,160
海安县,74319,60532,1272,2701,928,4748,37630,13237,16,13787,2193,2965,2841,3927,474,781,606
如东县,89800,73817,1273,2646,749,4569,51025,13552,3,15983,1912,4014,3062,5404,449,655,487
启东市,85041,71292,1552,2660,813,5028,46281,14903,55,13749,2358,2803,2965,3725,738,659,501
如皋市,108158,86074,1514,3346,1021,5549,54738,19903,3,22084,3068,7288,3387,5938,685,763,955
通州市,110422,91644,2016,3333,990,5835,52722,26703,45,18778,3196,3970,4643,5208,661,608,492
海门市,74967,61428,1467,2379,988,4959,36294,15341,,13539,2211,2791,3417,3411,567,617,525
连云港市,319396,241394,4038,12347,4363,16198,179191,25153,104,78002,16404,23337,11529,14810,5312,3768,2842
连云区,10510,6401,413,844,505,1607,657,2357,18,4109,704,1133,1238,175,424,365,70
云台区,11165,6895,275,559,179,991,2092,2782,17,4270,515,1328,1052,430,560,248,137
新浦区,20875,10723,972,2247,1448,3112,145,2792,7,10152,3150,1131,3341,131,616,1327,456
海州区,10642,6795,177,574,305,997,3078,1661,3,3847,776,765,989,313,388,453,163
赣榆县,72953,55832,540,2341,624,2781,42915,6626,5,17121,3455,6537,1099,4471,676,382,501
东海县,78573,63982,566,2222,524,2120,56130,2389,31,14591,2896,4773,1458,3904,592,381,587
灌云县,67302,52360,677,2147,402,2772,42805,3554,3,14942,2930,5061,1768,2947,1308,399,529
灌南县,47376,38406,418,1413,376,1818,31369,2992,20,8970,1978,2609,584,2439,748,213,399
淮阴市,361077,279183,4155,12758,5432,22428,199171,35239,,81894,15973,25738,11925,19074,4379,2742,2063
清河区,19464,11154,513,1920,1454,2742,757,3768,,8310,3205,1420,2149,264,509,438,325
清浦区,22645,16476,260,1141,810,2137,7960,4168,,6169,903,1707,1888,699,409,383,180
淮阴县,58350,46149,406,1682,445,3181,35744,4691,,12201,2338,3958,1103,3761,635,187,219
涟水县,67281,53844,554,1818,530,2159,45023,3760,,13437,2884,3762,1370,3971,675,382,393
洪泽县,27088,20689,392,949,376,1485,15520,1967,,6399,851,2569,835,1411,377,220,136
盱眙县,51156,39298,791,1624,366,2592,30307,3618,,11858,2161,3938,1378,3193,566,417,205
金湖县,28349,22122,510,1127,513,2221,14124,3627,,6227,936,1990,993,1471,351,327,159
淮安市,86744,69451,729,2497,938,5911,49736,9640,,17293,2695,6394,2209,4304,857,388,446
盐城市,606540,482875,10607,20316,7078,37551,338437,68770,116,123665,25813,34606,18851,26515,7993,5620,4267
城区,52025,34756,2395,3523,1808,6715,10007,10288,20,17269,5180,3666,3504,1408,1239,1415,857
响水县,40895,31809,522,1278,482,2460,23430,3636,1,9086,1544,2606,1174,1952,935,448,427
滨海县,75879,62467,678,1990,931,3201,50252,5415,,13412,3641,3456,1597,3226,810,439,243
阜宁县,78169,61947,871,2208,485,3536,49292,5501,54,16222,3938,4765,1522,3877,948,478,694
射阳县,82913,67245,1121,2685,883,4969,49506,8073,8,15668,2731,4865,2453,3558,1090,579,392
建湖县,59145,45378,1347,1965,519,4002,29267,8268,10,13767,2252,4936,1723,3287,796,388,385
盐都县,64718,52337,836,1723,271,3433,39420,6633,21,12381,2443,4313,1200,3305,787,133,200
东台市,91269,74827,1485,2693,1028,5130,51183,13308,,16442,2361,3818,3327,3926,861,1360,789
大丰市,61527,52109,1352,2251,671,4105,36080,7648,2,9418,1723,2181,2351,1976,527,380,280
扬州市,348692,263390,5946,15914,10107,35270,112641,83415,97,85302,13970,29999,19201,10824,3115,3375,4818
广陵区,37120,22389,635,3773,3633,6571,290,7480,7,14731,4704,1690,6093,192,439,1017,596
郊区,15143,11347,238,717,762,2310,1936,5384,,3796,1084,1101,917,198,141,170,185
宝应县,64093,51047,998,2384,760,5443,33533,7899,30,13046,1557,5164,1847,1980,628,430,1440
邗江县,44621,34018,1143,1576,600,4673,9737,16279,10,10603,1533,4721,1775,1441,257,378,498
仪征市,44677,33341,717,2118,1620,3992,12003,12880,11,11336,1320,4171,2380,2077,607,333,448
高邮市,63357,51118,950,2190,1065,4781,30670,11460,2,12239,1750,4975,2032,2075,419,388,600
江都市,79681,60130,1265,3156,1667,7500,24472,22033,37,19551,2022,8177,4157,2861,624,659,1051
镇江市,227525,164217,5132,11098,7359,22997,61849,55745,37,63308,11166,17903,15532,8976,2868,4107,2756
京口区,33391,19454,611,2799,3097,3829,1675,7429,14,13937,4490,1702,4705,542,524,1099,875
润州区,21932,12811,672,1430,1028,3285,1168,5225,3,9121,1249,1467,3784,340,638,1152,491
丹徒县,30240,22811,445,845,485,2258,11703,7074,1,7429,793,2941,1190,1775,320,195,215
丹阳市,71332,55531,2026,2672,1422,7227,21359,20825,,15801,2306,5249,3368,2946,610,905,417
扬中市,24389,18764,688,1675,572,3454,4653,7722,,5625,548,2142,1011,1025,253,358,288
句容市,46241,34846,690,1677,755,2944,21291,7470,19,11395,1780,4402,1474,2348,523,398,470
泰州市,379202,296306,6425,14789,7203,31167,163248,73249,225,82896,12353,23459,17094,18023,3452,5603,2912
海陵区,33407,22152,1006,2107,1718,3718,4901,8693,9,11255,2023,1980,4199,899,577,1271,306
高港区,16431,12692,228,585,385,1685,5020,4789,,3739,535,1148,758,947,93,156,102
兴化市,112117,91851,1388,3452,1346,8155,65517,11908,85,20266,2988,6500,2974,4575,1013,1516,700
靖江市,51015,40001,1169,2715,1368,5284,15539,13912,14,11014,1247,2815,2788,2555,486,760,363
泰兴市,95348,74215,1304,3542,1482,7646,41680,18446,115,21133,3544,6078,3489,5620,730,754,918
姜堰市,70884,55395,1330,2388,904,4679,30591,15501,2,15489,2016,4938,2886,3427,553,1146,523
宿迁市,352900,281157,3061,10199,3849,18240,212207,33482,119,71743,14555,21555,6313,19717,4377,1906,3320
宿城区,16612,11189,461,1142,981,2026,3191,3382,6,5423,985,1470,1273,534,458,431,272
宿豫县,62903,51422,406,1885,223,3064,39856,5976,12,11481,2027,3815,597,3656,530,86,770
沭阳县,118426,91455,861,3057,716,6242,68387,12141,51,26971,5706,8657,1669,7049,1754,649,1487
泗阳县,84343,68180,566,2269,1151,4243,50375,9567,9,16163,3026,4410,1595,5123,1119,464,426
