表5    各职业大类人口和未工作人口（长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位：人
县市名,,,,,,,,,,,,,,,,,
,15岁及以上人口,各种职业人口,国家机关、党群组织、,专业技术人员,办事人员和有关人员,商业、服务业人员,农林牧渔水利业,生产、运输设备操作,不便分类的其他,各种未工作人口,在校学生,料理家务,离退休,丧失劳动能力,从未工作,失去工作,其他
,总        计,总        计,企业、事业单位负责人,,,,生  产  人  员,人 员 及 有 关 人 员,从  业  人  员,总        计,,,,,正在寻找工作,正在寻找工作,
,,,,,,,,,,,,,,,,,
深泽县,18783,13427,206,641,256,1118,8389,2802,15,5356,1070,1738,462,1327,298,64,397
赞皇县,17307,13285,59,271,194,254,12206,301,,4022,1370,1596,138,720,75,18,105
无极县,35998,26879,242,705,350,1376,20584,3613,9,9119,2566,2885,331,2451,527,53,306
平山县,33910,27443,367,828,352,597,24433,856,10,6467,2290,1685,324,1720,238,27,183
元氏县,27724,21216,147,509,305,551,18262,1438,4,6508,2421,1919,205,1481,202,17,263
赵县,40932,32212,237,1183,651,943,27226,1972,,8720,3007,2462,366,2354,297,50,184
辛集市,47262,36303,338,1488,640,1877,27454,4505,1,10959,3321,2932,1069,3074,257,78,228
藁城市,55142,39790,621,1690,651,3712,24601,8460,55,15352,4892,4576,552,4225,603,46,458
晋州市,38961,29071,486,905,623,1940,19534,5576,7,9890,3315,2999,444,2613,272,61,186
新乐市,32300,25316,205,929,237,1152,21108,1684,1,6984,2810,1295,402,1794,368,129,186
鹿泉市,29961,20745,543,1224,617,2266,9407,6634,54,9216,3134,2368,866,2196,375,122,155
唐山市,557929,398490,8275,23498,12880,32373,241556,79755,153,159439,30095,50104,30570,29344,9206,5164,4956
路南区,27146,16045,380,1698,1388,3359,3456,5762,2,11101,2335,2521,3550,742,807,600,546
路北区,47766,26640,1486,4952,2704,5238,2004,10256,,21126,5499,3474,8310,697,1426,1155,565
古冶区,32655,17622,613,1421,1343,1977,3200,9068,,15033,1531,5445,5001,866,1304,565,321
开平区,21991,13924,296,988,760,2081,3015,6784,,8067,839,2820,2066,912,679,512,239
新区,12873,8465,338,1116,474,1055,2082,3395,5,4408,605,1288,1359,370,251,298,237
丰润县,55229,41631,665,1636,1037,3128,26836,8310,19,13598,2733,4383,1488,3783,671,210,330
滦县,42306,33632,462,1236,477,1621,25845,3988,3,8674,2155,2408,971,2323,360,187,270
滦南县,46031,34913,344,1078,458,1058,29791,2178,6,11118,1897,4041,927,3461,312,123,357
乐亭县,41008,32948,461,1101,495,1600,26885,2395,11,8060,1695,1723,1118,2945,225,163,191
迁西县,27475,20560,460,1037,387,1331,14119,3226,,6915,1406,2733,561,1234,591,91,299
玉田县,51362,38440,696,1607,304,1922,29527,4372,12,12922,2838,4286,967,3621,592,228,390
唐海县,11017,7221,206,537,407,668,4133,1270,,3796,305,1520,1090,309,182,370,20
遵化市,51418,38420,779,1707,727,2878,26419,5904,6,12998,2405,5211,948,2945,681,245,563
丰南市,42310,32285,543,1607,1018,2004,21537,5512,64,10025,1611,3794,1139,2589,416,174,302
迁安市,47342,35744,546,1777,901,2453,22707,7335,25,11598,2241,4457,1075,2547,709,243,326
秦皇岛市,220001,161080,3742,9738,6209,13433,104092,23847,19,58921,13430,16638,11178,10833,2682,1939,2221
海港区,48589,28754,1594,4224,3532,6560,2683,10147,14,19835,5717,4437,6009,784,997,978,913
山海关区,12986,8082,271,730,652,1357,2300,2771,1,4904,433,1563,1697,393,333,338,147
北戴河区,5993,3550,283,377,220,1045,624,1000,1,2443,581,877,481,240,59,57,148
青龙满族自治县,36538,28432,308,976,391,978,23770,2008,1,8106,1802,3019,390,2175,438,73,209
昌黎县,44702,35004,566,1356,541,1308,28827,2406,,9698,2355,2198,1094,3188,300,241,322
抚宁县,39639,30950,413,1156,567,1574,22725,4515,,8689,1358,3262,922,2282,382,167,316
卢龙县,31554,26308,307,919,306,611,23163,1000,2,5246,1184,1282,585,1771,173,85,166
邯郸市,619159,473282,5588,18191,9842,20876,373725,44958,102,145877,47494,39333,18755,24546,6960,4033,4756
邯山区,22728,12590,505,2491,1556,3096,957,3972,13,10138,3263,1698,3350,174,566,618,469
丛台区,24264,13277,728,2475,1906,3075,392,4661,40,10987,3334,1522,4027,198,508,742,656
复兴区,18370,11172,467,1314,926,1836,435,6187,7,7198,1217,2213,2236,184,593,513,242
峰峰矿区,39214,23420,586,1969,1561,2648,7231,9425,,15794,2547,5184,3545,980,1379,1553,606
邯郸县,28495,21980,277,666,227,754,17740,2303,13,6515,2366,1861,474,1241,254,38,281
临漳县,41250,32822,228,820,228,521,30668,348,9,8428,3350,2016,374,1904,330,56,398
成安县,26275,20769,228,630,258,550,17748,1351,4,5506,1874,1393,330,1470,245,52,142
大名县,52556,44419,173,566,164,398,42721,397,,8137,3985,1288,393,2094,166,31,180
涉县,27146,20501,323,774,295,840,16401,1868,,6645,1395,2971,395,1097,419,90,278
磁县,46155,34468,346,1080,520,1398,27430,3694,,11687,3201,4163,666,2527,776,79,275
肥乡县,23424,19683,64,374,125,216,18730,174,,3741,1774,715,229,860,99,20,44
永年县,60251,47205,426,1232,440,1627,40174,3296,10,13046,5644,3506,518,2711,413,38,216
邱县,15085,12848,67,234,113,234,12030,166,4,2237,1079,339,131,572,56,,60
鸡泽县,18087,14246,73,270,84,70,13664,85,,3841,1496,1108,132,869,166,3,67
广平县,18315,14886,149,442,126,323,13488,358,,3429,1622,662,193,767,110,14,61
馆陶县,21264,18400,222,400,139,510,16913,216,,2864,956,518,172,972,86,14,146
魏县,55926,47293,135,570,249,364,45665,308,2,8633,4034,1482,383,2305,189,37,203
曲周县,28515,23581,143,486,219,372,21852,509,,4934,1436,1359,271,1539,199,11,119
武安市,51839,39722,448,1398,706,2044,29486,5640,,12117,2921,5335,936,2082,406,124,313
邢台市,495073,388651,5005,13461,7120,15707,313447,33481,430,106422,35468,26151,9333,24628,5656,1703,3483
桥东区,17676,10711,790,1690,1063,2648,802,3712,6,6965,1705,1456,2035,263,519,543,444
桥西区,24371,14357,767,2155,2104,2228,1928,5137,38,10014,3112,2173,2589,407,727,511,495
邢台县,35056,26371,390,843,137,1237,20102,3637,25,8685,2718,2919,355,1878,494,43,278
临城县,14770,11589,153,387,173,342,9829,699,6,3181,1014,806,155,806,211,48,141
内丘县,19748,15939,171,482,249,419,13565,1050,3,3809,1458,750,242,1027,188,16,128
柏乡县,13665,10655,121,338,95,299,9410,389,3,3010,1303,551,147,880,62,15,52
隆尧县,35263,28644,180,611,249,590,25142,1574,298,6619,2243,1487,329,1975,392,28,165
任县,22287,17248,110,340,173,348,15485,792,,5039,1514,1757,181,1119,325,22,121
南和县,22633,16207,225,465,167,715,11979,2651,5,6426,1913,2525,178,1009,444,36,321
宁晋县,53186,42963,496,1217,430,1272,36407,3117,24,10223,2695,2518,606,3657,442,100,205
巨鹿县,26870,22258,106,452,293,411,20606,390,,4612,1605,913,240,1486,141,63,164
新河县,12136,10312,53,246,163,129,9597,124,,1824,488,383,171,635,78,11,58
广宗县,19230,15954,87,330,133,160,15047,197,,3276,1266,567,158,1071,145,20,49
平乡县,20666,16141,192,268,138,595,13879,1068,1,4525,1792,1186,115,978,328,5,121
威县,40393,34613,163,522,260,264,33188,215,1,5780,2526,786,258,1909,157,34,110
清河县,27138,21076,200,737,360,1065,16314,2397,3,6062,2582,1274,252,1422,290,16,226
临西县,23054,19909,124,424,83,381,18519,378,,3145,1363,532,173,880,110,11,76
南宫市,35183,30098,209,829,393,1316,26119,1219,13,5085,1537,936,439,1883,154,43,93
沙河市,31748,23606,468,1125,457,1288,15529,4735,4,8142,2634,2632,710,1343,449,138,236
保定市,798424,594478,7979,25077,12121,39884,426352,82536,529,203946,57905,59296,21852,44410,8372,2806,9305
新市区,31572,19453,1052,2896,1908,3219,2865,7489,24,12119,2638,2832,4402,518,518,444,767
北市区,21005,11100,497,1838,1524,2296,1914,3024,7,9905,4899,1336,2283,404,344,209,430
南市区,18750,11094,488,1321,706,2525,2727,3294,33,7656,2357,1527,2243,432,322,268,507
满城县,28880,22802,259,1007,350,1277,18189,1703,17,6078,2060,1566,642,1415,222,42,131
清苑县,45789,34640,336,1030,468,1725,26376,4704,1,11149,3245,3133,752,3169,516,83,251
涞水县,25685,19104,190,684,192,699,15485,1848,6,6581,1678,2620,375,1223,290,33,362
阜平县,15083,10293,103,439,152,294,9118,175,12,4790,797,2506,215,724,302,16,230
徐水县,42195,30989,420,1135,540,3136,19316,6430,12,11206,3129,3451,1000,2680,439,129,378
定兴县,39974,32130,273,984,256,1100,27476,2027,14,7844,2482,1787,640,2497,222,66,150
唐县,38682,29513,253,903,319,861,24359,2805,13,9169,2764,2994,468,2257,394,94,198
高阳县,23795,17935,385,588,279,1337,11427,3916,3,5860,1538,1731,485,1602,233,98,173
容城县,17674,12625,181,457,204,1041,7435,3116,191,5049,1043,2050,363,1184,180,22,207
涞源县,19124,14219,156,637,251,498,12011,665,1,4905,567,2416,356,679,289,48,550
望都县,19395,14730,288,581,202,693,11423,1459,84,4665,1622,958,371,1161,175,63,315
安新县,29573,21881,289,700,374,3178,12553,4782,5,7692,1309,3247,338,2155,276,73,294
易县,42440,33723,362,1131,502,1563,27001,3160,4,8717,2505,2547,530,2324,337,145,329
曲阳县,37696,26695,171,652,212,777,21690,3188,5,11001,2948,4274,420,1831,605,52,871
蠡县,38786,31135,255,849,341,1166,22760,5763,1,7651,2703,1915,470,2089,220,48,206
顺平县,22378,17464,207,616,274,852,14041,1471,3,4914,1346,1384,372,1390,138,48,236
博野县,18529,14962,112,384,199,478,12899,887,3,3567,1334,661,267,1060,119,40,86
雄县,24142,18957,254,609,268,875,15164,1784,3,5185,1034,1697,326,1691,207,50,180
涿州市,43892,31591,500,1813,964,3107,19544,5590,73,12301,3243,3634,1782,2567,506,177,392
定州市,83437,65053,404,1792,511,3080,53458,5800,8,18384,6197,3553,1336,5492,797,351,658
安国市,29696,22697,144,724,424,1650,17916,1839,,6999,2184,2033,476,1241,277,83,705
高碑店市,40252,29693,400,1307,701,2457,19205,5617,6,10559,2283,3444,940,2625,444,124,699
张家口市,330458,234985,4869,13213,8081,19086,156254,33375,107,95473,14689,40864,14779,12469,6038,4328,2306
桥东区,23176,12650,817,1874,1413,2913,862,4771,,10526,2481,2436,3450,280,661,1127,91
桥西区,19557,10203,348,1430,1141,2559,1256,3439,30,9354,2007,2369,2671,343,707,962,295
宣化区,25924,15222,601,1688,1829,2814,2262,6006,22,10702,1483,3342,3459,333,850,925,310
下花园区,5561,3433,182,283,180,494,1246,1042,6,2128,118,948,538,193,122,180,29
宣化县,22712,17304,268,608,165,834,13198,2231,,5408,1057,2217,324,1074,590,107,39
张北县,23392,19158,327,701,240,1313,14689,1887,1,4234,797,1589,374,1123,166,117,68
康保县,17864,15458,166,524,223,564,13276,705,,2406,503,788,235,637,89,47,107
沽源县,13769,11389,117,494,155,574,9732,303,14,2380,380,1040,157,580,124,50,49
尚义县,12054,10247,132,464,154,385,8437,670,5,1807,354,667,190,436,86,56,18
蔚县,34571,25439,309,870,504,1318,19519,2918,1,9132,1147,4832,603,1494,550,160,346
阳原县,19321,14829,172,593,350,616,11677,1420,1,4492,489,2305,317,1021,202,85,73
怀安县,17521,13561,294,600,224,766,10447,1229,1,3960,797,1762,373,665,239,72,52
万全县,15777,11231,160,505,266,723,8207,1367,3,4546,497,2631,320,710,195,66,127
怀来县,25236,17071,338,886,498,1588,11001,2755,5,8165,937,4541,765,1119,465,147,191
涿鹿县,25738,18002,218,739,405,803,14648,1174,15,7736,813,4591,586,1077,363,111,195
赤城县,19714,13494,259,643,200,558,11050,783,1,6220,556,3614,280,934,498,71,267
崇礼县,8571,6294,161,311,134,264,4747,675,2,2277,273,1192,137,450,131,45,49
承德市,258773,186349,4360,9969,5048,13622,126993,26232,125,72424,12653,30469,7508,11952,4535,2335,2972
双桥区,21809,12232,1093,2020,1333,2816,1700,3257,13,9577,2900,1710,2560,346,573,750,738
双滦区,7576,4597,177,441,337,719,806,2054,63,2979,260,1197,800,200,202,218,102
鹰手营子矿区,5423,2975,111,341,288,507,270,1439,19,2448,135,1013,608,151,196,228,117
承德县,34908,26190,655,1005,390,1753,17759,4628,,8718,1501,3836,531,1885,551,184,230
兴隆县,23784,16177,515,778,368,1055,10803,2657,1,7607,699,4095,503,1455,438,198,219
平泉县,34182,26932,365,1097,598,1429,20762,2678,3,7250,1414,2517,639,1845,457,112,266
