表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
海林市,16.99 ,76.29 ,6.72 ,30.64 ,22669,16290,6316,63,6.89 ,4.65 ,2.24 ,0.86 ,2582,1034,623
宁安市,18.08 ,75.80 ,6.12 ,30.68 ,20845,15155,5629,61,8.34 ,4.35 ,3.99 ,0.95 ,5077,2663,1915
穆棱市,19.21 ,74.71 ,6.07 ,30.52 ,14560,10383,4145,32,8.07 ,4.11 ,3.96 ,0.97 ,1680,1904,1069
黑河市,19.34 ,75.70 ,4.96 ,30.70 ,65572,49118,16333,121,8.62 ,4.86 ,3.76 ,0.96 ,97688,85932,17400
爱辉区,18.62 ,76.23 ,5.16 ,31.45 ,7776,5701,2056,19,8.01 ,4.86 ,3.15 ,0.73 ,21421,17728,4095
嫩江县,19.11 ,76.05 ,4.85 ,30.90 ,19173,14388,4752,33,9.99 ,5.64 ,4.35 ,0.96 ,17571,20723,5977
逊克县,21.42 ,74.22 ,4.36 ,30.12 ,3551,2679,865,7,9.39 ,4.31 ,5.08 ,1.05 ,3640,10944,1835
孙吴县,21.33 ,74.53 ,4.13 ,30.74 ,3172,2401,763,8,8.74 ,4.55 ,4.19 ,1.17 ,9288,9184,1389
北安市,18.56 ,76.09 ,5.35 ,30.66 ,18699,13983,4682,34,7.69 ,4.41 ,3.28 ,0.99 ,30170,11403,1987
五大连池市,19.91 ,75.16 ,4.93 ,30.18 ,13201,9966,3215,20,7.88 ,4.53 ,3.34 ,0.97 ,15598,15950,2117
绥化市,20.90 ,74.22 ,4.88 ,30.66 ,191673,139589,51651,433,9.23 ,5.22 ,4.01 ,0.88 ,194831,35211,5466
北林区,19.98 ,74.71 ,5.31 ,30.98 ,32645,23159,9402,84,8.51 ,4.92 ,3.59 ,0.97 ,43000,7685,1051
望奎县,20.09 ,74.64 ,5.27 ,30.45 ,17878,12697,5139,42,9.05 ,5.05 ,4.00 ,0.94 ,7883,973,127
兰西县,22.52 ,72.54 ,4.94 ,30.08 ,16459,11958,4465,36,9.76 ,5.01 ,4.75 ,0.91 ,23123,1860,240
青冈县,21.89 ,73.31 ,4.80 ,30.14 ,15234,10972,4216,46,9.03 ,5.23 ,3.81 ,0.81 ,12960,1186,117
庆安县,20.40 ,75.15 ,4.45 ,31.06 ,12591,9367,3207,17,8.96 ,5.26 ,3.70 ,0.78 ,9090,2019,203
明水县,23.65 ,71.60 ,4.75 ,29.74 ,10843,7964,2857,22,8.85 ,5.03 ,3.82 ,0.79 ,5710,826,237
绥棱县,19.64 ,75.24 ,5.12 ,30.97 ,11861,8765,3076,20,9.57 ,5.50 ,4.08 ,1.12 ,16237,2919,373
安达市,20.04 ,75.31 ,4.65 ,31.17 ,17300,12908,4354,38,10.42 ,5.77 ,4.65 ,0.87 ,31638,9654,1720
肇东市,21.60 ,73.80 ,4.61 ,30.68 ,29829,21673,8081,75,9.46 ,5.04 ,4.42 ,0.82 ,25927,5078,857
海伦市,20.32 ,74.90 ,4.78 ,30.79 ,27033,20126,6854,53,9.06 ,5.56 ,3.50 ,0.80 ,19263,3011,541
大兴安岭地区,19.18 ,76.62 ,4.21 ,30.41 ,16569,11975,4568,26,8.51 ,3.82 ,4.69 ,0.99 ,22576,55960,15207
加格达奇区,17.47 ,77.41 ,5.11 ,30.90 ,5402,3652,1742,8,7.60 ,3.53 ,4.07 ,0.91 ,14315,13995,3914
松岭区,20.09 ,76.26 ,3.64 ,29.29 ,1067,815,250,2,10.08 ,4.70 ,5.39 ,1.09 ,190,3438,1406
新林区,19.35 ,76.40 ,4.25 ,28.58 ,1703,1288,413,2,9.21 ,4.74 ,4.46 ,0.89 ,944,3892,868
呼中区,18.48 ,77.77 ,3.75 ,30.29 ,1315,967,343,5,9.09 ,4.95 ,4.14 ,0.68 ,568,4118,867
呼玛县,19.95 ,75.95 ,4.10 ,30.97 ,1946,1448,496,2,8.89 ,3.55 ,5.34 ,1.05 ,2779,10226,2218
塔河县,19.98 ,75.92 ,4.10 ,29.85 ,3022,2237,781,4,8.10 ,3.43 ,4.67 ,1.25 ,2603,11788,2531
漠河县,20.52 ,76.18 ,3.30 ,31.52 ,2114,1568,543,3,8.84 ,3.39 ,5.45 ,1.03 ,1177,8503,3403
,,,,,,,,,,,,0.00 ,,,
上海市,12.26 ,76.28 ,11.46 ,29.47 ,1349969,860962,481766,7241,5.51 ,5.78 ,-0.27 ,0.68 ,1024515,1225152,3134922
市辖区,11.94 ,76.55 ,11.51 ,29.51 ,1187183,759031,421883,6269,5.39 ,5.68 ,-0.29 ,0.67 ,882377,1173531,2883281
黄浦区,11.08 ,70.77 ,18.15 ,26.56 ,25157,16485,8537,135,3.54 ,9.91 ,-6.37 ,0.57 ,2635,10089,20323
南市区,11.86 ,71.56 ,16.58 ,27.64 ,47080,31261,15618,201,4.38 ,10.20 ,-5.82 ,0.58 ,15906,27019,48238
卢湾区,11.03 ,71.67 ,17.31 ,27.31 ,41184,26534,14372,278,3.63 ,9.59 ,-5.96 ,0.47 ,11845,29389,34954
徐汇区,10.74 ,77.01 ,12.25 ,29.70 ,93176,58728,33804,644,4.69 ,5.37 ,-0.67 ,0.65 ,74376,103359,185234
长宁区,11.19 ,76.07 ,12.74 ,29.35 ,63465,39402,23684,379,4.65 ,5.87 ,-1.22 ,0.61 ,42871,63738,116468
静安区,10.64 ,71.66 ,17.70 ,27.00 ,38823,24443,14103,277,3.87 ,10.11 ,-6.25 ,0.61 ,9030,23192,32217
普陀区,11.15 ,76.77 ,12.08 ,29.58 ,90907,57172,33315,420,4.35 ,5.77 ,-1.42 ,0.56 ,69440,92306,197648
闸北区,12.09 ,74.65 ,13.26 ,28.92 ,77714,51440,25968,306,4.41 ,6.95 ,-2.54 ,0.68 ,52890,65523,119093
虹口区,11.46 ,74.19 ,14.35 ,28.10 ,89033,56939,31717,377,4.28 ,7.32 ,-3.04 ,0.56 ,48263,76422,104884
杨浦区,11.11 ,76.42 ,12.47 ,28.94 ,111443,70915,40031,497,4.22 ,6.06 ,-1.84 ,0.66 ,100170,95240,152502
闵行区,11.57 ,79.86 ,8.57 ,31.10 ,73787,47149,26252,386,6.89 ,3.56 ,3.33 ,0.70 ,48286,161121,412097
宝山区,12.81 ,78.03 ,9.16 ,29.13 ,80434,51124,28886,424,5.95 ,4.15 ,1.80 ,0.78 ,60028,137668,330181
嘉定区,11.98 ,78.07 ,9.95 ,30.54 ,53196,33253,19599,344,6.46 ,4.78 ,1.68 ,0.67 ,56242,58716,213554
浦东新区,12.30 ,77.51 ,10.18 ,30.24 ,175273,111310,63061,902,6.10 ,4.61 ,1.50 ,0.70 ,177799,187099,601751
金山区,14.25 ,75.75 ,9.99 ,29.41 ,42285,27630,14406,249,6.01 ,6.03 ,-0.02 ,0.89 ,32830,19911,43263
松江区,13.81 ,76.52 ,9.67 ,30.02 ,44653,29206,15193,254,7.77 ,5.43 ,2.34 ,0.74 ,46923,14551,135233
青浦区,13.25 ,77.68 ,9.06 ,30.77 ,39573,26040,13337,196,6.08 ,5.16 ,0.93 ,0.71 ,32843,8188,135641
市辖县,14.47 ,74.40 ,11.13 ,29.16 ,162786,101931,59883,972,6.39 ,6.51 ,-0.12 ,0.88 ,142138,51621,251641
南汇县,14.71 ,75.11 ,10.18 ,29.53 ,56494,34676,21553,265,6.76 ,5.71 ,1.04 ,0.85 ,43889,17958,97473
奉贤县,13.58 ,76.90 ,9.52 ,31.02 ,41907,26300,15309,298,6.96 ,5.43 ,1.53 ,0.84 ,59120,20348,106390
崇明县,15.03 ,71.15 ,13.82 ,26.94 ,64385,40955,23021,409,5.41 ,8.51 ,-3.11 ,1.02 ,39129,13315,47778
,,,,,,,,,,,,0.00 ,,,
江苏省,19.63 ,71.52 ,8.84 ,28.58 ,4853824,3343200,1488087,22537,7.98 ,5.96 ,2.02 ,0.97 ,4092466,2470494,2536889
南京市,15.43 ,76.08 ,8.49 ,29.13 ,395368,278629,115561,1178,6.89 ,5.24 ,1.65 ,0.83 ,602471,405933,389814
玄武区,11.48 ,80.68 ,7.84 ,30.18 ,28420,19176,9129,115,6.10 ,3.38 ,2.72 ,0.71 ,68645,47263,37042
白下区,12.36 ,78.65 ,8.99 ,30.06 ,25089,17344,7678,67,6.42 ,4.45 ,1.97 ,0.79 ,56620,32103,25176
秦淮区,12.56 ,77.72 ,9.72 ,30.03 ,21754,15490,6208,56,6.36 ,5.33 ,1.03 ,0.81 ,47408,27158,23940
建邺区,12.25 ,79.32 ,8.43 ,30.97 ,22848,15888,6899,61,6.35 ,4.49 ,1.85 ,0.76 ,76403,35770,42878
鼓楼区,11.29 ,80.97 ,7.75 ,30.24 ,35747,23554,12021,172,6.01 ,3.28 ,2.72 ,0.71 ,85109,61146,49873
下关区,12.42 ,78.76 ,8.82 ,29.23 ,24403,16930,7412,61,6.72 ,4.82 ,1.91 ,0.78 ,61663,36703,38246
浦口区,13.05 ,79.21 ,7.75 ,28.95 ,13056,9101,3921,34,6.09 ,4.45 ,1.64 ,0.79 ,20421,21720,26046
大厂区,15.29 ,77.63 ,7.08 ,29.22 ,11590,7831,3727,32,8.28 ,4.33 ,3.95 ,0.90 ,19996,20444,15047
栖霞区,14.26 ,78.47 ,7.27 ,29.44 ,21842,15361,6418,63,7.15 ,4.58 ,2.57 ,0.83 ,40103,34869,31061
雨花台区,13.91 ,79.59 ,6.51 ,29.65 ,13631,9623,3978,30,7.19 ,3.90 ,3.29 ,0.89 ,31439,27253,41881
江宁县,17.78 ,73.96 ,8.26 ,28.62 ,50500,37478,12886,136,7.00 ,6.14 ,0.87 ,0.88 ,35811,40804,30378
江浦县,20.76 ,70.27 ,8.96 ,27.60 ,19783,13680,6044,59,6.93 ,6.16 ,0.78 ,1.04 ,13234,6962,7708
六合县,20.24 ,70.36 ,9.40 ,28.25 ,46454,32842,13438,174,7.51 ,7.28 ,0.24 ,1.07 ,19538,8050,9791
溧水县,20.78 ,70.21 ,9.01 ,27.36 ,26918,20070,6788,60,7.73 ,6.70 ,1.03 ,1.13 ,15665,3978,6328
高淳县,19.67 ,69.60 ,10.73 ,27.39 ,33333,24261,9014,58,7.86 ,7.74 ,0.12 ,1.13 ,10416,1710,4419
无锡市,16.20 ,75.03 ,8.77 ,29.53 ,332149,225435,105457,1257,7.44 ,5.56 ,1.88 ,0.85 ,332455,372145,484500
崇安区,12.88 ,77.09 ,10.03 ,28.53 ,12777,8123,4585,69,5.84 ,4.65 ,1.18 ,0.77 ,21785,19162,13171
南长区,13.40 ,75.21 ,11.39 ,29.65 ,17484,10923,6487,74,6.14 ,4.91 ,1.23 ,0.76 ,27121,16899,10175
北塘区,13.72 ,75.57 ,10.71 ,30.45 ,14970,9794,5126,50,6.51 ,5.26 ,1.25 ,0.76 ,21990,19441,12981
郊区,13.59 ,79.12 ,7.30 ,31.30 ,43643,29214,14251,178,7.70 ,3.89 ,3.82 ,0.78 ,98415,118741,93077
马山区,15.72 ,79.22 ,5.06 ,33.27 ,1219,832,383,4,8.11 ,3.50 ,4.61 ,0.82 ,1617,6155,3110
江阴市,18.49 ,73.43 ,8.07 ,29.45 ,79568,54536,24727,305,7.95 ,5.80 ,2.15 ,0.83 ,49772,65063,125517
宜兴市,17.24 ,72.97 ,9.79 ,28.45 ,85476,59130,26061,285,6.99 ,6.23 ,0.76 ,1.04 ,75758,32367,88478
锡山市,15.85 ,75.47 ,8.68 ,29.35 ,77012,52883,23837,292,7.72 ,6.13 ,1.59 ,0.85 ,35997,94317,137991
徐州市,24.93 ,67.09 ,7.98 ,27.35 ,526494,350292,173045,3157,8.03 ,5.07 ,2.97 ,1.00 ,415073,123551,89495
鼓楼区,16.20 ,76.24 ,7.55 ,30.62 ,16841,11343,5435,63,7.33 ,3.73 ,3.60 ,0.85 ,62212,15666,13632
云龙区,16.00 ,75.55 ,8.45 ,31.30 ,13803,9243,4514,46,8.33 ,4.20 ,4.13 ,0.89 ,50806,11354,12405
九里区,20.64 ,74.12 ,5.24 ,27.57 ,7622,5103,2481,38,6.71 ,3.56 ,3.14 ,0.83 ,18362,16836,3760
贾汪区,24.39 ,68.12 ,7.49 ,27.68 ,27574,18598,8851,125,8.55 ,4.85 ,3.70 ,1.09 ,19489,11231,6350
泉山区,16.13 ,76.49 ,7.38 ,30.93 ,25328,16607,8626,95,7.59 ,3.57 ,4.02 ,0.76 ,95430,19295,14779
丰县,26.85 ,64.77 ,8.39 ,26.45 ,65034,41622,22900,512,8.67 ,5.31 ,3.36 ,0.99 ,18354,1594,5576
沛县,26.70 ,65.73 ,7.57 ,27.04 ,65410,42836,22095,479,7.49 ,4.75 ,2.74 ,0.93 ,32669,5255,9190
铜山县,24.87 ,66.98 ,8.15 ,27.51 ,76542,51382,24729,431,8.02 ,5.68 ,2.34 ,1.02 ,44084,30634,12458
睢宁县,28.84 ,62.34 ,8.83 ,25.41 ,80578,54609,25507,462,8.12 ,5.80 ,2.32 ,1.13 ,22894,2013,4058
新沂市,24.93 ,67.16 ,7.91 ,27.33 ,57054,38771,17930,353,8.12 ,4.93 ,3.19 ,1.06 ,22215,5738,2962
邳州市,25.55 ,66.49 ,7.96 ,27.23 ,90708,60178,29977,553,8.13 ,5.25 ,2.89 ,1.03 ,28558,3935,4325
常州市,16.58 ,74.67 ,8.75 ,29.86 ,249571,173687,75001,883,7.05 ,5.51 ,1.54 ,0.81 ,297161,266695,330704
天宁区,13.23 ,77.92 ,8.85 ,32.33 ,17717,11110,6521,86,7.12 ,3.96 ,3.17 ,0.80 ,56324,29819,22235
钟楼区,13.36 ,77.18 ,9.46 ,29.28 ,16702,10763,5870,69,6.85 ,4.45 ,2.40 ,0.66 ,39480,22257,14971
戚墅堰区,14.02 ,76.42 ,9.56 ,28.32 ,6252,4083,2152,17,7.14 ,5.06 ,2.08 ,0.72 ,12975,8650,7123
郊区,13.66 ,80.49 ,5.85 ,33.15 ,20590,14411,6114,65,7.59 ,3.82 ,3.77 ,0.69 ,65569,75116,67075
溧阳市,19.78 ,70.52 ,9.70 ,28.05 ,54746,38747,15836,163,7.12 ,5.84 ,1.29 ,0.97 ,36775,7590,21991
金坛市,18.62 ,71.42 ,9.96 ,30.05 ,40874,29290,11465,119,6.34 ,6.68 ,-0.34 ,0.89 ,45293,13406,30686
武进市,16.48 ,74.95 ,8.58 ,29.35 ,92690,65283,27043,364,7.10 ,5.97 ,1.13 ,0.85 ,40745,109857,166623
苏州市,14.41 ,76.01 ,9.58 ,30.73 ,484433,327764,154308,2361,6.76 ,5.91 ,0.85 ,0.74 ,358403,443554,711091
沧浪区,12.01 ,77.84 ,10.15 ,30.93 ,23185,15066,8006,113,5.99 ,5.40 ,0.60 ,0.62 ,57188,27977,24120
平江区,13.38 ,76.83 ,9.80 ,29.37 ,30551,20837,9606,108,6.01 ,5.56 ,0.45 ,0.66 ,46878,30489,37034
金阊区,12.43 ,78.27 ,9.30 ,30.86 ,26837,18520,8217,100,6.33 ,5.60 ,0.73 ,0.65 ,47411,40038,39111
虎丘区,13.51 ,80.15 ,6.34 ,33.26 ,10779,7466,3285,28,7.79 ,4.02 ,3.78 ,0.79 ,23983,36839,43849
常熟市,13.85 ,76.19 ,9.96 ,31.47 ,91591,61477,29637,477,7.01 ,6.36 ,0.66 ,0.74 ,52970,62085,154347
张家港市,16.48 ,74.25 ,9.27 ,30.53 ,64490,41588,22613,289,7.11 ,6.25 ,0.86 ,0.84 ,30823,50912,85027
昆山市,13.93 ,77.62 ,8.46 ,31.49 ,47081,31613,15249,219,6.85 ,4.93 ,1.92 ,0.73 ,27237,59080,104967
吴江市,15.27 ,74.32 ,10.42 ,29.78 ,69580,51114,18210,256,6.76 ,6.35 ,0.40 ,0.80 ,22789,23476,70055
太仓市,13.10 ,74.76 ,12.15 ,29.61 ,44631,27775,16374,482,6.63 ,7.14 ,-0.51 ,0.81 ,15008,23465,46825
吴县市,15.45 ,75.66 ,8.89 ,30.71 ,75708,52308,23111,289,6.60 ,5.63 ,0.97 ,0.72 ,34116,89193,105756
南通市,17.31 ,70.25 ,12.44 ,28.05 ,685829,453880,227018,4931,6.74 ,7.91 ,-1.17 ,0.97 ,402458,147681,141464
崇川区,13.69 ,78.40 ,7.91 ,32.42 ,31070,19884,10957,229,6.90 ,3.60 ,3.30 ,0.72 ,110141,68491,28934
港闸区,14.22 ,73.83 ,11.95 ,27.86 ,19046,12197,6656,193,6.22 ,6.25 ,-0.02 ,0.92 ,37050,16679,13674
海安县,17.40 ,70.20 ,12.40 ,28.41 ,85809,59343,25913,553,6.95 ,8.19 ,-1.24 ,1.03 ,39079,6716,10100
如东县,16.28 ,70.25 ,13.47 ,26.49 ,106962,70270,35632,1060,5.70 ,8.40 ,-2.70 ,1.01 ,37127,7203,12144
启东市,17.10 ,70.15 ,12.76 ,28.57 ,96216,59838,35918,460,6.75 ,8.42 ,-1.67 ,1.08 ,51383,10007,15486
如皋市,19.36 ,68.33 ,12.31 ,26.71 ,127743,90801,35949,993,7.04 ,8.25 ,-1.21 ,1.02 ,43296,6549,15673
通州市,17.53 ,69.51 ,12.96 ,27.53 ,129466,84252,44197,1017,6.49 ,8.09 ,-1.60 ,0.92 ,36634,18696,22789
海门市,18.17 ,68.71 ,13.11 ,29.10 ,89517,57295,31796,426,7.69 ,8.63 ,-0.94 ,1.04 ,47748,13340,22664
连云港市,26.78 ,66.17 ,7.05 ,27.15 ,237030,155959,80078,993,10.80 ,4.96 ,5.84 ,1.31 ,173391,71364,28744
连云区,18.70 ,75.67 ,5.63 ,29.79 ,5496,3688,1791,17,9.70 ,3.28 ,6.42 ,1.16 ,11238,13964,5316
云台区,24.04 ,67.88 ,8.08 ,27.36 ,8889,5744,3111,34,9.81 ,5.22 ,4.60 ,1.18 ,9220,10889,1404
新浦区,16.60 ,77.50 ,5.89 ,32.16 ,11423,7621,3758,44,9.83 ,3.22 ,6.61 ,0.92 ,45107,23041,5690
海州区,23.95 ,69.22 ,6.83 ,28.43 ,7246,4716,2501,29,10.31 ,4.15 ,6.16 ,1.04 ,16740,7368,2305
赣榆县,29.07 ,63.32 ,7.61 ,25.89 ,58302,37981,20098,223,10.65 ,5.25 ,5.40 ,1.38 ,26705,2689,5101
东海县,28.45 ,63.88 ,7.67 ,26.37 ,62689,40868,21506,315,10.73 ,5.23 ,5.51 ,1.30 ,24145,5843,5254
灌云县,27.93 ,65.43 ,6.64 ,26.92 ,49634,32579,16848,207,11.04 ,4.67 ,6.37 ,1.46 ,22239,4667,1538
灌南县,25.50 ,68.16 ,6.34 ,27.91 ,33351,22762,10465,124,11.66 ,5.63 ,6.03 ,1.29 ,17997,2903,2136
淮阴市,22.75 ,69.82 ,7.42 ,28.27 ,288306,205871,81327,1108,9.35 ,5.68 ,3.68 ,1.18 ,210717,80633,23124
清河区,17.40 ,77.35 ,5.25 ,33.19 ,9828,6765,3022,41,9.01 ,2.78 ,6.23 ,0.89 ,47802,24350,4322
清浦区,22.50 ,70.91 ,6.59 ,29.02 ,15699,11376,4264,59,8.98 ,4.57 ,4.40 ,1.22 ,32050,11929,1707
淮阴县,24.78 ,67.36 ,7.86 ,27.23 ,50617,36004,14393,220,10.27 ,5.82 ,4.45 ,1.33 ,20839,21144,4155
涟水县,25.14 ,67.79 ,7.07 ,27.33 ,54196,38093,15843,260,9.33 ,5.28 ,4.05 ,1.20 ,24524,3222,2443
洪泽县,18.88 ,73.36 ,7.76 ,29.72 ,21894,15708,6109,77,9.78 ,6.16 ,3.62 ,1.28 ,10660,4006,1452
盱眙县,22.77 ,69.47 ,7.76 ,28.14 ,42012,29138,12710,164,9.73 ,5.74 ,3.99 ,1.24 ,24047,2699,2670
金湖县,18.16 ,73.01 ,8.84 ,29.08 ,24511,17177,7250,84,6.83 ,6.54 ,0.29 ,1.07 ,23605,6618,2684
淮安市,23.09 ,69.58 ,7.33 ,27.96 ,69549,51610,17736,203,9.31 ,6.35 ,2.96 ,1.12 ,27190,6665,3691
盐城市,19.86 ,72.21 ,7.93 ,28.73 ,480721,337680,141180,1861,8.31 ,5.94 ,2.37 ,1.04 ,417923,128034,43734
城区,18.43 ,75.98 ,5.59 ,32.36 ,28856,19930,8790,136,10.50 ,2.76 ,7.74 ,0.93 ,104966,64513,5944
响水县,24.64 ,68.51 ,6.85 ,28.11 ,29145,20023,9006,116,9.75 ,5.12 ,4.63 ,1.12 ,28692,9874,1813
滨海县,23.06 ,69.91 ,7.03 ,27.95 ,56319,39397,16756,166,8.55 ,5.70 ,2.84 ,1.12 ,33901,4333,3129
阜宁县,19.69 ,72.90 ,7.41 ,29.05 ,59864,43570,16116,178,8.06 ,5.87 ,2.19 ,1.00 ,34280,5430,4320
射阳县,19.17 ,73.34 ,7.49 ,29.23 ,59874,41669,17955,250,8.34 ,6.11 ,2.23 ,1.08 ,60638,13576,4350
建湖县,20.52 ,71.76 ,7.72 ,28.44 ,46958,33516,13277,165,9.32 ,4.77 ,4.55 ,1.12 ,51692,6250,3890
盐都县,20.14 ,71.59 ,8.27 ,27.93 ,54289,38943,15193,153,8.02 ,7.11 ,0.91 ,1.04 ,30944,3386,2572
东台市,17.68 ,71.64 ,10.69 ,27.72 ,94222,65617,28139,466,6.67 ,7.72 ,-1.05 ,1.01 ,36834,6305,11225
大丰市,16.75 ,74.24 ,9.01 ,28.61 ,51194,35015,15948,231,7.04 ,6.78 ,0.26 ,0.98 ,35976,14367,6491
扬州市,17.26 ,73.60 ,9.14 ,29.45 ,320570,233499,85966,1105,8.14 ,6.77 ,1.37 ,1.02 ,285447,175474,90787
广陵区,14.07 ,78.88 ,7.05 ,32.10 ,25203,17410,7663,130,6.98 ,2.89 ,4.09 ,0.84 ,74468,57885,15704
郊区,15.10 ,78.16 ,6.74 ,32.00 ,9463,6816,2608,39,8.63 ,4.86 ,3.77 ,0.81 ,31974,29156,10113
宝应县,19.08 ,72.15 ,8.77 ,28.68 ,59219,43633,15439,147,8.96 ,7.75 ,1.21 ,1.16 ,40215,7510,4581
邗江县,17.01 ,72.94 ,10.05 ,29.29 ,42781,31478,11135,168,7.36 ,7.83 ,-0.47 ,0.94 ,21955,39684,14778
仪征市,17.91 ,73.59 ,8.50 ,29.05 ,40059,29620,10300,139,7.40 ,6.12 ,1.29 ,0.97 ,33976,9390,13756
高邮市,17.61 ,72.69 ,9.71 ,28.72 ,60177,43877,16118,182,8.48 ,7.33 ,1.15 ,1.09 ,35463,6936,8420
江都市,17.20 ,72.42 ,10.38 ,29.19 ,83668,60665,22703,300,8.55 ,7.65 ,0.89 ,1.11 ,47396,24913,23435
镇江市,16.68 ,74.58 ,8.74 ,29.10 ,191556,137879,53092,585,7.32 ,6.16 ,1.16 ,0.87 ,240022,145325,123091
京口区,13.96 ,79.06 ,6.99 ,30.03 ,22237,15479,6668,90,8.02 ,3.61 ,4.41 ,0.87 ,57760,41052,18412
润州区,15.27 ,76.42 ,8.31 ,30.24 ,16875,11763,5055,57,8.29 ,4.61 ,3.68 ,0.87 ,57062,25017,8712
丹徒县,16.43 ,73.18 ,10.39 ,28.14 ,30166,21762,8308,96,7.10 ,7.79 ,-0.69 ,0.88 ,9035,21310,10281
丹阳市,17.35 ,73.77 ,8.89 ,29.17 ,60395,43680,16562,153,6.98 ,6.69 ,0.29 ,0.84 ,60024,31351,56552
扬中市,17.03 ,73.96 ,9.01 ,29.30 ,21036,15213,5750,73,7.11 ,6.97 ,0.14 ,0.94 ,19215,13332,15144
句容市,18.27 ,72.91 ,8.82 ,28.34 ,40847,29982,10749,116,7.13 ,6.49 ,0.64 ,0.93 ,36926,13263,13990
泰州市,18.87 ,70.83 ,10.30 ,27.88 ,378380,269251,107451,1678,7.90 ,7.38 ,0.52 ,1.02 ,231765,68705,64661
海陵区,15.73 ,74.61 ,9.66 ,30.09 ,29564,20873,8568,123,7.71 ,6.48 ,1.23 ,0.91 ,55166,19905,8484
高港区,17.96 ,70.78 ,11.26 ,28.16 ,17956,13058,4814,84,7.56 ,8.27 ,-0.71 ,1.00 ,5405,7615,4690
兴化市,20.31 ,70.38 ,9.31 ,27.07 ,101917,70678,30972,267,7.73 ,6.61 ,1.12 ,1.03 ,45086,8696,7721
靖江市,18.43 ,71.75 ,9.82 ,27.98 ,48064,33978,13806,280,7.74 ,7.51 ,0.23 ,0.92 ,51581,9997,13245
泰兴市,19.51 ,69.79 ,10.71 ,27.63 ,103280,75716,26976,588,8.03 ,7.71 ,0.32 ,1.06 ,49282,10361,17122
姜堰市,17.57 ,70.65 ,11.77 ,28.43 ,77599,54948,22315,336,8.30 ,8.33 ,-0.03 ,1.05 ,25245,12131,13399
宿迁市,26.22 ,66.32 ,7.46 ,26.97 ,283417,193374,88603,1440,9.81 ,5.25 ,4.56 ,1.09 ,125180,41400,15680
宿城区,23.61 ,70.00 ,6.39 ,29.00 ,11949,8443,3444,62,9.21 ,3.91 ,5.30 ,0.98 ,26263,13943,1497
宿豫县,27.64 ,63.82 ,8.54 ,25.61 ,60503,42740,17496,267,8.89 ,5.86 ,3.03 ,1.14 ,13531,11610,2748
沭阳县,27.38 ,65.66 ,6.96 ,26.94 ,88128,58795,28853,480,10.03 ,4.99 ,5.05 ,1.06 ,34510,5391,3917
泗阳县,25.21 ,67.32 ,7.47 ,27.25 ,65065,44365,20374,326,10.31 ,5.54 ,4.77 ,1.13 ,23714,5772,3954
泗洪县,24.76 ,67.67 ,7.58 ,27.42 ,57772,39031,18436,305,9.84 ,5.13 ,4.70 ,1.10 ,27162,4684,3564
,,,,,,,,,,,,0.00 ,,,
浙江省,18.06 ,73.02 ,8.92 ,29.50 ,3187191,2334781,843288,9122,10.31 ,6.14 ,4.16 ,1.04 ,3172379,1737432,3688851
杭州市,16.45 ,74.72 ,8.83 ,29.74 ,475485,351893,122178,1414,8.56 ,5.61 ,2.95 ,0.87 ,523358,458408,502715
上城区,11.98 ,75.70 ,12.32 ,29.02 ,30588,20442,10036,110,6.53 ,5.50 ,1.03 ,0.77 ,53905,38539,26254
下城区,11.60 ,79.26 ,9.15 ,30.46 ,27979,18847,9030,102,6.39 ,3.85 ,2.54 ,0.57 ,55651,65609,42637
江干区,11.08 ,82.68 ,6.25 ,32.18 ,27254,20099,7064,91,7.09 ,3.16 ,3.93 ,0.65 ,54559,110232,110988
拱墅区,11.47 ,80.86 ,7.68 ,31.89 ,24984,17460,7441,83,7.14 ,3.60 ,3.54 ,0.66 ,54988,81529,56468
西湖区,11.36 ,81.41 ,7.23 ,32.54 ,32350,22595,9602,153,6.62 ,3.34 ,3.28 ,0.64 ,58692,67935,51261
滨江区,17.28 ,74.93 ,7.79 ,29.15 ,7266,5646,1605,15,9.35 ,4.84 ,4.51 ,1.08 ,2643,6972,11608
桐庐县,20.70 ,70.11 ,9.19 ,28.19 ,27503,20669,6778,56,9.18 ,6.89 ,2.29 ,1.01 ,27486,5107,8291
淳安县,22.30 ,67.51 ,10.19 ,26.95 ,30456,22136,8273,47,11.15 ,8.17 ,2.98 ,1.27 ,23692,1744,2010
萧山市,18.15 ,73.18 ,8.67 ,30.27 ,84987,64322,20417,248,9.87 ,5.78 ,4.09 ,1.00 ,70764,37267,96000
建德市,22.24 ,68.32 ,9.45 ,26.84 ,35329,26314,8921,94,10.42 ,7.22 ,3.20 ,1.25 ,25615,1916,6289
