表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
静海县,21.49 ,71.60 ,6.91 ,29.64 ,28487,19981,8412,94,11.51 ,5.62 ,5.89 ,1.38 ,27717,1285,43172
宝坻县,24.27 ,67.73 ,8.00 ,27.99 ,37613,24077,13284,252,6.79 ,6.01 ,0.78 ,0.83 ,20594,1252,9065
蓟县,25.37 ,66.37 ,8.26 ,26.98 ,48638,31979,16371,288,8.76 ,5.93 ,2.83 ,1.25 ,27963,1395,17057
,,,,,,,,,,,,0.00 ,,,
河北省,22.78 ,70.17 ,7.05 ,28.47 ,3588621,2530406,1043792,14423,11.45 ,6.24 ,5.21 ,1.29 ,2749974,1201283,930455
石家庄市,22.92 ,70.31 ,6.77 ,28.44 ,479752,341243,136537,1972,11.32 ,5.85 ,5.47 ,1.25 ,551594,299955,168954
长安区,13.95 ,79.87 ,6.19 ,32.50 ,22514,14932,7496,86,10.45 ,3.72 ,6.73 ,0.82 ,86120,32699,18350
桥东区,13.89 ,79.25 ,6.86 ,31.32 ,15256,10327,4881,48,10.51 ,3.85 ,6.66 ,0.94 ,53856,37919,23412
桥西区,13.32 ,80.62 ,6.07 ,33.93 ,12408,8118,4248,42,10.40 ,3.13 ,7.27 ,0.79 ,58619,28208,15585
新华区,14.25 ,79.48 ,6.27 ,32.34 ,16801,11172,5551,78,11.14 ,4.02 ,7.12 ,0.71 ,79075,31000,21323
郊区,17.82 ,77.30 ,4.88 ,32.26 ,16321,11512,4754,55,8.94 ,3.39 ,5.55 ,0.92 ,73520,71052,40088
井陉矿区,21.04 ,71.34 ,7.61 ,28.08 ,5995,4356,1629,10,9.24 ,7.49 ,1.75 ,1.04 ,14445,5942,903
井陉县,24.69 ,68.14 ,7.17 ,26.57 ,18925,14478,4390,57,12.21 ,7.61 ,4.60 ,1.53 ,13175,6639,3312
正定县,24.54 ,68.97 ,6.49 ,28.22 ,30077,21894,8048,135,11.00 ,6.16 ,4.84 ,1.24 ,28291,14190,7431
栾城县,26.83 ,66.36 ,6.81 ,26.83 ,20198,14990,5125,83,11.12 ,6.09 ,5.03 ,1.46 ,8077,11309,1956
