表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
石家庄市,699666,500467,302696,2030,71393,3070,18180,511,15115,35066,3986,945,9640,5709,14231,2163,14908,824,60.48,18.92,20.60,
长安区,41711,23706,39,7,9714,631,1994,126,985,3104,466,144,1322,712,2247,761,1379,75,0.16,52.08,47.76,
桥东区,23957,14319,34,2,4731,139,521,65,933,3768,463,161,1056,406,743,199,998,100,0.24,37.66,62.10,
桥西区,22039,12060,16,9,2592,277,574,64,872,2486,577,97,954,424,1092,465,1446,115,0.13,28.62,71.24,
新华区,29286,17083,29,5,4353,440,1023,68,1541,4026,571,152,977,664,1134,466,1552,82,0.17,34.07,65.76,
郊区,34419,21761,2304,18,8142,242,1150,16,1132,4263,250,160,1481,358,964,119,1041,121,10.59,43.90,45.52,
井陉矿区,7902,4915,929,449,2083,89,111,7,184,310,39,15,140,137,184,2,233,3,18.90,55.58,25.51,
井陉县,24842,18287,11074,410,2984,92,426,30,767,947,93,6,259,172,410,8,592,17,60.56,21.39,18.05,
正定县,44130,31301,18918,124,4161,117,2472,11,1301,2018,138,17,486,339,649,30,510,10,60.44,21.96,17.60,
栾城县,27422,20384,13555,4,2489,77,1060,1,454,1155,95,16,327,176,482,6,475,12,66.50,17.81,15.69,
