表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
梨树区,7693,2531,572,854,134,40,22,2,179,291,18,4,121,53,102,,94,45,22.60,41.49,35.91,
城子河区,11647,4837,691,1583,743,128,109,4,269,579,25,5,315,77,173,1,116,19,14.29,52.99,32.73,
麻山区,2813,1554,997,141,52,11,4,,56,158,10,4,19,8,46,,46,2,64.16,13.38,22.46,
鸡东县,21764,15416,10708,960,501,83,123,13,511,960,82,2,318,156,452,4,496,47,69.46,10.81,19.73,
虎林市,25606,16539,9855,204,1172,245,235,42,1323,1245,157,10,466,255,541,11,687,91,59.59,11.22,29.19,
密山市,35329,24482,17130,144,1435,121,174,48,834,1570,137,31,950,306,748,11,598,245,69.97,7.65,22.38,
鹤岗市,84393,42850,14628,7156,3528,812,1257,149,2978,4005,507,146,1936,928,1833,94,1825,1068,34.14,29.76,36.10,
向阳区,6922,3375,36,452,293,180,201,27,441,459,82,26,248,200,254,12,257,207,1.07,33.36,65.57,
工农区,9856,4812,141,239,796,150,281,22,548,850,143,38,306,144,313,21,408,412,2.93,30.47,66.60,
南山区,10130,4343,60,2217,441,107,159,3,159,428,23,5,313,88,161,4,98,77,1.38,67.33,31.29,
兴安区,7217,2826,76,1747,177,21,65,3,176,206,13,29,74,41,115,2,47,34,2.69,71.13,26.19,
东山区,12966,6155,2788,862,581,105,224,23,349,449,23,7,279,86,153,3,127,96,45.30,28.79,25.91,
兴山区,4506,1804,18,800,281,48,100,4,197,142,7,16,60,27,60,2,38,4,1.00,68.13,30.88,
萝北县,18661,10527,5795,172,587,113,165,47,707,937,121,22,491,216,453,38,529,134,55.05,9.85,35.10,
绥滨县,14135,9008,5714,667,372,88,62,20,401,534,95,3,165,126,324,12,321,104,63.43,13.20,23.37,
双鸭山市,113862,65741,34964,4737,4281,986,1368,157,3662,5629,590,107,2020,1214,2419,95,2607,905,53.18,17.30,29.52,
尖山区,14660,7374,580,508,797,179,491,58,774,1143,202,47,603,330,495,32,839,296,7.87,26.78,65.35,
岭东区,6591,2299,500,541,184,65,96,3,135,306,11,2,134,36,111,5,53,117,21.75,38.54,39.71,
四方台区,5418,2422,693,896,180,28,52,5,90,119,8,1,67,30,77,1,39,136,28.61,47.73,23.66,
宝山区,11058,4740,1059,1873,187,328,55,2,241,322,22,25,101,109,185,2,75,154,22.34,51.54,26.12,
集贤县,23733,16194,10615,320,946,72,216,19,857,1480,105,16,399,172,453,26,435,63,65.55,9.60,24.85,
友谊县,9185,4411,1986,65,499,49,99,5,349,394,56,2,202,124,221,19,316,25,45.02,16.14,38.83,
宝清县,31024,20235,14227,396,1000,183,206,45,843,1323,115,9,353,299,621,8,597,10,70.31,8.82,20.87,
饶河县,12193,8066,5304,138,488,82,153,20,373,542,71,5,161,114,256,2,253,104,65.76,10.67,23.57,
大庆市,201232,138761,69184,9762,12458,2082,5228,1079,6466,12209,976,2513,4799,2031,4878,860,3481,755,49.86,21.28,28.86,
萨尔图区,24248,14641,439,2054,2434,327,958,33,926,3341,329,465,1297,378,753,68,748,91,3.00,39.43,57.57,
龙凤区,18400,11095,832,200,2843,637,1197,3,1138,1473,150,558,705,263,473,97,415,111,7.50,43.96,48.54,
让胡路区,34716,21457,1469,3335,3234,607,1762,800,1872,2716,187,1029,1250,575,1160,657,495,309,6.85,41.66,51.50,
红岗区,13640,8517,1227,2651,1064,50,375,146,420,989,50,358,449,170,301,12,169,86,14.41,48.61,36.98,
大同区,17837,13120,8834,934,721,222,183,14,394,586,26,79,290,113,388,2,243,91,67.33,15.70,16.97,
肇州县,28551,21292,17480,529,535,70,187,1,503,696,52,5,166,147,507,5,402,7,82.10,6.20,11.70,
肇源县,28776,21288,17155,51,695,53,258,23,507,981,64,5,283,157,591,10,449,6,80.59,4.97,14.45,
林甸县,17707,14011,11393,7,459,46,101,50,407,579,59,9,145,113,332,5,288,18,81.31,4.38,14.31,
杜尔伯特蒙古族自治县,17357,13340,10355,1,473,70,207,9,299,848,59,5,214,115,373,4,272,36,77.62,5.63,16.75,
伊春市,95033,46742,13174,4237,8369,980,1537,53,3790,4663,514,119,2773,1001,2213,79,2863,377,28.18,32.35,39.46,
伊春区,10723,5654,287,10,854,211,406,23,426,932,167,71,710,199,448,27,830,53,5.08,26.19,68.73,
南岔区,10723,5153,1460,142,1226,61,140,7,834,357,54,14,279,153,215,6,185,20,28.33,30.45,41.22,
友好区,4855,2094,419,127,504,49,77,,202,208,15,,212,43,82,,121,35,20.01,36.15,43.84,
西林区,3732,1962,134,209,1178,11,56,,71,95,14,1,41,9,37,,86,20,6.83,74.11,19.06,
翠峦区,3528,1445,170,234,308,39,33,,118,187,5,6,139,30,65,,111,,11.76,42.49,45.74,
新青区,3749,1630,142,356,241,70,80,,139,160,8,3,108,33,102,,109,79,8.71,45.83,45.46,
美溪区,3038,1237,299,271,134,1,23,,97,94,9,4,65,17,60,2,96,65,24.17,34.68,41.15,
金山屯区,3406,1616,172,390,228,19,71,1,85,206,9,,235,35,86,1,74,4,10.64,43.81,45.54,
五营区,3002,1252,187,152,196,29,36,,94,157,17,,72,48,105,20,110,29,14.94,32.99,52.08,
乌马河区,2984,1471,201,201,289,118,78,,169,144,11,,65,37,75,,83,,13.66,46.63,39.70,
汤旺河区,2793,1226,152,340,249,32,26,1,66,119,7,1,78,20,62,,73,,12.40,52.77,34.83,
带岭区,2902,1515,348,84,346,54,37,5,144,177,14,5,81,25,96,16,71,12,22.97,34.39,42.64,
乌伊岭区,1873,844,114,205,80,19,22,,81,86,4,,56,28,68,,81,,13.51,38.63,47.87,
红星区,1936,817,118,193,86,4,38,,51,90,13,,42,22,39,,75,46,14.44,39.29,46.27,
上甘岭区,1701,686,89,190,170,17,15,,32,38,7,,23,13,42,2,48,,12.97,57.14,29.88,
嘉荫县,6282,4131,2677,215,220,22,19,4,109,250,38,,150,59,122,,245,1,64.80,11.52,23.67,
铁力市,27806,14009,6205,918,2060,224,380,12,1072,1363,122,14,417,230,509,5,465,13,44.29,25.57,30.14,
佳木斯市,181249,113685,67856,481,9833,1787,2473,316,5963,9317,1164,269,3055,1772,4046,199,4490,664,59.69,12.82,27.49,
永红区,12681,5762,105,14,1846,210,235,20,343,1265,138,63,468,213,338,37,410,57,1.82,40.00,58.17,
向阳区,8089,3467,50,3,745,99,125,49,263,812,173,58,138,219,394,33,284,22,1.44,28.04,70.52,
前进区,11716,5683,39,6,1047,478,253,27,1070,888,212,69,218,252,417,41,645,21,0.69,31.39,67.92,
东风区,8843,4016,67,7,1578,388,279,5,476,475,44,23,241,104,144,3,136,46,1.67,56.08,42.26,
郊区,23661,15065,8887,29,1478,78,736,22,905,1451,46,18,544,112,301,30,400,28,58.99,15.41,25.60,
桦南县,30050,22011,17328,271,876,98,135,37,553,923,110,7,383,186,568,4,452,80,78.72,6.27,15.01,
桦川县,14878,9752,7519,15,273,42,48,43,330,393,66,1,123,100,313,2,482,2,77.10,3.88,19.02,
汤原县,18508,11841,8548,101,517,91,164,43,410,684,79,11,207,130,379,2,401,74,72.19,7.37,20.44,
抚远县,6093,3903,2555,3,141,24,39,4,176,243,39,2,108,54,157,2,268,88,65.46,5.30,29.23,
同江市,13139,8858,6154,7,303,71,156,25,440,568,94,,130,120,294,2,350,144,69.47,6.06,24.46,
富锦市,33591,23327,16604,25,1029,208,303,41,997,1615,163,17,495,282,741,43,662,102,71.18,6.71,22.11,
七台河市,63283,36298,14087,6145,2458,744,1116,119,2184,3492,364,61,1688,548,1234,80,1492,486,38.81,28.83,32.37,
新兴区,15092,6926,363,2836,769,151,129,38,684,1005,23,10,382,84,211,4,117,120,5.24,56.09,38.67,
桃山区,12104,6838,189,1350,303,340,441,49,625,1089,221,21,537,231,450,22,707,263,2.76,35.60,61.64,
茄子河区,10283,5877,2197,1579,207,171,321,8,296,399,19,3,240,48,160,3,201,25,37.38,38.76,23.86,
勃利县,25804,16657,11338,380,1179,82,225,24,579,999,101,27,529,185,413,51,467,78,68.07,11.20,20.73,
牡丹江市,201419,124188,65314,1674,15218,2001,3040,119,6979,12505,1185,344,4285,2156,4244,179,4266,679,52.59,17.66,29.75,
东安区,13360,7525,1263,14,1577,325,333,15,373,1408,287,100,475,190,303,32,617,213,16.78,29.89,53.33,
阳明区,12898,7296,1622,16,2720,431,278,8,364,839,45,22,384,127,257,14,145,24,22.23,47.22,30.55,
爱民区,21681,10564,754,71,2958,308,846,31,1249,1881,95,90,748,419,628,42,374,70,7.14,39.60,53.27,
西安区,15215,8145,1299,24,2158,256,465,5,763,1362,165,42,422,201,418,59,505,1,15.95,35.64,48.41,
东宁县,16390,11085,6661,254,683,168,180,4,660,1127,98,8,273,134,356,3,453,23,60.09,11.59,28.32,
林口县,29839,20898,16089,325,773,59,160,,861,1050,101,10,268,208,530,4,432,28,76.99,6.30,16.71,
绥芬河市,5268,3590,300,9,302,51,101,2,332,1530,51,14,462,54,109,1,271,1,8.36,12.90,78.75,
海林市,30920,17073,9728,252,1860,129,439,20,1085,1285,127,25,428,268,648,4,645,130,56.98,15.70,27.32,
宁安市,33150,23335,17569,278,1312,138,149,16,712,1231,112,23,446,245,593,9,489,13,75.29,8.04,16.67,
穆棱市,22698,14677,10029,431,875,136,89,18,580,792,104,10,379,310,402,11,335,176,68.33,10.43,21.24,
黑河市,122658,76867,48053,1231,4105,1072,952,101,4307,5780,706,123,2329,1302,2718,173,3412,503,62.51,9.57,27.91,
爱辉区,15076,9318,3449,293,588,210,145,41,821,1364,211,36,699,192,450,29,774,16,37.01,13.26,49.72,
嫩江县,35844,22813,15470,309,1100,275,205,22,1260,1467,139,8,365,351,755,76,907,104,67.81,8.28,23.91,
逊克县,8054,5425,3846,28,201,55,24,2,239,328,59,2,115,70,185,4,250,17,70.89,5.68,23.43,
孙吴县,7535,4928,2988,35,364,27,56,2,365,388,47,9,116,75,169,3,246,38,60.63,9.78,29.59,
北安市,30898,18691,11312,260,1227,390,395,9,928,1465,122,55,601,408,663,41,626,189,60.52,12.16,27.32,
五大连池市,25251,15692,10988,306,625,115,127,25,694,768,128,13,433,206,496,20,609,139,70.02,7.48,22.50,
绥化市,350074,244609,188682,540,11201,911,2973,286,7483,13159,1216,142,3072,2213,6400,117,5819,395,77.14,6.39,16.48,
北林区,58149,39653,27504,24,1973,196,820,73,1824,3129,332,19,581,446,1149,34,1518,31,69.36,7.60,23.04,
望奎县,29991,20571,16598,25,924,60,240,14,438,750,79,4,202,143,510,4,503,77,80.69,6.07,13.24,
兰西县,29166,20045,15995,23,939,62,240,9,435,767,84,7,237,153,475,2,537,80,79.80,6.31,13.90,
青冈县,24578,14154,11391,2,326,78,85,15,317,670,52,17,149,124,478,6,427,17,80.48,3.47,16.05,
庆安县,24593,17978,15201,40,576,44,55,34,359,512,56,15,135,146,375,11,379,40,84.55,3.98,11.47,
明水县,19251,14284,11737,6,469,58,114,5,256,505,104,15,151,109,388,12,342,13,82.17,4.53,13.30,
绥棱县,22111,15099,10845,362,762,45,212,19,444,928,79,14,299,220,385,10,372,103,71.83,9.15,19.03,
安达市,34037,23229,14713,23,2020,83,683,83,1352,2224,144,19,420,220,733,12,498,2,63.34,12.09,24.57,
肇东市,57639,41754,32761,30,2234,172,387,10,1017,2253,142,19,677,343,982,23,686,18,78.46,6.76,14.78,
海伦市,50559,37842,31937,5,978,113,137,24,1041,1421,144,13,221,309,925,3,557,14,84.40,3.26,12.35,
大兴安岭地区,40632,20126,3534,2976,2344,495,857,7,1993,2208,292,209,1357,443,1101,87,1481,742,17.56,33.15,49.29,
加格达奇区,11381,6009,1017,52,410,160,441,3,894,844,114,103,507,145,372,49,491,407,16.92,17.69,65.39,
松岭区,2861,1504,205,364,335,13,70,,118,124,18,,37,28,85,,107,,13.63,51.99,34.38,
新林区,4097,1823,163,444,361,30,68,,159,185,22,16,74,32,102,25,120,22,8.94,49.53,41.52,
呼中区,3582,1265,45,374,265,15,19,,77,107,6,8,65,37,105,2,125,15,3.56,53.20,43.24,
呼玛县,4789,2994,1522,249,181,77,12,1,132,197,37,3,183,38,98,1,190,73,50.84,17.33,31.83,
塔河县,7466,3502,410,621,411,115,177,2,439,407,41,46,236,101,175,6,246,69,11.71,37.81,50.49,
漠河县,6456,3029,172,872,381,85,70,1,174,344,54,33,255,62,164,4,202,156,5.68,46.48,47.84,
,,,,,,,,,,,,,,,,,,,,,,
上海市,1385119,811513,93607,357,311074,8358,51818,1012,41052,121100,10535,15171,68364,17293,35450,9433,23684,3205,11.53,45.79,42.67,
市辖区,1212996,687877,44680,335,269092,7509,44415,815,38208,113059,9863,14598,63979,15666,32371,9287,21255,2745,6.50,46.72,46.79,
黄浦区,15777,6897,6,4,1900,60,383,1,351,1936,132,227,995,184,376,125,207,10,0.09,34.03,65.88,
南市区,32989,15503,7,5,4723,170,636,6,945,4268,297,466,2031,468,699,259,492,31,0.05,35.70,64.26,
卢湾区,28627,13394,13,3,3953,113,706,6,525,3182,323,440,1965,548,779,333,489,16,0.10,35.65,64.25,
徐汇区,91790,48563,48,36,15224,565,2609,66,2308,9701,1054,1509,5923,1781,4133,1687,1759,160,0.10,37.96,61.94,
长宁区,59847,31220,135,16,9180,303,1864,14,1755,6346,728,1100,4479,926,2060,951,1175,188,0.43,36.40,63.17,
静安区,25698,12023,15,12,3211,118,534,6,627,2602,405,402,1921,398,804,328,587,53,0.12,32.23,67.65,
普陀区,89862,45701,199,30,15012,378,2404,49,3484,10179,800,1342,5425,1125,2660,876,1605,133,0.44,39.00,60.56,
闸北区,66818,32701,49,12,11836,429,1150,24,2677,7152,524,801,3739,913,1720,416,1101,158,0.15,41.06,58.79,
虹口区,74043,37142,29,5,11151,445,1796,23,3410,8022,975,1157,4295,1089,2430,677,1468,170,0.08,36.07,63.85,
杨浦区,106890,50639,240,26,18718,853,1802,56,4012,9372,1009,1334,5338,1718,3585,869,1667,40,0.47,42.26,57.27,
闵行区,101451,64138,3154,26,29905,750,4884,43,3152,9403,593,1292,5006,1058,2419,636,1619,198,4.92,55.45,39.63,
宝山区,103672,60459,4988,40,23219,650,6784,81,4226,8598,496,837,4830,1008,2105,421,1618,558,8.25,50.77,40.98,
嘉定区,64332,43038,4563,16,22731,294,2467,84,1384,4803,283,365,2696,551,1258,367,1146,30,10.60,59.27,30.13,
浦东新区,200554,116249,5180,55,47953,1406,9629,197,6009,19254,1544,2651,10957,2318,4438,1002,3265,391,4.46,50.79,44.75,
金山区,48472,36761,11539,,14866,535,1935,48,1247,2217,241,161,1166,539,1060,225,804,178,31.39,47.16,21.45,
松江区,53410,38066,6465,32,19092,205,2822,66,1177,3141,248,258,1629,579,1008,80,1034,230,16.98,58.19,24.83,
青浦区,48764,35383,8050,17,16418,235,2010,45,919,2883,211,256,1584,463,837,35,1219,201,22.75,52.79,24.46,
市辖县,172123,123636,48927,22,41982,849,7403,197,2844,8041,672,573,4385,1627,3079,146,2429,460,39.57,40.65,19.78,
南汇县,65123,47930,16125,14,17148,226,4180,92,1150,3529,267,267,2124,580,1149,61,938,80,33.64,45.00,21.36,
奉贤县,52507,36896,8736,1,17052,298,2202,47,997,2865,249,225,1496,530,1039,62,887,210,23.68,52.99,23.33,
崇明县,54493,38810,24066,7,7782,325,1021,58,697,1647,156,81,765,517,891,23,604,170,62.01,23.54,14.45,
,,,,,,,,,,,,,,,,,,,,,,
江苏省,5605154,4215259,2203950,26257,908516,26187,204617,5157,127711,325438,22087,9382,106224,44105,103049,8095,86433,8051,52.29,27.65,20.06,
南京市,482965,311252,93747,3068,75381,2957,20294,499,15738,43035,3308,2409,16243,5395,14125,3509,9918,1626,30.12,32.67,37.21,
玄武区,38434,20622,309,50,5588,260,1234,13,1102,4269,495,365,2252,656,2077,701,1197,54,1.50,34.58,63.92,
白下区,29508,16561,277,20,4791,150,1033,28,684,3957,526,327,1665,383,1445,400,806,69,1.67,36.19,62.13,
秦淮区,22851,12040,202,24,4285,117,634,36,630,3020,217,197,1237,260,557,158,437,29,1.68,42.03,56.30,
建邺区,28330,15747,199,20,4192,144,896,37,729,4684,381,277,1529,449,1001,341,763,105,1.26,33.35,65.38,
鼓楼区,49747,27023,128,18,6115,375,1869,35,1451,5641,649,464,2753,1188,3213,1107,1802,215,0.47,31.00,68.53,
下关区,29280,16278,39,121,4849,242,1121,54,2415,4015,177,197,1486,366,553,145,466,32,0.24,38.91,60.86,
浦口区,17861,10026,1672,108,3495,66,491,15,988,1718,48,52,487,134,373,90,281,8,16.68,41.49,41.83,
大厂区,17839,11547,850,2,3978,410,1013,26,981,1656,131,118,451,237,442,318,252,682,7.36,46.79,45.85,
栖霞区,32405,20969,5024,271,7289,265,2029,39,1225,2288,63,93,924,306,599,94,456,4,23.96,46.99,29.05,
雨花台区,21231,13891,2374,365,5010,170,781,26,751,2137,60,76,710,242,463,81,411,234,17.09,45.54,37.37,
江宁县,62326,45801,21022,1133,11239,284,3019,55,1645,3345,188,167,852,383,1265,38,1073,93,45.90,34.22,19.88,
江浦县,22525,15896,9183,135,2512,129,640,17,352,1355,79,12,435,128,492,17,396,14,57.77,21.49,20.74,
六合县,50015,37763,22816,618,5719,156,2323,59,1126,2354,115,26,836,295,712,11,579,18,60.42,23.35,16.24,
溧水县,29022,22011,13834,94,3483,121,985,25,644,1246,89,10,310,148,511,3,496,12,62.85,21.28,15.87,
高淳县,31591,25077,15818,89,2836,68,2226,34,1015,1350,90,28,316,220,422,5,503,57,63.08,20.81,16.11,
无锡市,409532,286908,52561,1917,135272,2315,15869,344,9867,33896,2309,1149,11211,3332,7930,874,7526,536,18.32,54.15,27.53,
崇安区,13776,8008,13,3,3194,69,380,1,327,1983,178,111,575,267,332,80,452,43,0.16,45.53,54.31,
南长区,17884,9997,11,1,4537,133,279,7,363,2027,262,164,757,240,480,114,599,23,0.11,49.51,50.38,
北塘区,16096,9382,13,3,4577,125,275,8,503,1990,165,106,517,231,361,72,379,57,0.14,53.08,46.78,
郊区,66524,42424,2374,26,21571,353,1982,49,1619,6641,437,290,2724,712,1701,458,1424,63,5.60,56.41,37.99,
马山区,2654,2032,174,36,1109,11,112,5,31,199,20,5,148,36,65,,72,9,8.56,62.40,29.04,
江阴市,103376,76030,12748,755,38476,708,5393,106,2387,7632,499,193,2733,716,1849,66,1661,108,16.77,59.62,23.61,
宜兴市,93379,69529,27160,929,22278,480,3240,63,2632,6836,418,165,1661,588,1477,49,1467,86,39.06,38.73,22.21,
锡山市,95843,69506,10068,164,39530,436,4208,105,2005,6588,330,115,2096,542,1665,35,1472,147,14.49,63.79,21.72,
徐州市,646405,481272,346094,12821,39225,3082,10071,487,11433,22813,1690,680,5783,5044,12119,447,8623,860,71.91,13.55,14.54,
鼓楼区,23581,13276,886,118,4901,432,721,29,1384,2371,142,96,728,310,460,49,566,83,6.67,46.49,46.84,
云龙区,17097,9153,615,104,2550,240,263,17,1016,1962,207,88,490,300,504,62,678,57,6.72,34.49,58.79,
九里区,14891,9255,1632,3947,1134,180,570,15,363,529,15,11,169,231,336,3,118,2,17.63,63.00,19.36,
贾汪区,36637,25012,13495,3685,3299,176,519,9,873,1089,70,13,285,311,692,1,478,17,53.95,30.70,15.34,
泉山区,37301,20462,2718,559,5213,609,1063,114,993,3175,485,267,1202,813,1393,220,1440,198,13.28,36.38,50.34,
丰县,75501,58610,48973,87,3144,201,1061,39,622,1733,114,21,332,375,1138,31,652,87,83.56,7.67,8.78,
沛县,82280,63548,50652,2251,2513,248,1157,52,1026,1928,178,87,425,567,1396,3,1019,46,79.71,9.71,10.59,
铜山县,93910,72962,56062,1627,5962,240,1475,45,1502,2416,94,32,638,460,1647,11,683,68,76.84,12.75,10.41,
睢宁县,85474,67110,54465,206,3429,152,1310,58,1026,2855,105,16,473,525,1442,37,945,66,81.16,7.59,11.25,
新沂市,67835,52961,41517,128,3394,245,1020,26,953,2230,144,28,531,475,1236,17,915,102,78.39,9.04,12.57,
邳州市,111898,88923,75079,109,3686,359,912,83,1675,2525,136,21,510,677,1875,13,1129,134,84.43,5.70,9.87,
常州市,304349,220001,69313,573,82973,1550,11924,213,7848,22935,1636,585,7130,2440,5300,457,4773,351,31.51,44.10,24.39,
天宁区,23756,13983,24,2,5792,261,496,8,745,2965,387,157,1089,487,671,145,680,74,0.17,46.85,52.98,
钟楼区,20185,11335,37,8,4962,102,489,5,435,2493,251,142,807,293,611,117,499,84,0.33,49.06,50.61,
戚墅堰区,7573,4882,310,2,3040,115,128,1,161,472,49,19,167,80,136,62,123,17,6.35,67.29,26.36,
郊区,37823,25773,2518,4,12878,184,1766,34,1062,4039,216,114,1108,329,758,72,616,75,9.77,57.55,32.68,
溧阳市,57936,42920,26447,197,6339,275,2018,50,1324,2994,215,59,836,375,828,16,921,26,61.62,20.57,17.81,
金坛市,42758,32237,14509,165,8464,176,2032,31,1046,2807,197,41,964,317,755,39,665,29,45.01,33.62,21.38,
武进市,114318,88871,25468,195,41498,437,4995,84,3075,7165,321,53,2159,559,1541,6,1269,46,28.66,53.03,18.32,
苏州市,562681,422669,89338,1916,193881,3439,26776,552,15246,46784,2928,1607,14572,4335,9791,711,9794,999,21.14,53.47,25.39,
沧浪区,26523,14274,44,13,5252,236,633,25,592,3005,312,311,1505,452,1014,148,665,67,0.31,42.97,56.72,
平江区,35007,23196,3464,9,10131,129,1741,18,772,3251,229,214,1287,343,880,86,631,11,14.93,51.78,33.29,
金阊区,32463,18897,194,251,8968,315,1391,18,708,3081,280,272,1339,427,758,148,611,136,1.03,57.81,41.16,
虎丘区,18512,13461,1563,273,6660,85,767,3,805,1900,59,62,510,135,304,25,279,31,11.61,57.83,30.55,
常熟市,103136,82835,17425,105,41353,627,4713,155,2644,9058,469,152,2115,710,1572,54,1648,35,21.04,56.50,22.47,
张家港市,77488,59857,14030,110,28414,414,3941,39,2209,5129,372,86,1762,523,1209,51,1478,90,23.44,54.93,21.63,
昆山市,60718,46389,10209,,21545,370,2568,118,1491,5069,330,124,1914,410,939,90,1111,101,22.01,52.78,25.22,
吴江市,72170,56414,16957,,23479,428,3521,86,1845,5681,272,63,1315,407,1037,20,1100,203,30.06,48.62,21.32,
太仓市,43300,34426,11257,,14667,264,1549,33,994,2669,216,84,865,334,613,48,713,120,32.70,47.87,19.43,
吴县市,93364,72920,14195,1155,33412,571,5952,57,3186,7941,389,239,1960,594,1465,41,1558,205,19.47,56.35,24.18,
南通市,603890,484635,284378,43,91583,2247,33847,257,11246,27749,2059,529,8348,4331,9519,364,7675,460,58.68,26.35,14.97,
崇川区,43394,27417,2168,1,11264,677,915,31,1497,4732,587,276,1606,755,1296,206,1368,38,7.91,46.89,45.20,
港闸区,17789,12431,2915,,5274,144,879,11,553,1568,57,28,409,140,257,13,181,2,23.45,50.66,25.89,
海安县,74319,60532,37840,4,9905,248,3716,41,1373,3236,236,50,1143,488,1302,19,838,93,62.51,22.92,14.57,
如东县,89800,73817,51260,4,10159,216,3811,27,1186,3207,252,26,919,531,1237,19,906,57,69.44,19.22,11.33,
启东市,85041,71292,46280,8,10198,239,5668,41,1372,3530,236,73,890,542,1173,38,972,32,64.92,22.60,12.48,
如皋市,108158,86074,54955,5,14247,125,5424,62,2238,3869,270,22,1292,679,1632,20,1192,42,63.85,23.00,13.15,
通州市,110422,91644,52338,6,18620,332,9142,21,1945,4281,230,19,1057,675,1531,26,1313,108,57.11,30.66,12.23,
海门市,74967,61428,36622,15,11916,266,4292,23,1082,3326,191,35,1032,521,1091,23,905,88,59.62,26.84,13.54,
连云港市,319396,241394,179329,1805,15433,1173,7342,252,6108,11940,1051,282,3349,2446,5954,351,4269,310,74.29,10.67,15.04,
连云区,10510,6401,642,21,1077,89,820,5,1431,1034,106,33,451,139,208,11,325,9,10.03,31.35,58.62,
云台区,11165,6895,2132,820,1103,50,775,6,632,515,28,10,253,80,243,16,212,20,30.92,39.85,29.22,
新浦区,20875,10723,127,106,2779,298,434,8,755,2547,377,152,761,437,733,272,886,51,1.18,33.73,65.08,
海州区,10642,6795,3081,191,1360,218,159,5,205,743,55,14,206,149,222,5,170,12,45.34,28.37,26.28,
赣榆县,72953,55832,42799,216,3381,148,3209,61,849,1970,136,20,569,452,1234,19,709,60,76.66,12.46,10.89,
东海县,78573,63982,56257,84,1774,114,350,77,637,1658,137,9,342,346,1422,17,716,42,87.93,3.63,8.44,
灌云县,67302,52360,42891,364,2092,139,733,49,971,2047,132,31,431,494,1178,8,701,99,81.92,6.36,11.73,
灌南县,47376,38406,31400,3,1867,117,862,41,628,1426,80,13,336,349,714,3,550,17,81.76,7.42,10.82,
淮阴市,361077,279183,199516,482,24511,1490,9094,540,6802,16202,1048,219,4634,2663,6197,171,5283,331,71.46,12.74,15.79,
清河区,19464,11154,763,18,3453,215,659,49,688,2208,313,55,681,265,773,99,877,38,6.84,38.95,54.20,
清浦区,22645,16476,7967,13,4023,317,478,11,871,1330,95,37,376,246,341,19,340,12,48.36,29.32,22.32,
淮阴县,58350,46149,35811,16,2720,163,1557,33,956,2302,108,22,499,438,882,15,560,67,77.60,9.66,12.75,
涟水县,67281,53844,45066,,2325,170,1119,34,662,1641,96,23,499,426,1014,12,737,20,83.70,6.71,9.59,
洪泽县,27088,20689,15481,18,1452,107,285,203,480,1206,78,5,230,208,474,3,454,5,74.83,9.00,16.17,
盱眙县,51156,39298,30392,248,2275,159,486,50,999,1934,110,16,481,341,878,6,865,58,77.34,8.06,14.60,
金湖县,28349,22122,14197,169,2745,126,818,49,614,1508,122,22,489,201,496,12,519,35,64.18,17.44,18.38,
淮安市,86744,69451,49839,,5518,233,3692,111,1532,4073,126,39,1379,538,1339,5,931,96,71.76,13.60,14.64,
盐城市,606540,482875,339441,936,51895,2153,14326,587,12008,28344,1684,413,7646,4207,9842,224,8533,636,70.30,14.35,15.35,
城区,52025,34756,9807,35,8764,509,2094,47,1703,5535,456,203,1473,605,1476,111,1746,192,28.22,32.81,38.98,
响水县,40895,31809,23448,474,2304,109,585,42,806,1882,95,11,429,284,699,11,564,66,73.71,10.92,15.37,
滨海县,75879,62467,50304,193,3327,203,1047,108,1290,2564,114,23,774,442,1247,8,777,46,80.53,7.64,11.84,
阜宁县,78169,61947,49425,20,3987,142,1111,75,1182,2570,156,19,691,471,1057,12,958,71,79.79,8.49,11.72,
射阳县,82913,67245,49773,179,6110,300,1273,79,1453,3691,192,31,1116,495,1267,24,1168,94,74.02,11.69,14.29,
建湖县,59145,45378,29438,7,6703,185,1760,29,1318,2728,176,29,768,462,921,14,777,63,64.87,19.07,16.05,
盐都县,64718,52337,39575,,4712,148,1793,23,1211,2396,75,9,630,354,909,4,483,15,75.62,12.71,11.67,
东台市,91269,74827,51326,27,9249,335,3449,102,1963,4067,243,45,985,587,1322,26,1044,57,68.59,17.45,13.95,
大丰市,61527,52109,36345,1,6739,222,1214,82,1082,2911,177,43,780,507,944,14,1016,32,69.75,15.69,14.56,
扬州市,348692,263390,112692,844,70897,1820,19292,412,8299,22429,1454,468,8665,2871,6441,426,5823,557,42.79,35.25,21.96,
广陵区,37120,22389,306,70,8890,431,959,62,1149,4542,476,177,1730,568,1358,299,1325,47,1.37,46.23,52.41,
