　　,,,,,,,,,,,,,,,,,,,,,,,,
表6—1    省、自治区、直辖市分性别、孩次的出生人口（1999.11.1-2000.10.31）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,    
,,,,,,,,,,,,,,,,,,,,,,,,单位:人
地   区   别,出   生   人   数,,,,第     一     孩,,,,第     二     孩,,,,第     三     孩,,,,第     四     孩,,,,第五孩及五孩以上,,,
,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比
,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,27232,14054,13178,106.65,15646,8028,7618,105.38,7003,3579,3424,104.53,3147,1648,1499,109.94,911,503,408,123.28,525,296,229,129.26
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,
表6—1a    省、自治区、直辖市分性别、孩次的出生人口（城市）（1999.11.1-2000.10.31）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,    
,,,,,,,,,,,,,,,,,,,,,,,,单位:人
地   区   别,出   生   人   数,,,,第     一     孩,,,,第     二     孩,,,,第     三     孩,,,,第     四     孩,,,,第五孩及五孩以上,,,
,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比
,,,,,,,,,,,,,,,,,,,,,,,,
合计,231787,123549,108238,114.15,197020,102696,94324,108.88,30843,18387,12456,147.62,3028,1885,1143,164.92,608,402,206,195.15,288,179,109,164.22
,,,,,,,,,,,,,,,,,,,,,,,,
北京市,5003,2695,2308,116.77,4579,2429,2150,112.98,406,256,150,170.67,18,10,8,125.00,          ,          ,          ,          ,          ,          ,          ,          
天津市,2519,1312,1207,108.70,2282,1176,1106,106.33,229,132,97,136.08,7,3,4,75.00,1,1,          ,          ,          ,          ,          ,          
河北省,10105,5368,4737,113.32,8356,4358,3998,109.00,1635,945,690,136.96,103,57,46,123.91,9,7,2,350.00,2,1,1,100.00
山西省,7046,3685,3361,109.64,5582,2900,2682,108.13,1305,693,612,113.24,132,78,54,144.44,16,7,9,77.78,11,7,4,175.00
内蒙古自治区,5187,2657,2530,105.02,4757,2412,2345,102.86,414,236,178,132.58,12,7,5,140.00,1,1,          ,          ,3,1,2,50.00
,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,11336,5877,5459,107.66,10525,5419,5106,106.13,776,436,340,128.24,32,20,12,166.67,2,2,          ,          ,1,          ,1,          
吉林省,5363,2818,2545,110.73,4940,2592,2348,110.39,395,214,181,118.23,23,10,13,76.92,2,1,1,100.00,3,1,2,50.00
黑龙江省,7531,3923,3608,108.73,7108,3689,3419,107.90,395,215,180,119.44,22,14,8,175.00,4,3,1,300.00,2,2,          ,          
,,,,,,,,,,,,,,,,,,,,,,,,
上海市,6176,3272,2904,112.67,5518,2877,2641,108.94,622,372,250,148.80,32,20,12,166.67,4,3,1,300.00,          ,          ,          ,          
江苏省,13554,7191,6363,113.01,12635,6616,6019,109.92,861,538,323,166.56,49,30,19,157.89,8,7,1,700.00,1,          ,1,          
浙江省,10605,5618,4987,112.65,8938,4624,4314,107.19,1590,942,648,145.37,71,46,25,184.00,6,6,          ,          ,          ,          ,          ,          
安徽省,7406,3928,3478,112.94,6499,3377,3122,108.17,851,517,334,154.79,48,28,20,140.00,5,3,2,150.00,3,3,          ,          
福建省,6108,3247,2861,113.49,5182,2704,2478,109.12,870,503,367,137.06,46,34,12,283.33,7,4,3,133.33,3,2,1,200.00
