　　,,,,,,,,,,,,,,,,
表1-1    省、自治区、直辖市的户数、人口数和性别比,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,单位:人，%
,户      数,,,人                     口                     数,,,,,,,,,,,,家庭户
地   区   别,合计,家庭户,集体户,合                计,,,,家    庭    户,,,,集    体    户,,,,平均每
,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,户人数
,,,,,,,,,,,,,,,,
86岁,50714,17932,32782,0.07,0.02,0.04,54.70,,,,,,,,,
87岁,38367,13114,25253,0.05,0.02,0.03,51.93,,,,,,,,,
88岁,28381,9433,18948,0.04,0.01,0.03,49.78,,,,,,,,,
89岁,21329,6879,14450,0.03,0.01,0.02,47.61,,,,,,,,,
,,,,,,,,,,,,,,,,
90-94岁,49031,14084,34947,0.07,0.02,0.05,40.30,,,,,,,,,
90岁,18291,5601,12690,0.02,0.01,0.02,44.14,,,,,,,,,
91岁,11323,3207,8116,0.02,          ,0.01,39.51,,,,,,,,,
92岁,8730,2447,6283,0.01,          ,0.01,38.95,,,,,,,,,
93岁,6177,1705,4472,0.01,          ,0.01,38.13,,,,,,,,,
94岁,4510,1124,3386,0.01,          ,          ,33.20,,,,,,,,,
,,,,,,,,,,,,,,,,
95-99岁,10082,2969,7113,0.01,          ,0.01,41.74,,,,,,,,,
95岁,3445,989,2456,          ,          ,          ,40.27,,,,,,,,,
96岁,2491,732,1759,          ,          ,          ,41.61,,,,,,,,,
97岁,1797,531,1266,          ,          ,          ,41.94,,,,,,,,,
98岁,1425,444,981,          ,          ,          ,45.26,,,,,,,,,
99岁,924,273,651,          ,          ,          ,41.94,,,,,,,,,
,,,,,,,,,,,,,,,,
100岁及以上,981,221,760,          ,          ,          ,29.08,,,,,,,,,
,,,,,,,,,,,,,,,,
